edge_count,number_graphs,mean_max_longest_duration,mean_max_interval_duration,fraction_standard_ranked,fraction_cover_potential,fraction_nontrivial_duration
0,1,0.0,0.0,1.0,1.0,0.0
1,20,1.0,1.0,1.0,1.0,1.0
2,190,1.263157894736842,1.263157894736842,1.0,1.0,0.9473684210526315
3,1140,1.6666666666666667,1.6666666666666667,0.8947368421052632,1.0,0.9824561403508771
4,4845,1.9029927760577916,1.915376676986584,0.826625386996904,1.0,0.9721362229102167
5,15504,1.987874097007224,2.0304437564499485,0.8335913312693498,0.9845201238390093,0.9662022703818369
6,38760,1.8751289989680082,1.9272445820433437,0.9071207430340558,0.9876160990712074,0.9380804953560371
7,77520,1.5998452012383901,1.6344169246646028,0.9690402476780186,0.9953560371517027,0.8844169246646026
8,125970,1.2210843851710724,1.234897197745495,0.9942843534174803,0.9990473922362467,0.7700246090338969
9,167960,0.8371040723981901,0.8403191236008574,0.9996427720885925,1.0,0.6050250059537985
10,184756,0.522202255948386,0.52252700859512,1.0,1.0,0.4268332286908138
11,167960,0.2998332936413432,0.2998332936413432,1.0,1.0,0.26982614908311503
12,125970,0.15852980868460745,0.15852980868460745,1.0,1.0,0.1519409383186473
13,77520,0.07585139318885449,0.07585139318885449,1.0,1.0,0.07507739938080496
14,38760,0.03147574819401445,0.03147574819401445,1.0,1.0,0.03147574819401445
15,15504,0.010319917440660475,0.010319917440660475,1.0,1.0,0.010319917440660475
16,4845,0.0020639834881320948,0.0020639834881320948,1.0,1.0,0.0020639834881320948
17,1140,0.0,0.0,1.0,1.0,0.0
18,190,0.0,0.0,1.0,1.0,0.0
19,20,0.0,0.0,1.0,1.0,0.0
20,1,0.0,0.0,1.0,1.0,0.0
