code,number_scc,standard_ranked,cover_potential_exists,number_comparable_pairs,number_comparable_triples,longest_additive_all_triples,volume_additive_all_triples,rank_matches_longest,cover_potential_matches_longest,maximum_longest_duration,maximum_interval_duration,mean_longest_defect,mean_volume_defect,longest_histogram,volume_histogram
33554432,1,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
100663296,2,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
100663298,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
100663328,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
167772160,2,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
167772164,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
167773184,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234881024,3,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
234881026,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234881028,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234881030,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234881056,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234881152,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234881156,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234881158,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
234881184,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234881188,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
234882048,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234882080,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234882208,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
234883072,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
234883074,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234883078,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
234884096,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
234884098,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
234884128,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
301989888,2,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
301989896,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
302022656,2,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369098752,3,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
369098754,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369098760,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369098762,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369098784,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369099008,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369099016,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369099018,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
369099040,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369099048,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
369131520,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369131552,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369131808,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
369164288,3,True,True,1,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]"
369164290,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369164298,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
369197056,3,True,True,2,0,True,True,True,True,1,1,0.0,0.0,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(0), np.int64(0), np.int64(0)]"
369197058,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
369197088,3,True,True,3,1,True,True,True,True,2,2,0.0,0.0,"[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(0), np.int64(0)]"
436207616,3,True,True,0,0,True,True,True,True,0,0,0.0,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
