split,family,label_manifold,dimension_target,sample_index,null_probability,target_ordering_fraction,ordering_fraction_mismatch,n,ordering_fraction,d_mm,d_lc,r2_lc,d_mid,mad_mid,branch_excess,usable_reg_fraction,usable_mid_fraction,number_comparable_pairs,number_regression_intervals,number_midpoint_intervals,abs_d_lc_minus_d_mm,abs_d_mid_minus_d_mm
train,minkowski,1,2,0,,0.597718253968254,0.0,64,0.597718253968254,1.7585605826759503,1.9867831815696262,0.8202091890032293,1.8579809951275723,0.1420190048724277,0.5454545454545454,0.4755186721991701,0.2232365145228216,1205,573,269,0.2282225988936759,0.09942041245162203
train,minkowski,1,2,1,,0.4513888888888889,0.0,64,0.4513888888888889,2.135399043881256,2.2523795306048333,0.6785436212833909,1.84799690655495,0.15200309344505003,0.5,0.3758241758241758,0.12417582417582418,910,342,113,0.1169804867235773,0.28740213732630604
train,minkowski,1,2,2,,0.4880952380952381,0.0,64,0.4880952380952381,2.032074008994886,1.8535015563724864,0.7637945782128353,1.84799690655495,0.15200309344505003,0.5714285714285714,0.4217479674796748,0.18800813008130082,984,415,185,0.1785724526223995,0.1840771024399359
train,minkowski,1,2,3,,0.4712301587301587,0.0,64,0.4712301587301587,2.078681990553036,2.1917406743543433,0.7354019824504672,1.8744691179161412,0.15826208391673235,0.5333333333333333,0.38526315789473686,0.14421052631578948,950,366,137,0.11305868380130724,0.2042128726368948
train,minkowski,1,2,4,,0.5084325396825397,0.0,64,0.5084325396825397,1.977673184801342,2.0018484043011955,0.5696597194428401,1.7459265481648374,0.1609640474436813,0.46153846153846156,0.4321951219512195,0.14634146341463414,1025,443,150,0.024175219499853462,0.23174663663650463
train,minkowski,1,2,5,,0.5520833333333334,0.0,64,0.5520833333333334,1.8668690067023836,1.9654480391877276,0.7232602233725984,1.8073549220576042,0.14438990933517504,0.5454545454545454,0.44923629829290207,0.18238993710691823,1113,500,203,0.09857903248534394,0.059514084644779475
train,minkowski,1,2,6,,0.47867063492063494,0.0,64,0.47867063492063494,2.057945390201644,1.778610400735708,0.766699116569204,1.7655347463629771,0.11345804978328378,0.5,0.39689119170984455,0.14300518134715026,965,383,138,0.27933498946593605,0.2924106438386669
train,minkowski,1,2,7,,0.5267857142857143,0.0,64,0.5267857142857143,1.9301457650248794,2.0399814905853817,0.7519364789752476,1.7979254084319463,0.1406740469039105,0.5,0.4406779661016949,0.1864406779661017,1062,468,198,0.10983572556050225,0.13222035659293319
train,minkowski,1,2,8,,0.5471230158730159,0.0,64,0.5471230158730159,1.879082365881309,1.927833656024285,0.8080413924868128,1.6629650127224291,0.12239663135972623,0.5,0.4759746146872167,0.19492293744333636,1103,525,215,0.04875129014297608,0.2161173531588798
train,minkowski,1,2,9,,0.5704365079365079,0.0,64,0.5704365079365079,1.8224566791086856,1.835020131921609,0.7566931802375759,1.7369655941662063,0.15200309344505003,0.5,0.46869565217391307,0.22086956521739132,1150,539,254,0.012563452812923481,0.08549108494247926
