sample_index,dimension_target,n,ordering_fraction,d_mm,d_lc,r2_lc,d_mid,mad_mid,branch_excess,usable_reg_fraction,usable_mid_fraction,number_comparable_pairs,number_regression_intervals,number_midpoint_intervals,abs_d_lc_minus_d_mm,abs_d_mid_minus_d_mm
0,4,128,0.08267716535433071,4.225270421863103,4.774927769794771,0.17212216356341825,3.2046954680688513,0.11723262681851176,0.625,0.043154761904761904,0.005952380952380952,672,29,4,0.5496573479316682,1.0205749537942514
1,4,128,0.07947834645669291,4.271821209071253,5.669373427928772,0.09764267903186874,3.2849278041654744,0.037000290721888485,0.6666666666666666,0.04179566563467492,0.0030959752321981426,646,27,2,1.397552218857519,0.9868934049057785
2,4,128,0.12709153543307086,3.7138718268415523,2.850950622180841,0.5017299057811997,3.0,0.2630344058337939,0.6666666666666666,0.1132623426911907,0.03388189738625363,1033,117,35,0.8629212046607111,0.7138718268415523
3,4,128,0.09657972440944881,4.041322521127835,4.31465949449396,0.46826101521559604,3.0443941193584534,0.16992500144231215,0.6666666666666666,0.04331210191082802,0.014012738853503185,785,34,11,0.27333697336612506,0.9969284017693818
4,4,128,0.10260826771653543,3.969393719357947,4.229864293109847,0.289815809014622,3.0,0.2630344058337939,0.6363636363636364,0.08273381294964029,0.017985611510791366,834,69,15,0.2604705737518995,0.9693937193579472
5,4,128,0.10506889763779527,3.941199464256268,9.221718666439651,0.03638471714476432,3.0437314206251695,0.04373142062516977,0.6,0.03395784543325527,0.00234192037470726,854,29,2,5.280519202183383,0.8974680436310987
6,4,128,0.10839074803149606,3.904129427323085,3.921231962609314,0.4443096640590922,3.0,0.1699250014423126,0.6666666666666666,0.06356413166855845,0.0170261066969353,881,56,15,0.01710253528622907,0.9041294273230851
7,4,128,0.08784448818897637,4.153634226803908,2.187692483392195,0.5178000637378898,2.415037499278844,0.0,0.6,0.029411764705882353,0.0014005602240896359,714,21,1,1.9659417434117135,1.7385967275250644
8,4,128,0.0890748031496063,4.137179345868967,13.92974059878473,0.01257114085884603,3.0,0.0,0.7,0.04281767955801105,0.0013812154696132596,724,31,1,9.792561252915762,1.137179345868967
9,4,128,0.09178149606299213,4.101738469990046,4.956043950209765,0.261112297792384,2.7548875021634687,0.33257533908687087,0.6,0.05361930294906166,0.00938337801608579,746,40,7,0.8543054802197192,1.3468509678265774
10,4,128,0.08243110236220473,4.228788802574171,3.5809296181884083,0.295640963152217,3.3571227588330617,0.03519466394569881,0.6923076923076923,0.04029850746268657,0.005970149253731343,670,27,4,0.6478591843857631,0.8716660437411097
11,4,128,0.0810777559055118,4.248323515495418,5.914276631763996,0.16894062844054647,3.027641217750595,0.22028629569299074,0.6458333333333333,0.018209408194233688,0.0030349013657056147,659,12,2,1.665953116268578,1.220682297744823
12,4,128,0.06865157480314961,4.4440878688690955,,,,,0.6,0.012544802867383513,0.0,558,7,0,,
13,4,128,0.09608759842519685,4.047384066774846,4.526205676565208,0.24018673600407436,3.1699250014423126,0.1699250014423126,0.6515151515151515,0.05377720870678617,0.008962868117797696,781,42,7,0.47882160979036215,0.8774590653325336
14,4,128,0.08919783464566929,4.135545958129018,4.072600959389165,0.21249240560597704,2.8744691179161412,0.0,0.6,0.028965517241379312,0.001379310344827586,725,21,1,0.06294499873985338,1.2610768402128771
15,4,128,0.12561515748031496,3.7278805315228847,3.543863231684911,0.4830894484600624,3.1699250014423126,0.1876270031757712,0.6666666666666666,0.09500489715964741,0.030362389813907934,1021,97,31,0.18401729983797388,0.5579555300805721
