n,row,column,covariance,precision
96,0,0,0.0001272894809844295,85270.61531273695
96,0,1,4.706516418801138e-05,65486.77232626918
96,0,2,2.6283592270427633e-05,68322.64132328755
96,0,3,2.0664320250715938e-05,68527.45176194631
96,0,4,1.4729464464792362e-05,69800.39208672235
96,0,5,1.2199966925619328e-05,70615.94767067299
96,0,6,5.023255547221188e-06,71492.53223143684
96,0,7,1.0310062926227559e-05,67975.01110403828
96,0,8,2.3530192412998416e-06,69528.11724516323
96,0,9,7.176043700380035e-07,70014.43724566448
96,0,10,-6.6676103290138075e-06,74832.75364075253
96,0,11,-7.169025925308543e-07,70498.41176036262
96,0,12,-1.1107859381758191e-07,67820.70520761878
96,0,13,-5.571266237811545e-06,72853.2553074645
96,0,14,-4.577825881832174e-06,70623.17922208327
96,0,15,-6.996978113579627e-06,70824.8740066282
96,0,16,-5.769142956867524e-06,72635.47103558603
96,0,17,-6.250480696274084e-06,70181.16368975631
96,0,18,-6.820777199291722e-06,70924.38090965475
96,0,19,-7.093056062676202e-06,76061.1171006331
96,0,20,-7.895602633800209e-06,73184.60175639653
96,0,21,-1.0502124172595915e-05,73993.90688664101
96,0,22,-7.538991542995882e-06,71152.23940953586
96,0,23,-6.579721229241434e-06,68967.19184683668
96,0,24,-7.799026730048225e-06,72298.11738216439
96,0,25,-7.752320625178322e-06,70319.40740610797
96,0,26,-6.841157047829891e-06,64513.55615820852
96,0,27,-6.644240996873355e-06,70734.54344955005
96,0,28,-8.548823456543882e-06,70425.47265143326
96,0,29,-6.347665589590355e-06,66191.37554524495
96,0,30,-7.6176675518105475e-06,72191.92960494326
96,0,31,-6.674471144678635e-06,65600.12228339231
96,0,32,-8.983719519359113e-06,75918.2807147582
96,0,33,-6.277283401659432e-06,67633.27950452553
96,0,34,-6.019605513716589e-06,65783.54797579121
96,0,35,-0.00010364595289710997,74973.47657828826
96,1,0,4.706516418801138e-05,65486.77232626918
96,1,1,6.505743612997926e-05,97666.20279863669
96,1,2,1.7804227934084433e-05,67545.1001421763
96,1,3,1.2814687785026192e-05,68210.56413744147
96,1,4,8.90621955205429e-06,70920.03587542378
96,1,5,1.1177814577024043e-05,66547.18758978198
96,1,6,4.993175917087845e-06,68339.07571617121
96,1,7,6.135844189020949e-06,70260.33493125944
96,1,8,4.6964216178820933e-07,71469.75612161546
96,1,9,2.3359472308518766e-07,71526.91272971395
96,1,10,-2.435912286285635e-06,70781.42486896212
96,1,11,-1.4934964732116305e-06,72518.46846309926
96,1,12,-1.0255451070148822e-06,70525.13942250698
96,1,13,-1.7037804436900201e-06,69000.05619121421
96,1,14,-3.31772427157666e-06,71763.54267779374
96,1,15,-4.703406036552559e-06,73205.47869302641
96,1,16,-5.0484318852710185e-06,78129.79713817906
96,1,17,-3.6981671621458317e-06,70604.18270350828
96,1,18,-5.471341388053073e-06,75585.97955672133
96,1,19,-3.5591947815985984e-06,68576.08190767774
96,1,20,-4.891600621894273e-06,75872.42280120146
96,1,21,-6.028360214233779e-06,70545.38569413913
96,1,22,-6.053909325852313e-06,78732.85636572889
96,1,23,-5.442485432173174e-06,72071.14608709938
96,1,24,-5.131528233603386e-06,75318.36155274011
96,1,25,-4.981041017791002e-06,64695.29927518652
96,1,26,-5.723553619853847e-06,74267.6757452808
96,1,27,-3.0752549296267687e-06,57288.90563817689
96,1,28,-5.2298532804560015e-06,66946.43391966366
96,1,29,-5.025007549499414e-06,71471.1470369096
96,1,30,-3.8586559789460725e-06,62250.43538797677
96,1,31,-5.415988978932598e-06,80344.41791984321
96,1,32,-4.947326257912769e-06,62693.05667709505
96,1,33,-3.15261663570831e-06,56122.159448145234
96,1,34,-3.8144397240267006e-06,64837.357171135096
96,1,35,-6.903674706919555e-05,76051.1246307802
96,2,0,2.6283592270427633e-05,68322.64132328753
96,2,1,1.7804227934084433e-05,67545.1001421763
96,2,2,4.309336846255643e-05,101203.0673531756
96,2,3,8.73606691252512e-06,67170.10202599541
96,2,4,6.432956980793261e-06,70025.99781442621
96,2,5,5.2070255293220665e-06,69280.30396438879
96,2,6,2.7308438600885717e-06,71099.38096071909
96,2,7,4.855210735864457e-06,67389.93973660997
96,2,8,1.1261278823349143e-06,69615.33265149477
96,2,9,-1.4023181163998377e-07,71330.61472256116
96,2,10,-1.9611189054827355e-06,70274.78350033073
96,2,11,-6.707063640796797e-07,69049.32277032027
96,2,12,-1.320806419316918e-06,71052.01244464675
96,2,13,-2.5057374453476043e-06,73432.24225533348
96,2,14,-2.8822305555853575e-06,74156.400655851
96,2,15,-1.895861495408433e-06,67823.78875924724
96,2,16,-1.7104452070635643e-06,68096.80340071322
96,2,17,-4.15004107984691e-06,76764.50417124745
96,2,18,-2.9230571680467275e-06,71052.18791677276
96,2,19,-1.6906454699180957e-06,66189.65080568167
96,2,20,-3.2291813614771154e-06,72367.41230378406
96,2,21,-3.7201452378772045e-06,67390.68621823043
96,2,22,-2.343897452019101e-06,65447.537072129395
96,2,23,-3.861321850878647e-06,74762.64103128901
96,2,24,-2.4537130860354315e-06,65208.96538269594
96,2,25,-3.6042920336524286e-06,69536.50621479629
96,2,26,-4.357549498680233e-06,77474.16882551603
96,2,27,-2.9327437719990436e-06,70398.2833014425
96,2,28,-4.381784736605691e-06,76608.29656317615
96,2,29,-3.1067593649628207e-06,67667.06686579893
96,2,30,-3.3077851674759495e-06,72864.806078446
96,2,31,-2.9423579348759253e-06,68717.71586423609
96,2,32,-3.38627706437771e-06,67239.07179380281
96,2,33,-2.567373738039967e-06,65907.07283869477
96,2,34,-2.3678778344547983e-06,61455.31426090053
96,2,35,-4.546304006079293e-05,74250.55735237288
96,3,0,2.0664320250715938e-05,68527.45176194631
96,3,1,1.2814687785026192e-05,68210.56413744147
96,3,2,8.73606691252512e-06,67170.10202599541
96,3,3,3.245273619730504e-05,110840.41558701532
96,3,4,5.546847444003423e-06,68213.18720941797
96,3,5,5.145249629616488e-06,68146.50699720871
96,3,6,2.927593885923991e-06,67968.40600410242
96,3,7,2.4968605191436337e-06,69407.79697973076
96,3,8,1.4191385794374925e-06,67501.5151581767
96,3,9,2.327711772173368e-06,63751.49656462579
96,3,10,-1.4818925340295474e-06,69252.34614348682
96,3,11,2.8691238785640457e-07,67738.84189702375
96,3,12,-8.511478879273995e-07,70826.01806476737
96,3,13,-1.2702495454011497e-06,66149.13483365346
96,3,14,-1.753175703050591e-06,70729.2182797618
96,3,15,-4.974958129132254e-06,80538.37050566357
96,3,16,-2.5049203098098916e-06,72511.47523186183
96,3,17,-2.54346792013811e-06,70542.11253332665
96,3,18,-2.6546955091995553e-06,73194.61792702056
96,3,19,-2.1384454893871088e-06,72369.13743922132
96,3,20,-2.055071281376806e-06,66195.79261604587
96,3,21,-4.401397510633859e-06,77196.8909616231
96,3,22,-1.4461479716207494e-06,61280.0390452829
96,3,23,-2.4829868443747586e-06,70536.83750890859
96,3,24,-3.6038697449350857e-06,79860.2408640548
96,3,25,-3.66616939015311e-06,77533.0436334276
96,3,26,-2.283630994013329e-06,61680.08860276913
96,3,27,-2.2446264898292096e-06,67278.53420491405
96,3,28,-3.007491363296413e-06,69314.51875175678
96,3,29,-2.046140363757245e-06,60829.65586268901
96,3,30,-3.2676973321462065e-06,80261.53048317296
96,3,31,-1.9607072274762042e-06,61006.08878044959
96,3,32,-2.9707000192729783e-06,74854.02612336942
96,3,33,-2.1703680462866456e-06,64338.90447067797
96,3,34,-2.3389016887018883e-06,69097.9294518293
96,3,35,-3.430682761572112e-05,73317.44269988309
96,4,0,1.4729464464792362e-05,69800.39208672235
96,4,1,8.90621955205429e-06,70920.03587542378
96,4,2,6.432956980793261e-06,70025.99781442623
96,4,3,5.546847444003423e-06,68213.18720941797
96,4,4,2.9452049812470797e-05,116105.73939259442
96,4,5,3.865489371458262e-06,68030.9688468322
96,4,6,4.827038382719463e-06,64235.82738219615
96,4,7,4.2276400685737895e-06,65721.635999035
96,4,8,1.2168497986348249e-06,68482.96756719974
96,4,9,-9.977667417394775e-07,74645.89061531614
96,4,10,7.995673780044133e-07,64884.95249177542
96,4,11,1.71825979087001e-06,61446.77450184599
96,4,12,1.9539695692755916e-07,66821.85146612694
96,4,13,-1.602804210185475e-06,72393.27056922711
96,4,14,6.29461259472352e-07,63313.05834862004
96,4,15,-1.4058105646531168e-06,68057.68734134022
96,4,16,-1.985750393606596e-06,72568.26394301823
96,4,17,-3.44038626361261e-06,78494.52223768292
96,4,18,-1.2029247634787726e-06,66249.17408903141
96,4,19,-1.0004263583122958e-06,63179.7859867855
96,4,20,-2.5373340473681986e-06,79812.62003904778
96,4,21,-4.399181986746833e-06,82240.12648729922
96,4,22,-1.7769513428961433e-06,68418.24897323755
96,4,23,-1.7096122211230956e-06,68002.741202486
96,4,24,-1.2323712117893728e-06,65001.54836421983
96,4,25,-3.2115281470921955e-06,77268.77536856777
96,4,26,-3.4484124991887312e-06,77152.49828266805
96,4,27,-1.9756719377704554e-06,66875.39931210555
96,4,28,-1.6690497460910116e-06,59701.90113436975
96,4,29,-2.1877923713959947e-06,67355.65482104823
96,4,30,-2.3768834740344573e-06,69810.28801718571
96,4,31,-2.3765963118541824e-06,73484.15946115532
96,4,32,-2.5145119652480103e-06,65990.58832318266
96,4,33,-2.43117802313881e-06,73384.61429847167
96,4,34,-1.8763511884067248e-06,64555.675174928816
96,4,35,-3.479550703898632e-05,75523.45631770266
96,5,0,1.2199966925619328e-05,70615.94767067299
96,5,1,1.1177814577024043e-05,66547.18758978198
96,5,2,5.2070255293220665e-06,69280.30396438879
96,5,3,5.145249629616488e-06,68146.50699720872
96,5,4,3.865489371458262e-06,68030.9688468322
96,5,5,2.5912828307792088e-05,116189.1862050962
96,5,6,6.30259722900213e-07,72393.1645781623
96,5,7,2.670983238041784e-06,68188.60134864128
96,5,8,8.4191327850415e-07,68776.55330706711
96,5,9,1.039281609324314e-06,66935.10939151303
96,5,10,-1.9379174238544833e-06,74131.54771638093
96,5,11,8.174701424179466e-08,67526.33588281828
96,5,12,-1.2117886225814009e-06,73033.0039727946
96,5,13,-3.420944035093653e-07,66989.09718680449
96,5,14,-1.590951001602802e-06,71626.30177270483
96,5,15,-1.94994599366009e-06,72100.96522058705
96,5,16,-1.3661481151601154e-06,71530.14230402501
96,5,17,-5.643580703654754e-07,63736.235239696536
96,5,18,-2.420202246540835e-06,74798.86647170677
96,5,19,-8.064710963465703e-07,66811.86416272499
96,5,20,-1.2340620749283947e-06,65947.39047949259
96,5,21,-2.394365399251986e-06,70323.589332666
96,5,22,-2.510268081303972e-06,76907.85047176239
96,5,23,-1.7129854530802123e-06,67747.20848308259
96,5,24,-2.044277045107319e-06,71476.93284352931
96,5,25,-3.1232053099531836e-06,83179.40245474676
96,5,26,-1.890590658406606e-06,65662.95675025522
96,5,27,-1.9909387699351233e-06,74026.27169538528
96,5,28,-1.8859687801891883e-06,66675.45641159112
96,5,29,-1.8008649773920599e-06,66038.51809980221
96,5,30,-1.3700179833966574e-06,62973.08332787064
96,5,31,-1.7391444064153237e-06,66875.77717369467
96,5,32,-1.6550428051246697e-06,64192.487918089224
96,5,33,-1.3159925579088161e-06,63293.58009222543
96,5,34,-1.952339253977797e-06,70672.61063821975
96,5,35,-2.7570180221796188e-05,74789.27334027107
96,6,0,5.023255547221188e-06,71492.53223143684
96,6,1,4.993175917087845e-06,68339.07571617122
96,6,2,2.7308438600885717e-06,71099.38096071909
96,6,3,2.927593885923991e-06,67968.40600410242
96,6,4,4.827038382719463e-06,64235.82738219615
96,6,5,6.30259722900213e-07,72393.1645781623
96,6,6,1.984522508999969e-05,128252.01142128465
96,6,7,2.9857047450735413e-06,62626.82245701391
96,6,8,-1.0413031849578625e-06,75020.09888317503
96,6,9,9.155046823205406e-07,65048.982782388324
96,6,10,7.873402623379584e-07,64384.82340981183
96,6,11,-5.88757386640405e-07,71965.16765994583
96,6,12,-4.3351823387790764e-07,68637.80982509474
96,6,13,-4.2370633823324395e-07,68397.33380082074
96,6,14,-8.364593774235953e-07,73346.3191392953
96,6,15,-9.114955384005476e-07,69184.11541079445
96,6,16,-1.9997487276205379e-07,68257.82061356828
96,6,17,-1.925027633645423e-06,76931.23640230169
96,6,18,2.5831995298985595e-08,58941.3772735461
96,6,19,-9.882907284400018e-07,70750.01360901598
96,6,20,-3.2097521006220736e-07,63050.036436638366
96,6,21,-1.7671551080357162e-06,72473.22738210327
96,6,22,-1.1853068730467418e-06,71119.70278613042
96,6,23,-1.7719134094109566e-06,79572.09511700089
96,6,24,-3.7644215365337626e-07,62806.99786466744
96,6,25,-1.5150119610136165e-06,74082.22879098546
96,6,26,-1.7755998495368994e-06,71287.2162583357
96,6,27,-1.149017656468145e-06,71032.81863427872
96,6,28,-1.5200660269734332e-06,74735.45007236818
96,6,29,-1.2116883640689503e-06,61291.74923640886
96,6,30,-1.3645628217245824e-06,75590.72757831267
96,6,31,-1.0123630125213305e-06,65211.51377580228
96,6,32,-9.277348078239668e-07,61123.62801962289
96,6,33,-9.474096184074224e-07,60546.89766404633
96,6,34,-1.2475543877675528e-06,72515.71050042233
96,6,35,-1.9858001084020134e-05,74457.95966431819
96,7,0,1.0310062926227559e-05,67975.01110403826
96,7,1,6.135844189020949e-06,70260.33493125944
96,7,2,4.855210735864457e-06,67389.93973660997
96,7,3,2.4968605191436337e-06,69407.79697973076
96,7,4,4.2276400685737895e-06,65721.63599903499
96,7,5,2.670983238041784e-06,68188.60134864127
96,7,6,2.9857047450735413e-06,62626.82245701391
96,7,7,1.6107102046523595e-05,144769.160769653
96,7,8,-2.9521709131716632e-08,70583.38551278191
96,7,9,-4.045820545880738e-07,72369.5745677425
96,7,10,3.52543968875655e-08,65482.73599055962
96,7,11,5.496178184484311e-07,62127.494372409354
96,7,12,-1.4616478599721098e-06,78055.7443847253
96,7,13,-1.3024038422060155e-06,76105.93779780276
96,7,14,-1.4077113465021143e-06,78094.19326494218
96,7,15,1.4374292776015477e-08,61935.53496127794
96,7,16,1.376635263327481e-07,60304.44462855574
96,7,17,-8.267684204618164e-07,64084.32384868813
96,7,18,-1.5306687998647542e-06,75771.26222270983
96,7,19,-7.644233136683083e-07,63438.78509836522
96,7,20,-1.2567621968788404e-06,74102.14033654646
96,7,21,-1.7356595006279987e-06,72180.60422016935
96,7,22,-2.063129171050816e-06,80296.37274003355
96,7,23,-9.470456597163948e-07,64476.231750264116
96,7,24,-1.0252363666415291e-06,69584.2456525101
96,7,25,-1.5821159499198752e-06,70124.76089464358
96,7,26,-1.3919397418871487e-06,64811.251170267926
96,7,27,-1.093889123050678e-06,64130.097250117164
96,7,28,-1.3859017829069904e-06,63166.03130118864
96,7,29,-1.645629213226327e-06,72978.81393337251
96,7,30,-1.3781974818140087e-06,70385.37152285094
96,7,31,-1.1891979868146908e-06,69643.47930676749
96,7,32,-1.4740177568076339e-06,70374.9248600201
96,7,33,-9.423210680658322e-07,56766.50506092872
96,7,34,-1.2582091504441883e-06,64624.88391356226
96,7,35,-2.2036900554610285e-05,75831.84545250105
96,8,0,2.3530192412998416e-06,69528.11724516323
96,8,1,4.6964216178820933e-07,71469.75612161546
96,8,2,1.1261278823349143e-06,69615.33265149478
96,8,3,1.4191385794374925e-06,67501.5151581767
96,8,4,1.2168497986348249e-06,68482.96756719974
96,8,5,8.4191327850415e-07,68776.55330706711
96,8,6,-1.0413031849578625e-06,75020.09888317501
96,8,7,-2.9521709131716632e-08,70583.38551278191
96,8,8,1.381618692857267e-05,145887.57101221778
