n,phase,candidate_index,gadget_count,gadget_vertex_fraction,core_n,prefix_size,suffix_size,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,induced_s3_certificate,transitive,q_score,p_value,accepted_by_a14
96,discovery,0,1,0.0625,90,0,0,0.44627192982456143,0.450219298245614,0.003947368421052588,True,True,31.806338107445416,0.665158371040724,True
96,discovery,1,1,0.0625,90,19,15,0.493640350877193,0.493640350877193,0.0,True,True,52.08810562276594,0.11312217194570136,True
96,discovery,2,1,0.0625,90,0,0,0.4791666666666667,0.5214912280701754,0.042324561403508765,True,True,42.308344452466706,0.3574660633484163,True
96,discovery,3,1,0.0625,90,31,29,0.5252192982456141,0.5252192982456141,0.0,True,True,50.30680931847399,0.13574660633484162,True
96,discovery,4,1,0.0625,90,23,25,0.48333333333333334,0.48333333333333334,0.0,True,True,53.5670257344064,0.1085972850678733,True
96,discovery,5,1,0.0625,90,12,44,0.49429824561403507,0.49429824561403507,0.0,True,True,74.66395878164245,0.013574660633484163,False
96,discovery,6,1,0.0625,90,8,9,0.4618421052631579,0.4614035087719298,0.00043859649122807154,True,True,28.542710927073085,0.8009049773755657,True
96,discovery,7,1,0.0625,90,18,42,0.5175438596491229,0.5175438596491229,0.0,True,True,57.24945610610591,0.08597285067873303,True
96,discovery,8,1,0.0625,90,11,12,0.46074561403508774,0.4605263157894737,0.00021929824561406353,True,True,43.64601989212966,0.33031674208144796,True
96,discovery,9,1,0.0625,90,10,11,0.4543859649122807,0.45416666666666666,0.00021929824561406353,True,True,47.31731958183641,0.19004524886877827,True
96,discovery,10,1,0.0625,90,26,19,0.5035087719298246,0.5035087719298246,0.0,True,True,52.535305882057834,0.11312217194570136,True
96,discovery,11,1,0.0625,90,35,22,0.5070175438596491,0.5067982456140351,0.00021929824561406353,True,True,41.941940680473515,0.3665158371040724,True
96,discovery,12,1,0.0625,90,15,15,0.4951754385964912,0.4951754385964912,0.0,True,True,37.38914506338148,0.4841628959276018,True
96,discovery,13,1,0.0625,90,10,41,0.5074561403508772,0.5074561403508772,0.0,True,True,46.755371439366435,0.19909502262443438,True
96,discovery,14,1,0.0625,90,11,12,0.4923245614035088,0.49166666666666664,0.0006578947368421351,True,True,46.08552578434647,0.22624434389140272,True
96,discovery,15,1,0.0625,90,41,20,0.5002192982456141,0.5002192982456141,0.0,True,True,147.8443397583201,0.004524886877828055,False
96,discovery,16,1,0.0625,90,40,30,0.5756578947368421,0.5756578947368421,0.0,True,True,93.51733933809113,0.004524886877828055,False
96,discovery,17,1,0.0625,90,2,2,0.47675438596491226,0.4769736842105263,0.00021929824561406353,True,True,28.018532148801718,0.8099547511312217,True
96,discovery,18,1,0.0625,90,38,28,0.5535087719298246,0.5537280701754386,0.0002192982456139525,True,True,82.59759039904988,0.00904977375565611,False
96,discovery,19,1,0.0625,90,19,18,0.5118421052631579,0.5118421052631579,0.0,True,True,61.25978175818427,0.05429864253393665,True
96,discovery,20,1,0.0625,90,11,12,0.47675438596491226,0.4763157894736842,0.00043859649122807154,True,True,30.368224491902055,0.7420814479638009,True
96,discovery,21,1,0.0625,90,27,26,0.4881578947368421,0.4881578947368421,0.0,True,True,122.6448910933298,0.004524886877828055,False
