n,phase,family,sample_index,q_score,p_value,global_pass,local_test_run,local_pass,combined_pass,local_channel,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,transitive,local_details,construction_metadata
128,discovery,minkowski_holdout,0,47.428821454729906,0.8811881188118812,True,True,True,True,none,0.49286417322834647,,0.0,True,"{""local_pass"": true, ""channel"": ""none"", ""s3_certificate"": null, ""interval_scan"": {""obstruction_found"": false, ""interval_size"": null, ""tested_intervals"": 797, ""total_candidate_intervals"": 797, ""certificate_vertices"": null}}",
128,discovery,minkowski_holdout,1,63.98831243965253,0.5544554455445545,True,True,True,True,none,0.4790846456692913,,0.0,True,"{""local_pass"": true, ""channel"": ""none"", ""s3_certificate"": null, ""interval_scan"": {""obstruction_found"": false, ""interval_size"": null, ""tested_intervals"": 817, ""total_candidate_intervals"": 817, ""certificate_vertices"": null}}",
128,discovery,minkowski_holdout,2,94.04904765688285,0.10891089108910891,True,True,True,True,none,0.4330708661417323,,0.0,True,"{""local_pass"": true, ""channel"": ""none"", ""s3_certificate"": null, ""interval_scan"": {""obstruction_found"": false, ""interval_size"": null, ""tested_intervals"": 729, ""total_candidate_intervals"": 729, ""certificate_vertices"": null}}",
128,discovery,minkowski_holdout,3,59.95015373042235,0.6039603960396039,True,True,True,True,none,0.5020915354330708,,0.0,True,"{""local_pass"": true, ""channel"": ""none"", ""s3_certificate"": null, ""interval_scan"": {""obstruction_found"": false, ""interval_size"": null, ""tested_intervals"": 780, ""total_candidate_intervals"": 780, ""certificate_vertices"": null}}",
128,discovery,minkowski_holdout,4,60.40103152052418,0.6039603960396039,True,False,True,True,,0.5062746062992126,,0.0,True,,
128,discovery,minkowski_holdout,5,60.95071897039955,0.594059405940594,True,False,True,True,,0.4703494094488189,,0.0,True,,
128,discovery,minkowski_holdout,6,46.17437285309111,0.8910891089108911,True,False,True,True,,0.49864665354330706,,0.0,True,,
128,discovery,minkowski_holdout,7,79.28408284192132,0.2871287128712871,True,False,True,True,,0.5110728346456693,,0.0,True,,
128,discovery,minkowski_holdout,8,84.81993606103701,0.2079207920792079,True,False,True,True,,0.5217765748031497,,0.0,True,,
128,discovery,minkowski_holdout,9,54.50562432981799,0.7821782178217822,True,False,True,True,,0.484005905511811,,0.0,True,,
128,discovery,minkowski_holdout,10,65.7069326634763,0.5247524752475248,True,False,True,True,,0.5047982283464567,,0.0,True,,
128,discovery,minkowski_holdout,11,46.79136337641502,0.8910891089108911,True,False,True,True,,0.5337106299212598,,0.0,True,,
