copula,sample_index,marginal,relation_identical,hash_identical
independence,0,beta_skew,True,True
independence,0,power_anisotropic,True,True
independence,1,beta_skew,True,True
independence,1,power_anisotropic,True,True
independence,2,beta_skew,True,True
independence,2,power_anisotropic,True,True
independence,3,beta_skew,True,True
independence,3,power_anisotropic,True,True
independence,4,beta_skew,True,True
independence,4,power_anisotropic,True,True
independence,5,beta_skew,True,True
independence,5,power_anisotropic,True,True
independence,6,beta_skew,True,True
independence,6,power_anisotropic,True,True
independence,7,beta_skew,True,True
independence,7,power_anisotropic,True,True
independence,8,beta_skew,True,True
independence,8,power_anisotropic,True,True
independence,9,beta_skew,True,True
independence,9,power_anisotropic,True,True
independence,10,beta_skew,True,True
independence,10,power_anisotropic,True,True
independence,11,beta_skew,True,True
independence,11,power_anisotropic,True,True
independence,12,beta_skew,True,True
independence,12,power_anisotropic,True,True
independence,13,beta_skew,True,True
independence,13,power_anisotropic,True,True
independence,14,beta_skew,True,True
independence,14,power_anisotropic,True,True
independence,15,beta_skew,True,True
independence,15,power_anisotropic,True,True
independence,16,beta_skew,True,True
independence,16,power_anisotropic,True,True
independence,17,beta_skew,True,True
independence,17,power_anisotropic,True,True
independence,18,beta_skew,True,True
independence,18,power_anisotropic,True,True
independence,19,beta_skew,True,True
independence,19,power_anisotropic,True,True
independence,20,beta_skew,True,True
independence,20,power_anisotropic,True,True
independence,21,beta_skew,True,True
independence,21,power_anisotropic,True,True
independence,22,beta_skew,True,True
independence,22,power_anisotropic,True,True
independence,23,beta_skew,True,True
independence,23,power_anisotropic,True,True
independence,24,beta_skew,True,True
independence,24,power_anisotropic,True,True
independence,25,beta_skew,True,True
independence,25,power_anisotropic,True,True
independence,26,beta_skew,True,True
independence,26,power_anisotropic,True,True
independence,27,beta_skew,True,True
independence,27,power_anisotropic,True,True
independence,28,beta_skew,True,True
independence,28,power_anisotropic,True,True
independence,29,beta_skew,True,True
independence,29,power_anisotropic,True,True
independence,30,beta_skew,True,True
independence,30,power_anisotropic,True,True
independence,31,beta_skew,True,True
independence,31,power_anisotropic,True,True
independence,32,beta_skew,True,True
independence,32,power_anisotropic,True,True
independence,33,beta_skew,True,True
independence,33,power_anisotropic,True,True
independence,34,beta_skew,True,True
independence,34,power_anisotropic,True,True
independence,35,beta_skew,True,True
independence,35,power_anisotropic,True,True
independence,36,beta_skew,True,True
independence,36,power_anisotropic,True,True
independence,37,beta_skew,True,True
independence,37,power_anisotropic,True,True
independence,38,beta_skew,True,True
independence,38,power_anisotropic,True,True
independence,39,beta_skew,True,True
independence,39,power_anisotropic,True,True
independence,40,beta_skew,True,True
independence,40,power_anisotropic,True,True
independence,41,beta_skew,True,True
independence,41,power_anisotropic,True,True
independence,42,beta_skew,True,True
independence,42,power_anisotropic,True,True
independence,43,beta_skew,True,True
independence,43,power_anisotropic,True,True
independence,44,beta_skew,True,True
independence,44,power_anisotropic,True,True
independence,45,beta_skew,True,True
independence,45,power_anisotropic,True,True
independence,46,beta_skew,True,True
independence,46,power_anisotropic,True,True
independence,47,beta_skew,True,True
independence,47,power_anisotropic,True,True
independence,48,beta_skew,True,True
independence,48,power_anisotropic,True,True
independence,49,beta_skew,True,True
independence,49,power_anisotropic,True,True
independence,50,beta_skew,True,True
independence,50,power_anisotropic,True,True
independence,51,beta_skew,True,True
independence,51,power_anisotropic,True,True
independence,52,beta_skew,True,True
independence,52,power_anisotropic,True,True
independence,53,beta_skew,True,True
independence,53,power_anisotropic,True,True
independence,54,beta_skew,True,True
independence,54,power_anisotropic,True,True
independence,55,beta_skew,True,True
independence,55,power_anisotropic,True,True
independence,56,beta_skew,True,True
independence,56,power_anisotropic,True,True
independence,57,beta_skew,True,True
independence,57,power_anisotropic,True,True
independence,58,beta_skew,True,True
independence,58,power_anisotropic,True,True
independence,59,beta_skew,True,True
independence,59,power_anisotropic,True,True
independence,60,beta_skew,True,True
independence,60,power_anisotropic,True,True
independence,61,beta_skew,True,True
independence,61,power_anisotropic,True,True
independence,62,beta_skew,True,True
independence,62,power_anisotropic,True,True
independence,63,beta_skew,True,True
independence,63,power_anisotropic,True,True
independence,64,beta_skew,True,True
independence,64,power_anisotropic,True,True
independence,65,beta_skew,True,True
independence,65,power_anisotropic,True,True
independence,66,beta_skew,True,True
independence,66,power_anisotropic,True,True
independence,67,beta_skew,True,True
independence,67,power_anisotropic,True,True
independence,68,beta_skew,True,True
independence,68,power_anisotropic,True,True
independence,69,beta_skew,True,True
independence,69,power_anisotropic,True,True
independence,70,beta_skew,True,True
independence,70,power_anisotropic,True,True
independence,71,beta_skew,True,True
independence,71,power_anisotropic,True,True
independence,72,beta_skew,True,True
independence,72,power_anisotropic,True,True
independence,73,beta_skew,True,True
