copula,marginal,permutation_code,count,probability
independence,uniform,0,130,0.0013
independence,uniform,1,137,0.00137
independence,uniform,2,115,0.00115
independence,uniform,3,143,0.00143
independence,uniform,4,145,0.00145
independence,uniform,5,142,0.00142
independence,uniform,6,141,0.00141
independence,uniform,7,138,0.00138
independence,uniform,8,137,0.00137
independence,uniform,9,122,0.00122
independence,uniform,10,143,0.00143
independence,uniform,11,145,0.00145
independence,uniform,12,137,0.00137
independence,uniform,13,139,0.00139
independence,uniform,14,129,0.00129
independence,uniform,15,140,0.0014
independence,uniform,16,136,0.00136
independence,uniform,17,138,0.00138
independence,uniform,18,122,0.00122
independence,uniform,19,148,0.00148
independence,uniform,20,153,0.00153
independence,uniform,21,142,0.00142
independence,uniform,22,127,0.00127
independence,uniform,23,123,0.00123
independence,uniform,24,143,0.00143
independence,uniform,25,132,0.00132
independence,uniform,26,146,0.00146
independence,uniform,27,145,0.00145
independence,uniform,28,125,0.00125
independence,uniform,29,151,0.00151
independence,uniform,30,145,0.00145
independence,uniform,31,117,0.00117
independence,uniform,32,148,0.00148
independence,uniform,33,154,0.00154
independence,uniform,34,141,0.00141
independence,uniform,35,167,0.00167
independence,uniform,36,115,0.00115
independence,uniform,37,174,0.00174
independence,uniform,38,141,0.00141
independence,uniform,39,143,0.00143
independence,uniform,40,129,0.00129
independence,uniform,41,133,0.00133
independence,uniform,42,144,0.00144
independence,uniform,43,152,0.00152
independence,uniform,44,143,0.00143
independence,uniform,45,151,0.00151
independence,uniform,46,162,0.00162
independence,uniform,47,149,0.00149
independence,uniform,48,136,0.00136
independence,uniform,49,127,0.00127
independence,uniform,50,135,0.00135
independence,uniform,51,125,0.00125
independence,uniform,52,145,0.00145
independence,uniform,53,118,0.00118
independence,uniform,54,148,0.00148
independence,uniform,55,138,0.00138
independence,uniform,56,140,0.0014
independence,uniform,57,154,0.00154
independence,uniform,58,139,0.00139
independence,uniform,59,150,0.0015
independence,uniform,60,146,0.00146
independence,uniform,61,125,0.00125
independence,uniform,62,138,0.00138
independence,uniform,63,153,0.00153
independence,uniform,64,129,0.00129
independence,uniform,65,138,0.00138
independence,uniform,66,148,0.00148
independence,uniform,67,135,0.00135
independence,uniform,68,140,0.0014
independence,uniform,69,164,0.00164
independence,uniform,70,127,0.00127
independence,uniform,71,151,0.00151
independence,uniform,72,129,0.00129
independence,uniform,73,133,0.00133
independence,uniform,74,151,0.00151
independence,uniform,75,119,0.00119
independence,uniform,76,140,0.0014
independence,uniform,77,136,0.00136
independence,uniform,78,137,0.00137
independence,uniform,79,148,0.00148
independence,uniform,80,147,0.00147
independence,uniform,81,136,0.00136
independence,uniform,82,144,0.00144
independence,uniform,83,129,0.00129
independence,uniform,84,128,0.00128
independence,uniform,85,137,0.00137
independence,uniform,86,144,0.00144
independence,uniform,87,112,0.00112
independence,uniform,88,137,0.00137
independence,uniform,89,145,0.00145
independence,uniform,90,135,0.00135
independence,uniform,91,128,0.00128
independence,uniform,92,132,0.00132
independence,uniform,93,118,0.00118
independence,uniform,94,160,0.0016
independence,uniform,95,138,0.00138
independence,uniform,96,131,0.00131
independence,uniform,97,134,0.00134
independence,uniform,98,165,0.00165
independence,uniform,99,139,0.00139
independence,uniform,100,135,0.00135
independence,uniform,101,128,0.00128
independence,uniform,102,130,0.0013
independence,uniform,103,147,0.00147
independence,uniform,104,156,0.00156
independence,uniform,105,140,0.0014
independence,uniform,106,144,0.00144
independence,uniform,107,139,0.00139
independence,uniform,108,122,0.00122
independence,uniform,109,134,0.00134
independence,uniform,110,130,0.0013
independence,uniform,111,139,0.00139
independence,uniform,112,152,0.00152
independence,uniform,113,143,0.00143
independence,uniform,114,136,0.00136
independence,uniform,115,129,0.00129
independence,uniform,116,135,0.00135
independence,uniform,117,141,0.00141
independence,uniform,118,140,0.0014
independence,uniform,119,130,0.0013
independence,uniform,120,140,0.0014
independence,uniform,121,130,0.0013
independence,uniform,122,116,0.00116
independence,uniform,123,120,0.0012
independence,uniform,124,163,0.00163
independence,uniform,125,139,0.00139
independence,uniform,126,152,0.00152
independence,uniform,127,126,0.00126
independence,uniform,128,147,0.00147
independence,uniform,129,145,0.00145
independence,uniform,130,130,0.0013
independence,uniform,131,136,0.00136
independence,uniform,132,154,0.00154
independence,uniform,133,140,0.0014
independence,uniform,134,121,0.00121
independence,uniform,135,149,0.00149
independence,uniform,136,141,0.00141
independence,uniform,137,142,0.00142
independence,uniform,138,145,0.00145
independence,uniform,139,166,0.00166
independence,uniform,140,150,0.0015
independence,uniform,141,133,0.00133
independence,uniform,142,121,0.00121
independence,uniform,143,123,0.00123
independence,uniform,144,148,0.00148
independence,uniform,145,147,0.00147
independence,uniform,146,145,0.00145
independence,uniform,147,131,0.00131
independence,uniform,148,150,0.0015
independence,uniform,149,139,0.00139
independence,uniform,150,131,0.00131
independence,uniform,151,122,0.00122
independence,uniform,152,133,0.00133
independence,uniform,153,147,0.00147
independence,uniform,154,142,0.00142
independence,uniform,155,129,0.00129
independence,uniform,156,154,0.00154
independence,uniform,157,129,0.00129
independence,uniform,158,150,0.0015
independence,uniform,159,106,0.00106
independence,uniform,160,136,0.00136
independence,uniform,161,152,0.00152
independence,uniform,162,156,0.00156
independence,uniform,163,177,0.00177
independence,uniform,164,140,0.0014
independence,uniform,165,140,0.0014
independence,uniform,166,137,0.00137
independence,uniform,167,144,0.00144
independence,uniform,168,131,0.00131
independence,uniform,169,130,0.0013
independence,uniform,170,138,0.00138
independence,uniform,171,141,0.00141
independence,uniform,172,128,0.00128
independence,uniform,173,136,0.00136
independence,uniform,174,147,0.00147
independence,uniform,175,137,0.00137
independence,uniform,176,131,0.00131
independence,uniform,177,162,0.00162
independence,uniform,178,135,0.00135
independence,uniform,179,135,0.00135
independence,uniform,180,143,0.00143
independence,uniform,181,152,0.00152
independence,uniform,182,129,0.00129
independence,uniform,183,137,0.00137
independence,uniform,184,144,0.00144
independence,uniform,185,125,0.00125
independence,uniform,186,134,0.00134
independence,uniform,187,135,0.00135
independence,uniform,188,139,0.00139
independence,uniform,189,135,0.00135
independence,uniform,190,121,0.00121
independence,uniform,191,131,0.00131
independence,uniform,192,145,0.00145
independence,uniform,193,125,0.00125
independence,uniform,194,140,0.0014
independence,uniform,195,140,0.0014
independence,uniform,196,132,0.00132
independence,uniform,197,159,0.00159
independence,uniform,198,139,0.00139
independence,uniform,199,150,0.0015
