n,sample_index,model,final_relation_identical,growth_history_signature_identical,birth_order_identical,x_ranks_identical,y_ranks_identical,rank_mark_identical,independent_mark_identical_under_coupling
64,0,power_anisotropic,True,True,True,True,True,True,True
64,0,beta_skew,True,True,True,True,True,True,True
64,1,power_anisotropic,True,True,True,True,True,True,True
64,1,beta_skew,True,True,True,True,True,True,True
64,2,power_anisotropic,True,True,True,True,True,True,True
64,2,beta_skew,True,True,True,True,True,True,True
64,3,power_anisotropic,True,True,True,True,True,True,True
64,3,beta_skew,True,True,True,True,True,True,True
64,4,power_anisotropic,True,True,True,True,True,True,True
64,4,beta_skew,True,True,True,True,True,True,True
64,5,power_anisotropic,True,True,True,True,True,True,True
64,5,beta_skew,True,True,True,True,True,True,True
64,6,power_anisotropic,True,True,True,True,True,True,True
64,6,beta_skew,True,True,True,True,True,True,True
64,7,power_anisotropic,True,True,True,True,True,True,True
64,7,beta_skew,True,True,True,True,True,True,True
64,8,power_anisotropic,True,True,True,True,True,True,True
64,8,beta_skew,True,True,True,True,True,True,True
64,9,power_anisotropic,True,True,True,True,True,True,True
64,9,beta_skew,True,True,True,True,True,True,True
64,10,power_anisotropic,True,True,True,True,True,True,True
64,10,beta_skew,True,True,True,True,True,True,True
64,11,power_anisotropic,True,True,True,True,True,True,True
64,11,beta_skew,True,True,True,True,True,True,True
64,12,power_anisotropic,True,True,True,True,True,True,True
64,12,beta_skew,True,True,True,True,True,True,True
64,13,power_anisotropic,True,True,True,True,True,True,True
64,13,beta_skew,True,True,True,True,True,True,True
64,14,power_anisotropic,True,True,True,True,True,True,True
64,14,beta_skew,True,True,True,True,True,True,True
64,15,power_anisotropic,True,True,True,True,True,True,True
64,15,beta_skew,True,True,True,True,True,True,True
64,16,power_anisotropic,True,True,True,True,True,True,True
64,16,beta_skew,True,True,True,True,True,True,True
64,17,power_anisotropic,True,True,True,True,True,True,True
64,17,beta_skew,True,True,True,True,True,True,True
64,18,power_anisotropic,True,True,True,True,True,True,True
64,18,beta_skew,True,True,True,True,True,True,True
64,19,power_anisotropic,True,True,True,True,True,True,True
64,19,beta_skew,True,True,True,True,True,True,True
64,20,power_anisotropic,True,True,True,True,True,True,True
64,20,beta_skew,True,True,True,True,True,True,True
64,21,power_anisotropic,True,True,True,True,True,True,True
64,21,beta_skew,True,True,True,True,True,True,True
64,22,power_anisotropic,True,True,True,True,True,True,True
64,22,beta_skew,True,True,True,True,True,True,True
64,23,power_anisotropic,True,True,True,True,True,True,True
64,23,beta_skew,True,True,True,True,True,True,True
64,24,power_anisotropic,True,True,True,True,True,True,True
64,24,beta_skew,True,True,True,True,True,True,True
64,25,power_anisotropic,True,True,True,True,True,True,True
64,25,beta_skew,True,True,True,True,True,True,True
64,26,power_anisotropic,True,True,True,True,True,True,True
64,26,beta_skew,True,True,True,True,True,True,True
64,27,power_anisotropic,True,True,True,True,True,True,True
64,27,beta_skew,True,True,True,True,True,True,True
64,28,power_anisotropic,True,True,True,True,True,True,True
64,28,beta_skew,True,True,True,True,True,True,True
64,29,power_anisotropic,True,True,True,True,True,True,True
64,29,beta_skew,True,True,True,True,True,True,True
64,30,power_anisotropic,True,True,True,True,True,True,True
64,30,beta_skew,True,True,True,True,True,True,True
64,31,power_anisotropic,True,True,True,True,True,True,True
64,31,beta_skew,True,True,True,True,True,True,True
64,32,power_anisotropic,True,True,True,True,True,True,True
64,32,beta_skew,True,True,True,True,True,True,True
64,33,power_anisotropic,True,True,True,True,True,True,True
64,33,beta_skew,True,True,True,True,True,True,True
64,34,power_anisotropic,True,True,True,True,True,True,True
64,34,beta_skew,True,True,True,True,True,True,True
64,35,power_anisotropic,True,True,True,True,True,True,True
64,35,beta_skew,True,True,True,True,True,True,True
64,36,power_anisotropic,True,True,True,True,True,True,True
64,36,beta_skew,True,True,True,True,True,True,True
64,37,power_anisotropic,True,True,True,True,True,True,True
64,37,beta_skew,True,True,True,True,True,True,True
64,38,power_anisotropic,True,True,True,True,True,True,True
64,38,beta_skew,True,True,True,True,True,True,True
64,39,power_anisotropic,True,True,True,True,True,True,True
64,39,beta_skew,True,True,True,True,True,True,True
