sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
0,power_anisotropic,True,False,True,1,False,False,False,True,True
0,beta_skew,True,False,True,2,False,False,False,True,True
1,power_anisotropic,True,False,True,5,False,False,False,True,True
1,beta_skew,True,False,True,1,False,False,False,True,True
2,power_anisotropic,True,False,True,5,False,False,False,True,True
2,beta_skew,True,False,True,10,False,False,False,True,True
3,power_anisotropic,True,False,True,8,False,False,False,True,True
3,beta_skew,True,False,True,1,False,False,False,True,True
4,power_anisotropic,True,False,True,1,False,False,False,True,True
4,beta_skew,True,False,True,2,False,False,False,True,True
5,power_anisotropic,True,False,True,1,False,False,False,True,True
5,beta_skew,True,False,True,1,False,False,False,True,True
6,power_anisotropic,True,False,True,1,False,False,False,True,True
6,beta_skew,True,False,True,1,False,False,False,True,True
7,power_anisotropic,True,False,True,3,False,False,False,True,True
7,beta_skew,True,False,True,4,False,False,False,True,True
8,power_anisotropic,True,False,True,1,False,False,False,True,True
8,beta_skew,True,False,True,1,False,False,False,True,True
9,power_anisotropic,True,False,True,2,False,False,False,True,True
9,beta_skew,True,False,True,3,False,False,False,True,True
10,power_anisotropic,True,False,True,1,False,False,False,True,True
10,beta_skew,True,False,True,1,False,False,False,True,True
11,power_anisotropic,True,False,True,5,False,False,False,True,True
11,beta_skew,True,False,True,4,False,False,False,True,True
12,power_anisotropic,True,False,True,1,False,False,False,True,True
12,beta_skew,True,False,True,3,False,False,False,True,True
13,power_anisotropic,True,False,True,1,False,False,False,True,True
13,beta_skew,True,False,True,1,False,False,False,True,True
14,power_anisotropic,True,False,True,1,False,False,False,True,True
14,beta_skew,True,False,True,1,False,False,False,True,True
15,power_anisotropic,True,False,True,1,False,False,False,True,True
15,beta_skew,True,False,True,2,False,False,False,True,True
16,power_anisotropic,True,False,True,1,False,False,False,True,True
16,beta_skew,True,False,True,4,False,False,False,True,True
17,power_anisotropic,True,False,True,1,False,False,False,True,True
17,beta_skew,True,False,True,1,False,False,False,True,True
18,power_anisotropic,True,False,True,1,False,False,False,True,True
18,beta_skew,True,False,True,2,False,False,False,True,True
19,power_anisotropic,True,False,True,2,False,False,False,True,True
19,beta_skew,True,False,True,7,False,False,False,True,True
20,power_anisotropic,True,False,True,2,False,False,False,True,True
20,beta_skew,True,False,True,1,False,False,False,True,True
21,power_anisotropic,True,False,True,1,False,False,False,True,True
21,beta_skew,True,False,True,3,False,False,False,True,True
22,power_anisotropic,True,False,True,1,False,False,False,True,True
22,beta_skew,True,False,True,2,False,False,False,True,True
23,power_anisotropic,True,False,True,3,False,False,False,True,True
23,beta_skew,True,False,True,3,False,False,False,True,True
24,power_anisotropic,True,False,True,3,False,False,False,True,True
24,beta_skew,True,False,True,3,False,False,False,True,True
25,power_anisotropic,True,False,True,3,False,False,False,True,True
25,beta_skew,True,False,True,10,False,False,False,True,True
26,power_anisotropic,True,False,True,2,False,False,False,True,True
26,beta_skew,True,False,True,3,False,False,False,True,True
27,power_anisotropic,True,False,True,1,False,False,False,True,True
27,beta_skew,True,False,True,1,False,False,False,True,True
28,power_anisotropic,True,False,True,1,False,False,False,True,True
28,beta_skew,True,False,True,1,False,False,False,True,True
29,power_anisotropic,True,False,True,1,False,False,False,True,True
29,beta_skew,True,False,True,1,False,False,False,True,True
30,power_anisotropic,True,False,True,4,False,False,False,True,True
30,beta_skew,True,False,True,4,False,False,False,True,True
31,power_anisotropic,True,False,True,1,False,False,False,True,True
31,beta_skew,True,False,True,2,False,False,False,True,True
32,power_anisotropic,True,False,True,1,False,False,False,True,True
32,beta_skew,True,False,True,1,False,False,False,True,True
33,power_anisotropic,True,False,True,1,False,False,False,True,True
33,beta_skew,True,False,True,2,False,False,False,True,True
34,power_anisotropic,True,False,True,3,False,False,False,True,True
34,beta_skew,True,False,True,3,False,False,False,True,True
35,power_anisotropic,True,False,True,2,False,False,False,True,True
35,beta_skew,True,False,True,2,False,False,False,True,True
36,power_anisotropic,True,False,True,1,False,False,False,True,True
36,beta_skew,True,False,True,2,False,False,False,True,True
37,power_anisotropic,True,False,True,2,False,False,False,True,True
37,beta_skew,True,False,True,5,False,False,False,True,True
38,power_anisotropic,True,False,True,1,False,False,False,True,True
38,beta_skew,True,False,True,9,False,False,False,True,True
39,power_anisotropic,True,False,True,2,False,False,False,True,True
39,beta_skew,True,False,True,2,False,False,False,True,True
40,power_anisotropic,True,False,True,2,False,False,False,True,True
40,beta_skew,True,False,True,2,False,False,False,True,True
41,power_anisotropic,True,False,True,1,False,False,False,True,True
41,beta_skew,True,False,True,1,False,False,False,True,True
