n,sample_index,model,relation_identical,order_degree_parity_identical,independent_bit_identical_under_coupling,rank_half_bit_identical,moving_threshold_bit_identical,fixed_threshold_bit_identical,fixed_threshold_hamming_fraction
32,0,power_anisotropic,True,True,True,True,True,False,0.34375
32,0,beta_skew,True,True,True,True,True,False,0.40625
32,1,power_anisotropic,True,True,True,True,True,False,0.15625
32,1,beta_skew,True,True,True,True,True,False,0.15625
32,2,power_anisotropic,True,True,True,True,True,False,0.21875
32,2,beta_skew,True,True,True,True,True,False,0.28125
32,3,power_anisotropic,True,True,True,True,True,False,0.46875
32,3,beta_skew,True,True,True,True,True,False,0.5
32,4,power_anisotropic,True,True,True,True,True,False,0.5
32,4,beta_skew,True,True,True,True,True,False,0.53125
32,5,power_anisotropic,True,True,True,True,True,False,0.34375
32,5,beta_skew,True,True,True,True,True,False,0.4375
32,6,power_anisotropic,True,True,True,True,True,False,0.375
32,6,beta_skew,True,True,True,True,True,False,0.40625
32,7,power_anisotropic,True,True,True,True,True,False,0.46875
32,7,beta_skew,True,True,True,True,True,False,0.5
32,8,power_anisotropic,True,True,True,True,True,False,0.3125
32,8,beta_skew,True,True,True,True,True,False,0.40625
32,9,power_anisotropic,True,True,True,True,True,False,0.125
32,9,beta_skew,True,True,True,True,True,False,0.15625
32,10,power_anisotropic,True,True,True,True,True,False,0.28125
32,10,beta_skew,True,True,True,True,True,False,0.34375
32,11,power_anisotropic,True,True,True,True,True,False,0.21875
32,11,beta_skew,True,True,True,True,True,False,0.25
32,12,power_anisotropic,True,True,True,True,True,False,0.34375
32,12,beta_skew,True,True,True,True,True,False,0.375
32,13,power_anisotropic,True,True,True,True,True,False,0.3125
32,13,beta_skew,True,True,True,True,True,False,0.375
32,14,power_anisotropic,True,True,True,True,True,False,0.46875
32,14,beta_skew,True,True,True,True,True,False,0.53125
32,15,power_anisotropic,True,True,True,True,True,False,0.40625
32,15,beta_skew,True,True,True,True,True,False,0.5
32,16,power_anisotropic,True,True,True,True,True,False,0.5
32,16,beta_skew,True,True,True,True,True,False,0.5625
32,17,power_anisotropic,True,True,True,True,True,False,0.375
32,17,beta_skew,True,True,True,True,True,False,0.46875
32,18,power_anisotropic,True,True,True,True,True,False,0.5
32,18,beta_skew,True,True,True,True,True,False,0.53125
32,19,power_anisotropic,True,True,True,True,True,False,0.4375
32,19,beta_skew,True,True,True,True,True,False,0.5
32,20,power_anisotropic,True,True,True,True,True,False,0.34375
32,20,beta_skew,True,True,True,True,True,False,0.40625
32,21,power_anisotropic,True,True,True,True,True,False,0.1875
32,21,beta_skew,True,True,True,True,True,False,0.25
32,22,power_anisotropic,True,True,True,True,True,False,0.34375
32,22,beta_skew,True,True,True,True,True,False,0.40625
32,23,power_anisotropic,True,True,True,True,True,False,0.34375
32,23,beta_skew,True,True,True,True,True,False,0.375
32,24,power_anisotropic,True,True,True,True,True,False,0.4375
32,24,beta_skew,True,True,True,True,True,False,0.46875
32,25,power_anisotropic,True,True,True,True,True,False,0.4375
32,25,beta_skew,True,True,True,True,True,False,0.46875
32,26,power_anisotropic,True,True,True,True,True,False,0.375
32,26,beta_skew,True,True,True,True,True,False,0.4375
32,27,power_anisotropic,True,True,True,True,True,False,0.28125
32,27,beta_skew,True,True,True,True,True,False,0.375
32,28,power_anisotropic,True,True,True,True,True,False,0.28125
32,28,beta_skew,True,True,True,True,True,False,0.40625
32,29,power_anisotropic,True,True,True,True,True,False,0.34375
32,29,beta_skew,True,True,True,True,True,False,0.4375
32,30,power_anisotropic,True,True,True,True,True,False,0.34375
32,30,beta_skew,True,True,True,True,True,False,0.375
32,31,power_anisotropic,True,True,True,True,True,False,0.25
32,31,beta_skew,True,True,True,True,True,False,0.28125
32,32,power_anisotropic,True,True,True,True,True,False,0.34375
32,32,beta_skew,True,True,True,True,True,False,0.4375
32,33,power_anisotropic,True,True,True,True,True,False,0.375
32,33,beta_skew,True,True,True,True,True,False,0.40625
32,34,power_anisotropic,True,True,True,True,True,False,0.5
32,34,beta_skew,True,True,True,True,True,False,0.53125
32,35,power_anisotropic,True,True,True,True,True,False,0.34375
32,35,beta_skew,True,True,True,True,True,False,0.40625
32,36,power_anisotropic,True,True,True,True,True,False,0.25
32,36,beta_skew,True,True,True,True,True,False,0.3125
32,37,power_anisotropic,True,True,True,True,True,False,0.375
32,37,beta_skew,True,True,True,True,True,False,0.375
32,38,power_anisotropic,True,True,True,True,True,False,0.09375
32,38,beta_skew,True,True,True,True,True,False,0.1875
32,39,power_anisotropic,True,True,True,True,True,False,0.28125
32,39,beta_skew,True,True,True,True,True,False,0.28125
32,40,power_anisotropic,True,True,True,True,True,False,0.28125
32,40,beta_skew,True,True,True,True,True,False,0.375
32,41,power_anisotropic,True,True,True,True,True,False,0.21875
32,41,beta_skew,True,True,True,True,True,False,0.21875
32,42,power_anisotropic,True,True,True,True,True,False,0.4375
32,42,beta_skew,True,True,True,True,True,False,0.46875
32,43,power_anisotropic,True,True,True,True,True,False,0.34375
32,43,beta_skew,True,True,True,True,True,False,0.4375
32,44,power_anisotropic,True,True,True,True,True,False,0.34375
32,44,beta_skew,True,True,True,True,True,False,0.5
32,45,power_anisotropic,True,True,True,True,True,False,0.28125
32,45,beta_skew,True,True,True,True,True,False,0.3125
32,46,power_anisotropic,True,True,True,True,True,False,0.25
32,46,beta_skew,True,True,True,True,True,False,0.34375
32,47,power_anisotropic,True,True,True,True,True,False,0.25
32,47,beta_skew,True,True,True,True,True,False,0.28125
32,48,power_anisotropic,True,True,True,True,True,False,0.4375
32,48,beta_skew,True,True,True,True,True,False,0.5
32,49,power_anisotropic,True,True,True,True,True,False,0.25
32,49,beta_skew,True,True,True,True,True,False,0.28125
32,50,power_anisotropic,True,True,True,True,True,False,0.34375
32,50,beta_skew,True,True,True,True,True,False,0.40625
32,51,power_anisotropic,True,True,True,True,True,False,0.34375
32,51,beta_skew,True,True,True,True,True,False,0.375
32,52,power_anisotropic,True,True,True,True,True,False,0.21875
32,52,beta_skew,True,True,True,True,True,False,0.28125
32,53,power_anisotropic,True,True,True,True,True,False,0.28125
32,53,beta_skew,True,True,True,True,True,False,0.3125
32,54,power_anisotropic,True,True,True,True,True,False,0.3125
32,54,beta_skew,True,True,True,True,True,False,0.34375
32,55,power_anisotropic,True,True,True,True,True,False,0.34375
32,55,beta_skew,True,True,True,True,True,False,0.375
32,56,power_anisotropic,True,True,True,True,True,False,0.34375
32,56,beta_skew,True,True,True,True,True,False,0.40625
32,57,power_anisotropic,True,True,True,True,True,False,0.25
32,57,beta_skew,True,True,True,True,True,False,0.34375
32,58,power_anisotropic,True,True,True,True,True,False,0.21875
32,58,beta_skew,True,True,True,True,True,False,0.28125
32,59,power_anisotropic,True,True,True,True,True,False,0.28125
32,59,beta_skew,True,True,True,True,True,False,0.3125
32,60,power_anisotropic,True,True,True,True,True,False,0.46875
32,60,beta_skew,True,True,True,True,True,False,0.53125
32,61,power_anisotropic,True,True,True,True,True,False,0.4375
32,61,beta_skew,True,True,True,True,True,False,0.46875
32,62,power_anisotropic,True,True,True,True,True,False,0.25
32,62,beta_skew,True,True,True,True,True,False,0.28125
32,63,power_anisotropic,True,True,True,True,True,False,0.21875
32,63,beta_skew,True,True,True,True,True,False,0.28125
32,64,power_anisotropic,True,True,True,True,True,False,0.6875
32,64,beta_skew,True,True,True,True,True,False,0.71875
32,65,power_anisotropic,True,True,True,True,True,False,0.34375
32,65,beta_skew,True,True,True,True,True,False,0.40625
32,66,power_anisotropic,True,True,True,True,True,False,0.5625
32,66,beta_skew,True,True,True,True,True,False,0.59375
32,67,power_anisotropic,True,True,True,True,True,False,0.28125
32,67,beta_skew,True,True,True,True,True,False,0.375
32,68,power_anisotropic,True,True,True,True,True,False,0.46875
32,68,beta_skew,True,True,True,True,True,False,0.53125
32,69,power_anisotropic,True,True,True,True,True,False,0.34375
32,69,beta_skew,True,True,True,True,True,False,0.4375
32,70,power_anisotropic,True,True,True,True,True,False,0.28125
32,70,beta_skew,True,True,True,True,True,False,0.4375
32,71,power_anisotropic,True,True,True,True,True,False,0.375
32,71,beta_skew,True,True,True,True,True,False,0.40625
32,72,power_anisotropic,True,True,True,True,True,False,0.28125
32,72,beta_skew,True,True,True,True,True,False,0.375
32,73,power_anisotropic,True,True,True,True,True,False,0.3125
32,73,beta_skew,True,True,True,True,True,False,0.40625
32,74,power_anisotropic,True,True,True,True,True,False,0.375
32,74,beta_skew,True,True,True,True,True,False,0.40625
32,75,power_anisotropic,True,True,True,True,True,False,0.5
32,75,beta_skew,True,True,True,True,True,False,0.625
32,76,power_anisotropic,True,True,True,True,True,False,0.46875
32,76,beta_skew,True,True,True,True,True,False,0.53125
32,77,power_anisotropic,True,True,True,True,True,False,0.34375
32,77,beta_skew,True,True,True,True,True,False,0.4375
32,78,power_anisotropic,True,True,True,True,True,False,0.375
32,78,beta_skew,True,True,True,True,True,False,0.46875
32,79,power_anisotropic,True,True,True,True,True,False,0.34375
32,79,beta_skew,True,True,True,True,True,False,0.40625
32,80,power_anisotropic,True,True,True,True,True,False,0.21875
32,80,beta_skew,True,True,True,True,True,False,0.28125
32,81,power_anisotropic,True,True,True,True,True,False,0.28125
32,81,beta_skew,True,True,True,True,True,False,0.40625
32,82,power_anisotropic,True,True,True,True,True,False,0.40625
32,82,beta_skew,True,True,True,True,True,False,0.4375
32,83,power_anisotropic,True,True,True,True,True,False,0.21875
32,83,beta_skew,True,True,True,True,True,False,0.25
32,84,power_anisotropic,True,True,True,True,True,False,0.21875
32,84,beta_skew,True,True,True,True,True,False,0.3125
32,85,power_anisotropic,True,True,True,True,True,False,0.3125
32,85,beta_skew,True,True,True,True,True,False,0.34375
32,86,power_anisotropic,True,True,True,True,True,False,0.15625
32,86,beta_skew,True,True,True,True,True,False,0.15625
32,87,power_anisotropic,True,True,True,True,True,False,0.25
32,87,beta_skew,True,True,True,True,True,False,0.25
32,88,power_anisotropic,True,True,True,True,True,False,0.21875
32,88,beta_skew,True,True,True,True,True,False,0.3125
32,89,power_anisotropic,True,True,True,True,True,False,0.40625
32,89,beta_skew,True,True,True,True,True,False,0.40625
32,90,power_anisotropic,True,True,True,True,True,False,0.40625
32,90,beta_skew,True,True,True,True,True,False,0.4375
32,91,power_anisotropic,True,True,True,True,True,False,0.28125
32,91,beta_skew,True,True,True,True,True,False,0.40625
32,92,power_anisotropic,True,True,True,True,True,False,0.46875
32,92,beta_skew,True,True,True,True,True,False,0.5
32,93,power_anisotropic,True,True,True,True,True,False,0.40625
32,93,beta_skew,True,True,True,True,True,False,0.4375
32,94,power_anisotropic,True,True,True,True,True,False,0.28125
32,94,beta_skew,True,True,True,True,True,False,0.375
32,95,power_anisotropic,True,True,True,True,True,False,0.375
32,95,beta_skew,True,True,True,True,True,False,0.4375
32,96,power_anisotropic,True,True,True,True,True,False,0.28125
32,96,beta_skew,True,True,True,True,True,False,0.34375
32,97,power_anisotropic,True,True,True,True,True,False,0.40625
32,97,beta_skew,True,True,True,True,True,False,0.4375
32,98,power_anisotropic,True,True,True,True,True,False,0.4375
32,98,beta_skew,True,True,True,True,True,False,0.46875
32,99,power_anisotropic,True,True,True,True,True,False,0.28125
32,99,beta_skew,True,True,True,True,True,False,0.375
32,100,power_anisotropic,True,True,True,True,True,False,0.21875
32,100,beta_skew,True,True,True,True,True,False,0.25
32,101,power_anisotropic,True,True,True,True,True,False,0.40625
32,101,beta_skew,True,True,True,True,True,False,0.4375
32,102,power_anisotropic,True,True,True,True,True,False,0.21875
32,102,beta_skew,True,True,True,True,True,False,0.21875
32,103,power_anisotropic,True,True,True,True,True,False,0.1875
32,103,beta_skew,True,True,True,True,True,False,0.28125
32,104,power_anisotropic,True,True,True,True,True,False,0.40625
32,104,beta_skew,True,True,True,True,True,False,0.46875
32,105,power_anisotropic,True,True,True,True,True,False,0.34375
32,105,beta_skew,True,True,True,True,True,False,0.375
32,106,power_anisotropic,True,True,True,True,True,False,0.28125
32,106,beta_skew,True,True,True,True,True,False,0.3125
32,107,power_anisotropic,True,True,True,True,True,False,0.375
32,107,beta_skew,True,True,True,True,True,False,0.40625
32,108,power_anisotropic,True,True,True,True,True,False,0.4375
32,108,beta_skew,True,True,True,True,True,False,0.4375
32,109,power_anisotropic,True,True,True,True,True,False,0.34375
32,109,beta_skew,True,True,True,True,True,False,0.375
32,110,power_anisotropic,True,True,True,True,True,False,0.34375
32,110,beta_skew,True,True,True,True,True,False,0.40625
32,111,power_anisotropic,True,True,True,True,True,False,0.1875
32,111,beta_skew,True,True,True,True,True,False,0.21875
32,112,power_anisotropic,True,True,True,True,True,False,0.375
32,112,beta_skew,True,True,True,True,True,False,0.375
32,113,power_anisotropic,True,True,True,True,True,False,0.46875
32,113,beta_skew,True,True,True,True,True,False,0.5
32,114,power_anisotropic,True,True,True,True,True,False,0.34375
32,114,beta_skew,True,True,True,True,True,False,0.4375
32,115,power_anisotropic,True,True,True,True,True,False,0.34375
32,115,beta_skew,True,True,True,True,True,False,0.4375
32,116,power_anisotropic,True,True,True,True,True,False,0.25
32,116,beta_skew,True,True,True,True,True,False,0.3125
32,117,power_anisotropic,True,True,True,True,True,False,0.1875
32,117,beta_skew,True,True,True,True,True,False,0.21875
32,118,power_anisotropic,True,True,True,True,True,False,0.40625
32,118,beta_skew,True,True,True,True,True,False,0.40625
32,119,power_anisotropic,True,True,True,True,True,False,0.34375
32,119,beta_skew,True,True,True,True,True,False,0.375
32,120,power_anisotropic,True,True,True,True,True,False,0.25
32,120,beta_skew,True,True,True,True,True,False,0.3125
32,121,power_anisotropic,True,True,True,True,True,False,0.28125
32,121,beta_skew,True,True,True,True,True,False,0.3125
32,122,power_anisotropic,True,True,True,True,True,False,0.3125
32,122,beta_skew,True,True,True,True,True,False,0.375
32,123,power_anisotropic,True,True,True,True,True,False,0.3125
32,123,beta_skew,True,True,True,True,True,False,0.3125
32,124,power_anisotropic,True,True,True,True,True,False,0.40625
32,124,beta_skew,True,True,True,True,True,False,0.46875
32,125,power_anisotropic,True,True,True,True,True,False,0.3125
32,125,beta_skew,True,True,True,True,True,False,0.40625
32,126,power_anisotropic,True,True,True,True,True,False,0.1875
32,126,beta_skew,True,True,True,True,True,False,0.25
32,127,power_anisotropic,True,True,True,True,True,False,0.21875
32,127,beta_skew,True,True,True,True,True,False,0.25
32,128,power_anisotropic,True,True,True,True,True,False,0.21875
32,128,beta_skew,True,True,True,True,True,False,0.28125
32,129,power_anisotropic,True,True,True,True,True,False,0.375
32,129,beta_skew,True,True,True,True,True,False,0.375
32,130,power_anisotropic,True,True,True,True,True,False,0.3125
32,130,beta_skew,True,True,True,True,True,False,0.3125
32,131,power_anisotropic,True,True,True,True,True,False,0.46875
32,131,beta_skew,True,True,True,True,True,False,0.5
32,132,power_anisotropic,True,True,True,True,True,False,0.28125
32,132,beta_skew,True,True,True,True,True,False,0.28125
32,133,power_anisotropic,True,True,True,True,True,False,0.375
32,133,beta_skew,True,True,True,True,True,False,0.40625
32,134,power_anisotropic,True,True,True,True,True,False,0.375
32,134,beta_skew,True,True,True,True,True,False,0.40625
32,135,power_anisotropic,True,True,True,True,True,False,0.125
32,135,beta_skew,True,True,True,True,True,False,0.15625
32,136,power_anisotropic,True,True,True,True,True,False,0.375
32,136,beta_skew,True,True,True,True,True,False,0.40625
32,137,power_anisotropic,True,True,True,True,True,False,0.375
32,137,beta_skew,True,True,True,True,True,False,0.40625
32,138,power_anisotropic,True,True,True,True,True,False,0.28125
32,138,beta_skew,True,True,True,True,True,False,0.375
32,139,power_anisotropic,True,True,True,True,True,False,0.34375
32,139,beta_skew,True,True,True,True,True,False,0.4375
32,140,power_anisotropic,True,True,True,True,True,False,0.375
32,140,beta_skew,True,True,True,True,True,False,0.46875
32,141,power_anisotropic,True,True,True,True,True,False,0.34375
32,141,beta_skew,True,True,True,True,True,False,0.34375
32,142,power_anisotropic,True,True,True,True,True,False,0.34375
32,142,beta_skew,True,True,True,True,True,False,0.375
32,143,power_anisotropic,True,True,True,True,True,False,0.40625
32,143,beta_skew,True,True,True,True,True,False,0.40625
32,144,power_anisotropic,True,True,True,True,True,False,0.3125
32,144,beta_skew,True,True,True,True,True,False,0.375
32,145,power_anisotropic,True,True,True,True,True,False,0.25
32,145,beta_skew,True,True,True,True,True,False,0.3125
32,146,power_anisotropic,True,True,True,True,True,False,0.25
32,146,beta_skew,True,True,True,True,True,False,0.28125
32,147,power_anisotropic,True,True,True,True,True,False,0.4375
32,147,beta_skew,True,True,True,True,True,False,0.5
32,148,power_anisotropic,True,True,True,True,True,False,0.28125
32,148,beta_skew,True,True,True,True,True,False,0.34375
32,149,power_anisotropic,True,True,True,True,True,False,0.34375
32,149,beta_skew,True,True,True,True,True,False,0.375
32,150,power_anisotropic,True,True,True,True,True,False,0.28125
32,150,beta_skew,True,True,True,True,True,False,0.28125
32,151,power_anisotropic,True,True,True,True,True,False,0.34375
32,151,beta_skew,True,True,True,True,True,False,0.4375
32,152,power_anisotropic,True,True,True,True,True,False,0.21875
32,152,beta_skew,True,True,True,True,True,False,0.25
32,153,power_anisotropic,True,True,True,True,True,False,0.34375
32,153,beta_skew,True,True,True,True,True,False,0.40625
32,154,power_anisotropic,True,True,True,True,True,False,0.25
32,154,beta_skew,True,True,True,True,True,False,0.34375
32,155,power_anisotropic,True,True,True,True,True,False,0.4375
32,155,beta_skew,True,True,True,True,True,False,0.53125
32,156,power_anisotropic,True,True,True,True,True,False,0.34375
32,156,beta_skew,True,True,True,True,True,False,0.5
32,157,power_anisotropic,True,True,True,True,True,False,0.375
32,157,beta_skew,True,True,True,True,True,False,0.40625
32,158,power_anisotropic,True,True,True,True,True,False,0.21875
32,158,beta_skew,True,True,True,True,True,False,0.28125
32,159,power_anisotropic,True,True,True,True,True,False,0.28125
32,159,beta_skew,True,True,True,True,True,False,0.34375
32,160,power_anisotropic,True,True,True,True,True,False,0.3125
32,160,beta_skew,True,True,True,True,True,False,0.40625
32,161,power_anisotropic,True,True,True,True,True,False,0.3125
32,161,beta_skew,True,True,True,True,True,False,0.3125
32,162,power_anisotropic,True,True,True,True,True,False,0.375
32,162,beta_skew,True,True,True,True,True,False,0.40625
32,163,power_anisotropic,True,True,True,True,True,False,0.34375
32,163,beta_skew,True,True,True,True,True,False,0.40625
32,164,power_anisotropic,True,True,True,True,True,False,0.3125
32,164,beta_skew,True,True,True,True,True,False,0.375
