sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
0,-2.0,4.0485248945062736e-16,8.881784197001252e-16,4.440892098500626e-16
0,-0.5,2.8945685910368416e-16,4.440892098500626e-16,2.220446049250313e-16
0,0.75,3.9651631349902006e-16,4.440892098500626e-16,2.220446049250313e-16
0,1.6,3.4619515487535995e-16,4.440892098500626e-16,3.3306690738754696e-16
1,-2.0,4.319933592657233e-16,1.1102230246251565e-15,3.3480163086352377e-16
1,-0.5,2.246747227404664e-16,4.440892098500626e-16,2.220446049250313e-16
1,0.75,3.100489333263528e-16,4.440892098500626e-16,2.220446049250313e-16
1,1.6,4.3419765964857826e-16,4.440892098500626e-16,4.440892098500626e-16
2,-2.0,3.6705343799361042e-16,4.440892098500626e-16,2.2898349882893854e-16
2,-0.5,4.283874873783942e-16,4.440892098500626e-16,2.220446049250313e-16
2,0.75,3.806988444313584e-16,4.440892098500626e-16,2.220446049250313e-16
2,1.6,4.1403903284977594e-16,4.440892098500626e-16,2.220446049250313e-16
3,-2.0,4.12132195632823e-16,4.440892098500626e-16,3.885780586188048e-16
3,-0.5,3.302383092880759e-16,3.3306690738754696e-16,2.220446049250313e-16
3,0.75,3.898709482138424e-16,6.661338147750939e-16,2.220446049250313e-16
3,1.6,3.475780683394678e-16,4.440892098500626e-16,3.3306690738754696e-16
4,-2.0,4.1579904895926443e-16,4.440892098500626e-16,4.440892098500626e-16
4,-0.5,2.2819589866368914e-16,3.3306690738754696e-16,1.1102230246251565e-16
4,0.75,2.823462835223693e-16,4.440892098500626e-16,2.220446049250313e-16
4,1.6,3.4981338754048113e-16,4.440892098500626e-16,2.220446049250313e-16
5,-2.0,4.0259822246003576e-16,4.440892098500626e-16,4.440892098500626e-16
5,-0.5,3.3846290760222346e-16,2.220446049250313e-16,1.1102230246251565e-16
5,0.75,4.010567178500063e-16,4.440892098500626e-16,2.220446049250313e-16
5,1.6,3.4620033817127983e-16,6.661338147750939e-16,4.440892098500626e-16
6,-2.0,3.690339849734073e-16,8.881784197001252e-16,4.440892098500626e-16
6,-0.5,3.2877279643050617e-16,4.440892098500626e-16,2.220446049250313e-16
6,0.75,2.578802063231712e-16,4.440892098500626e-16,2.220446049250313e-16
6,1.6,4.355292891346104e-16,4.440892098500626e-16,4.440892098500626e-16
7,-2.0,4.0764974969694205e-16,8.881784197001252e-16,2.498001805406602e-16
7,-0.5,2.7003626319768296e-16,2.220446049250313e-16,2.220446049250313e-16
7,0.75,4.169628259132031e-16,4.440892098500626e-16,2.220446049250313e-16
7,1.6,3.82317947097263e-16,4.440892098500626e-16,2.220446049250313e-16
8,-2.0,4.24181995297312e-16,4.440892098500626e-16,3.3306690738754696e-16
8,-0.5,3.34637430500731e-16,4.440892098500626e-16,2.220446049250313e-16
8,0.75,3.8350091618971165e-16,4.440892098500626e-16,2.220446049250313e-16
8,1.6,3.636388117355128e-16,4.440892098500626e-16,3.3306690738754696e-16
