n,sample_index,model,relation_identical,order_measurable_q_identical,shared_random_q_identical,rank_gap_q_identical,coordinate_q_identical,coordinate_q_centered_rms_difference
32,0,power_anisotropic,True,True,True,True,False,0.18728896620888455
32,0,beta_skew,True,True,True,True,False,0.19029094260953175
32,1,power_anisotropic,True,True,True,True,False,0.22459705116371997
32,1,beta_skew,True,True,True,True,False,0.20057710127522588
32,2,power_anisotropic,True,True,True,True,False,0.21996191254234532
32,2,beta_skew,True,True,True,True,False,0.21617898162106114
32,3,power_anisotropic,True,True,True,True,False,0.20440129015577965
32,3,beta_skew,True,True,True,True,False,0.17941186427992567
32,4,power_anisotropic,True,True,True,True,False,0.20624722020128577
32,4,beta_skew,True,True,True,True,False,0.16998993924476163
32,5,power_anisotropic,True,True,True,True,False,0.21540496382410707
32,5,beta_skew,True,True,True,True,False,0.19503374359903025
32,6,power_anisotropic,True,True,True,True,False,0.2215668774768925
32,6,beta_skew,True,True,True,True,False,0.14010874695462708
32,7,power_anisotropic,True,True,True,True,False,0.204404415019064
32,7,beta_skew,True,True,True,True,False,0.19090882512905574
32,8,power_anisotropic,True,True,True,True,False,0.20664680884906272
32,8,beta_skew,True,True,True,True,False,0.19860371500570875
32,9,power_anisotropic,True,True,True,True,False,0.21130044940769582
32,9,beta_skew,True,True,True,True,False,0.22171316246415365
32,10,power_anisotropic,True,True,True,True,False,0.19793601947454048
32,10,beta_skew,True,True,True,True,False,0.17594855747793975
32,11,power_anisotropic,True,True,True,True,False,0.17384748806531578
32,11,beta_skew,True,True,True,True,False,0.164475062826341
32,12,power_anisotropic,True,True,True,True,False,0.21293788560965132
32,12,beta_skew,True,True,True,True,False,0.21858334127709966
32,13,power_anisotropic,True,True,True,True,False,0.2213078814500537
32,13,beta_skew,True,True,True,True,False,0.19742495448160968
32,14,power_anisotropic,True,True,True,True,False,0.20726605764214742
32,14,beta_skew,True,True,True,True,False,0.20038420584439057
32,15,power_anisotropic,True,True,True,True,False,0.22074439978031052
32,15,beta_skew,True,True,True,True,False,0.20062620815472396
32,16,power_anisotropic,True,True,True,True,False,0.19954415881311563
32,16,beta_skew,True,True,True,True,False,0.1882625635872951
32,17,power_anisotropic,True,True,True,True,False,0.1970501507067797
32,17,beta_skew,True,True,True,True,False,0.18181091604993466
32,18,power_anisotropic,True,True,True,True,False,0.20468989170722962
32,18,beta_skew,True,True,True,True,False,0.2110447654799653
32,19,power_anisotropic,True,True,True,True,False,0.18926208948129683
32,19,beta_skew,True,True,True,True,False,0.1852954457062622
32,20,power_anisotropic,True,True,True,True,False,0.1713072716241083
32,20,beta_skew,True,True,True,True,False,0.18825790180723564
32,21,power_anisotropic,True,True,True,True,False,0.2197534828063505
32,21,beta_skew,True,True,True,True,False,0.1709346450823333
32,22,power_anisotropic,True,True,True,True,False,0.20419113552143311
32,22,beta_skew,True,True,True,True,False,0.19137056519152404
32,23,power_anisotropic,True,True,True,True,False,0.22447459726875782
32,23,beta_skew,True,True,True,True,False,0.19227963044486784
32,24,power_anisotropic,True,True,True,True,False,0.227633673291978
32,24,beta_skew,True,True,True,True,False,0.20368511991495597
32,25,power_anisotropic,True,True,True,True,False,0.20382837335293846
32,25,beta_skew,True,True,True,True,False,0.20439152677639466
32,26,power_anisotropic,True,True,True,True,False,0.22451663500998534
32,26,beta_skew,True,True,True,True,False,0.2142711709373569
32,27,power_anisotropic,True,True,True,True,False,0.219396173347429
32,27,beta_skew,True,True,True,True,False,0.21873566598792626
32,28,power_anisotropic,True,True,True,True,False,0.19801013916698246
32,28,beta_skew,True,True,True,True,False,0.20311628347979263
32,29,power_anisotropic,True,True,True,True,False,0.22806903420663271
32,29,beta_skew,True,True,True,True,False,0.20748609658784642
