n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
16,0,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.13149922386336202,1.1102230246251565e-16
16,1,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.41781478195449495,1.1102230246251565e-16
16,2,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4742922370978862,1.1102230246251565e-16
16,3,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3730845370685143,1.1102230246251565e-16
16,4,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4657108980542608,1.1102230246251565e-16
16,5,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.24166035504127012,1.1102230246251565e-16
16,6,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.5392414332831045,1.1102230246251565e-16
16,7,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.41433322148643964,1.1102230246251565e-16
16,8,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3909288437532196,1.1102230246251565e-16
16,9,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.39000387681582466,5.551115123125783e-17
16,10,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.20347578356452262,1.1102230246251565e-16
16,11,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.20140636366891843,5.551115123125783e-17
16,12,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.4798595252433668,5.551115123125783e-17
16,13,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34542527820847446,1.1102230246251565e-16
16,14,True,True,1.6653345369377348e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.27089665539820185,1.1102230246251565e-16
16,15,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.37606433491901853,1.1102230246251565e-16
16,16,True,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.25142985143436175,1.1102230246251565e-16
16,17,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3396002690059149,2.220446049250313e-16
16,18,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.30854484256968906,1.1102230246251565e-16
16,19,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.5733860266544273,5.551115123125783e-17
16,20,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.11945831443200505,1.1102230246251565e-16
16,21,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3443412100922202,5.551115123125783e-17
16,22,True,True,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.4596444870020059,1.1102230246251565e-16
16,23,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.33614655425917933,2.220446049250313e-16
16,24,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5460432428913953,1.1102230246251565e-16
16,25,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.27815354549372856,1.1102230246251565e-16
16,26,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.16598787616465288,1.1102230246251565e-16
16,27,True,True,8.326672684688674e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.37839229503578775,5.551115123125783e-17
16,28,True,True,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.1760016432577426,5.551115123125783e-17
16,29,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3453229822743364,1.1102230246251565e-16
16,30,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.26349234409159517,1.1102230246251565e-16
16,31,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.38650732831593076,1.1102230246251565e-16
16,32,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.37610122981476857,1.1102230246251565e-16
16,33,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.10491251555418493,1.1102230246251565e-16
16,34,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.27167211309506334,5.551115123125783e-17
16,35,True,True,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.38027744549001924,1.1102230246251565e-16
16,36,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.6037090149740663,5.551115123125783e-17
16,37,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.3629183392444301,1.1102230246251565e-16
16,38,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.24560481307304177,2.220446049250313e-16
16,39,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3392310873268933,1.1102230246251565e-16
16,40,True,True,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.47793248060447957,1.1102230246251565e-16
