n,sample_index,contrast_rmse,comparisons
16,0,0.012419248957956031,37
16,1,0.01293296366756843,40
16,2,0.012023506843625067,33
16,3,0.011628976993883206,36
16,4,0.01328999212963165,39
16,5,0.009353485311915911,35
16,6,0.012206183569764033,39
16,7,0.012575077162974992,35
16,8,0.013494036597433633,42
16,9,0.015200968985589298,41
16,10,0.01334602766744865,40
16,11,0.01229123576713728,39
16,12,0.014113482218809575,42
16,13,0.015307566340669349,47
16,14,0.01479243898514131,39
16,15,0.012101196747080802,39
16,16,0.008908362581989841,41
16,17,0.01472278162211291,41
16,18,0.010200165594887888,40
16,19,0.012342462071705765,35
16,20,0.009580960119821357,32
16,21,0.01521321730529028,48
16,22,0.014044617283134313,45
16,23,0.011247018523259615,35
16,24,0.012935210996720313,36
16,25,0.013343380758048255,46
16,26,0.01066742562392598,43
16,27,0.011849689186652853,42
16,28,0.013220120640764782,41
16,29,0.01193126378721903,35
16,30,0.013384727842778898,35
16,31,0.010520340708830192,43
16,32,0.012572301098710608,39
16,33,0.01348434485013808,44
16,34,0.014297841884728274,46
16,35,0.014075958401835582,42
16,36,0.014354107831442321,46
16,37,0.012704063459815642,41
16,38,0.012523187405794396,36
16,39,0.013196462412951247,46
16,40,0.01256541884101143,45
16,41,0.014949040518455126,40
16,42,0.013628348846768739,42
16,43,0.012664593748958721,44
16,44,0.014312432713403947,40
16,45,0.014261895995437607,37
16,46,0.013976861479591608,46
16,47,0.013339467128541579,44
16,48,0.012334570218326827,38
16,49,0.011336939335042123,43
16,50,0.010850005374493633,49
16,51,0.013884710530985521,39
16,52,0.014861879950066655,39
16,53,0.013905550060203801,39
16,54,0.01350056278574504,34
16,55,0.01388518741242511,45
16,56,0.01106616837347025,40
16,57,0.010308632381386457,38
16,58,0.013526377413718668,44
16,59,0.011423375928010555,44
16,60,0.01265280544173545,50
16,61,0.014630344887099857,42
16,62,0.0076649565919607926,43
16,63,0.01455254678314354,40
16,64,0.01459040130532711,33
16,65,0.012502843721969725,35
16,66,0.01572139844262766,41
16,67,0.012284557861285988,49
16,68,0.012908245471111923,42
16,69,0.013922611645326507,39
16,70,0.014686952273853192,52
16,71,0.009895884430482303,29
16,72,0.013443298985906925,39
16,73,0.018711575026205966,49
16,74,0.01175703456162333,44
