n,sample_index,first_kernel,second_kernel,mean_row_total_variation,maximum_row_total_variation
16,0,standardized_exponential,standardized_asinh,0.04072366942494397,0.06921150974715709
16,0,standardized_exponential,standardized_rank,0.16611650128464805,0.31864543442694865
16,0,standardized_asinh,standardized_rank,0.13527171901809865,0.262330517208249
16,1,standardized_exponential,standardized_asinh,0.05759008451372334,0.11199422702884676
16,1,standardized_exponential,standardized_rank,0.24086415144377993,0.37675634340327135
16,1,standardized_asinh,standardized_rank,0.1887656111949876,0.2647621163744246
16,2,standardized_exponential,standardized_asinh,0.06204419908375779,0.13688895113633046
16,2,standardized_exponential,standardized_rank,0.2355871409736363,0.3643935136792805
16,2,standardized_asinh,standardized_rank,0.17627362236458782,0.27835122004007357
16,3,standardized_exponential,standardized_asinh,0.047744029334634785,0.08912521435972587
16,3,standardized_exponential,standardized_rank,0.19836598321537752,0.29877074698750616
16,3,standardized_asinh,standardized_rank,0.15831319046965892,0.24459961899185828
16,4,standardized_exponential,standardized_asinh,0.051940757265303686,0.08719007462207456
16,4,standardized_exponential,standardized_rank,0.22621841130250903,0.38075108692142845
16,4,standardized_asinh,standardized_rank,0.17679418438374966,0.2935610122993539
16,5,standardized_exponential,standardized_asinh,0.05950881635084156,0.147948312065233
16,5,standardized_exponential,standardized_rank,0.24164814245216173,0.4423686675640935
16,5,standardized_asinh,standardized_rank,0.18640587250040436,0.2944203554988605
16,6,standardized_exponential,standardized_asinh,0.04683188329273313,0.09320413750583706
16,6,standardized_exponential,standardized_rank,0.1991603066914791,0.37176603569005523
16,6,standardized_asinh,standardized_rank,0.15864288480766192,0.28480787323762785
16,7,standardized_exponential,standardized_asinh,0.05035026498216232,0.10195962509772624
16,7,standardized_exponential,standardized_rank,0.2105564887801525,0.29751733447508544
16,7,standardized_asinh,standardized_rank,0.1682879173377564,0.24337241423495704
16,8,standardized_exponential,standardized_asinh,0.05391587457001627,0.11344643928281097
16,8,standardized_exponential,standardized_rank,0.22468469356092058,0.35361905425746964
16,8,standardized_asinh,standardized_rank,0.17659614125174153,0.26755159895532826
16,9,standardized_exponential,standardized_asinh,0.054051819182696983,0.13638538927949148
16,9,standardized_exponential,standardized_rank,0.2477503000157589,0.39673233368512667
16,9,standardized_asinh,standardized_rank,0.19467751276648032,0.2961968402903816
16,10,standardized_exponential,standardized_asinh,0.06249786304924489,0.139046162325338
16,10,standardized_exponential,standardized_rank,0.25933686860624483,0.4051828700874789
16,10,standardized_asinh,standardized_rank,0.20287932464823183,0.2661367077621409
16,11,standardized_exponential,standardized_asinh,0.05421438804011607,0.09263027552694822
16,11,standardized_exponential,standardized_rank,0.23539493283465718,0.3797536347167766
16,11,standardized_asinh,standardized_rank,0.18632672766882674,0.29261817279991065
16,12,standardized_exponential,standardized_asinh,0.06400802259634017,0.13061949040952991
16,12,standardized_exponential,standardized_rank,0.24784084308780324,0.3787089288425253
16,12,standardized_asinh,standardized_rank,0.18611208793048684,0.26169274292862477
16,13,standardized_exponential,standardized_asinh,0.0569559494324679,0.1317028455648362
16,13,standardized_exponential,standardized_rank,0.23847146544012002,0.37769760818699616
16,13,standardized_asinh,standardized_rank,0.18601467336502855,0.24599476262215997
16,14,standardized_exponential,standardized_asinh,0.06770639078133192,0.12232250954880196
16,14,standardized_exponential,standardized_rank,0.24432139331721975,0.3561113065835211
16,14,standardized_asinh,standardized_rank,0.18263417501132603,0.24742838559145064
16,15,standardized_exponential,standardized_asinh,0.059305265560554044,0.11867700906295692
16,15,standardized_exponential,standardized_rank,0.2542394918902384,0.41307606826618815
16,15,standardized_asinh,standardized_rank,0.19902462819998173,0.2943990592032312
16,16,standardized_exponential,standardized_asinh,0.04752588008988209,0.11773922202910575
16,16,standardized_exponential,standardized_rank,0.20843117489779694,0.4034460754746957
16,16,standardized_asinh,standardized_rank,0.16719731760904571,0.28570685344558994
16,17,standardized_exponential,standardized_asinh,0.04856683017405472,0.11813287196700467
16,17,standardized_exponential,standardized_rank,0.22040059093143152,0.40655271617280897
16,17,standardized_asinh,standardized_rank,0.17664437551030027,0.29531296636155757
16,18,standardized_exponential,standardized_asinh,0.053870426862738297,0.10465041835528378
16,18,standardized_exponential,standardized_rank,0.20674612915847723,0.33693933403835374
16,18,standardized_asinh,standardized_rank,0.16053146275847174,0.23228891568306992
16,19,standardized_exponential,standardized_asinh,0.048652949228591896,0.1439089810016336
16,19,standardized_exponential,standardized_rank,0.21896038905118131,0.4257756984961736
