sample_index,scale_factor,offset,maximum_reparameterization_error,original_noise_sd,transformed_noise_sd
0,3.095144092371529,0.7841868161645782,1.7763568394002505e-15,0.08,0.24761152738972234
1,0.6963434146041521,-1.2974008424176198,4.440892098500626e-16,0.08,0.05570747316833217
2,1.3734444437251618,-1.7736978763923972,8.881784197001252e-16,0.08,0.10987555549801295
3,0.9637903193178142,-0.10355282661590426,4.440892098500626e-16,0.08,0.07710322554542513
4,1.2499123658354967,-1.0305370322309804,8.881784197001252e-16,0.08,0.09999298926683974
5,0.8587831278166758,-0.9532917527074178,4.440892098500626e-16,0.08,0.06870265022533406
6,2.4260433534591477,-0.06467837947085142,1.3322676295501878e-15,0.08,0.1940834682767318
7,1.924444000500817,-1.8954025785906436,8.881784197001252e-16,0.08,0.15395552004006535
8,0.6230959990914282,0.17692573556281443,4.440892098500626e-16,0.08,0.04984767992731426
9,2.2561615693308643,-0.46230837079212694,8.881784197001252e-16,0.08,0.18049292554646915
10,0.2585501131244323,-0.3535376419455303,1.249000902703301e-16,0.08,0.020684009049954585
11,1.4853560994374524,-0.07810903767118704,8.881784197001252e-16,0.08,0.11882848795499619
12,2.4753543800825697,-0.16151871269026863,8.881784197001252e-16,0.08,0.19802835040660557
13,3.4602133225704073,0.571635529349892,1.7763568394002505e-15,0.08,0.2768170658056326
14,1.5805766877545273,1.6341245957207997,8.881784197001252e-16,0.08,0.1264461350203622
15,3.0659134116172178,-1.2318547242888358,1.7763568394002505e-15,0.08,0.24527307292937742
16,0.29951883432699994,-0.07432082149313546,1.1102230246251565e-16,0.08,0.023961506746159995
17,2.5601555951712593,-0.9783452624511506,1.3322676295501878e-15,0.08,0.20481244761370077
18,3.2413305475615304,-1.3729074254479001,1.7763568394002505e-15,0.08,0.25930644380492246
19,0.951267682613273,-1.0363413922805864,4.440892098500626e-16,0.08,0.07610141460906183
20,2.5318264453838073,0.24684333721996943,8.881784197001252e-16,0.08,0.2025461156307046
21,2.4515563102389706,-0.7059073212049576,1.7763568394002505e-15,0.08,0.19612450481911764
22,1.3735820267023744,-1.0533591456182654,8.881784197001252e-16,0.08,0.10988656213618996
23,2.279673483843826,-0.368072727606219,8.881784197001252e-16,0.08,0.1823738787075061
24,2.095318165398925,-0.749024500863678,8.881784197001252e-16,0.08,0.167625453231914
25,2.1692562757350236,-0.2602043028751977,1.3322676295501878e-15,0.08,0.1735405020588019
26,2.6347525001796708,-1.3546219623792601,1.7763568394002505e-15,0.08,0.21078020001437367
27,0.26224926451968694,1.0797668765884723,4.440892098500626e-16,0.08,0.020979941161574957
28,0.6600390570908478,-1.2373609185833159,4.440892098500626e-16,0.08,0.05280312456726782
29,3.2330398188674008,-0.7350272692724573,1.3322676295501878e-15,0.08,0.2586431855093921
30,1.5142481489222541,-1.4463555013933447,8.881784197001252e-16,0.08,0.12113985191378034
31,0.974179095170065,-0.29201282786119886,4.440892098500626e-16,0.08,0.07793432761360519
32,0.6280468344989755,1.0237430186157432,4.440892098500626e-16,0.08,0.05024374675991804
33,0.8479990693123183,1.4133222609542546,4.440892098500626e-16,0.08,0.06783992554498547
34,3.2138550623025317,-1.0858213865326096,8.881784197001252e-16,0.08,0.25710840498420257
35,2.3791939870337355,-1.2621058367882516,1.7763568394002505e-15,0.08,0.19033551896269885
36,1.110100523509444,0.9815777959996836,8.881784197001252e-16,0.08,0.08880804188075553
37,2.3613063556532112,0.8278007744558535,1.3322676295501878e-15,0.08,0.1889045084522569
38,1.735462804293772,0.7131044944810498,8.881784197001252e-16,0.08,0.13883702434350176
39,1.882875408206905,-1.8368626205975342,8.881784197001252e-16,0.08,0.1506300326565524
40,2.379996582482006,1.4086628299270445,8.881784197001252e-16,0.08,0.19039972659856047
41,1.6952494148166308,-1.2713112996031288,4.440892098500626e-16,0.08,0.13561995318533046
42,3.437813434331857,0.8512777868088146,1.7763568394002505e-15,0.08,0.2750250747465486
43,0.361495635310009,-1.084602877343662,4.440892098500626e-16,0.08,0.02891965082480072
44,2.9018759035228823,1.7843485088955444,1.7763568394002505e-15,0.08,0.2321500722818306
45,2.395468849328225,-1.3506645344002313,1.7763568394002505e-15,0.08,0.191637507946258
46,1.756511771411589,0.47754323152894385,8.881784197001252e-16,0.08,0.14052094171292712
47,2.6145272763447283,1.037270678172482,1.7763568394002505e-15,0.08,0.20916218210757825
48,2.308251896050608,1.0334292530955969,8.881784197001252e-16,0.08,0.18466015168404867
49,0.7621662750895073,1.50839931995724,4.440892098500626e-16,0.08,0.060973302007160585
50,3.0803659961746694,0.9830023830450081,1.7763568394002505e-15,0.08,0.24642927969397357
51,2.2571184903591406,1.3341799678815551,8.881784197001252e-16,0.08,0.18056947922873126
52,0.769009103126346,0.9598694939233523,4.440892098500626e-16,0.08,0.06152072825010768
53,2.0410031180714583,0.4735908209948092,8.881784197001252e-16,0.08,0.16328024944571667
54,1.892927986655332,0.021362870405087442,8.881784197001252e-16,0.08,0.15143423893242655
55,3.0786962043388044,-0.1945618591383549,8.881784197001252e-16,0.08,0.24629569634710435
56,3.4217697937945966,0.4749478300929413,2.6645352591003757e-15,0.08,0.27374158350356775
57,1.5696579446788912,0.266075093817963,6.661338147750939e-16,0.08,0.1255726355743113
58,0.7763977608238237,-1.1065245972758717,4.440892098500626e-16,0.08,0.0621118208659059
59,2.3969104790999216,1.2669526612867132,8.881784197001252e-16,0.08,0.19175283832799372
60,0.7842928557920839,0.83216621657626,4.440892098500626e-16,0.08,0.06274342846336671
61,0.46698385445434076,-1.9947149246563858,8.881784197001252e-16,0.08,0.03735870835634726
62,0.42037753955743484,0.13984890217153767,2.220446049250313e-16,0.08,0.03363020316459479
63,0.6077339331371016,-1.8310482705120181,4.440892098500626e-16,0.08,0.04861871465096813
64,3.1979743988848948,1.9888492614057651,1.7763568394002505e-15,0.08,0.25583795191079156
65,1.6189151804524569,0.10633426305167104,4.440892098500626e-16,0.08,0.12951321443619654
