sample_index,function,aggregation_error
0,exp_0_5,5.551115123125783e-17
0,exp_1,5.551115123125783e-17
0,exp_2,1.1102230246251565e-16
0,asinh,1.1102230246251565e-16
0,logistic,5.551115123125783e-17
1,exp_0_5,0.0
1,exp_1,0.0
1,exp_2,0.0
1,asinh,1.3877787807814457e-17
1,logistic,0.0
2,exp_0_5,0.0
2,exp_1,0.0
2,exp_2,3.469446951953614e-18
2,asinh,0.0
2,logistic,0.0
3,exp_0_5,0.0
3,exp_1,5.551115123125783e-17
3,exp_2,0.0
3,asinh,0.0
3,logistic,5.551115123125783e-17
4,exp_0_5,1.1102230246251565e-16
4,exp_1,1.1102230246251565e-16
4,exp_2,1.1102230246251565e-16
4,asinh,0.0
4,logistic,1.1102230246251565e-16
5,exp_0_5,5.551115123125783e-17
5,exp_1,2.7755575615628914e-17
5,exp_2,2.7755575615628914e-17
5,asinh,5.551115123125783e-17
5,logistic,0.0
6,exp_0_5,0.0
6,exp_1,0.0
6,exp_2,1.1102230246251565e-16
6,asinh,0.0
6,logistic,5.551115123125783e-17
7,exp_0_5,0.0
7,exp_1,0.0
7,exp_2,2.220446049250313e-16
7,asinh,2.220446049250313e-16
7,logistic,2.220446049250313e-16
8,exp_0_5,1.1102230246251565e-16
8,exp_1,0.0
8,exp_2,0.0
8,asinh,0.0
8,logistic,5.551115123125783e-17
9,exp_0_5,5.551115123125783e-17
9,exp_1,2.7755575615628914e-17
9,exp_2,0.0
9,asinh,0.0
9,logistic,0.0
10,exp_0_5,0.0
10,exp_1,0.0
10,exp_2,0.0
10,asinh,0.0
10,logistic,0.0
11,exp_0_5,0.0
11,exp_1,1.1102230246251565e-16
11,exp_2,2.220446049250313e-16
11,asinh,0.0
11,logistic,0.0
12,exp_0_5,5.551115123125783e-17
12,exp_1,5.551115123125783e-17
12,exp_2,0.0
12,asinh,0.0
12,logistic,0.0
13,exp_0_5,0.0
13,exp_1,0.0
13,exp_2,1.1102230246251565e-16
13,asinh,0.0
13,logistic,1.1102230246251565e-16
14,exp_0_5,5.551115123125783e-17
14,exp_1,0.0
14,exp_2,0.0
14,asinh,5.551115123125783e-17
14,logistic,5.551115123125783e-17
15,exp_0_5,1.1102230246251565e-16
15,exp_1,0.0
15,exp_2,0.0
15,asinh,0.0
15,logistic,1.1102230246251565e-16
16,exp_0_5,1.1102230246251565e-16
16,exp_1,2.220446049250313e-16
16,exp_2,0.0
16,asinh,1.1102230246251565e-16
16,logistic,1.1102230246251565e-16
17,exp_0_5,5.551115123125783e-17
17,exp_1,5.551115123125783e-17
17,exp_2,2.7755575615628914e-17
17,asinh,0.0
17,logistic,5.551115123125783e-17
18,exp_0_5,1.1102230246251565e-16
18,exp_1,0.0
18,exp_2,0.0
18,asinh,1.1102230246251565e-16
18,logistic,0.0
19,exp_0_5,0.0
19,exp_1,5.551115123125783e-17
19,exp_2,0.0
19,asinh,0.0
19,logistic,0.0
20,exp_0_5,1.1102230246251565e-16
20,exp_1,1.1102230246251565e-16
20,exp_2,0.0
20,asinh,0.0
20,logistic,1.1102230246251565e-16
21,exp_0_5,1.1102230246251565e-16
21,exp_1,0.0
21,exp_2,1.1102230246251565e-16
21,asinh,1.1102230246251565e-16
21,logistic,1.1102230246251565e-16
22,exp_0_5,5.551115123125783e-17
22,exp_1,2.7755575615628914e-17
22,exp_2,6.938893903907228e-18
22,asinh,2.7755575615628914e-17
22,logistic,0.0
23,exp_0_5,1.1102230246251565e-16
23,exp_1,1.1102230246251565e-16
23,exp_2,1.1102230246251565e-16
23,asinh,1.1102230246251565e-16
23,logistic,0.0
24,exp_0_5,2.7755575615628914e-17
24,exp_1,0.0
24,exp_2,0.0
24,asinh,0.0
24,logistic,0.0
25,exp_0_5,0.0
25,exp_1,0.0
25,exp_2,1.1102230246251565e-16
25,asinh,1.1102230246251565e-16
25,logistic,1.1102230246251565e-16
26,exp_0_5,0.0
26,exp_1,0.0
26,exp_2,1.1102230246251565e-16
26,asinh,1.1102230246251565e-16
26,logistic,0.0
27,exp_0_5,0.0
27,exp_1,0.0
27,exp_2,8.673617379884035e-19
27,asinh,0.0
27,logistic,0.0
28,exp_0_5,0.0
28,exp_1,2.7755575615628914e-17
28,exp_2,3.469446951953614e-18
28,asinh,0.0
28,logistic,5.551115123125783e-17
29,exp_0_5,0.0
29,exp_1,0.0
29,exp_2,1.1102230246251565e-16
29,asinh,1.1102230246251565e-16
29,logistic,1.1102230246251565e-16
30,exp_0_5,0.0
30,exp_1,2.7755575615628914e-17
30,exp_2,3.469446951953614e-18
30,asinh,0.0
30,logistic,5.551115123125783e-17
31,exp_0_5,1.1102230246251565e-16
31,exp_1,0.0
31,exp_2,1.1102230246251565e-16
31,asinh,0.0
31,logistic,1.1102230246251565e-16
32,exp_0_5,0.0
32,exp_1,0.0
32,exp_2,0.0
32,asinh,0.0
32,logistic,0.0
33,exp_0_5,0.0
33,exp_1,1.1102230246251565e-16
33,exp_2,1.1102230246251565e-16
33,asinh,0.0
33,logistic,5.551115123125783e-17
34,exp_0_5,1.1102230246251565e-16
34,exp_1,0.0
34,exp_2,5.551115123125783e-17
34,asinh,0.0
34,logistic,0.0
35,exp_0_5,5.551115123125783e-17
35,exp_1,5.551115123125783e-17
35,exp_2,0.0
35,asinh,0.0
35,logistic,5.551115123125783e-17
36,exp_0_5,0.0
36,exp_1,5.551115123125783e-17
36,exp_2,0.0
36,asinh,5.551115123125783e-17
36,logistic,0.0
37,exp_0_5,0.0
37,exp_1,1.1102230246251565e-16
37,exp_2,1.1102230246251565e-16
