sample_index,function,detailed_balance_error
0,exp_0_5,6.938893903907228e-18
0,exp_1,1.3877787807814457e-17
0,exp_2,6.938893903907228e-18
0,asinh,1.3877787807814457e-17
0,logistic,6.938893903907228e-18
1,exp_0_5,3.469446951953614e-18
1,exp_1,6.938893903907228e-18
1,exp_2,6.938893903907228e-18
1,asinh,6.938893903907228e-18
1,logistic,3.469446951953614e-18
2,exp_0_5,6.938893903907228e-18
2,exp_1,6.938893903907228e-18
2,exp_2,2.7755575615628914e-17
2,asinh,1.3877787807814457e-17
2,logistic,6.938893903907228e-18
3,exp_0_5,6.938893903907228e-18
3,exp_1,1.3877787807814457e-17
3,exp_2,1.3877787807814457e-17
3,asinh,6.938893903907228e-18
3,logistic,6.938893903907228e-18
4,exp_0_5,3.469446951953614e-18
4,exp_1,6.938893903907228e-18
4,exp_2,3.469446951953614e-18
4,asinh,3.469446951953614e-18
4,logistic,3.469446951953614e-18
5,exp_0_5,6.938893903907228e-18
5,exp_1,2.7755575615628914e-17
5,exp_2,2.7755575615628914e-17
5,asinh,1.3877787807814457e-17
5,logistic,6.938893903907228e-18
6,exp_0_5,6.938893903907228e-18
6,exp_1,1.3877787807814457e-17
6,exp_2,2.7755575615628914e-17
6,asinh,1.3877787807814457e-17
6,logistic,1.3877787807814457e-17
7,exp_0_5,3.469446951953614e-18
7,exp_1,3.469446951953614e-18
7,exp_2,1.3877787807814457e-17
7,asinh,6.938893903907228e-18
7,logistic,3.469446951953614e-18
8,exp_0_5,6.938893903907228e-18
8,exp_1,3.469446951953614e-18
8,exp_2,2.7755575615628914e-17
8,asinh,6.938893903907228e-18
8,logistic,3.469446951953614e-18
9,exp_0_5,3.469446951953614e-18
9,exp_1,3.469446951953614e-18
9,exp_2,1.3877787807814457e-17
9,asinh,6.938893903907228e-18
9,logistic,3.469446951953614e-18
10,exp_0_5,6.938893903907228e-18
10,exp_1,1.3877787807814457e-17
10,exp_2,1.3877787807814457e-17
10,asinh,1.3877787807814457e-17
10,logistic,6.938893903907228e-18
11,exp_0_5,1.3877787807814457e-17
11,exp_1,1.3877787807814457e-17
11,exp_2,2.7755575615628914e-17
11,asinh,6.938893903907228e-18
11,logistic,1.3877787807814457e-17
12,exp_0_5,6.938893903907228e-18
12,exp_1,1.3877787807814457e-17
12,exp_2,2.7755575615628914e-17
12,asinh,1.3877787807814457e-17
12,logistic,6.938893903907228e-18
13,exp_0_5,3.469446951953614e-18
13,exp_1,6.938893903907228e-18
13,exp_2,3.469446951953614e-18
13,asinh,1.3877787807814457e-17
13,logistic,5.204170427930421e-18
14,exp_0_5,1.3877787807814457e-17
14,exp_1,1.3877787807814457e-17
14,exp_2,2.7755575615628914e-17
14,asinh,1.3877787807814457e-17
14,logistic,6.938893903907228e-18
15,exp_0_5,3.469446951953614e-18
15,exp_1,1.3877787807814457e-17
15,exp_2,2.7755575615628914e-17
15,asinh,1.3877787807814457e-17
15,logistic,6.938893903907228e-18
16,exp_0_5,3.469446951953614e-18
16,exp_1,3.469446951953614e-18
16,exp_2,6.938893903907228e-18
16,asinh,3.469446951953614e-18
16,logistic,3.469446951953614e-18
17,exp_0_5,3.469446951953614e-18
17,exp_1,6.938893903907228e-18
17,exp_2,6.938893903907228e-18
17,asinh,3.469446951953614e-18
17,logistic,3.469446951953614e-18
18,exp_0_5,3.469446951953614e-18
18,exp_1,1.0408340855860843e-17
18,exp_2,6.938893903907228e-18
18,asinh,6.938893903907228e-18
18,logistic,6.938893903907228e-18
19,exp_0_5,1.3877787807814457e-17
19,exp_1,2.7755575615628914e-17
19,exp_2,5.551115123125783e-17
19,asinh,2.7755575615628914e-17
19,logistic,6.938893903907228e-18
20,exp_0_5,6.938893903907228e-18
20,exp_1,1.3877787807814457e-17
20,exp_2,3.469446951953614e-18
20,asinh,1.3877787807814457e-17
20,logistic,6.938893903907228e-18
21,exp_0_5,6.938893903907228e-18
21,exp_1,6.938893903907228e-18
21,exp_2,1.3877787807814457e-17
21,asinh,1.3877787807814457e-17
21,logistic,6.938893903907228e-18
22,exp_0_5,6.938893903907228e-18
22,exp_1,6.938893903907228e-18
22,exp_2,6.938893903907228e-18
22,asinh,6.938893903907228e-18
22,logistic,3.469446951953614e-18
23,exp_0_5,3.469446951953614e-18
23,exp_1,6.938893903907228e-18
23,exp_2,2.7755575615628914e-17
23,asinh,3.469446951953614e-18
23,logistic,3.469446951953614e-18
24,exp_0_5,6.938893903907228e-18
24,exp_1,3.469446951953614e-18
24,exp_2,1.3877787807814457e-17
24,asinh,6.938893903907228e-18
24,logistic,3.469446951953614e-18
25,exp_0_5,3.469446951953614e-18
25,exp_1,6.938893903907228e-18
25,exp_2,2.7755575615628914e-17
25,asinh,6.938893903907228e-18
25,logistic,3.469446951953614e-18
26,exp_0_5,3.469446951953614e-18
26,exp_1,3.469446951953614e-18
26,exp_2,6.938893903907228e-18
26,asinh,3.469446951953614e-18
26,logistic,3.469446951953614e-18
27,exp_0_5,3.469446951953614e-18
27,exp_1,6.938893903907228e-18
27,exp_2,1.3877787807814457e-17
27,asinh,6.938893903907228e-18
27,logistic,6.938893903907228e-18
28,exp_0_5,3.469446951953614e-18
28,exp_1,6.938893903907228e-18
28,exp_2,2.7755575615628914e-17
28,asinh,6.938893903907228e-18
28,logistic,3.469446951953614e-18
29,exp_0_5,3.469446951953614e-18
29,exp_1,3.469446951953614e-18
29,exp_2,2.7755575615628914e-17
29,asinh,3.469446951953614e-18
29,logistic,3.469446951953614e-18
30,exp_0_5,3.469446951953614e-18
30,exp_1,6.938893903907228e-18
