sample_index,function,relative_odds_error
0,exp_0_5,0.0
0,exp_1,1.394821114600967e-16
0,exp_2,1.7523739812489914e-16
0,asinh,1.5989269034224036e-16
0,logistic,0.0
1,exp_0_5,0.0
1,exp_1,0.0
1,exp_2,1.5565870548549583e-16
1,asinh,0.0
1,logistic,1.692562108766667e-16
2,exp_0_5,0.0
2,exp_1,0.0
2,exp_2,0.0
2,asinh,0.0
2,logistic,1.7443504809333654e-16
3,exp_0_5,1.4697188961154705e-16
3,exp_1,1.9456213622737471e-16
3,exp_2,1.704811736639144e-16
3,asinh,0.0
3,logistic,0.0
4,exp_0_5,0.0
4,exp_1,2.0232104562291998e-16
4,exp_2,0.0
4,asinh,1.6683048454533615e-16
4,logistic,0.0
5,exp_0_5,1.58146060797845e-16
5,exp_1,1.1263582177247602e-16
5,exp_2,1.142727908263695e-16
5,asinh,0.0
5,logistic,0.0
6,exp_0_5,0.0
6,exp_1,1.2648676903853234e-16
6,exp_2,1.4410530485267786e-16
6,asinh,0.0
6,logistic,0.0
7,exp_0_5,1.7955686850699884e-16
7,exp_1,1.4519906502085496e-16
7,exp_2,0.0
7,asinh,1.1637285743437743e-16
7,logistic,0.0
8,exp_0_5,1.4634151964652955e-16
8,exp_1,1.9289674144243407e-16
8,exp_2,0.0
8,asinh,0.0
8,logistic,0.0
9,exp_0_5,2.0844532452842762e-16
9,exp_1,0.0
9,exp_2,1.7244394776298434e-16
9,asinh,0.0
9,logistic,0.0
10,exp_0_5,0.0
10,exp_1,1.3178562640847887e-16
10,exp_2,0.0
10,asinh,0.0
10,logistic,1.7233858986144187e-16
11,exp_0_5,0.0
11,exp_1,1.8403783547868967e-16
11,exp_2,0.0
11,asinh,1.699545857179726e-16
11,logistic,0.0
12,exp_0_5,0.0
12,exp_1,2.0354410980730389e-16
12,exp_2,0.0
12,asinh,0.0
12,logistic,2.1032899928885833e-16
13,exp_0_5,1.2407499302841966e-16
13,exp_1,0.0
13,exp_2,1.7318343462180976e-16
13,asinh,0.0
13,logistic,1.3178283849684504e-16
14,exp_0_5,0.0
14,exp_1,1.2717353539952167e-16
14,exp_2,0.0
14,asinh,2.7432719037307024e-16
14,logistic,1.1444884035299332e-16
15,exp_0_5,1.2566670073882157e-16
15,exp_1,0.0
15,exp_2,1.8224270943657344e-16
15,asinh,0.0
15,logistic,1.347728315330269e-16
16,exp_0_5,0.0
16,exp_1,1.8525430715618362e-16
16,exp_2,0.0
16,asinh,1.8418445109427127e-16
16,logistic,0.0
17,exp_0_5,0.0
17,exp_1,0.0
17,exp_2,0.0
17,asinh,0.0
17,logistic,1.7320673993973214e-16
18,exp_0_5,0.0
18,exp_1,0.0
18,exp_2,0.0
18,asinh,2.1100824492330694e-16
18,logistic,1.1199485435565608e-16
19,exp_0_5,1.481701198928725e-16
19,exp_1,0.0
19,exp_2,1.7610911883534672e-16
19,asinh,0.0
19,logistic,1.8075283974766922e-16
20,exp_0_5,0.0
20,exp_1,1.9927551740129782e-16
20,exp_2,1.7884123709721503e-16
20,asinh,0.0
20,logistic,0.0
21,exp_0_5,1.1904877571029744e-16
21,exp_1,0.0
21,exp_2,0.0
21,asinh,1.734522566951076e-16
21,logistic,0.0
22,exp_0_5,1.5878344098037768e-16
22,exp_1,0.0
22,exp_2,2.322523686912298e-16
22,asinh,0.0
22,logistic,0.0
23,exp_0_5,1.2546772958096065e-16
23,exp_1,1.4179269225222635e-16
23,exp_2,0.0
23,asinh,1.7516660343838926e-16
23,logistic,0.0
24,exp_0_5,0.0
24,exp_1,0.0
24,exp_2,1.8090024066605052e-16
24,asinh,0.0
24,logistic,0.0
25,exp_0_5,0.0
25,exp_1,2.3124904452748054e-16
25,exp_2,0.0
25,asinh,0.0
25,logistic,0.0
26,exp_0_5,2.6160654454510366e-16
26,exp_1,1.5410863995532782e-16
26,exp_2,0.0
26,asinh,2.5789672103377333e-16
26,logistic,1.426643727496591e-16
27,exp_0_5,1.228193763129938e-16
27,exp_1,1.358699906535066e-16
27,exp_2,0.0
27,asinh,0.0
27,logistic,0.0
28,exp_0_5,1.7184653548663222e-16
28,exp_1,0.0
28,exp_2,0.0
28,asinh,0.0
28,logistic,0.0
29,exp_0_5,0.0
29,exp_1,0.0
29,exp_2,1.6783765175772684e-16
29,asinh,1.3621874076287802e-16
29,logistic,0.0
30,exp_0_5,0.0
30,exp_1,0.0
30,exp_2,1.4717515304993897e-16
30,asinh,1.6934431101863572e-16
30,logistic,1.2622561306448183e-16
31,exp_0_5,0.0
31,exp_1,0.0
31,exp_2,1.7509701747952787e-16
31,asinh,0.0
31,logistic,0.0
32,exp_0_5,1.884112978170746e-16
32,exp_1,0.0
32,exp_2,1.1510841872763306e-16
32,asinh,0.0
32,logistic,1.9933516554946828e-16
33,exp_0_5,2.1068217520107713e-16
33,exp_1,0.0
33,exp_2,1.7996601411535045e-16
33,asinh,1.8548163690479723e-16
33,logistic,0.0
34,exp_0_5,2.1401177518137907e-16
34,exp_1,2.0626954630016303e-16
34,exp_2,0.0
34,asinh,0.0
34,logistic,1.8549717233001832e-16
35,exp_0_5,1.144529748604796e-16
35,exp_1,1.1798965760808588e-16
35,exp_2,1.2539425857407036e-16
35,asinh,0.0
35,logistic,0.0
36,exp_0_5,2.0973059644271403e-16
36,exp_1,0.0
36,exp_2,1.7673659810130305e-16
36,asinh,0.0
36,logistic,0.0
37,exp_0_5,1.1772986102709573e-16
37,exp_1,1.2484266557288273e-16
37,exp_2,1.4038342568696788e-16
37,asinh,1.2017962002328464e-16
37,logistic,0.0
38,exp_0_5,0.0
38,exp_1,0.0
38,exp_2,0.0
38,asinh,0.0
38,logistic,1.3826446080272295e-16
39,exp_0_5,0.0
39,exp_1,0.0
39,exp_2,1.8649875435231234e-16
39,asinh,0.0
