lambda,expected_score_constraint,entropy,probabilities
0.25,-0.21457260396648256,1.7442739578438515,"[0.25978079263350934, 0.19732224823369993, 0.16983683298087082, 0.14988047905039573, 0.12271175748461918, 0.10046788961690496]"
0.5,-0.5707017775549799,1.6115736149736517,"[0.3690125946242164, 0.21290174649645305, 0.1577214930195325, 0.12283362227080304, 0.08233783933528901, 0.05519270425370601]"
1.0,-1.1200785054886109,1.209676191393347,"[0.5887493740234064, 0.19597764215773728, 0.10755481043043745, 0.06523529012564044, 0.02931210533604044, 0.013170777926737936]"
2.0,-1.614593721140628,0.5187436259439528,"[0.8624905658984404, 0.09556667875926385, 0.028784130493963063, 0.010589089840725, 0.0021379003675749586, 0.0004316346400328781]"
4.0,-1.784461036881827,0.07561313843722549,"[0.9866328584886055, 0.01211322696320063, 0.0010988871578316874, 0.00014871820475022762, 6.062081797325214e-06, 2.471038147561114e-07]"
0.25_vs_0.5,,,TV=0.12481130025346016
0.25_vs_1.0,,,TV=0.3289685813898971
0.25_vs_2.0,,,TV=0.602709773264931
0.25_vs_4.0,,,TV=0.726852065855096
0.5_vs_1.0,,,TV=0.21973677939919006
0.5_vs_2.0,,,TV=0.49347797127422394
0.5_vs_4.0,,,TV=0.6176202638643891
1.0_vs_2.0,,,TV=0.2737411918750339
1.0_vs_4.0,,,TV=0.397883484465199
2.0_vs_4.0,,,TV=0.1241422925901651
