sample_index,choice_size,lambda_true,lambda_recovered,lambda_absolute_error,maximum_probability_error,target_mean_score,maximum_feasible_entropy_excess
0,5,1.2408660821472075,1.2408660821472086,1.1102230246251565e-15,2.220446049250313e-16,-0.8485432709778538,-3.6185656693277224e-09
1,5,1.5255356199255012,1.5255356199255037,2.4424906541753444e-15,4.440892098500626e-16,-0.8423947985695273,-2.1925243176568188e-08
2,7,2.4871201312740947,2.4871201312740956,8.881784197001252e-16,5.551115123125783e-17,-1.1258616212098684,-7.814572544617704e-09
3,6,1.8393522498858672,1.8393522498858679,6.661338147750939e-16,2.220446049250313e-16,-1.236466226787253,-4.322894064934246e-08
4,9,1.859901613512842,1.8599016135128426,6.661338147750939e-16,6.938893903907228e-17,-1.795690107039259,-3.6606856290699596e-07
5,4,0.8746431442434056,0.8746431442434055,1.1102230246251565e-16,2.7755575615628914e-17,-0.855603149060163,-6.174767282818294e-06
6,8,1.7148858774759257,1.7148858774759261,4.440892098500626e-16,2.0816681711721685e-17,-1.1023806776949996,-1.6700663074686872e-10
7,4,1.5325758778888672,1.5325758778888672,0.0,0.0,-1.443512944544126,-1.97392202857527e-05
8,5,1.2613772816789177,1.2613772816789177,0.0,0.0,-0.7166298812518731,-2.6335476996930396e-06
9,7,0.9715445770798485,0.9715445770798611,1.2545520178264269e-14,5.662137425588298e-15,-1.1578621305488939,-1.766035074846073e-06
10,8,2.3785757651478385,2.378575765147792,4.6629367034256575e-14,3.1086244689504383e-15,-2.123980972190523,-2.232475268537648e-08
11,10,0.7255516514809218,0.7255516514809327,1.0880185641326534e-14,3.219646771412954e-15,-0.6645121430321818,-3.7425478716102134e-08
12,8,2.9383723449680503,2.9383723449680423,7.993605777301127e-15,4.440892098500626e-16,-1.2318950225112202,-3.1364526820176764e-07
13,6,0.5795285999390547,0.5795285999390546,1.1102230246251565e-16,5.551115123125783e-17,-0.5414755180041559,-6.461600140061918e-06
14,7,2.775038300357455,2.7750383003574557,8.881784197001252e-16,1.3877787807814457e-17,-1.1817734043440649,-8.644707172322796e-11
15,4,0.502974474660173,0.5029744746601877,1.4765966227514582e-14,7.771561172376096e-15,-0.5635937492758195,-2.4562195674926457e-05
16,8,0.43390283335431556,0.4339028333543204,4.829470157119431e-15,8.604228440844963e-16,-0.3929343015200965,-2.2867381572755363e-06
17,5,1.5744583093781352,1.5744583093781361,8.881784197001252e-16,2.220446049250313e-16,-1.569905649672213,-2.3311692787242322e-07
18,6,2.089693034524505,2.089693034524506,8.881784197001252e-16,1.1102230246251565e-16,-0.9161078408528146,-2.6173780920402123e-09
19,11,1.6943658425677908,1.6943658425677905,2.220446049250313e-16,4.163336342344337e-17,-1.861472550424681,-3.4148558880620072e-06
20,7,0.7057357295250355,0.7057357295250356,1.1102230246251565e-16,2.7755575615628914e-17,-0.526062405659274,-5.2454827287107264e-05
21,8,0.7382256276627207,0.7382256276627205,2.220446049250313e-16,5.551115123125783e-17,-0.6391876174161625,-4.785739506907305e-07
22,5,0.42876806728599826,0.4287680672859982,5.551115123125783e-17,2.7755575615628914e-17,-0.5263114245481669,-8.165223670753008e-06
23,7,2.8083845790720763,2.808384579072079,2.6645352591003757e-15,3.3306690738754696e-16,-1.3235018354708383,-2.8379970595793225e-09
24,6,1.0995478049768934,1.0995478049768932,2.220446049250313e-16,1.1102230246251565e-16,-1.3536400933504384,-5.166873595641164e-09
25,11,2.939520966434926,2.939520966434914,1.2434497875801753e-14,7.771561172376096e-16,-2.226000458107212,-6.409067221380127e-09
26,8,0.5500530767553686,0.5500530767553686,0.0,0.0,-0.5355354746059536,-1.067386473119214e-05
27,4,0.6551668469967334,0.6551668469967336,1.1102230246251565e-16,5.551115123125783e-17,-0.5295314271022409,-1.1362461194153184e-06
28,5,2.4714725311197094,2.4714725311197103,8.881784197001252e-16,2.7755575615628914e-17,-0.9193099417111046,-5.436745997844383e-08
29,11,0.6653810748929866,0.6653810748929866,0.0,0.0,-0.6952503411485268,-6.101152147941491e-06
30,5,1.8077122967049237,1.8077122967048536,7.016609515630989e-14,5.2735593669694936e-15,-0.6213008112285883,-8.950663188400654e-08
31,11,2.5909869100669023,2.590986910066908,5.773159728050814e-15,1.1102230246251565e-15,-1.450214790307902,-2.8755938963342942e-08
32,10,0.32339800485977677,0.32339800485977666,1.1102230246251565e-16,2.7755575615628914e-17,-0.27858137170273856,-9.7697023888621e-06
33,7,2.9072901228567507,2.9072901228567503,4.440892098500626e-16,2.7755575615628914e-16,-1.470952615502922,-2.444359492592696e-09
34,11,1.9371655590330228,1.9371655590330235,6.661338147750939e-16,2.220446049250313e-16,-1.2823465149133633,-1.0816767814780803e-07
35,10,1.0608502460507119,1.0608502460507119,0.0,0.0,-1.017784446053405,-2.906135335933868e-06
36,9,0.24180342329405574,0.24180342329405866,2.914335439641036e-15,6.938893903907228e-16,-0.244723011576118,-7.73434782885829e-09
37,4,1.034373486933883,1.0343734869339085,2.55351295663786e-14,9.880984919163893e-15,-1.1642967982179961,-1.5397362980396068e-05
38,7,0.7298235879283832,0.729823587928383,2.220446049250313e-16,4.163336342344337e-17,-0.4419106382398877,-1.1622571740588228e-06
39,7,2.066197073865634,2.066197073865635,8.881784197001252e-16,1.1102230246251565e-16,-1.2414290938244328,-5.050758340452433e-07
40,11,1.314060232843972,1.3140602328439697,2.4424906541753444e-15,9.992007221626409e-16,-1.3293331058997528,-1.0717546850003146e-09
41,6,2.070476546880638,2.070476546880641,3.1086244689504383e-15,6.661338147750939e-16,-1.090988065496142,-3.557804273413012e-09
42,4,2.3067314475968828,2.3067314475968845,1.7763568394002505e-15,2.220446049250313e-16,-0.6430236062241257,-6.300610033704857e-08
43,4,1.5261298358904885,1.5261298358904882,2.220446049250313e-16,8.673617379884035e-18,-0.9540375630832196,-4.412433951550554e-08
44,4,2.0996582027122246,2.0996582027122264,1.7763568394002505e-15,6.591949208711867e-17,-1.5797616416145617,-1.9208245588542283e-07
45,10,1.174841518493279,1.174841518493279,0.0,0.0,-0.9134902567958243,-8.99041527890887e-08
46,11,2.5174429532776386,2.517442953277653,1.4654943925052066e-14,2.6645352591003757e-15,-1.5985369996986938,-1.2877799937527357e-09
47,10,1.430335669878762,1.4303356698788185,5.6621374255882984e-14,4.08006961549745e-15,-0.8980557464669957,-2.8411485519796997e-07
48,6,1.6622797509279763,1.6622797509279756,6.661338147750939e-16,1.1102230246251565e-16,-1.2845732994959398,-5.745942087687084e-07
49,4,1.1135309156371076,1.1135309156371072,4.440892098500626e-16,5.551115123125783e-17,-0.6617786773256901,-3.5781854661465218e-06
50,5,1.0141341483116602,1.0141341483116604,2.220446049250313e-16,5.551115123125783e-17,-0.7309668624555765,-3.7492704407782185e-07
51,8,2.0110238842514887,2.0110238842514936,4.884981308350689e-15,3.885780586188048e-16,-0.901369672564525,-1.2190225606723004e-07
52,4,2.41847382536439,2.4184738253643117,7.815970093361102e-14,8.326672684688674e-15,-1.0292478782547783,-4.1352549484674483e-07
53,8,0.7594545638062467,0.7594545638062469,2.220446049250313e-16,2.0816681711721685e-17,-0.6038984567380818,-9.197553607620534e-09
54,9,1.6761450937314009,1.6761450937314006,2.220446049250313e-16,1.3877787807814457e-17,-1.3061286480117504,-7.899933380794977e-07
55,11,2.118824157358816,2.1188241573588202,4.440892098500626e-15,6.661338147750939e-16,-1.2886382972977368,-2.874163935739915e-07
56,6,1.6832403422828623,1.6832403422828903,2.7977620220553945e-14,4.773959005888173e-15,-1.8936828583821343,-7.447255919723617e-07
57,10,0.7685190810954092,0.7685190810954166,7.327471962526033e-15,9.159339953157541e-16,-0.6052845699490191,-7.928242115262663e-06
58,9,1.5567872500472806,1.5567872500472868,6.217248937900877e-15,9.43689570931383e-16,-1.0716036839068006,-3.1465709660061236e-07
59,10,0.49163713630150074,0.49163713630149086,9.880984919163893e-15,3.1363800445660672e-15,-0.5177193866781575,-2.3573625806960763e-07
60,7,1.393487661613395,1.3934876616134333,3.8191672047105385e-14,1.354472090042691e-14,-1.2274336096898466,-7.81125926385684e-07
61,7,1.0267086109940855,1.0267086109940846,8.881784197001252e-16,4.440892098500626e-16,-1.2799540122353605,-4.6787515527446644e-05
62,5,1.4242362353205995,1.4242362353206013,1.7763568394002505e-15,2.7755575615628914e-16,-0.6555340343991025,-9.420180247410315e-06
63,10,1.3765640360943396,1.3765640360943412,1.5543122344752192e-15,4.440892098500626e-16,-1.2138049946175646,-3.102853574077358e-08
64,5,1.6219792045306896,1.6219792045306898,2.220446049250313e-16,1.1102230246251565e-16,-1.192767986185835,-2.984952825024756e-06
65,5,0.9222144996216354,0.9222144996216426,7.216449660063518e-15,2.4424906541753444e-15,-0.8060850809203539,-7.589683992392793e-09
66,10,2.809853155559447,2.8098531555594484,1.3322676295501878e-15,3.3306690738754696e-16,-1.5522423350428243,-2.8426271336812192e-09
67,8,0.34057091886252705,0.34057091886252694,1.1102230246251565e-16,2.7755575615628914e-17,-0.31394909018055844,-2.34542380272984e-06
68,4,1.2359291075221033,1.2359291075220542,4.907185768843192e-14,4.8155923693116165e-15,-0.7671602070106838,-3.856291283854674e-06
69,4,2.4197082324114985,2.4197082324115007,2.220446049250313e-15,9.020562075079397e-17,-1.5286103427011601,-1.4824198871776773e-06
70,8,0.4518453737438135,0.4518453737438318,1.8318679906315083e-14,6.050715484207103e-15,-0.4595246706626911,-3.021650929468933e-09
71,11,1.1108239859952662,1.1108239859952662,0.0,0.0,-0.7940031366813401,-1.2968736595730945e-06
72,5,1.9315792891648478,1.9315792891648471,6.661338147750939e-16,2.220446049250313e-16,-1.7194862332346323,-5.145154179708733e-06
73,11,0.3988355135845312,0.39883551358453123,5.551115123125783e-17,5.551115123125783e-17,-0.38209094419625966,-1.320256447723267e-06
74,5,2.234369047781653,2.234369047781654,8.881784197001252e-16,5.551115123125783e-17,-0.8262613632595319,-2.266837650921616e-08
75,7,1.8260668619691307,1.8260668619691316,8.881784197001252e-16,9.71445146547012e-17,-1.4976897015205248,-7.129252665993846e-08
76,10,1.8213110033220181,1.821311003322021,2.886579864025407e-15,3.3306690738754696e-16,-1.0975379041258528,-4.0569994030903445e-09
77,11,1.907264581008199,1.907264581008198,8.881784197001252e-16,2.220446049250313e-16,-1.6982949201980932,-6.784331962883527e-08
78,6,1.35569531193595,1.3556953119359936,4.3520742565306136e-14,1.199040866595169e-14,-1.021303132831652,-2.650872203968646e-07
79,8,1.3073527177725777,1.3073527177725774,2.220446049250313e-16,1.1102230246251565e-16,-0.731086889580814,-3.2958000328875414e-08
80,7,1.1221248932052295,1.1221248932052308,1.3322676295501878e-15,5.551115123125783e-16,-1.2387988570759512,-1.2801285314001376e-06
81,5,1.6109314507326893,1.6109314507326888,4.440892098500626e-16,5.551115123125783e-17,-1.6030407964458024,-3.59776992087113e-08
82,4,1.903397401347304,1.9033974013473058,1.7763568394002505e-15,2.220446049250313e-16,-0.880894139471129,-5.201631957385544e-07
83,6,1.3391912222003888,1.33919122220039,1.3322676295501878e-15,3.3306690738754696e-16,-0.9172793900874338,-3.3950715572217405e-08
84,6,0.49686987667688354,0.4968698766768836,5.551115123125783e-17,2.7755575615628914e-17,-0.4105520700099569,-5.420926572075047e-07
85,9,2.9852132873004473,2.985213287300446,1.3322676295501878e-15,5.551115123125783e-17,-1.4167338846806858,-5.5908012441818755e-08
86,10,1.0018509649740202,1.0018509649740415,2.1316282072803006e-14,1.3322676295501878e-15,-0.5397999411916675,-3.3351477579657285e-08
87,11,1.5712263908770676,1.5712263908770692,1.5543122344752192e-15,3.3306690738754696e-16,-0.9721795893164664,-8.295253899337496e-07
88,5,2.664205885856174,2.6642058858561732,8.881784197001252e-16,1.1102230246251565e-16,-0.9475616302653199,-1.0775628833670226e-08
89,11,2.574492670856609,2.5744926708566074,1.7763568394002505e-15,1.1102230246251565e-16,-0.8301232388104606,-2.9033535575706537e-09
90,5,2.119693612824331,2.1196936128243316,4.440892098500626e-16,1.0408340855860843e-17,-1.1241103387545002,-5.859478569014698e-08
91,7,0.9027782289328738,0.9027782289328738,0.0,0.0,-0.5567200137642602,-2.1068088560838305e-05
92,11,0.4249629805886136,0.4249629805886043,9.270362255620057e-15,3.6914915568786455e-15,-0.5256828873864484,-3.6317780045536097e-06
93,9,2.3800827241370284,2.3800827241370306,2.220446049250313e-15,2.220446049250313e-16,-1.9992125995520618,-1.554888934829357e-07
94,5,2.028996783335986,2.028996783335986,0.0,0.0,-1.1498439355212708,-3.492826772255597e-07
95,8,1.80194469037024,1.8019446903701832,5.684341886080802e-14,1.4099832412739488e-14,-1.7122035214415414,-1.3323510739127187e-08
96,6,2.4413542744263963,2.441354274426394,2.220446049250313e-15,2.220446049250313e-16,-1.5227159759404303,-5.526959253598918e-07
97,6,2.0518332175413296,2.0518332175413287,8.881784197001252e-16,2.220446049250313e-16,-1.0248129715155228,-1.31756382026893e-07
98,7,2.922163757366378,2.922163757366376,1.7763568394002505e-15,3.3306690738754696e-16,-1.2891250666078278,-3.565830963836447e-09
99,6,2.8663191248441953,2.8663191248442152,1.9984014443252818e-14,4.440892098500626e-16,-2.072086820264165,-1.4354157404361523e-07
100,8,0.32919294554723505,0.3291929455472355,4.440892098500626e-16,8.326672684688674e-17,-0.29650143267550133,-1.3283654806350853e-05
101,11,0.48669179548160246,0.48669179548159897,3.497202527569243e-15,1.5543122344752192e-15,-0.5931106430248283,-4.1513372131873894e-05
102,9,1.4415481219011985,1.4415481219011983,2.220446049250313e-16,5.551115123125783e-17,-0.9797131096531512,-4.4356130302070085e-07
103,11,1.618361660216375,1.6183616602163753,2.220446049250313e-16,4.163336342344337e-17,-1.4310934657489174,-2.0895145613764043e-08
104,4,1.6903780135458273,1.6903780135458277,4.440892098500626e-16,4.85722573273506e-17,-1.1515600076268384,-4.003780789019196e-06
105,8,1.1301738701098847,1.1301738701098845,2.220446049250313e-16,2.7755575615628914e-17,-0.7430186623257299,-5.815691574984072e-07
106,6,0.9340027982396505,0.9340027982396509,4.440892098500626e-16,5.551115123125783e-17,-0.6678766578216476,-1.2358852085947447e-05
107,11,2.2361758429776892,2.2361758429776897,4.440892098500626e-16,1.0408340855860843e-17,-1.2301764462575828,-8.635304249438036e-09
108,8,2.460489477513409,2.46048947751341,8.881784197001252e-16,2.220446049250313e-16,-1.0013999632410038,-4.038154921559567e-09
109,8,2.133521458334017,2.1335214583340183,1.3322676295501878e-15,6.938893903907228e-17,-0.7905104068376755,-8.47012322502394e-08
110,11,0.4171628176055212,0.4171628176054875,3.36952687973735e-14,8.382183835919932e-15,-0.42982478635662963,-9.252386353075792e-06
111,6,2.6690238398840145,2.6690238398840176,3.1086244689504383e-15,3.3306690738754696e-16,-1.471122613955002,-1.9902125780735247e-08
112,7,0.37138814643928336,0.3713881464392834,5.551115123125783e-17,5.551115123125783e-17,-0.3512900895975904,-1.0402791504438014e-05
113,4,1.4952238237780568,1.4952238237780562,6.661338147750939e-16,1.1102230246251565e-16,-1.2187410166405948,-5.143428654097448e-07
114,6,0.9434041538595984,0.9434041538596142,1.5765166949677223e-14,7.216449660063518e-15,-1.0593473899175037,-8.857915555937623e-06
115,5,0.42937415650755717,0.4293741565075571,5.551115123125783e-17,4.163336342344337e-17,-0.4763247738721337,-5.3167109088647635e-06
116,6,0.9671383892755874,0.9671383892755868,5.551115123125783e-16,2.220446049250313e-16,-0.9788890744978792,-7.952699332403057e-07
117,10,1.9691058388041311,1.96910583880413,1.1102230246251565e-15,1.1102230246251565e-16,-1.3384899079272248,-4.138980447265794e-08
118,8,0.8079611912416904,0.8079611912416905,1.1102230246251565e-16,1.1102230246251565e-16,-0.9662823994871248,-6.120486042870965e-06
119,11,0.9352662427942919,0.9352662427942924,4.440892098500626e-16,4.163336342344337e-17,-0.8173491853081446,-3.927542735482348e-09
120,4,0.20891048474796914,0.20891048474796917,2.7755575615628914e-17,0.0,-0.18405371503595305,-1.8788809807990248e-06
121,10,2.6312259001265605,2.6312259001265668,6.217248937900877e-15,5.551115123125783e-16,-1.7895007731021013,-6.022860443710698e-08
122,8,2.519078475687057,2.519078475687093,3.6415315207705135e-14,5.329070518200751e-15,-1.540955366133888,-4.2650071696570535e-08
123,10,0.4518048079093716,0.4518048079093708,8.326672684688674e-16,2.220446049250313e-16,-0.48086381571757947,-9.762944652713657e-07
124,8,1.4997958069476154,1.4997958069476216,6.217248937900877e-15,1.3877787807814457e-15,-0.974572529213956,-4.1210602019781106e-07
125,4,1.627570905693691,1.6275709056936918,8.881784197001252e-16,1.1102230246251565e-16,-1.049356655360556,-7.903782448526186e-07
126,5,1.2275542875275673,1.2275542875275671,2.220446049250313e-16,5.551115123125783e-17,-0.7176777745499786,-5.218910722026848e-06
127,9,1.4752482874687145,1.475248287468715,4.440892098500626e-16,5.551115123125783e-17,-0.8062018300339355,-3.4517730895800014e-09
128,6,2.5569672333232565,2.5569672333232543,2.220446049250313e-15,3.469446951953614e-17,-1.9638618563312378,-8.713511134850194e-09
129,8,0.7327480432305904,0.7327480432305928,2.4424906541753444e-15,4.996003610813204e-16,-0.7066478144410743,-1.2380359604158286e-07
130,8,1.4174891908617984,1.4174891908618312,3.2862601528904634e-14,1.0547118733938987e-14,-1.108981808142592,-6.723763790184023e-08
131,11,2.095341462067306,2.095341462067307,8.881784197001252e-16,3.3306690738754696e-16,-1.6084908094814272,-2.439452095881478e-08
132,7,0.16926722666160524,0.16926722666160518,5.551115123125783e-17,2.7755575615628914e-17,-0.17086965567593962,-2.774443782960212e-05
133,11,1.1574528895622855,1.1574528895622842,1.3322676295501878e-15,3.885780586188048e-16,-1.1612612538219866,-1.2014502176915798e-05
134,9,1.5496239604672577,1.549623960467258,2.220446049250313e-16,2.7755575615628914e-17,-1.3428135758800326,-6.337273685819156e-07
135,6,1.9966841273247447,1.9966841273247515,6.8833827526759706e-15,8.881784197001252e-16,-1.2017005073924518,-2.3371572679398156e-06
136,6,1.455622611812931,1.4556226118129307,2.220446049250313e-16,3.469446951953614e-17,-1.1848790398293736,-5.578263897687563e-06
137,8,2.9652175456775534,2.965217545677576,2.2648549702353193e-14,1.27675647831893e-15,-1.0757138242644957,-7.3617898443956165e-09
