sample_index,lambda,closure_probability_error
0,0.5,5.551115123125783e-17
0,1.0,5.551115123125783e-17
0,2.0,2.7755575615628914e-17
1,0.5,5.551115123125783e-17
1,1.0,2.7755575615628914e-17
1,2.0,2.7755575615628914e-17
2,0.5,8.326672684688674e-17
2,1.0,5.551115123125783e-17
2,2.0,1.1102230246251565e-16
3,0.5,2.7755575615628914e-17
3,1.0,2.7755575615628914e-17
3,2.0,1.1102230246251565e-16
4,0.5,5.551115123125783e-17
4,1.0,5.551115123125783e-17
4,2.0,5.551115123125783e-17
5,0.5,8.326672684688674e-17
5,1.0,5.551115123125783e-17
5,2.0,1.1102230246251565e-16
6,0.5,2.7755575615628914e-17
6,1.0,2.7755575615628914e-17
6,2.0,5.551115123125783e-17
7,0.5,5.551115123125783e-17
7,1.0,5.551115123125783e-17
7,2.0,1.3877787807814457e-17
8,0.5,2.7755575615628914e-17
8,1.0,5.551115123125783e-17
8,2.0,5.551115123125783e-17
9,0.5,2.7755575615628914e-17
9,1.0,5.551115123125783e-17
9,2.0,1.3877787807814457e-17
10,0.5,2.7755575615628914e-17
10,1.0,5.551115123125783e-17
10,2.0,1.1102230246251565e-16
11,0.5,5.551115123125783e-17
11,1.0,5.551115123125783e-17
11,2.0,1.6653345369377348e-16
12,0.5,5.551115123125783e-17
12,1.0,5.551115123125783e-17
12,2.0,1.1102230246251565e-16
13,0.5,2.7755575615628914e-17
13,1.0,5.551115123125783e-17
13,2.0,1.1102230246251565e-16
14,0.5,2.7755575615628914e-17
14,1.0,1.1102230246251565e-16
14,2.0,5.551115123125783e-17
15,0.5,5.551115123125783e-17
15,1.0,5.551115123125783e-17
15,2.0,1.1102230246251565e-16
16,0.5,8.326672684688674e-17
16,1.0,2.7755575615628914e-17
16,2.0,1.6653345369377348e-16
17,0.5,5.551115123125783e-17
17,1.0,5.551115123125783e-17
17,2.0,2.7755575615628914e-17
18,0.5,1.1102230246251565e-16
18,1.0,5.551115123125783e-17
18,2.0,1.1102230246251565e-16
19,0.5,5.551115123125783e-17
19,1.0,5.551115123125783e-17
19,2.0,1.1102230246251565e-16
20,0.5,5.551115123125783e-17
20,1.0,5.551115123125783e-17
20,2.0,1.1102230246251565e-16
21,0.5,2.7755575615628914e-17
21,1.0,2.7755575615628914e-17
21,2.0,1.1102230246251565e-16
22,0.5,2.7755575615628914e-17
22,1.0,5.551115123125783e-17
22,2.0,5.551115123125783e-17
23,0.5,5.551115123125783e-17
23,1.0,5.551115123125783e-17
23,2.0,1.1102230246251565e-16
24,0.5,5.551115123125783e-17
24,1.0,5.551115123125783e-17
24,2.0,5.551115123125783e-17
25,0.5,5.551115123125783e-17
25,1.0,5.551115123125783e-17
25,2.0,1.3877787807814457e-16
26,0.5,2.7755575615628914e-17
26,1.0,5.551115123125783e-17
26,2.0,5.551115123125783e-17
27,0.5,2.7755575615628914e-17
27,1.0,5.551115123125783e-17
27,2.0,5.551115123125783e-17
28,0.5,1.1102230246251565e-16
28,1.0,5.551115123125783e-17
28,2.0,2.7755575615628914e-17
29,0.5,5.551115123125783e-17
29,1.0,5.551115123125783e-17
29,2.0,1.1102230246251565e-16
30,0.5,1.1102230246251565e-16
30,1.0,5.551115123125783e-17
30,2.0,1.1102230246251565e-16
31,0.5,5.551115123125783e-17
31,1.0,2.7755575615628914e-17
31,2.0,5.551115123125783e-17
32,0.5,5.551115123125783e-17
32,1.0,1.1102230246251565e-16
32,2.0,5.551115123125783e-17
33,0.5,2.7755575615628914e-17
33,1.0,2.7755575615628914e-17
33,2.0,5.551115123125783e-17
34,0.5,5.551115123125783e-17
34,1.0,5.551115123125783e-17
34,2.0,2.7755575615628914e-17
35,0.5,5.551115123125783e-17
35,1.0,5.551115123125783e-17
35,2.0,1.1102230246251565e-16
36,0.5,5.551115123125783e-17
36,1.0,5.551115123125783e-17
36,2.0,1.1102230246251565e-16
37,0.5,2.7755575615628914e-17
37,1.0,5.551115123125783e-17
