sample_index,lambda_first,lambda_second,macro_probability_total_variation
0,0.5,1.0,0.14758253163208013
0,0.5,2.0,0.394752706129161
0,1.0,2.0,0.24717017449708087
1,0.5,1.0,0.14244670514768398
1,0.5,2.0,0.5436329135659684
1,1.0,2.0,0.40118620841828434
2,0.5,1.0,0.043614726954809474
2,0.5,2.0,0.1669120072740175
2,1.0,2.0,0.12329728031920803
3,0.5,1.0,0.11052312231699596
3,0.5,2.0,0.40402132088484266
3,1.0,2.0,0.2934981985678467
4,0.5,1.0,0.047993577490489825
4,0.5,2.0,0.15568849406208013
4,1.0,2.0,0.11258418302550802
5,0.5,1.0,0.0781153220153921
5,0.5,2.0,0.27695462465647924
5,1.0,2.0,0.19883930264108715
6,0.5,1.0,0.07035986697072566
6,0.5,2.0,0.24061564611449965
6,1.0,2.0,0.170255779143774
7,0.5,1.0,0.05974267744405241
7,0.5,2.0,0.16737522581438682
7,1.0,2.0,0.10996093464042789
8,0.5,1.0,0.0834373955477338
8,0.5,2.0,0.21445981370697756
8,1.0,2.0,0.1310224181592438
9,0.5,1.0,0.1464229600144755
9,0.5,2.0,0.4778252730179937
9,1.0,2.0,0.33140231300351825
10,0.5,1.0,0.1297238664677831
10,0.5,2.0,0.41820836894317914
10,1.0,2.0,0.296043091135475
11,0.5,1.0,0.04741515404932495
11,0.5,2.0,0.14802115123499787
11,1.0,2.0,0.11316694072831628
12,0.5,1.0,0.17245108787961194
12,0.5,2.0,0.4259569253010526
12,1.0,2.0,0.25350583742144067
13,0.5,1.0,0.14896553145948138
13,0.5,2.0,0.4823238167413158
13,1.0,2.0,0.3333582852818344
14,0.5,1.0,0.12426894569666275
14,0.5,2.0,0.4400419979334974
14,1.0,2.0,0.31577305223683466
15,0.5,1.0,0.13514527880479904
15,0.5,2.0,0.49818990108110794
15,1.0,2.0,0.36304462227630896
16,0.5,1.0,0.0748203856817137
16,0.5,2.0,0.24917144204438663
16,1.0,2.0,0.1743510563626729
17,0.5,1.0,0.10476597088808239
17,0.5,2.0,0.3804767553457909
17,1.0,2.0,0.27571078445770847
18,0.5,1.0,0.19207311788156753
18,0.5,2.0,0.5187077635096891
18,1.0,2.0,0.3434636397800585
19,0.5,1.0,0.11049563594495451
19,0.5,2.0,0.33933716549006904
19,1.0,2.0,0.24361834750995798
20,0.5,1.0,0.06940678128371786
20,0.5,2.0,0.18899344555092046
20,1.0,2.0,0.11958666426720259
21,0.5,1.0,0.15451569453480762
21,0.5,2.0,0.39952195695509807
21,1.0,2.0,0.2628417902952195
22,0.5,1.0,0.15401038581884763
22,0.5,2.0,0.41390555396705064
22,1.0,2.0,0.259895168148203
23,0.5,1.0,0.17113228614256176
23,0.5,2.0,0.5878084657668655
23,1.0,2.0,0.41667617962430376
24,0.5,1.0,0.08741546101161833
24,0.5,2.0,0.2774418200621628
24,1.0,2.0,0.21291252825798898
25,0.5,1.0,0.1461280479237112
25,0.5,2.0,0.3527073897827184
25,1.0,2.0,0.22687674935731844
26,0.5,1.0,0.10601566815780758
26,0.5,2.0,0.3241113255773165
26,1.0,2.0,0.2200439804492222
27,0.5,1.0,0.09759148478717525
27,0.5,2.0,0.22019574918398171
27,1.0,2.0,0.13612846084872446
28,0.5,1.0,0.1009334032907896
28,0.5,2.0,0.3984337849220614
28,1.0,2.0,0.29902190778745696
29,0.5,1.0,0.15666076290295478
29,0.5,2.0,0.5034572546625036
29,1.0,2.0,0.3708218402496766
30,0.5,1.0,0.10568962109338709
30,0.5,2.0,0.353558305829361
30,1.0,2.0,0.2478686847359739
31,0.5,1.0,0.03552737667760235
31,0.5,2.0,0.10512097758245818
31,1.0,2.0,0.06959360090485583
32,0.5,1.0,0.07926758689395856
32,0.5,2.0,0.25700603139908296
32,1.0,2.0,0.17773844450512435
33,0.5,1.0,0.19466996959260385
33,0.5,2.0,0.4595404628125226
33,1.0,2.0,0.29330307275112466
34,0.5,1.0,0.21797372310542887
34,0.5,2.0,0.6365206851717247
34,1.0,2.0,0.4185469620662957
35,0.5,1.0,0.07693721976922313
35,0.5,2.0,0.2788918392896494
35,1.0,2.0,0.20378093984752282
36,0.5,1.0,0.06992971997134302
36,0.5,2.0,0.19695337982442998
36,1.0,2.0,0.13117648283339015
37,0.5,1.0,0.13939986887078762
37,0.5,2.0,0.4785142153244729
37,1.0,2.0,0.33911434645368527
38,0.5,1.0,0.1707299028871375
38,0.5,2.0,0.476812792967402
38,1.0,2.0,0.31921134890789393
39,0.5,1.0,0.1326391313095094
39,0.5,2.0,0.35876561446341737
39,1.0,2.0,0.226126483153908
40,0.5,1.0,0.10478957380150154
40,0.5,2.0,0.30440711096790574
40,1.0,2.0,0.21330942844186385
41,0.5,1.0,0.17420804548653357
41,0.5,2.0,0.38723062847945167
41,1.0,2.0,0.21302258299291815
42,0.5,1.0,0.08915702981186173
42,0.5,2.0,0.26744389929361256
42,1.0,2.0,0.1782868694817509
43,0.5,1.0,0.0608235600207437
43,0.5,2.0,0.1697947106186644
43,1.0,2.0,0.11356807777234193
44,0.5,1.0,0.06738279236730618
44,0.5,2.0,0.24077324444572176
44,1.0,2.0,0.17339045207841558
45,0.5,1.0,0.08824338682445898
45,0.5,2.0,0.4185741804092962
45,1.0,2.0,0.33033079358483725
46,0.5,1.0,0.1319861323520144
46,0.5,2.0,0.3409110354835495
46,1.0,2.0,0.20892490313153506
47,0.5,1.0,0.22959485888711212
47,0.5,2.0,0.6124787581148341
47,1.0,2.0,0.3828838992277219
48,0.5,1.0,0.10722314974186324
48,0.5,2.0,0.40424856941845616
48,1.0,2.0,0.30578823451701187
49,0.5,1.0,0.07978918565469698
49,0.5,2.0,0.27085117004814796
49,1.0,2.0,0.19106198439345096
50,0.5,1.0,0.1512027185386792
50,0.5,2.0,0.49559282946633954
50,1.0,2.0,0.3443901109276604
51,0.5,1.0,0.07462499859774427
51,0.5,2.0,0.21839437290618335
51,1.0,2.0,0.14662454914977063
52,0.5,1.0,0.09665246066938897
52,0.5,2.0,0.3040289450694952
52,1.0,2.0,0.20737648440010617
53,0.5,1.0,0.09686624560984095
53,0.5,2.0,0.3887947560487725
53,1.0,2.0,0.29192851043893153
54,0.5,1.0,0.15599801294208976
54,0.5,2.0,0.5854860182504827
54,1.0,2.0,0.42948800530839304
55,0.5,1.0,0.09112107343637547
55,0.5,2.0,0.3293331073736746
55,1.0,2.0,0.2382120339372992
56,0.5,1.0,0.06230353136427157
56,0.5,2.0,0.22334512154631783
56,1.0,2.0,0.16104159018204628
57,0.5,1.0,0.08343544495709689
57,0.5,2.0,0.28417567327083654
57,1.0,2.0,0.21580484243322895
58,0.5,1.0,0.12444287009603316
58,0.5,2.0,0.31777413607656546
58,1.0,2.0,0.22003889929522713
59,0.5,1.0,0.19416663310433938
59,0.5,2.0,0.5468116516605475
59,1.0,2.0,0.3526450185562081
60,0.5,1.0,0.06242188948821323
60,0.5,2.0,0.16866778708952626
60,1.0,2.0,0.10624589760131303
61,0.5,1.0,0.061323207586876934
61,0.5,2.0,0.19074574388425686
61,1.0,2.0,0.12942253629737993
62,0.5,1.0,0.14303049752661942
62,0.5,2.0,0.4416053628098557
62,1.0,2.0,0.2985748652832363
63,0.5,1.0,0.08754834815657053
63,0.5,2.0,0.28292599484908687
63,1.0,2.0,0.19537764669251634
64,0.5,1.0,0.06625051125823143
64,0.5,2.0,0.18708742370825915
64,1.0,2.0,0.12774727795519855
65,0.5,1.0,0.1069066296865431
65,0.5,2.0,0.35044259291499386
65,1.0,2.0,0.2653700891248365
66,0.5,1.0,0.04998053698374287
66,0.5,2.0,0.17125986243460967
66,1.0,2.0,0.12127932545086677
67,0.5,1.0,0.06355128719641004
67,0.5,2.0,0.20190167858412356
67,1.0,2.0,0.1419686538676666
68,0.5,1.0,0.13599758737497028
68,0.5,2.0,0.38274184541727263
68,1.0,2.0,0.25649204222667626
69,0.5,1.0,0.11798113396346857
69,0.5,2.0,0.38561409682673553
69,1.0,2.0,0.2725745274994383
70,0.5,1.0,0.306730273910988
70,0.5,2.0,0.64354044910565
70,1.0,2.0,0.33681017519466194
71,0.5,1.0,0.0740243577397737
71,0.5,2.0,0.2620867764727445
71,1.0,2.0,0.1880624187329708
72,0.5,1.0,0.056351074123681996
72,0.5,2.0,0.13119627528325253
72,1.0,2.0,0.07623474374720471
73,0.5,1.0,0.12586900311879695
73,0.5,2.0,0.5017644112140538
73,1.0,2.0,0.3758954080952568
74,0.5,1.0,0.07543597726300919
74,0.5,2.0,0.23705286965091044
74,1.0,2.0,0.16161689238790125
75,0.5,1.0,0.12572734351532205
75,0.5,2.0,0.41473715875054873
75,1.0,2.0,0.3066249443623133
76,0.5,1.0,0.0898723147239899
76,0.5,2.0,0.2120603717704681
76,1.0,2.0,0.1221880570464782
77,0.5,1.0,0.13365915740204004
77,0.5,2.0,0.44755542800916737
77,1.0,2.0,0.3138962706071274
78,0.5,1.0,0.04556453157560243
78,0.5,2.0,0.09430351147292043
78,1.0,2.0,0.053206517923937664
79,0.5,1.0,0.21016529555629487
79,0.5,2.0,0.5999667488002541
79,1.0,2.0,0.3898014532439593
80,0.5,1.0,0.12581990063644977
80,0.5,2.0,0.39778427697975965
80,1.0,2.0,0.27196437634330983
81,0.5,1.0,0.15942419837009525
81,0.5,2.0,0.5031807979339903
81,1.0,2.0,0.35077822648635576
82,0.5,1.0,0.08569195443102234
82,0.5,2.0,0.4215979569839971
82,1.0,2.0,0.3415396010548316
83,0.5,1.0,0.1164996336259245
83,0.5,2.0,0.28948854179121863
83,1.0,2.0,0.17401471219746728
84,0.5,1.0,0.03712737827795991
84,0.5,2.0,0.1695017834476187
84,1.0,2.0,0.13886752495914434
85,0.5,1.0,0.07798370663210927
85,0.5,2.0,0.2520952868549388
85,1.0,2.0,0.17857247350248942
86,0.5,1.0,0.11793366150495252
86,0.5,2.0,0.34507963487986265
86,1.0,2.0,0.22714597337491008
87,0.5,1.0,0.17480850271223447
87,0.5,2.0,0.5137847417397818
87,1.0,2.0,0.3389762390275473
88,0.5,1.0,0.16362202224000783
88,0.5,2.0,0.48115833267119495
88,1.0,2.0,0.33144588370159245
89,0.5,1.0,0.13340434365208642
89,0.5,2.0,0.5185573025660992
89,1.0,2.0,0.38515295891401286
90,0.5,1.0,0.12655486662053292
90,0.5,2.0,0.4335865160670472
90,1.0,2.0,0.3070316494465143
91,0.5,1.0,0.07112161118250444
91,0.5,2.0,0.18912267017113216
91,1.0,2.0,0.13287275778226548
92,0.5,1.0,0.05838008698244677
92,0.5,2.0,0.16381583767614782
92,1.0,2.0,0.10999324967848884
93,0.5,1.0,0.14546729557883886
93,0.5,2.0,0.5059125098776522
93,1.0,2.0,0.3625809183869521
94,0.5,1.0,0.1312270850790609
94,0.5,2.0,0.33035460124050975
94,1.0,2.0,0.1991275161614489
95,0.5,1.0,0.10134157410964845
95,0.5,2.0,0.35159092797473734
95,1.0,2.0,0.25024935386508884
96,0.5,1.0,0.09859572114182681
96,0.5,2.0,0.34929072932857974
96,1.0,2.0,0.25069500818675294
97,0.5,1.0,0.08720397131152932
97,0.5,2.0,0.24481241219990568
97,1.0,2.0,0.16173686661790948
98,0.5,1.0,0.07832892153634467
98,0.5,2.0,0.3164559436695013
98,1.0,2.0,0.23921311479299984
99,0.5,1.0,0.1742182057520016
99,0.5,2.0,0.549819016641111
99,1.0,2.0,0.37560081088910946
100,0.5,1.0,0.08200997244580621
100,0.5,2.0,0.29367251450859877
100,1.0,2.0,0.21462956081414786
101,0.5,1.0,0.07344010195508655
101,0.5,2.0,0.16748562268976003
101,1.0,2.0,0.10310616024898969
102,0.5,1.0,0.1010144868427602
102,0.5,2.0,0.3419907373180993
102,1.0,2.0,0.25565579602023036
103,0.5,1.0,0.10877916772033591
103,0.5,2.0,0.2505853824617459
103,1.0,2.0,0.1518545432498022
104,0.5,1.0,0.24706077328602705
104,0.5,2.0,0.5932522311323749
104,1.0,2.0,0.34619145784634797
105,0.5,1.0,0.21299764170503757
105,0.5,2.0,0.6154378076717394
105,1.0,2.0,0.4024401659667018
106,0.5,1.0,0.07336625450740124
106,0.5,2.0,0.19520167945768008
106,1.0,2.0,0.12183542495027885
107,0.5,1.0,0.0495212027639743
107,0.5,2.0,0.24839950310140627
107,1.0,2.0,0.19887830033743198
108,0.5,1.0,0.11309972633764141
108,0.5,2.0,0.31940161576363335
108,1.0,2.0,0.2225131224562393
109,0.5,1.0,0.07324718637781444
109,0.5,2.0,0.27063691800468437
109,1.0,2.0,0.19738973162686996
110,0.5,1.0,0.10454879647453653
110,0.5,2.0,0.38432336484816115
110,1.0,2.0,0.2797745683736246
111,0.5,1.0,0.06201259390981864
111,0.5,2.0,0.20452270709755682
111,1.0,2.0,0.1425101131877382
112,0.5,1.0,0.10808061848737285
112,0.5,2.0,0.37386919365071386
112,1.0,2.0,0.26578857516334103
113,0.5,1.0,0.11834680117014157
113,0.5,2.0,0.2721623934084442
113,1.0,2.0,0.15381559223830266
114,0.5,1.0,0.2844223093211451
114,0.5,2.0,0.5950326966125381
114,1.0,2.0,0.31061038729139306
115,0.5,1.0,0.06176930375670937
115,0.5,2.0,0.25493000951523426
115,1.0,2.0,0.1931607057585249
116,0.5,1.0,0.05811091234465775
116,0.5,2.0,0.19240122063450132
116,1.0,2.0,0.15616608429689377
117,0.5,1.0,0.13530734456134524
117,0.5,2.0,0.44428171055977944
117,1.0,2.0,0.3197224287674325
118,0.5,1.0,0.08072888581971704
118,0.5,2.0,0.31041414466324996
118,1.0,2.0,0.23835388545837244
119,0.5,1.0,0.17274665397098699
119,0.5,2.0,0.4014244161672453
119,1.0,2.0,0.2286777621962583
120,0.5,1.0,0.05675513262792392
120,0.5,2.0,0.18476305930196654
120,1.0,2.0,0.12800792667404265
121,0.5,1.0,0.11630958652493863
121,0.5,2.0,0.34224207689504393
121,1.0,2.0,0.22593249037010532
122,0.5,1.0,0.13632006269671304
122,0.5,2.0,0.39512441709185747
122,1.0,2.0,0.25880435439514443
123,0.5,1.0,0.06933662206531704
123,0.5,2.0,0.23376215304595482
123,1.0,2.0,0.16442553098063778
124,0.5,1.0,0.18705291490319095
124,0.5,2.0,0.5133600894367213
124,1.0,2.0,0.3263071745335304
125,0.5,1.0,0.04911251368680537
125,0.5,2.0,0.2025777591800813
125,1.0,2.0,0.15346524549327592
126,0.5,1.0,0.16136107131033378
126,0.5,2.0,0.5663751754927713
126,1.0,2.0,0.4050141041824375
127,0.5,1.0,0.14700676036907578
127,0.5,2.0,0.3619209079347858
127,1.0,2.0,0.21491414756571003
128,0.5,1.0,0.13172218602973762
128,0.5,2.0,0.36542718416939174
128,1.0,2.0,0.23370499813965412
129,0.5,1.0,0.09364368759737031
129,0.5,2.0,0.23768548252329635
129,1.0,2.0,0.1566649009946417
130,0.5,1.0,0.08629604403014421
130,0.5,2.0,0.325918868990725
130,1.0,2.0,0.24467671927286155
131,0.5,1.0,0.14048600322855948
131,0.5,2.0,0.5401030791840475
131,1.0,2.0,0.3996170759554881
