sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
0,0.6369052504937227,-1.1672243516688494,-1.1672243516336334,3.521605229650504e-11,True
1,1.6403688569797987,-0.18609280025049696,-0.18609280025838612,7.889161546259515e-12,True
2,1.6260478135437408,-0.12103865621096216,-0.1210386562200405,9.078335305723328e-12,True
3,1.1715647469181096,-0.3386061885546807,-0.33860618856573765,1.1056933146846859e-11,True
4,1.8420375628605532,-0.13441304158793096,-0.13441304160810574,2.0174778514459035e-11,True
5,1.4022807058076658,-0.3355628790121066,-0.3355628790169263,4.8197001945027296e-12,True
6,3.3774327091005643,-0.06857980516201455,-0.06857980515695417,5.060382668453656e-12,True
7,0.5658645482608341,-0.9851988124767028,-0.9851988124531806,2.352218420043073e-11,True
8,1.8876069994791287,-0.19051244287312039,-0.19051244287693334,3.812949955772638e-12,True
9,3.7202694771153224,-0.03260226356364365,-0.0326022635777079,1.4064249764800252e-11,True
10,2.4292346843042516,-0.08673828482435623,-0.08673828483241051,8.054279465596892e-12,True
11,2.1123097877531594,-0.3274583074658184,-0.32745830746971905,3.900657574718025e-12,True
12,3.186116080048243,-0.041611555872701544,-0.04161155586768217,5.019373805481564e-12,True
13,2.684849018853487,-0.16006127335662212,-0.1600612733687612,1.2139067528948999e-11,True
14,1.259060162570393,-0.2563047608112633,-0.2563047608261648,1.4901524458821314e-11,True
15,1.3584103569973973,-0.3617112597828659,-0.3617112597942284,1.1362522034374933e-11,True
16,1.8497105039684953,-0.301223563889782,-0.3012235638921723,2.390310172017962e-12,True
17,2.1971960060346127,-0.08890552491488539,-0.08890552489759783,1.728756027219447e-11,True
18,3.6856188793082985,-0.07555603675815889,-0.07555603676046019,2.30129804101864e-12,True
19,3.2845733291218853,-0.07664962432194822,-0.07664962431430666,7.64155405619249e-12,True
20,0.43173334238211236,-0.8669212885393326,-0.8669212885364929,2.8397284523862254e-12,True
21,1.0560763632482728,-0.36256566693576014,-0.362565666944814,9.053868765818152e-12,True
22,3.9362750552383554,-0.013224115589767358,-0.013224115580356964,9.410394338771333e-12,True
23,2.985430213872785,-0.05814074120999165,-0.058140741199252936,1.0738715472413674e-11,True
24,0.35048128440190696,-0.9531591656489844,-0.9531591656480874,8.96949181594664e-13,True
