sample_index,lambda_first,lambda_second,total_variation
0,0.5,1.0,0.1794285667814644
0,0.5,2.0,0.4393451419285457
0,1.0,2.0,0.25991657514708133
1,0.5,1.0,0.18243289285732928
1,0.5,2.0,0.4425489829638458
1,1.0,2.0,0.26011609010651654
2,0.5,1.0,0.1749974509628057
2,0.5,2.0,0.39920116381221527
2,1.0,2.0,0.25543039126991807
3,0.5,1.0,0.2255266837017284
3,0.5,2.0,0.4540279532386751
3,1.0,2.0,0.22850126953694666
4,0.5,1.0,0.1732045927936663
4,0.5,2.0,0.3610460212405325
4,1.0,2.0,0.18784142844686616
5,0.5,1.0,0.09102861942029641
5,0.5,2.0,0.14044962205499037
5,1.0,2.0,0.049421002634693956
6,0.5,1.0,0.18010516459966575
6,0.5,2.0,0.41431465249216276
6,1.0,2.0,0.234209487892497
7,0.5,1.0,0.2073689288524982
7,0.5,2.0,0.445551121939265
7,1.0,2.0,0.2381821930867668
8,0.5,1.0,0.25607099573403147
8,0.5,2.0,0.5597355865911734
8,1.0,2.0,0.3036645908571419
9,0.5,1.0,0.17740906661315292
9,0.5,2.0,0.3673602910289467
9,1.0,2.0,0.1899512244157938
10,0.5,1.0,0.13893007131339624
10,0.5,2.0,0.3572539266923412
10,1.0,2.0,0.24015662248718453
11,0.5,1.0,0.1440991506192178
11,0.5,2.0,0.3825918994702491
11,1.0,2.0,0.23849274885103122
12,0.5,1.0,0.18573230481173267
12,0.5,2.0,0.3270390535716186
12,1.0,2.0,0.141306748759886
13,0.5,1.0,0.1580392198705751
13,0.5,2.0,0.3445403404908641
13,1.0,2.0,0.186501120620289
14,0.5,1.0,0.17466483177231795
14,0.5,2.0,0.36710305500081564
14,1.0,2.0,0.1924382232284976
15,0.5,1.0,0.20712569789366994
15,0.5,2.0,0.4604343094004125
15,1.0,2.0,0.26617303160401823
16,0.5,1.0,0.15498709215646064
16,0.5,2.0,0.3071857621237072
16,1.0,2.0,0.1521986699672466
17,0.5,1.0,0.16409372300268413
17,0.5,2.0,0.4033002198515735
17,1.0,2.0,0.24635590131426124
18,0.5,1.0,0.21585805936303978
18,0.5,2.0,0.48566744605009016
18,1.0,2.0,0.26980938668705035
19,0.5,1.0,0.1438615488101256
19,0.5,2.0,0.33447370547686917
19,1.0,2.0,0.19061215666674353
20,0.5,1.0,0.18665390384208436
20,0.5,2.0,0.42572184369210625
20,1.0,2.0,0.23906793985002192
21,0.5,1.0,0.18755862100919193
21,0.5,2.0,0.38725058127449885
21,1.0,2.0,0.22188068908089925
22,0.5,1.0,0.1818374169414657
22,0.5,2.0,0.47935524401738433
22,1.0,2.0,0.2975178270759186
23,0.5,1.0,0.2131761826987331
23,0.5,2.0,0.587883397421452
23,1.0,2.0,0.37709414605578917
24,0.5,1.0,0.2479079095671703
24,0.5,2.0,0.4953926804423451
24,1.0,2.0,0.28345017394109095
25,0.5,1.0,0.13567940327948336
25,0.5,2.0,0.30632748760651296
25,1.0,2.0,0.17064808432702963
26,0.5,1.0,0.15313300669118307
26,0.5,2.0,0.3458456959765212
26,1.0,2.0,0.19271268928533813
27,0.5,1.0,0.14649147213727778
27,0.5,2.0,0.25263805801870787
27,1.0,2.0,0.10614658588143007
