sample_index,maximum_z_invariance_error
0,4.440892098500626e-16
1,1.7763568394002505e-15
2,4.440892098500626e-16
3,6.661338147750939e-16
4,1.3322676295501878e-15
5,1.1102230246251565e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,1.1102230246251565e-16
9,3.469446951953614e-17
10,2.220446049250313e-16
11,2.220446049250313e-16
12,1.3322676295501878e-15
13,5.551115123125783e-17
14,2.220446049250313e-16
15,4.440892098500626e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,7.355227538141662e-16
22,6.661338147750939e-16
23,1.1102230246251565e-16
24,2.220446049250313e-16
25,4.440892098500626e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,1.7763568394002505e-15
30,2.220446049250313e-16
31,3.3306690738754696e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,1.3877787807814457e-16
35,1.1102230246251565e-16
36,2.220446049250313e-16
37,2.220446049250313e-16
38,2.220446049250313e-16
39,2.220446049250313e-16
40,2.220446049250313e-16
41,4.440892098500626e-16
42,1.1102230246251565e-16
43,2.220446049250313e-16
44,2.220446049250313e-16
45,2.220446049250313e-16
46,5.551115123125783e-16
47,2.220446049250313e-16
48,6.661338147750939e-16
49,2.220446049250313e-16
50,2.220446049250313e-16
51,2.220446049250313e-16
52,3.3306690738754696e-16
53,4.440892098500626e-16
54,4.440892098500626e-16
55,2.220446049250313e-16
56,2.220446049250313e-16
57,4.440892098500626e-16
58,2.220446049250313e-16
59,1.5543122344752192e-15
60,1.4432899320127035e-15
61,3.3306690738754696e-16
62,9.020562075079397e-17
63,4.440892098500626e-16
64,2.220446049250313e-16
65,3.3306690738754696e-16
66,3.3306690738754696e-16
67,2.220446049250313e-16
68,4.440892098500626e-16
69,2.220446049250313e-16
70,2.220446049250313e-16
71,2.0816681711721685e-17
72,2.220446049250313e-16
73,2.220446049250313e-16
74,1.1102230246251565e-16
75,2.7755575615628914e-16
76,4.440892098500626e-16
77,4.440892098500626e-16
78,1.3322676295501878e-15
79,2.220446049250313e-16
80,3.3306690738754696e-16
81,2.220446049250313e-16
82,4.440892098500626e-16
83,4.440892098500626e-16
84,7.771561172376096e-16
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,4.85722573273506e-16
90,4.440892098500626e-16
91,4.440892098500626e-16
92,2.220446049250313e-16
93,4.440892098500626e-16
94,4.440892098500626e-16
95,0.0
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,1.3322676295501878e-15
100,4.440892098500626e-16
101,2.7755575615628914e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,4.440892098500626e-16
106,4.440892098500626e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,1.1102230246251565e-16
110,2.220446049250313e-16
111,1.97758476261356e-16
112,0.0
113,4.440892098500626e-16
114,5.551115123125783e-16
115,2.220446049250313e-16
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.498001805406602e-16
119,4.440892098500626e-16
120,2.220446049250313e-16
121,2.220446049250313e-16
122,4.440892098500626e-16
123,2.220446049250313e-16
124,4.440892098500626e-16
125,4.440892098500626e-16
126,1.1102230246251565e-16
127,6.661338147750939e-16
128,2.220446049250313e-16
129,4.440892098500626e-16
130,1.1102230246251565e-16
131,4.440892098500626e-16
132,1.8388068845354155e-16
133,2.220446049250313e-16
134,2.220446049250313e-16
135,4.996003610813204e-16
136,4.440892098500626e-16
137,1.6653345369377348e-15
138,1.1102230246251565e-15
139,2.220446049250313e-16
140,2.220446049250313e-16
141,1.1102230246251565e-16
142,4.440892098500626e-16
143,2.220446049250313e-16
144,4.440892098500626e-16
145,2.220446049250313e-16
146,4.440892098500626e-16
147,8.881784197001252e-16
148,4.440892098500626e-16
149,2.220446049250313e-16
150,1.1102230246251565e-16
151,4.440892098500626e-16
152,4.440892098500626e-16
153,4.440892098500626e-16
154,1.1102230246251565e-16
155,4.440892098500626e-16
156,4.440892098500626e-16
157,2.7755575615628914e-17
158,4.440892098500626e-16
159,2.220446049250313e-16
160,4.440892098500626e-16
161,1.7763568394002505e-15
162,1.1102230246251565e-15
163,2.220446049250313e-16
164,2.220446049250313e-16
165,2.220446049250313e-16
166,5.551115123125783e-17
167,2.220446049250313e-16
168,2.220446049250313e-16
169,2.220446049250313e-16
170,8.326672684688674e-17
171,2.220446049250313e-16
172,2.220446049250313e-16
173,2.220446049250313e-16
174,3.3306690738754696e-16
175,2.220446049250313e-16
176,5.551115123125783e-16
177,4.440892098500626e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,1.1102230246251565e-16
181,2.220446049250313e-16
182,4.440892098500626e-16
183,8.881784197001252e-16
184,2.220446049250313e-16
185,4.440892098500626e-16
186,3.3306690738754696e-16
187,2.220446049250313e-16
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,4.440892098500626e-16
192,4.440892098500626e-16
193,0.0
194,5.551115123125783e-16
195,1.1102230246251565e-16
196,2.220446049250313e-16
197,4.440892098500626e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,4.440892098500626e-16
201,3.3306690738754696e-16
202,4.440892098500626e-16
203,2.220446049250313e-16
204,4.440892098500626e-16
205,4.440892098500626e-16
206,4.440892098500626e-16
207,2.220446049250313e-16
208,1.1102230246251565e-16
209,2.220446049250313e-16
210,6.661338147750939e-16
211,1.1102230246251565e-16
212,4.440892098500626e-16
213,2.220446049250313e-16
214,2.220446049250313e-16
215,8.881784197001252e-16
216,4.440892098500626e-16
217,4.440892098500626e-16
218,2.220446049250313e-16
219,6.661338147750939e-16
220,2.220446049250313e-16
221,4.440892098500626e-16
222,4.440892098500626e-16
223,2.220446049250313e-16
224,2.220446049250313e-16
225,3.3306690738754696e-16
226,4.440892098500626e-16
227,9.159339953157541e-16
228,2.220446049250313e-16
229,2.220446049250313e-16
230,1.1102230246251565e-16
231,6.661338147750939e-16
232,4.440892098500626e-16
233,2.220446049250313e-16
234,4.440892098500626e-16
235,2.220446049250313e-16
236,2.220446049250313e-16
237,3.3306690738754696e-16
238,2.220446049250313e-16
239,4.440892098500626e-16
240,4.440892098500626e-16
241,3.3306690738754696e-16
242,1.1518563880486e-15
243,0.0
244,3.3306690738754696e-16
245,4.440892098500626e-16
246,2.220446049250313e-16
247,1.6653345369377348e-16
248,2.220446049250313e-16
249,2.220446049250313e-16
250,4.440892098500626e-16
