sample_index,scale,same_lambda_scale_tv,compensated_maximum_error
0,2.706514290909597,0.3393926673149538,2.7755575615628914e-17
1,0.330897526622274,0.17371826328292123,8.326672684688674e-17
2,0.35187804799210876,0.08406135953878482,5.551115123125783e-17
3,1.3509029545781752,0.04414937467562183,5.551115123125783e-17
4,0.44474936290649225,0.09369790323828009,5.551115123125783e-17
5,0.9427339582099494,0.012124102656195457,0.0
6,0.6069733671985507,0.15731308455773793,2.220446049250313e-16
7,0.7609503401884774,0.08623531740688462,1.1102230246251565e-16
8,1.2170310869715717,0.05751049231180607,5.551115123125783e-17
9,0.2615475682192011,0.3104919299039019,1.3877787807814457e-17
10,1.9350667925547156,0.20374407463109415,0.0
11,3.7449838002487734,0.2786200078293642,5.551115123125783e-17
12,1.6095362311467858,0.09397983552421399,2.7755575615628914e-17
13,1.8618077871991778,0.21382156024705473,6.938893903907228e-17
14,1.5595367480434381,0.09780553760040375,0.0
15,2.4406962190988835,0.23067764980824051,2.220446049250313e-16
16,1.486254263562451,0.18988416536028793,2.7755575615628914e-17
17,3.2024293845434455,0.3353007013890763,0.0
18,2.665561155261987,0.30862132384152735,1.1102230246251565e-16
19,2.968663713715415,0.4572848703633122,1.3877787807814457e-17
20,3.674933378382466,0.38109032536687937,2.7755575615628914e-17
21,0.9205267838685116,0.02062887554688911,8.326672684688674e-17
22,2.6397829836325917,0.10830274257418135,0.0
23,3.9352046285521736,0.49517897470703376,5.551115123125783e-17
24,1.6458690888789398,0.15825896979531212,1.1102230246251565e-16
25,2.6993842410925106,0.2781682726525534,5.551115123125783e-17
26,2.4645619602086057,0.37308805831686254,5.551115123125783e-17
27,2.0108345214063936,0.19962811113133447,2.7755575615628914e-17
28,3.27608107920368,0.45227862054395523,2.7755575615628914e-17
29,2.852057909086913,0.39814830330192075,0.0
30,2.2707503531459983,0.26883823040374366,2.0816681711721685e-17
31,2.0705924394674273,0.283919384342383,1.1102230246251565e-16
32,2.9000680290495566,0.39449930112474973,2.7755575615628914e-17
33,3.5169923129585086,0.3650047194479332,2.7755575615628914e-17
34,2.9049311131199604,0.3190496422505881,5.551115123125783e-17
35,1.1245786653587757,0.04041450567018441,2.7755575615628914e-17
36,0.5685890787489137,0.09941545658294679,5.551115123125783e-17
37,3.332997060107912,0.19517365300276845,5.551115123125783e-17
38,1.6170377076102744,0.0861314606380878,2.7755575615628914e-17
39,2.5889276407769186,0.4141348685472143,5.551115123125783e-17
40,0.9677238478853042,0.008001540133502403,8.326672684688674e-17
41,3.4940978972702577,0.4695795823408966,1.1102230246251565e-16
42,1.4903592309393119,0.1632991856332755,1.1102230246251565e-16
43,3.8314295202874513,0.46152272390702076,0.0
44,1.7926013457200574,0.1939720334671973,2.7755575615628914e-17
45,2.5451132903755496,0.39175803262146247,0.0
46,0.653859950940238,0.13702306338314427,5.551115123125783e-17
47,1.4576741096627366,0.13336936188209952,5.551115123125783e-17
48,0.7299273547894954,0.15931984402875807,2.7755575615628914e-17
49,1.523112092465443,0.08926007012741595,2.7755575615628914e-17
50,0.3271626654823071,0.27024003309528133,5.551115123125783e-17
51,2.035751823729867,0.27089210310876716,2.7755575615628914e-17
52,1.0718294784617783,0.02196122881303754,2.7755575615628914e-17
53,3.3812662196530967,0.24640150267837324,5.551115123125783e-17
54,3.9902404378355967,0.4657573087261477,5.551115123125783e-17
55,1.1154425653812978,0.01873829991803663,5.551115123125783e-17
56,1.5106988676356718,0.03798915493364302,0.0
57,0.6857396147123063,0.04290704255308171,0.0
58,1.0056313234075684,0.0025970868298958397,2.7755575615628914e-17
59,3.7094357092000925,0.5661619056233531,5.551115123125783e-17
60,1.0760652103524513,0.019236349631340962,0.0
