sample_index,score,maximum_probability_error
0,raw,5.551115123125783e-17
0,min_shift,5.551115123125783e-17
0,row_zscore,0.0
0,row_mad,0.0
0,row_rank,0.0
0,global_zscore,0.0
1,raw,0.0
1,min_shift,0.0
1,row_zscore,0.0
1,row_mad,0.0
1,row_rank,0.0
1,global_zscore,0.0
2,raw,0.0
2,min_shift,0.0
2,row_zscore,2.7755575615628914e-17
2,row_mad,2.220446049250313e-16
2,row_rank,0.0
2,global_zscore,0.0
3,raw,0.0
3,min_shift,0.0
3,row_zscore,5.551115123125783e-17
3,row_mad,5.551115123125783e-17
3,row_rank,2.7755575615628914e-17
3,global_zscore,2.7755575615628914e-17
4,raw,0.0
4,min_shift,0.0
4,row_zscore,1.1102230246251565e-16
4,row_mad,5.551115123125783e-17
4,row_rank,0.0
4,global_zscore,0.0
5,raw,0.0
5,min_shift,0.0
5,row_zscore,0.0
5,row_mad,1.1102230246251565e-16
5,row_rank,0.0
5,global_zscore,1.1102230246251565e-16
6,raw,1.1102230246251565e-16
6,min_shift,1.1102230246251565e-16
6,row_zscore,1.1102230246251565e-16
6,row_mad,0.0
6,row_rank,0.0
6,global_zscore,0.0
7,raw,0.0
7,min_shift,0.0
7,row_zscore,1.1102230246251565e-16
7,row_mad,0.0
7,row_rank,0.0
7,global_zscore,5.551115123125783e-17
8,raw,0.0
8,min_shift,0.0
8,row_zscore,5.551115123125783e-17
8,row_mad,5.551115123125783e-17
8,row_rank,0.0
8,global_zscore,5.551115123125783e-17
9,raw,0.0
9,min_shift,0.0
9,row_zscore,0.0
9,row_mad,0.0
9,row_rank,0.0
9,global_zscore,0.0
10,raw,0.0
10,min_shift,0.0
10,row_zscore,0.0
10,row_mad,1.1102230246251565e-16
10,row_rank,5.551115123125783e-17
10,global_zscore,5.551115123125783e-17
11,raw,1.1102230246251565e-16
11,min_shift,1.1102230246251565e-16
11,row_zscore,0.0
11,row_mad,0.0
11,row_rank,5.551115123125783e-17
11,global_zscore,0.0
12,raw,0.0
12,min_shift,0.0
12,row_zscore,0.0
12,row_mad,0.0
12,row_rank,0.0
12,global_zscore,0.0
13,raw,0.0
13,min_shift,0.0
13,row_zscore,5.551115123125783e-17
13,row_mad,0.0
13,row_rank,0.0
13,global_zscore,5.551115123125783e-17
14,raw,5.551115123125783e-17
14,min_shift,5.551115123125783e-17
14,row_zscore,1.1102230246251565e-16
14,row_mad,0.0
14,row_rank,2.7755575615628914e-17
14,global_zscore,0.0
15,raw,1.1102230246251565e-16
15,min_shift,1.1102230246251565e-16
15,row_zscore,0.0
15,row_mad,0.0
15,row_rank,5.551115123125783e-17
15,global_zscore,1.1102230246251565e-16
16,raw,0.0
16,min_shift,0.0
16,row_zscore,0.0
16,row_mad,1.3877787807814457e-17
16,row_rank,5.551115123125783e-17
16,global_zscore,0.0
17,raw,0.0
17,min_shift,0.0
17,row_zscore,0.0
17,row_mad,0.0
17,row_rank,0.0
17,global_zscore,0.0
18,raw,0.0
18,min_shift,0.0
18,row_zscore,5.551115123125783e-17
18,row_mad,1.1102230246251565e-16
18,row_rank,2.7755575615628914e-17
18,global_zscore,0.0
19,raw,5.551115123125783e-17
19,min_shift,5.551115123125783e-17
19,row_zscore,0.0
19,row_mad,5.551115123125783e-17
19,row_rank,0.0
19,global_zscore,0.0
20,raw,5.551115123125783e-17
20,min_shift,5.551115123125783e-17
20,row_zscore,0.0
20,row_mad,5.551115123125783e-17
20,row_rank,0.0
20,global_zscore,0.0
21,raw,5.551115123125783e-17
21,min_shift,5.551115123125783e-17
21,row_zscore,0.0
21,row_mad,0.0
21,row_rank,0.0
21,global_zscore,5.551115123125783e-17
22,raw,5.551115123125783e-17
22,min_shift,5.551115123125783e-17
22,row_zscore,5.551115123125783e-17
22,row_mad,1.1102230246251565e-16
22,row_rank,5.551115123125783e-17
22,global_zscore,0.0
23,raw,0.0
23,min_shift,0.0
23,row_zscore,2.7755575615628914e-17
23,row_mad,5.551115123125783e-17
23,row_rank,0.0
23,global_zscore,0.0
24,raw,0.0
24,min_shift,0.0
24,row_zscore,1.3877787807814457e-17
24,row_mad,0.0
24,row_rank,0.0
24,global_zscore,0.0
25,raw,0.0
25,min_shift,0.0
25,row_zscore,0.0
25,row_mad,0.0
25,row_rank,0.0
25,global_zscore,0.0
26,raw,0.0
26,min_shift,0.0
26,row_zscore,0.0
26,row_mad,0.0
26,row_rank,0.0
26,global_zscore,0.0
27,raw,0.0
27,min_shift,0.0
27,row_zscore,5.551115123125783e-17
27,row_mad,0.0
27,row_rank,0.0
27,global_zscore,0.0
28,raw,1.1102230246251565e-16
28,min_shift,1.1102230246251565e-16
28,row_zscore,0.0
28,row_mad,0.0
28,row_rank,0.0
28,global_zscore,0.0
29,raw,0.0
29,min_shift,0.0
29,row_zscore,2.0816681711721685e-17
29,row_mad,1.1102230246251565e-16
29,row_rank,5.551115123125783e-17
29,global_zscore,5.551115123125783e-17
30,raw,2.7755575615628914e-17
30,min_shift,2.7755575615628914e-17
30,row_zscore,0.0
30,row_mad,1.1102230246251565e-16
30,row_rank,0.0
30,global_zscore,0.0
31,raw,0.0
31,min_shift,0.0
31,row_zscore,2.7755575615628914e-17
31,row_mad,5.551115123125783e-17
31,row_rank,0.0
31,global_zscore,0.0
32,raw,0.0
32,min_shift,0.0
32,row_zscore,0.0
32,row_mad,0.0
32,row_rank,0.0
32,global_zscore,5.551115123125783e-17
33,raw,0.0
33,min_shift,0.0
33,row_zscore,2.7755575615628914e-17
33,row_mad,0.0
33,row_rank,2.7755575615628914e-17
33,global_zscore,0.0
34,raw,0.0
34,min_shift,0.0
34,row_zscore,5.551115123125783e-17
34,row_mad,5.551115123125783e-17
34,row_rank,0.0
34,global_zscore,0.0
35,raw,0.0
35,min_shift,0.0
35,row_zscore,0.0
35,row_mad,0.0
35,row_rank,0.0
35,global_zscore,1.1102230246251565e-16
36,raw,2.7755575615628914e-17
36,min_shift,2.7755575615628914e-17
36,row_zscore,1.3877787807814457e-17
36,row_mad,1.1102230246251565e-16
36,row_rank,0.0
36,global_zscore,0.0
37,raw,0.0
37,min_shift,0.0
37,row_zscore,1.3877787807814457e-17
37,row_mad,0.0
37,row_rank,0.0
37,global_zscore,0.0
38,raw,0.0
38,min_shift,0.0
38,row_zscore,0.0
38,row_mad,2.7755575615628914e-17
38,row_rank,0.0
38,global_zscore,0.0
39,raw,0.0
39,min_shift,0.0
39,row_zscore,0.0
39,row_mad,0.0
39,row_rank,2.7755575615628914e-17
39,global_zscore,0.0
40,raw,0.0
40,min_shift,0.0
40,row_zscore,1.1102230246251565e-16
40,row_mad,0.0
40,row_rank,0.0
40,global_zscore,0.0
41,raw,0.0
41,min_shift,0.0
41,row_zscore,5.551115123125783e-17
41,row_mad,0.0
41,row_rank,0.0
41,global_zscore,0.0
42,raw,0.0
42,min_shift,0.0
42,row_zscore,0.0
42,row_mad,0.0
42,row_rank,0.0
42,global_zscore,0.0
43,raw,0.0
43,min_shift,0.0
43,row_zscore,0.0
43,row_mad,0.0
43,row_rank,0.0
43,global_zscore,0.0
44,raw,5.551115123125783e-17
44,min_shift,5.551115123125783e-17
44,row_zscore,1.1102230246251565e-16
44,row_mad,0.0
44,row_rank,0.0
44,global_zscore,0.0
45,raw,5.551115123125783e-17
45,min_shift,5.551115123125783e-17
45,row_zscore,0.0
45,row_mad,0.0
45,row_rank,5.551115123125783e-17
45,global_zscore,1.1102230246251565e-16
46,raw,0.0
46,min_shift,0.0
46,row_zscore,2.7755575615628914e-17
46,row_mad,1.1102230246251565e-16
46,row_rank,5.551115123125783e-17
46,global_zscore,0.0
47,raw,0.0
47,min_shift,0.0
47,row_zscore,0.0
47,row_mad,0.0
47,row_rank,0.0
47,global_zscore,0.0
48,raw,5.551115123125783e-17
48,min_shift,5.551115123125783e-17
48,row_zscore,5.551115123125783e-17
48,row_mad,5.551115123125783e-17
48,row_rank,0.0
48,global_zscore,0.0
49,raw,2.7755575615628914e-17
49,min_shift,2.7755575615628914e-17
49,row_zscore,5.551115123125783e-17
49,row_mad,0.0
49,row_rank,2.7755575615628914e-17
49,global_zscore,0.0
50,raw,5.551115123125783e-17
50,min_shift,5.551115123125783e-17
50,row_zscore,1.6653345369377348e-16
50,row_mad,0.0
50,row_rank,2.7755575615628914e-17
50,global_zscore,0.0
51,raw,0.0
51,min_shift,0.0
51,row_zscore,0.0
51,row_mad,0.0
51,row_rank,0.0
51,global_zscore,0.0
52,raw,1.1102230246251565e-16
52,min_shift,1.1102230246251565e-16
52,row_zscore,2.7755575615628914e-17
52,row_mad,0.0
52,row_rank,5.551115123125783e-17
52,global_zscore,0.0
53,raw,5.551115123125783e-17
53,min_shift,5.551115123125783e-17
53,row_zscore,1.1102230246251565e-16
53,row_mad,0.0
53,row_rank,5.551115123125783e-17
53,global_zscore,0.0
54,raw,0.0
54,min_shift,0.0
54,row_zscore,0.0
54,row_mad,0.0
54,row_rank,0.0
54,global_zscore,0.0
55,raw,0.0
55,min_shift,0.0
55,row_zscore,0.0
55,row_mad,5.551115123125783e-17
55,row_rank,0.0
55,global_zscore,0.0
56,raw,1.1102230246251565e-16
56,min_shift,1.1102230246251565e-16
56,row_zscore,1.1102230246251565e-16
56,row_mad,0.0
56,row_rank,0.0
56,global_zscore,0.0
57,raw,0.0
57,min_shift,0.0
57,row_zscore,0.0
57,row_mad,0.0
57,row_rank,0.0
57,global_zscore,1.1102230246251565e-16
58,raw,0.0
58,min_shift,0.0
58,row_zscore,5.551115123125783e-17
58,row_mad,1.1102230246251565e-16
58,row_rank,0.0
58,global_zscore,0.0
59,raw,0.0
59,min_shift,0.0
59,row_zscore,2.7755575615628914e-17
59,row_mad,0.0
59,row_rank,0.0
59,global_zscore,0.0
60,raw,1.1102230246251565e-16
60,min_shift,1.1102230246251565e-16
60,row_zscore,1.1102230246251565e-16
60,row_mad,1.1102230246251565e-16
60,row_rank,5.551115123125783e-17
60,global_zscore,0.0
61,raw,0.0
61,min_shift,0.0
61,row_zscore,0.0
61,row_mad,0.0
61,row_rank,0.0
61,global_zscore,0.0
62,raw,0.0
62,min_shift,0.0
62,row_zscore,1.1102230246251565e-16
62,row_mad,1.1102230246251565e-16
62,row_rank,5.551115123125783e-17
62,global_zscore,0.0
63,raw,5.551115123125783e-17
63,min_shift,5.551115123125783e-17
63,row_zscore,1.1102230246251565e-16
63,row_mad,0.0
63,row_rank,0.0
63,global_zscore,5.551115123125783e-17
64,raw,5.551115123125783e-17
64,min_shift,5.551115123125783e-17
64,row_zscore,5.551115123125783e-17
64,row_mad,0.0
64,row_rank,2.7755575615628914e-17
64,global_zscore,0.0
65,raw,0.0
65,min_shift,0.0
65,row_zscore,1.1102230246251565e-16
65,row_mad,0.0
65,row_rank,0.0
65,global_zscore,5.551115123125783e-17
66,raw,0.0
66,min_shift,0.0
66,row_zscore,0.0
66,row_mad,2.220446049250313e-16
66,row_rank,0.0
66,global_zscore,0.0
67,raw,2.220446049250313e-16
67,min_shift,2.220446049250313e-16
67,row_zscore,0.0
67,row_mad,0.0
67,row_rank,0.0
67,global_zscore,2.220446049250313e-16
