sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
0,6,0.00947575884570558,0.00947575884570558,0.0,-2.528499492223073,-4.51451434212118e-08,True,4.51451434212118e-08
1,12,0.001950565653010541,0.0019505656530105387,2.3852447794681098e-18,-0.9343919721772679,-3.2744034353785746e-08,True,3.2744034353785746e-08
2,13,0.0015814179451694179,0.0015814179451694148,3.0357660829594124e-18,-0.7949078272620126,-3.148820287461331e-08,True,3.148820287461331e-08
3,7,0.006897835113497356,0.006897835113497354,2.6020852139652106e-18,1.0186025431124026,2.1809080747772865e-08,True,2.1809080747772865e-08
4,10,0.00307585884295401,0.003075858842954005,4.7704895589362195e-18,-1.8331508522988862,-6.336699454974564e-08,True,6.336699454974564e-08
5,3,0.0320459636914101,0.0320459636914101,0.0,2.1375797909780108,1.4729733324489603e-08,True,1.4729733324489603e-08
6,13,0.0015814179451694175,0.0015814179451694148,2.6020852139652106e-18,-3.1735163103863906,-1.1653688305054273e-07,True,1.1653688305054273e-07
7,9,0.00394812754129004,0.0039481275412900346,5.204170427930421e-18,0.06052219498886042,1.9399637433193824e-09,True,1.9399637433193824e-09
8,6,0.00947575884570558,0.00947575884570558,0.0,1.3955990374188476,3.402938806127797e-08,True,3.402938806127797e-08
9,13,0.0015814179451694175,0.0015814179451694148,2.6020852139652106e-18,0.03497330335807659,1.296411199772738e-09,True,1.296411199772738e-09
10,11,0.00243339526484294,0.002433395264842939,1.3010426069826053e-18,0.5164611804697913,1.290144049930093e-08,True,1.290144049930093e-08
11,12,0.0019505656530105434,0.0019505656530105387,4.7704895589362195e-18,2.7171335961571463,1.1504951196046284e-07,True,1.1504951196046284e-07
12,11,0.002433395264842941,0.002433395264842939,2.168404344971009e-18,2.366232538892882,7.416880478957006e-08,True,7.416880478957006e-08
13,5,0.013483418194656814,0.013483418194656805,8.673617379884035e-18,1.2152790627097674,3.770544716421897e-08,True,3.770544716421897e-08
14,8,0.005161146325458144,0.005161146325458139,5.204170427930421e-18,-2.2365596085394834,-6.731042405721284e-08,True,6.731042405721284e-08
15,13,0.0015814179451694155,0.0015814179451694148,6.505213034913027e-19,-0.12012142015911305,-3.726854942715242e-09,True,3.726854942715242e-09
16,11,0.002433395264842943,0.002433395264842939,3.903127820947816e-18,0.293693592987233,1.1535750066370431e-08,True,1.1535750066370431e-08
17,3,0.03204596369141009,0.0320459636914101,6.938893903907228e-18,-2.135974889964335,-1.2895380513290018e-08,True,1.2895380513290018e-08
18,4,0.020108596134468117,0.020108596134468113,3.469446951953614e-18,0.7585392804503038,1.0431552234228039e-08,True,1.0431552234228039e-08
19,5,0.013483418194656802,0.013483418194656805,3.469446951953614e-18,1.1274530624120593,1.072133776006949e-08,True,1.072133776006949e-08
20,9,0.0039481275412900415,0.0039481275412900346,6.938893903907228e-18,0.5186856707747718,1.8074219513139558e-08,True,1.8074219513139558e-08
21,5,0.013483418194656814,0.013483418194656805,8.673617379884035e-18,-0.30693880425408593,-1.0084673036427784e-08,True,1.0084673036427784e-08
22,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,-2.203703167527008,-4.422658004366003e-08,True,4.422658004366003e-08
23,9,0.00394812754129004,0.0039481275412900346,5.204170427930421e-18,-0.7496955183129859,-2.2690873770913524e-08,True,2.2690873770913524e-08
24,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,0.3457195900021457,9.529048615848433e-09,True,9.529048615848433e-09
25,11,0.002433395264842944,0.002433395264842939,5.204170427930421e-18,-0.5198098356668421,-2.3215072467404966e-08,True,2.3215072467404966e-08
26,4,0.020108596134468124,0.020108596134468113,1.0408340855860843e-17,0.23844075661729575,7.44155112537621e-09,True,7.44155112537621e-09
27,9,0.0039481275412900415,0.0039481275412900346,6.938893903907228e-18,-0.7730673075111625,-3.300663397114345e-08,True,3.300663397114345e-08
28,7,0.006897835113497361,0.006897835113497354,7.806255641895632e-18,1.5242895295368963,5.1202116790117476e-08,True,5.1202116790117476e-08
29,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,0.23310378825658717,6.191699578311211e-09,True,6.191699578311211e-09
30,12,0.0019505656530105415,0.0019505656530105387,2.8189256484623115e-18,-1.3665600119672507,-5.260093310486504e-08,True,5.260093310486504e-08
31,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,1.9659185914096857,1.6496414098557717e-08,True,1.6496414098557717e-08
32,7,0.006897835113497359,0.006897835113497354,5.204170427930421e-18,-2.357927352861629,-7.342645783402577e-08,True,7.342645783402577e-08
33,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,-1.1395800845052129,-2.3159261110573742e-08,True,2.3159261110573742e-08
34,12,0.00195056565301054,0.0019505656530105387,1.3010426069826053e-18,-0.7283109045930417,-2.010583153528369e-08,True,2.010583153528369e-08
35,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,-0.0653552380804548,-2.041663951099256e-09,True,2.041663951099256e-09
36,9,0.003948127541290036,0.0039481275412900346,1.734723475976807e-18,0.060947420162722955,1.389846459176671e-09,True,1.389846459176671e-09
37,5,0.013483418194656798,0.013483418194656805,6.938893903907228e-18,-0.06232219637403815,-6.26376728459441e-10,True,6.26376728459441e-10
38,11,0.0024333952648429385,0.002433395264842939,4.336808689942018e-19,0.9909575227258414,2.3325339387727513e-08,True,2.3325339387727513e-08
39,8,0.005161146325458141,0.005161146325458139,1.734723475976807e-18,-0.007988051451235052,-1.4608314559084824e-10,True,1.4608314559084824e-10
40,12,0.0019505656530105402,0.0019505656530105387,1.5178830414797062e-18,-1.7976528412589534,-6.317257583408614e-08,True,6.317257583408614e-08
41,13,0.0015814179451694172,0.0015814179451694148,2.3852447794681098e-18,2.9515061030527283,1.1593534815136283e-07,True,1.1593534815136283e-07
42,7,0.0068978351134973545,0.006897835113497354,8.673617379884035e-19,2.57853978272523,4.412638401683721e-08,True,4.412638401683721e-08
43,13,0.0015814179451694172,0.0015814179451694148,2.3852447794681098e-18,-0.1357168993733585,-4.715721713138964e-09,True,4.715721713138964e-09
44,6,0.009475758845705578,0.00947575884570558,1.734723475976807e-18,1.8091249366348214,4.251050865337611e-08,True,4.251050865337611e-08
45,13,0.0015814179451694157,0.0015814179451694148,8.673617379884035e-19,1.0296313069994616,2.752904444258183e-08,True,2.752904444258183e-08
46,13,0.0015814179451694179,0.0015814179451694148,3.0357660829594124e-18,-0.4871910733493726,-1.8219675823050125e-08,True,1.8219675823050125e-08
47,5,0.013483418194656809,0.013483418194656805,3.469446951953614e-18,-2.6475930278478734,-4.203234693151883e-08,True,4.203234693151883e-08
48,10,0.003075858842954008,0.003075858842954005,3.0357660829594124e-18,0.02174588647737444,6.373344072686149e-10,True,6.373344072686149e-10
49,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,1.6887359787740197,3.229788073678197e-08,True,3.229788073678197e-08
50,12,0.00195056565301054,0.0019505656530105387,1.3010426069826053e-18,-1.766908406752745,-4.945756726560213e-08,True,4.945756726560213e-08
51,8,0.005161146325458142,0.005161146325458139,3.469446951953614e-18,1.009087166874587,2.2584023285142924e-08,True,2.2584023285142924e-08
52,3,0.0320459636914101,0.0320459636914101,0.0,1.448653472830964,8.772022847375914e-09,True,8.772022847375914e-09
53,6,0.009475758845705584,0.00947575884570558,5.204170427930421e-18,0.21007746242170452,6.463451308819835e-09,True,6.463451308819835e-09
54,10,0.003075858842954009,0.003075858842954005,3.903127820947816e-18,-0.6130253808134977,-1.6941765689519724e-08,True,1.6941765689519724e-08
55,5,0.01348341819465681,0.013483418194656805,5.204170427930421e-18,-1.2721417392561987,-1.9334341759105318e-08,True,1.9334341759105318e-08
