sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
0,unweighted_raw,10,6,7,0.3777395381935596,0.37773953819355965,False
0,unweighted_z,10,6,7,0.38229833051762685,0.3822983305176269,False
0,weighted_raw,10,6,7,0.0,0.0,True
0,weighted_z,10,6,7,3.122502256758253e-17,2.7755575615628914e-17,True
1,unweighted_raw,4,4,0,0.18964802641820083,0.18964802641820078,False
1,unweighted_z,4,4,0,0.0985428291946642,0.09854282919466412,False
1,weighted_raw,4,4,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1,weighted_z,4,4,0,2.7755575615628914e-17,5.551115123125783e-17,True
2,unweighted_raw,7,4,3,0.19288381064007798,0.1928838106400781,False
2,unweighted_z,7,4,3,0.12187813902933775,0.1218781390293377,False
2,weighted_raw,7,4,3,0.0,0.0,True
2,weighted_z,7,4,3,2.688821387764051e-17,2.7755575615628914e-17,True
3,unweighted_raw,4,3,1,0.1923321066301181,0.19233210663011807,False
3,unweighted_z,4,3,1,0.07563085588659565,0.07563085588659565,False
3,weighted_raw,4,3,1,0.0,0.0,True
3,weighted_z,4,3,1,3.469446951953614e-18,6.938893903907228e-18,True
4,unweighted_raw,8,6,3,0.42012198693482683,0.4201219869348269,False
4,unweighted_z,8,6,3,0.4155474482664523,0.41554744826645224,False
4,weighted_raw,8,6,3,1.3877787807814457e-17,2.7755575615628914e-17,True
4,weighted_z,8,6,3,6.071532165918825e-17,2.7755575615628914e-17,True
5,unweighted_raw,10,5,4,0.3217143361779412,0.32171433617794126,False
5,unweighted_z,10,5,4,0.33284737227430194,0.33284737227430194,False
5,weighted_raw,10,5,4,7.979727989493313e-17,5.551115123125783e-17,True
5,weighted_z,10,5,4,6.938893903907228e-18,1.3877787807814457e-17,True
6,unweighted_raw,9,6,8,0.3678868451120937,0.3678868451120937,False
6,unweighted_z,9,6,8,0.3764392309695942,0.3764392309695943,False
6,weighted_raw,9,6,8,6.158268339717665e-17,2.7755575615628914e-17,True
6,weighted_z,9,6,8,1.5612511283791264e-17,2.7755575615628914e-17,True
7,unweighted_raw,4,2,2,0.16122939620077847,0.16122939620077836,False
