sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
0,9,0.003948127541290046,0.0039481275412900346,1.1275702593849246e-17,-1.3178048612205973,-7.280601820006709e-08,True,7.280601820006709e-08
1,11,0.00243339526484294,0.002433395264842939,1.3010426069826053e-18,-0.19317025504293803,-4.433827759224351e-09,True,4.433827759224351e-09
2,5,0.013483418194656807,0.013483418194656805,1.734723475976807e-18,-1.5703655501959617,-2.322119168379187e-08,True,2.322119168379187e-08
3,7,0.006897835113497362,0.006897835113497354,8.673617379884035e-18,2.250150437972308,8.4059903280005e-08,True,8.4059903280005e-08
4,9,0.003948127541290042,0.0039481275412900346,7.806255641895632e-18,-2.7226681434951083,-1.1602920531383374e-07,True,1.1602920531383374e-07
5,12,0.0019505656530105413,0.0019505656530105387,2.6020852139652106e-18,1.6129276666770722,6.035779715952699e-08,True,6.035779715952699e-08
6,11,0.00243339526484294,0.002433395264842939,1.3010426069826053e-18,1.2052947167204882,3.343023735245683e-08,True,3.343023735245683e-08
7,10,0.0030758588429540103,0.003075858842954005,5.204170427930421e-18,-2.6193514433951886,-1.0268497990649511e-07,True,1.0268497990649511e-07
8,4,0.020108596134468113,0.020108596134468113,0.0,-1.608081382753864,-3.641932366498529e-08,True,3.641932366498529e-08
9,11,0.0024333952648429393,0.002433395264842939,4.336808689942018e-19,3.0559510934774474,6.370640567544693e-08,True,6.370640567544693e-08
10,9,0.003948127541290037,0.0039481275412900346,2.6020852139652106e-18,3.3024528239607287,9.550479461960746e-08,True,9.550479461960746e-08
11,5,0.01348341819465681,0.013483418194656805,5.204170427930421e-18,1.8690554150658791,3.9549770453677344e-08,True,3.9549770453677344e-08
12,11,0.0024333952648429398,0.002433395264842939,8.673617379884035e-19,0.2003499106499867,6.80755494101188e-09,True,6.80755494101188e-09
13,12,0.0019505656530105408,0.0019505656530105387,2.168404344971009e-18,-1.324939613376767,-4.95275499553784e-08,True,4.95275499553784e-08
14,12,0.0019505656530105408,0.0019505656530105387,2.168404344971009e-18,1.3328320734570918,5.0062883029407305e-08,True,5.0062883029407305e-08
15,4,0.02010859613446811,0.020108596134468113,3.469446951953614e-18,2.57924836885662,2.129960740635952e-08,True,2.129960740635952e-08
16,12,0.0019505656530105406,0.0019505656530105387,1.951563910473908e-18,-2.886737041722086,-8.830080812257808e-08,True,8.830080812257808e-08
17,11,0.0024333952648429406,0.002433395264842939,1.734723475976807e-18,-0.45753298639449475,-1.3636395328192619e-08,True,1.3636395328192619e-08
18,10,0.0030758588429540073,0.003075858842954005,2.168404344971009e-18,-1.3855949021589302,-3.863485683844954e-08,True,3.863485683844954e-08
