sample_index,epsilon,total_variation,nonincreasing_from_previous
0,0.1,0.018731790578817742,True
0,0.01,0.001909840919913293,True
0,0.001,0.00019135859099260656,True
0,0.0001,1.913961213992035e-05,True
0,1e-05,1.913998752542394e-06,True
0,1e-06,1.9140025067304956e-07,True
1,0.1,0.020569845305825795,True
1,0.01,0.0020950428447898285,True
1,0.001,0.00020989268932744703,True
1,0.0001,2.0993160968137576e-05,True
1,1e-05,2.099355025227629e-06,True
1,1e-06,2.099358918718382e-07,True
2,0.1,0.036962629472010566,True
2,0.01,0.0038337695063598875,True
2,0.001,0.0003848144540290997,True
2,0.0001,3.849588591282978e-05,True
2,1e-05,3.849733062169083e-06,True
2,1e-06,3.8497475101357107e-07,True
3,0.1,0.003764809068058616,True
3,0.01,0.0003773910180755535,True
3,0.001,3.7747163466976476e-05,True
3,0.0001,3.7747958768457223e-06,True
3,1e-05,3.7748038192332814e-07,True
3,1e-06,3.7748046194340245e-08,True
4,0.1,0.007352310081272401,True
4,0.01,0.0007412989613524259,True
4,0.001,7.419111730245828e-05,True
4,0.0001,7.4197244884413e-06,True
4,1e-05,7.41978577104831e-07,True
4,1e-06,7.41979190464635e-08,True
5,0.1,0.0021679637796329716,True
5,0.01,0.0002171849635158632,True
5,0.001,2.1722224456853514e-05,True
5,0.0001,2.1722595653745886e-06,True
5,1e-05,2.1722632761797145e-07,True
5,1e-06,2.1722636514624745e-08,True
6,0.1,0.0024844447581666073,True
6,0.01,0.00024952278034579516,True
6,0.001,2.4962996171687324e-05,True
6,0.0001,2.4964067309488006e-06,True
6,1e-05,2.496417440406593e-07,True
6,1e-06,2.4964185140322496e-08,True
7,0.1,0.007899444728798777,True
7,0.01,0.0008020039393368382,True
7,0.001,8.032284351430725e-05,True
7,0.0001,8.033510731051254e-06,True
7,1e-05,8.033633388068749e-07,True
7,1e-06,8.033645667840645e-08,True
8,0.1,0.06121998216423906,True
8,0.01,0.006671770769350598,True
8,0.001,0.0006732935762659027,True
8,0.0001,6.739121317501691e-05,True
8,1e-05,6.7397405715377405e-06,True
8,1e-06,6.73980250398777e-07,True
9,0.1,0.01323631644313281,True
9,0.01,0.0013440327448546595,True
9,0.001,0.00013461068214101383,True
9,0.0001,1.3463145744169291e-05,True
9,1e-05,1.3463353532037846e-06,True
9,1e-06,1.346337430525533e-07,True
10,0.1,0.01636960965816114,True
10,0.01,0.0016621225791207694,True
