sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
0,unweighted_raw,5,3,0,0.26332705269132106,0.26332705269132106,False
0,unweighted_z,5,3,0,0.26404105040771125,0.2640410504077113,False
0,weighted_raw,5,3,0,0.0,0.0,True
0,weighted_z,5,3,0,1.3183898417423734e-16,1.1102230246251565e-16,True
1,unweighted_raw,7,2,2,0.16029353047026731,0.16029353047026734,False
1,unweighted_z,7,2,2,0.16191269784463502,0.16191269784463497,False
1,weighted_raw,7,2,2,8.673617379884035e-17,5.551115123125783e-17,True
1,weighted_z,7,2,2,5.551115123125783e-17,5.551115123125783e-17,True
2,unweighted_raw,11,2,8,0.14474174539049528,0.14474174539049525,False
2,unweighted_z,11,2,8,0.14310460814898082,0.14310460814898085,False
2,weighted_raw,11,2,8,0.0,0.0,True
2,weighted_z,11,2,8,4.85722573273506e-17,5.551115123125783e-17,True
3,unweighted_raw,4,6,0,0.3745830931926237,0.3745830931926236,False
3,unweighted_z,4,6,0,0.13374039974037483,0.13374039974037483,False
3,weighted_raw,4,6,0,3.469446951953614e-17,2.7755575615628914e-17,True
3,weighted_z,4,6,0,0.0,0.0,True
4,unweighted_raw,4,4,3,0.3163409602213916,0.3163409602213916,False
4,unweighted_z,4,4,3,0.19977908197370556,0.19977908197370559,False
4,weighted_raw,4,4,3,2.7755575615628914e-17,5.551115123125783e-17,True
4,weighted_z,4,4,3,2.7755575615628914e-17,5.551115123125783e-17,True
5,unweighted_raw,8,3,0,0.03841210475688898,0.038412104756889075,False
5,unweighted_z,8,3,0,0.046896930301230766,0.04411841817734996,False
5,weighted_raw,8,3,0,8.673617379884035e-19,1.734723475976807e-18,True
5,weighted_z,8,3,0,5.724587470723463e-17,5.551115123125783e-17,True
6,unweighted_raw,4,3,3,0.2573770906561791,0.2573770906561791,False
6,unweighted_z,4,3,3,0.24146864489057715,0.24146864489057707,False
6,weighted_raw,4,3,3,2.7755575615628914e-17,5.551115123125783e-17,True
6,weighted_z,4,3,3,4.85722573273506e-17,5.551115123125783e-17,True
7,unweighted_raw,11,6,6,0.2687659741854515,0.26876597418545156,False
7,unweighted_z,11,6,6,0.22919588016530737,0.2291958801653074,False
7,weighted_raw,11,6,6,1.3877787807814457e-17,2.7755575615628914e-17,True
7,weighted_z,11,6,6,1.6783449630075609e-16,8.326672684688674e-17,True
8,unweighted_raw,11,2,7,0.0656596141298858,0.06565961412988582,False
8,unweighted_z,11,2,7,0.06743294952641757,0.06743294952641743,False
8,weighted_raw,11,2,7,6.852157730108388e-17,5.551115123125783e-17,True
8,weighted_z,11,2,7,0.0,0.0,True
9,unweighted_raw,8,6,4,0.3651434750343733,0.3651434750343733,False
9,unweighted_z,8,6,4,0.35129951107153323,0.3512995110715332,False
9,weighted_raw,8,6,4,0.0,0.0,True
9,weighted_z,8,6,4,1.7520707107365752e-16,2.220446049250313e-16,True
10,unweighted_raw,6,4,0,0.04267914462753997,0.04267914462753994,False
10,unweighted_z,6,4,0,0.07282956306817684,0.07282956306817685,False
10,weighted_raw,6,4,0,7.632783294297951e-17,1.1102230246251565e-16,True
10,weighted_z,6,4,0,1.0928757898653885e-16,1.1102230246251565e-16,True
11,unweighted_raw,8,4,4,0.22488705399975217,0.22488705399975206,False
11,unweighted_z,8,4,4,0.1669312946158082,0.16693129461580825,False
11,weighted_raw,8,4,4,0.0,0.0,True
11,weighted_z,8,4,4,6.938893903907228e-18,1.3877787807814457e-17,True
12,unweighted_raw,6,3,1,0.25734156626250765,0.25734156626250765,False
12,unweighted_z,6,3,1,0.18270594289214223,0.18270594289214226,False
12,weighted_raw,6,3,1,0.0,0.0,True
12,weighted_z,6,3,1,3.8163916471489756e-17,2.7755575615628914e-17,True
13,unweighted_raw,9,3,1,0.07365952153323074,0.07365952153323074,False
13,unweighted_z,9,3,1,0.03990593683979603,0.03990593683979611,False
13,weighted_raw,9,3,1,1.249000902703301e-16,1.1102230246251565e-16,True
13,weighted_z,9,3,1,3.469446951953614e-18,6.938893903907228e-18,True
14,unweighted_raw,10,2,7,0.11326613202705507,0.11326613202705504,False
14,unweighted_z,10,2,7,0.11547687194410525,0.11547687194410516,False
14,weighted_raw,10,2,7,0.0,0.0,True
14,weighted_z,10,2,7,5.117434254131581e-17,2.7755575615628914e-17,True
15,unweighted_raw,11,2,0,0.040327394903448686,0.04032739490344875,False
15,unweighted_z,11,2,0,0.033362726046566635,0.03022433423666656,False
15,weighted_raw,11,2,0,0.0,0.0,True
15,weighted_z,11,2,0,1.734723475976807e-18,3.469446951953614e-18,True
16,unweighted_raw,7,4,6,0.03741829749854197,0.037418297498542,False
16,unweighted_z,7,4,6,0.0733216165587044,0.06937561735039437,False
16,weighted_raw,7,4,6,9.974659986866641e-17,1.1102230246251565e-16,True
16,weighted_z,7,4,6,1.491862189340054e-16,2.220446049250313e-16,True
17,unweighted_raw,7,3,1,0.0666093776146454,0.06660937761464536,False
17,unweighted_z,7,3,1,0.052149313079235565,0.04922422984028564,False
17,weighted_raw,7,3,1,1.0061396160665481e-16,5.551115123125783e-17,True
17,weighted_z,7,3,1,1.0581813203458523e-16,1.1102230246251565e-16,True
18,unweighted_raw,5,5,0,0.3047361474268744,0.30473614742687444,False
18,unweighted_z,5,5,0,0.16194877271795388,0.16194877271795385,False
18,weighted_raw,5,5,0,7.979727989493313e-17,5.551115123125783e-17,True
18,weighted_z,5,5,0,0.0,0.0,True
19,unweighted_raw,10,2,6,0.14107174875751252,0.14107174875751258,False
19,unweighted_z,10,2,6,0.14073705505916675,0.14073705505916692,False
19,weighted_raw,10,2,6,0.0,0.0,True
19,weighted_z,10,2,6,7.28583859910259e-17,5.551115123125783e-17,True
20,unweighted_raw,7,4,0,0.11237332731382484,0.11237332731382493,False
20,unweighted_z,7,4,0,0.08758862518371945,0.06935615192894179,False
20,weighted_raw,7,4,0,0.0,0.0,True
20,weighted_z,7,4,0,0.0,0.0,True
21,unweighted_raw,11,2,9,0.09748072425744851,0.0974807242574485,False
21,unweighted_z,11,2,9,0.11272949160503994,0.11272949160504003,False
21,weighted_raw,11,2,9,0.0,0.0,True
21,weighted_z,11,2,9,8.847089727481716e-17,5.551115123125783e-17,True
22,unweighted_raw,9,6,3,0.2861477615308,0.28614776153080007,False
22,unweighted_z,9,6,3,0.22981751904856149,0.22981751904856146,False
22,weighted_raw,9,6,3,8.760353553682876e-17,5.551115123125783e-17,True
22,weighted_z,9,6,3,6.114900252818245e-17,5.551115123125783e-17,True
23,unweighted_raw,9,6,4,0.36203695548723525,0.3620369554872352,False
23,unweighted_z,9,6,4,0.33284564632334235,0.33284564632334235,False
23,weighted_raw,9,6,4,9.80118763926896e-17,5.551115123125783e-17,True
23,weighted_z,9,6,4,8.066464163292153e-17,5.551115123125783e-17,True
24,unweighted_raw,7,4,2,0.31938188527806816,0.3193818852780681,False
24,unweighted_z,7,4,2,0.332873032308053,0.33287303230805304,False
24,weighted_raw,7,4,2,0.0,0.0,True
24,weighted_z,7,4,2,1.3877787807814457e-17,2.7755575615628914e-17,True
25,unweighted_raw,9,6,2,0.26838734059840114,0.26838734059840125,False
25,unweighted_z,9,6,2,0.16714253971007467,0.1671425397100747,False
25,weighted_raw,9,6,2,0.0,0.0,True
25,weighted_z,9,6,2,4.597017211338539e-17,2.7755575615628914e-17,True
26,unweighted_raw,11,5,1,0.27409520957598377,0.27409520957598377,False
26,unweighted_z,11,5,1,0.27366656868373757,0.2736665686837375,False
26,weighted_raw,11,5,1,0.0,0.0,True
26,weighted_z,11,5,1,6.938893903907228e-18,1.3877787807814457e-17,True
27,unweighted_raw,5,4,3,0.17645339846337052,0.17645339846337055,False
27,unweighted_z,5,4,3,0.0916939245054807,0.09169392450548064,False
27,weighted_raw,5,4,3,3.469446951953614e-18,6.938893903907228e-18,True
