n,sample_index,measure,clone_count,macro_total_variation,refinement_consistent
10,0,uniform_count,2,0.08181818181818183,False
10,0,degree,2,0.08908045977011496,False
10,0,relation_stationary,2,0.0846214773048954,False
10,0,q_stationary,2,0.10431241596071408,False
10,0,q_node_softmax,2,0.10050660010653512,False
10,1,uniform_count,3,0.15000000000000002,False
10,1,degree,3,0.16153846153846152,False
10,1,relation_stationary,3,0.1653667828106798,False
10,1,q_stationary,3,0.060957448314690126,False
10,1,q_node_softmax,3,0.2632340912451054,False
10,2,uniform_count,2,0.08181818181818183,False
10,2,degree,2,0.08480392156862743,False
10,2,relation_stationary,2,0.048863860015255674,False
10,2,q_stationary,2,0.048075387620124366,False
10,2,q_node_softmax,2,0.11704334569465097,False
10,3,uniform_count,5,0.2571428571428572,False
10,3,degree,5,0.25229110512129377,False
10,3,relation_stationary,5,0.31186390860456914,False
10,3,q_stationary,5,0.24633604859176167,False
10,3,q_node_softmax,5,0.33267946018293204,False
10,4,uniform_count,5,0.2571428571428572,False
10,4,degree,5,0.25133689839572193,False
10,4,relation_stationary,5,0.24272109783011664,False
10,4,q_stationary,5,0.18526312063658334,False
10,4,q_node_softmax,5,0.2388319251409768,False
10,5,uniform_count,2,0.08181818181818183,False
10,5,degree,2,0.0818181818181818,False
10,5,relation_stationary,2,0.09360199023880815,False
10,5,q_stationary,2,0.05182539757620766,False
10,5,q_node_softmax,2,0.06748150587234295,False
10,6,uniform_count,2,0.08181818181818183,False
10,6,degree,2,0.07939089296274393,False
10,6,relation_stationary,2,0.11577994170724576,False
10,6,q_stationary,2,0.10248926427862666,False
10,6,q_node_softmax,2,0.09348387801248716,False
10,7,uniform_count,6,0.29999999999999993,False
10,7,degree,6,0.2358870967741936,False
10,7,relation_stationary,6,0.17968330068633886,False
10,7,q_stationary,6,0.1594435477046045,False
10,7,q_node_softmax,6,0.3490113204330855,False
10,8,uniform_count,3,0.15000000000000002,False
10,8,degree,3,0.1468944099378882,False
10,8,relation_stationary,3,0.17755693565043273,False
10,8,q_stationary,3,0.1302772460610019,False
10,8,q_node_softmax,3,0.10367762926089098,False
10,9,uniform_count,5,0.2571428571428572,False
10,9,degree,5,0.22509076240419526,False
10,9,relation_stationary,5,0.12787755976952764,False
10,9,q_stationary,5,0.05270308518442602,False
10,9,q_node_softmax,5,0.2104882468420345,False
10,10,uniform_count,4,0.20769230769230773,False
10,10,degree,4,0.19560124934929726,False
10,10,relation_stationary,4,0.2925254667749393,False
10,10,q_stationary,4,0.12786288953953345,False
10,10,q_node_softmax,4,0.21438739184566852,False
10,11,uniform_count,5,0.2571428571428572,False
10,11,degree,5,0.1975806451612903,False
10,11,relation_stationary,5,0.15196493119911492,False
10,11,q_stationary,5,0.2680092742115253,False
10,11,q_node_softmax,5,0.282483753932384,False
10,12,uniform_count,4,0.20769230769230773,False
10,12,degree,4,0.21428571428571436,False
10,12,relation_stationary,4,0.057367735145250474,False
10,12,q_stationary,4,0.12526102889154106,False
10,12,q_node_softmax,4,0.17099830336598323,False
10,13,uniform_count,6,0.29999999999999993,False
10,13,degree,6,0.26297880614427377,False
10,13,relation_stationary,6,0.14635017561487312,False
10,13,q_stationary,6,0.04594302949003405,False
10,13,q_node_softmax,6,0.25093590742660615,False
10,14,uniform_count,4,0.2076923076923077,False
10,14,degree,4,0.19481981981981983,False
10,14,relation_stationary,4,0.07199350736119663,False
10,14,q_stationary,4,0.04471666136688251,False
10,14,q_node_softmax,4,0.18614043471723124,False
10,15,uniform_count,6,0.29999999999999993,False
10,15,degree,6,0.22364864864864867,False
10,15,relation_stationary,6,0.2972508319338147,False
10,15,q_stationary,6,0.05425635881004866,False
10,15,q_node_softmax,6,0.3501588761571476,False
10,16,uniform_count,3,0.15000000000000002,False
10,16,degree,3,0.1515151515151515,False
10,16,relation_stationary,3,0.21795986024381023,False
10,16,q_stationary,3,0.10728192876926736,False
10,16,q_node_softmax,3,0.22722681124991204,False
10,17,uniform_count,5,0.2571428571428572,False
10,17,degree,5,0.23835125448028674,False
10,17,relation_stationary,5,0.16472856099728428,False
10,17,q_stationary,5,0.03225713483513742,False
