n,sample_index,clone_count,maximum_macro_error,refinement_consistent
10,0,6,0.0,True
10,1,6,5.551115123125783e-17,True
10,2,4,5.551115123125783e-17,True
10,3,3,2.7755575615628914e-17,True
10,4,6,5.551115123125783e-17,True
10,5,2,2.7755575615628914e-17,True
10,6,6,5.551115123125783e-17,True
10,7,5,2.7755575615628914e-17,True
10,8,6,0.0,True
10,9,6,0.0,True
10,10,4,5.551115123125783e-17,True
10,11,3,0.0,True
10,12,3,0.0,True
10,13,5,0.0,True
10,14,6,0.0,True
10,15,2,0.0,True
10,16,6,0.0,True
10,17,6,5.551115123125783e-17,True
10,18,6,2.7755575615628914e-17,True
10,19,4,6.938893903907228e-18,True
10,20,6,6.938893903907228e-18,True
10,21,2,0.0,True
10,22,4,0.0,True
10,23,6,2.7755575615628914e-17,True
10,24,2,6.938893903907228e-18,True
10,25,6,0.0,True
10,26,4,5.551115123125783e-17,True
10,27,2,0.0,True
10,28,3,5.551115123125783e-17,True
10,29,6,5.551115123125783e-17,True
10,30,3,0.0,True
10,31,2,0.0,True
10,32,3,2.7755575615628914e-17,True
10,33,3,1.3877787807814457e-17,True
10,34,2,0.0,True
10,35,5,1.3877787807814457e-17,True
10,36,2,0.0,True
10,37,5,1.3877787807814457e-17,True
10,38,3,2.7755575615628914e-17,True
10,39,4,5.551115123125783e-17,True
10,40,2,1.3877787807814457e-17,True
10,41,2,0.0,True
10,42,5,0.0,True
10,43,4,2.7755575615628914e-17,True
10,44,6,2.7755575615628914e-17,True
10,45,3,0.0,True
10,46,3,1.3877787807814457e-17,True
10,47,5,5.551115123125783e-17,True
10,48,4,0.0,True
10,49,5,0.0,True
10,50,3,5.551115123125783e-17,True
10,51,5,5.551115123125783e-17,True
10,52,4,3.469446951953614e-18,True
10,53,5,1.3877787807814457e-17,True
10,54,4,2.7755575615628914e-17,True
10,55,4,8.326672684688674e-17,True
10,56,6,3.469446951953614e-18,True
10,57,3,5.551115123125783e-17,True
10,58,3,0.0,True
10,59,3,0.0,True
10,60,6,6.938893903907228e-18,True
10,61,6,1.3877787807814457e-17,True
10,62,5,1.3877787807814457e-17,True
10,63,6,0.0,True
10,64,2,0.0,True
10,65,5,5.551115123125783e-17,True
10,66,4,0.0,True
10,67,2,0.0,True
10,68,4,6.938893903907228e-18,True
10,69,6,0.0,True
10,70,4,2.7755575615628914e-17,True
10,71,6,0.0,True
10,72,5,0.0,True
10,73,5,2.7755575615628914e-17,True
10,74,6,0.0,True
10,75,3,5.551115123125783e-17,True
10,76,6,1.3877787807814457e-17,True
10,77,4,0.0,True
10,78,5,2.7755575615628914e-17,True
10,79,3,1.3877787807814457e-17,True
10,80,4,1.3877787807814457e-17,True
10,81,3,5.551115123125783e-17,True
10,82,4,5.551115123125783e-17,True
10,83,6,0.0,True
10,84,2,0.0,True
10,85,4,0.0,True
10,86,4,5.551115123125783e-17,True
10,87,3,5.551115123125783e-17,True
10,88,4,2.7755575615628914e-17,True
10,89,3,0.0,True
10,90,4,2.7755575615628914e-17,True
10,91,5,6.938893903907228e-18,True
10,92,2,6.938893903907228e-18,True
10,93,3,1.3877787807814457e-17,True
10,94,6,5.551115123125783e-17,True
10,95,3,5.551115123125783e-17,True
10,96,4,0.0,True
10,97,3,6.938893903907228e-18,True
10,98,6,1.1102230246251565e-16,True
10,99,2,1.3877787807814457e-17,True
10,100,2,0.0,True
10,101,3,0.0,True
10,102,3,0.0,True
10,103,4,6.938893903907228e-18,True
10,104,5,5.551115123125783e-17,True
10,105,2,2.7755575615628914e-17,True
10,106,2,2.7755575615628914e-17,True
10,107,6,2.7755575615628914e-17,True
10,108,3,1.3877787807814457e-17,True
10,109,2,6.938893903907228e-18,True
10,110,2,2.7755575615628914e-17,True
10,111,5,2.7755575615628914e-17,True
10,112,5,5.551115123125783e-17,True
10,113,3,2.7755575615628914e-17,True
10,114,3,5.551115123125783e-17,True
10,115,3,2.7755575615628914e-17,True
10,116,6,2.7755575615628914e-17,True
10,117,4,2.7755575615628914e-17,True
10,118,4,2.7755575615628914e-17,True
10,119,4,0.0,True
10,120,5,2.7755575615628914e-17,True
10,121,2,5.551115123125783e-17,True
10,122,5,6.938893903907228e-18,True
10,123,3,1.3877787807814457e-17,True
10,124,5,5.551115123125783e-17,True
10,125,3,0.0,True
10,126,4,0.0,True
10,127,2,0.0,True
10,128,6,2.7755575615628914e-17,True
10,129,6,2.7755575615628914e-17,True
10,130,3,0.0,True
10,131,6,0.0,True
10,132,4,1.3877787807814457e-17,True
10,133,4,2.7755575615628914e-17,True
10,134,3,6.938893903907228e-18,True
10,135,2,2.7755575615628914e-17,True
10,136,6,4.163336342344337e-17,True
10,137,5,5.551115123125783e-17,True
10,138,6,5.551115123125783e-17,True
10,139,5,1.3877787807814457e-17,True
10,140,6,6.938893903907228e-18,True
10,141,3,0.0,True
10,142,5,0.0,True
10,143,2,5.551115123125783e-17,True
10,144,3,0.0,True
10,145,2,0.0,True
10,146,3,0.0,True
10,147,5,1.3877787807814457e-17,True
10,148,5,0.0,True
10,149,2,0.0,True
10,150,4,2.7755575615628914e-17,True
10,151,2,0.0,True
10,152,6,6.938893903907228e-18,True
10,153,5,5.551115123125783e-17,True
10,154,2,1.3877787807814457e-17,True
10,155,5,2.7755575615628914e-17,True
10,156,2,1.3877787807814457e-17,True
10,157,6,0.0,True
10,158,5,0.0,True
10,159,6,0.0,True
10,160,6,0.0,True
10,161,3,1.3877787807814457e-17,True
10,162,4,5.551115123125783e-17,True
10,163,5,2.7755575615628914e-17,True
10,164,5,5.551115123125783e-17,True
10,165,2,5.551115123125783e-17,True
10,166,3,0.0,True
10,167,5,0.0,True
10,168,2,2.7755575615628914e-17,True
10,169,2,8.326672684688674e-17,True
10,170,6,0.0,True
10,171,4,0.0,True
10,172,2,0.0,True
10,173,2,0.0,True
10,174,3,6.938893903907228e-18,True
10,175,6,0.0,True
10,176,3,1.1102230246251565e-16,True
10,177,4,8.326672684688674e-17,True
10,178,6,6.938893903907228e-18,True
10,179,2,5.551115123125783e-17,True
20,0,2,1.3877787807814457e-17,True
20,1,4,2.7755575615628914e-17,True
20,2,5,2.7755575615628914e-17,True
20,3,2,5.551115123125783e-17,True
20,4,2,0.0,True
20,5,5,2.7755575615628914e-17,True
20,6,4,5.551115123125783e-17,True
20,7,2,5.551115123125783e-17,True
20,8,3,0.0,True
20,9,5,2.7755575615628914e-17,True
20,10,5,2.7755575615628914e-17,True
20,11,4,2.7755575615628914e-17,True
20,12,3,0.0,True
20,13,3,3.469446951953614e-18,True
20,14,5,1.3877787807814457e-17,True
20,15,5,3.469446951953614e-18,True
20,16,5,0.0,True
20,17,2,3.469446951953614e-18,True
20,18,3,3.469446951953614e-18,True
20,19,5,1.3877787807814457e-17,True
20,20,6,3.469446951953614e-18,True
20,21,5,0.0,True
20,22,5,2.7755575615628914e-17,True
20,23,3,3.469446951953614e-18,True
20,24,5,2.7755575615628914e-17,True
20,25,5,2.7755575615628914e-17,True
20,26,4,1.3877787807814457e-17,True
20,27,3,2.7755575615628914e-17,True
20,28,4,0.0,True
20,29,5,0.0,True
20,30,2,6.938893903907228e-18,True
20,31,3,0.0,True
20,32,2,1.734723475976807e-18,True
20,33,2,0.0,True
20,34,4,1.3877787807814457e-17,True
20,35,6,0.0,True
20,36,5,0.0,True
20,37,6,2.7755575615628914e-17,True
20,38,3,2.7755575615628914e-17,True
20,39,4,2.7755575615628914e-17,True
20,40,6,2.7755575615628914e-17,True
20,41,3,1.3877787807814457e-17,True
20,42,3,3.469446951953614e-18,True
20,43,3,6.938893903907228e-18,True
20,44,2,2.7755575615628914e-17,True
20,45,3,0.0,True
20,46,4,5.551115123125783e-17,True
20,47,5,6.938893903907228e-18,True
20,48,4,1.734723475976807e-18,True
20,49,2,6.938893903907228e-18,True
20,50,3,3.469446951953614e-18,True
20,51,5,2.7755575615628914e-17,True
20,52,3,3.469446951953614e-18,True
20,53,3,6.938893903907228e-18,True
20,54,4,3.469446951953614e-18,True
20,55,6,2.7755575615628914e-17,True
20,56,3,0.0,True
20,57,5,0.0,True
20,58,5,2.7755575615628914e-17,True
20,59,4,0.0,True
20,60,4,0.0,True
20,61,4,0.0,True
20,62,6,2.7755575615628914e-17,True
20,63,4,0.0,True
20,64,2,6.938893903907228e-18,True
20,65,6,2.7755575615628914e-17,True
20,66,2,1.3877787807814457e-17,True
20,67,4,6.938893903907228e-18,True
20,68,3,1.3877787807814457e-17,True
20,69,4,2.7755575615628914e-17,True
20,70,4,6.938893903907228e-18,True
20,71,5,1.1102230246251565e-16,True
20,72,4,2.7755575615628914e-17,True
20,73,2,2.7755575615628914e-17,True
20,74,6,6.938893903907228e-18,True
20,75,6,0.0,True
20,76,2,5.551115123125783e-17,True
20,77,6,2.7755575615628914e-17,True
20,78,3,3.469446951953614e-18,True
20,79,6,1.3877787807814457e-17,True
20,80,6,1.3877787807814457e-17,True
20,81,3,0.0,True
20,82,3,6.938893903907228e-18,True
20,83,3,2.7755575615628914e-17,True
20,84,2,0.0,True
20,85,2,6.938893903907228e-18,True
20,86,6,3.469446951953614e-18,True
20,87,4,6.938893903907228e-18,True
20,88,4,6.938893903907228e-18,True
20,89,4,6.938893903907228e-18,True
20,90,3,1.3877787807814457e-17,True
20,91,3,0.0,True
20,92,4,4.163336342344337e-17,True
20,93,4,0.0,True
20,94,2,3.469446951953614e-18,True
20,95,4,2.0816681711721685e-17,True
20,96,3,2.7755575615628914e-17,True
20,97,6,2.7755575615628914e-17,True
20,98,4,2.7755575615628914e-17,True
20,99,6,2.7755575615628914e-17,True
20,100,5,2.7755575615628914e-17,True
20,101,2,0.0,True
20,102,4,0.0,True
20,103,3,2.7755575615628914e-17,True
20,104,2,3.469446951953614e-18,True
20,105,3,3.469446951953614e-18,True
20,106,3,2.7755575615628914e-17,True
20,107,3,0.0,True
20,108,6,0.0,True
20,109,6,2.7755575615628914e-17,True
20,110,2,2.7755575615628914e-17,True
20,111,4,0.0,True
20,112,4,6.938893903907228e-18,True
20,113,3,0.0,True
20,114,3,0.0,True
20,115,3,0.0,True
20,116,3,0.0,True
20,117,2,6.938893903907228e-18,True
20,118,4,6.938893903907228e-18,True
20,119,5,1.3877787807814457e-17,True
20,120,5,0.0,True
20,121,4,6.938893903907228e-18,True
20,122,2,2.7755575615628914e-17,True
20,123,6,2.7755575615628914e-17,True
20,124,6,2.7755575615628914e-17,True
20,125,6,0.0,True
20,126,6,0.0,True
20,127,6,6.938893903907228e-18,True
20,128,5,2.7755575615628914e-17,True
20,129,4,0.0,True
20,130,2,0.0,True
20,131,2,0.0,True
20,132,3,0.0,True
20,133,4,0.0,True
20,134,3,2.7755575615628914e-17,True
20,135,4,1.3877787807814457e-17,True
20,136,2,0.0,True
20,137,4,3.469446951953614e-18,True
20,138,5,6.938893903907228e-18,True
20,139,2,3.469446951953614e-18,True
20,140,5,6.938893903907228e-18,True
20,141,4,6.938893903907228e-18,True
20,142,4,0.0,True
20,143,5,0.0,True
20,144,6,1.3877787807814457e-17,True
20,145,6,1.3877787807814457e-17,True
20,146,5,5.551115123125783e-17,True
20,147,6,2.7755575615628914e-17,True
20,148,3,1.3877787807814457e-17,True
20,149,5,1.3877787807814457e-17,True
20,150,6,2.7755575615628914e-17,True
20,151,4,1.3877787807814457e-17,True
20,152,3,6.938893903907228e-18,True
20,153,3,2.7755575615628914e-17,True
20,154,5,2.7755575615628914e-17,True
20,155,5,2.7755575615628914e-17,True
20,156,3,2.7755575615628914e-17,True
20,157,5,0.0,True
20,158,2,0.0,True
20,159,2,6.938893903907228e-18,True
20,160,5,3.469446951953614e-18,True
20,161,4,0.0,True
20,162,2,0.0,True
20,163,3,1.3877787807814457e-17,True
20,164,2,2.7755575615628914e-17,True
20,165,2,2.7755575615628914e-17,True
20,166,2,2.7755575615628914e-17,True
20,167,3,1.3877787807814457e-17,True
20,168,5,2.7755575615628914e-17,True
20,169,2,2.7755575615628914e-17,True
20,170,6,6.938893903907228e-18,True
20,171,6,2.7755575615628914e-17,True
20,172,4,1.3877787807814457e-17,True
20,173,5,0.0,True
20,174,2,0.0,True
20,175,4,0.0,True
20,176,3,0.0,True
20,177,2,1.3877787807814457e-17,True
20,178,4,2.7755575615628914e-17,True
20,179,3,2.7755575615628914e-17,True
40,0,5,1.3877787807814457e-17,True
40,1,5,2.7755575615628914e-17,True
40,2,6,1.3877787807814457e-17,True
40,3,5,1.3877787807814457e-17,True
40,4,4,6.938893903907228e-18,True
40,5,6,1.3877787807814457e-17,True
40,6,3,6.938893903907228e-18,True
40,7,4,6.938893903907228e-18,True
40,8,3,1.734723475976807e-18,True
40,9,5,0.0,True
40,10,6,1.3877787807814457e-17,True
40,11,6,0.0,True
40,12,3,1.3877787807814457e-17,True
40,13,3,0.0,True
40,14,3,1.3877787807814457e-17,True
40,15,3,6.938893903907228e-18,True
40,16,6,0.0,True
40,17,6,3.469446951953614e-18,True
40,18,4,1.3877787807814457e-17,True
40,19,6,2.7755575615628914e-17,True
40,20,5,1.3877787807814457e-17,True
40,21,2,8.673617379884035e-19,True
40,22,5,1.3877787807814457e-17,True
40,23,5,1.3877787807814457e-17,True
40,24,2,2.7755575615628914e-17,True
40,25,4,1.3877787807814457e-17,True
40,26,6,1.3877787807814457e-17,True
40,27,5,1.3877787807814457e-17,True
40,28,2,1.3877787807814457e-17,True
40,29,4,0.0,True
40,30,2,3.469446951953614e-18,True
40,31,6,2.7755575615628914e-17,True
40,32,4,0.0,True
40,33,2,0.0,True
40,34,6,0.0,True
40,35,3,0.0,True
40,36,6,3.469446951953614e-18,True
40,37,2,0.0,True
40,38,3,0.0,True
40,39,5,0.0,True
40,40,2,3.469446951953614e-18,True
40,41,3,0.0,True
40,42,3,0.0,True
40,43,4,6.938893903907228e-18,True
40,44,4,2.7755575615628914e-17,True
40,45,2,1.3877787807814457e-17,True
40,46,3,3.469446951953614e-18,True
40,47,2,6.938893903907228e-18,True
40,48,3,2.7755575615628914e-17,True
40,49,2,0.0,True
40,50,5,1.3877787807814457e-17,True
40,51,5,0.0,True
40,52,5,1.3877787807814457e-17,True
40,53,5,2.7755575615628914e-17,True
40,54,5,1.3877787807814457e-17,True
40,55,5,2.7755575615628914e-17,True
40,56,4,1.3877787807814457e-17,True
40,57,2,0.0,True
40,58,6,1.3877787807814457e-17,True
40,59,3,0.0,True
40,60,3,0.0,True
40,61,4,1.3877787807814457e-17,True
40,62,6,1.3877787807814457e-17,True
40,63,5,3.469446951953614e-18,True
40,64,3,1.3877787807814457e-17,True
40,65,3,0.0,True
40,66,2,0.0,True
40,67,6,0.0,True
40,68,3,6.938893903907228e-18,True
40,69,6,3.469446951953614e-18,True
40,70,4,1.3877787807814457e-17,True
40,71,2,0.0,True
40,72,6,6.938893903907228e-18,True
40,73,4,1.3877787807814457e-17,True
40,74,3,2.7755575615628914e-17,True
40,75,3,1.734723475976807e-18,True
40,76,6,3.469446951953614e-18,True
40,77,5,5.551115123125783e-17,True
40,78,2,1.734723475976807e-18,True
40,79,6,3.469446951953614e-18,True
40,80,4,0.0,True
40,81,4,1.734723475976807e-18,True
40,82,6,0.0,True
40,83,6,3.469446951953614e-18,True
40,84,3,1.3877787807814457e-17,True
40,85,5,2.7755575615628914e-17,True
40,86,2,1.3877787807814457e-17,True
40,87,3,3.469446951953614e-18,True
40,88,2,0.0,True
40,89,5,3.469446951953614e-18,True
40,90,3,1.3877787807814457e-17,True
40,91,5,0.0,True
40,92,4,1.3877787807814457e-17,True
40,93,2,0.0,True
40,94,4,2.7755575615628914e-17,True
40,95,3,0.0,True
40,96,5,0.0,True
40,97,3,6.938893903907228e-18,True
40,98,3,0.0,True
40,99,2,1.3877787807814457e-17,True
40,100,4,1.3877787807814457e-17,True
40,101,3,1.3877787807814457e-17,True
40,102,2,0.0,True
40,103,4,1.3877787807814457e-17,True
40,104,2,1.3877787807814457e-17,True
40,105,6,1.3877787807814457e-17,True
40,106,4,2.7755575615628914e-17,True
40,107,3,6.938893903907228e-18,True
40,108,4,0.0,True
40,109,5,1.3877787807814457e-17,True
40,110,2,0.0,True
40,111,3,0.0,True
40,112,4,1.3877787807814457e-17,True
40,113,5,1.3877787807814457e-17,True
40,114,3,1.734723475976807e-18,True
40,115,3,1.3877787807814457e-17,True
40,116,2,0.0,True
40,117,5,0.0,True
40,118,5,2.7755575615628914e-17,True
40,119,2,1.734723475976807e-18,True
40,120,6,0.0,True
40,121,2,0.0,True
40,122,4,8.673617379884035e-19,True
40,123,5,1.3877787807814457e-17,True
40,124,4,1.3877787807814457e-17,True
40,125,2,3.469446951953614e-18,True
40,126,4,1.3877787807814457e-17,True
40,127,5,1.3877787807814457e-17,True
40,128,4,1.3877787807814457e-17,True
40,129,2,6.938893903907228e-18,True
40,130,2,1.3877787807814457e-17,True
40,131,5,1.3877787807814457e-17,True
40,132,2,2.7755575615628914e-17,True
40,133,4,0.0,True
40,134,6,1.3877787807814457e-17,True
40,135,2,1.3877787807814457e-17,True
40,136,4,0.0,True
40,137,5,0.0,True
40,138,6,1.3877787807814457e-17,True
40,139,3,1.3877787807814457e-17,True
40,140,6,3.469446951953614e-18,True
