n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
10,0,3,5.551115123125783e-17,1.7763568394002505e-15
10,1,4,5.551115123125783e-17,1.3322676295501878e-15
10,2,5,1.3877787807814457e-16,1.5543122344752192e-15
10,3,2,5.551115123125783e-17,1.7763568394002505e-15
10,4,2,1.6653345369377348e-16,2.4424906541753444e-15
10,5,4,1.6653345369377348e-16,1.6653345369377348e-15
10,6,2,8.326672684688674e-17,1.3322676295501878e-15
10,7,6,1.3877787807814457e-16,1.2212453270876722e-15
10,8,6,5.551115123125783e-17,1.9984014443252818e-15
10,9,3,1.6653345369377348e-16,1.4432899320127035e-15
10,10,2,1.6653345369377348e-16,1.3322676295501878e-15
10,11,4,5.551115123125783e-17,1.2212453270876722e-15
10,12,6,1.1102230246251565e-16,1.6653345369377348e-15
10,13,5,1.942890293094024e-16,2.886579864025407e-15
10,14,6,5.551115123125783e-17,1.5543122344752192e-15
10,15,3,8.326672684688674e-17,1.4432899320127035e-15
10,16,5,5.551115123125783e-17,1.5543122344752192e-15
10,17,2,9.71445146547012e-17,2.220446049250313e-15
10,18,5,1.1102230246251565e-16,1.5543122344752192e-15
10,19,6,1.1102230246251565e-16,1.9984014443252818e-15
10,20,2,8.326672684688674e-17,1.3322676295501878e-15
10,21,3,5.551115123125783e-17,1.3322676295501878e-15
10,22,4,1.3877787807814457e-16,1.7763568394002505e-15
10,23,6,1.942890293094024e-16,1.9984014443252818e-15
10,24,6,1.1102230246251565e-16,1.7763568394002505e-15
10,25,3,8.326672684688674e-17,1.887379141862766e-15
10,26,4,5.551115123125783e-17,1.4432899320127035e-15
10,27,2,5.551115123125783e-17,1.4432899320127035e-15
10,28,5,5.551115123125783e-17,1.7763568394002505e-15
10,29,6,1.6653345369377348e-16,1.5543122344752192e-15
10,30,4,5.551115123125783e-17,1.2212453270876722e-15
10,31,6,1.1102230246251565e-16,1.6653345369377348e-15
10,32,6,5.551115123125783e-17,1.5543122344752192e-15
10,33,2,8.326672684688674e-17,1.3322676295501878e-15
10,34,6,8.326672684688674e-17,1.5543122344752192e-15
10,35,5,2.220446049250313e-16,1.5543122344752192e-15
10,36,2,8.326672684688674e-17,1.5543122344752192e-15
10,37,4,8.326672684688674e-17,1.2212453270876722e-15
10,38,6,5.551115123125783e-17,1.4432899320127035e-15
