n,sample_index,measure,same_relation_measure_tv
10,0,q_stationary,0.2588865297150741
10,0,q_node_softmax,0.19464828044577676
10,1,q_stationary,0.29806109296581
10,1,q_node_softmax,0.24494635975028273
10,2,q_stationary,0.21815698308743908
10,2,q_node_softmax,0.18250502244484004
10,3,q_stationary,0.6967795907651329
10,3,q_node_softmax,0.24979778936952302
10,4,q_stationary,0.44250456654178294
10,4,q_node_softmax,0.21177782324554398
10,5,q_stationary,0.2015186832896517
10,5,q_node_softmax,0.23768821130954465
10,6,q_stationary,0.6484166619513501
10,6,q_node_softmax,0.23422002393760075
10,7,q_stationary,0.5741985160077386
10,7,q_node_softmax,0.15738267930854935
10,8,q_stationary,0.320739462236188
10,8,q_node_softmax,0.2051374722335388
10,9,q_stationary,0.6593428547299998
10,9,q_node_softmax,0.2144992431273757
10,10,q_stationary,0.5798848770866565
10,10,q_node_softmax,0.1665571203327822
10,11,q_stationary,0.4565720410359777
10,11,q_node_softmax,0.16801925788728714
10,12,q_stationary,0.33335335528350346
10,12,q_node_softmax,0.12707733166274596
10,13,q_stationary,0.2351556630860322
10,13,q_node_softmax,0.18784160386510007
10,14,q_stationary,0.2606576462860738
10,14,q_node_softmax,0.256155349234813
10,15,q_stationary,0.680561363260042
10,15,q_node_softmax,0.22185510620150106
10,16,q_stationary,0.5322269371626982
10,16,q_node_softmax,0.21392286948148725
10,17,q_stationary,0.3828024289089247
10,17,q_node_softmax,0.16494397462339846
10,18,q_stationary,0.31404369312928804
10,18,q_node_softmax,0.24272955681566535
10,19,q_stationary,0.5180308640005714
10,19,q_node_softmax,0.14480879396498555
10,20,q_stationary,0.519597825427483
10,20,q_node_softmax,0.22260908825572007
10,21,q_stationary,0.3596816425064399
10,21,q_node_softmax,0.23837053848266143
10,22,q_stationary,0.6257715261932334
10,22,q_node_softmax,0.2536904686259928
10,23,q_stationary,0.5589320536893063
10,23,q_node_softmax,0.18298757316768896
10,24,q_stationary,0.48426544065175947
10,24,q_node_softmax,0.17057257446195281
10,25,q_stationary,0.3199650394332664
10,25,q_node_softmax,0.2267058231596417
10,26,q_stationary,0.31335652457704305
10,26,q_node_softmax,0.22174812182587578
10,27,q_stationary,0.6937985889286751
10,27,q_node_softmax,0.13649079595918834
10,28,q_stationary,0.4875378814743859
10,28,q_node_softmax,0.2627929026716316
10,29,q_stationary,0.2086168898702553
10,29,q_node_softmax,0.16489778270887298
10,30,q_stationary,0.30976015325492423
10,30,q_node_softmax,0.15746470284091996
10,31,q_stationary,0.5284223394715207
10,31,q_node_softmax,0.2523913485303654
10,32,q_stationary,0.10728854374598834
10,32,q_node_softmax,0.15305655236408233
10,33,q_stationary,0.5360028247437463
10,33,q_node_softmax,0.17338042376143795
10,34,q_stationary,0.1891132488499354
10,34,q_node_softmax,0.16606445931766892
10,35,q_stationary,0.28078239645370107
10,35,q_node_softmax,0.19001191276734353
10,36,q_stationary,0.21158671325704428
10,36,q_node_softmax,0.1483977303812704
10,37,q_stationary,0.44748556322410693
10,37,q_node_softmax,0.19081134651402715
10,38,q_stationary,0.3435632320410989
10,38,q_node_softmax,0.1990406937661398
10,39,q_stationary,0.2013238118935837
10,39,q_node_softmax,0.17895718193551294
10,40,q_stationary,0.42469761321400595
10,40,q_node_softmax,0.2195216634067622
10,41,q_stationary,0.5272479018857232
10,41,q_node_softmax,0.261363597013215
10,42,q_stationary,0.3277547809104537
10,42,q_node_softmax,0.2293200592052841
10,43,q_stationary,0.3921785998641534
10,43,q_node_softmax,0.229517506792554
10,44,q_stationary,0.46749660450341424
10,44,q_node_softmax,0.11659725322300243
10,45,q_stationary,0.44064002166291144
10,45,q_node_softmax,0.3250480600851713
10,46,q_stationary,0.34811000998059144
10,46,q_node_softmax,0.24128682784184546
10,47,q_stationary,0.3853666122405774
10,47,q_node_softmax,0.1416257288366811
10,48,q_stationary,0.17848786296917848
10,48,q_node_softmax,0.19085410891238339
10,49,q_stationary,0.4208036035336994
10,49,q_node_softmax,0.24498162282178582
10,50,q_stationary,0.5083243013524743
10,50,q_node_softmax,0.21933028896776147
10,51,q_stationary,0.4330192731265474
10,51,q_node_softmax,0.2773558170274693
10,52,q_stationary,0.22505552973115833
10,52,q_node_softmax,0.1644877635903195
10,53,q_stationary,0.6530991067780287
10,53,q_node_softmax,0.20058564684570057
10,54,q_stationary,0.06359769004853799
10,54,q_node_softmax,0.21775038159915877
10,55,q_stationary,0.3747715417328737
10,55,q_node_softmax,0.20194647734417379
10,56,q_stationary,0.36485304066674773
10,56,q_node_softmax,0.22671585322613114
10,57,q_stationary,0.41409452878604175
10,57,q_node_softmax,0.2965764084539492
10,58,q_stationary,0.30098814215617464
10,58,q_node_softmax,0.11577382200214084
10,59,q_stationary,0.4977291938353011
10,59,q_node_softmax,0.2589528844164824
10,60,q_stationary,0.47312940090945527
10,60,q_node_softmax,0.19401307300031753
10,61,q_stationary,0.2271333061811934
