n,clone_count,semantic_total_variation,clone_semantics_target_mass,ontic_semantics_target_mass
3,2,0.16666666666666666,0.3333333333333333,0.5
3,3,0.2666666666666666,0.3333333333333333,0.6
3,4,0.3333333333333333,0.3333333333333333,0.6666666666666666
3,5,0.38095238095238093,0.3333333333333333,0.7142857142857143
3,6,0.41666666666666663,0.3333333333333333,0.75
3,7,0.4444444444444445,0.3333333333333333,0.7777777777777778
4,2,0.15,0.25,0.4
4,3,0.25000000000000006,0.25,0.5
4,4,0.3214285714285714,0.25,0.5714285714285714
4,5,0.375,0.25,0.625
4,6,0.41666666666666663,0.25,0.6666666666666666
4,7,0.45,0.25,0.7
5,2,0.13333333333333336,0.2,0.3333333333333333
5,3,0.2285714285714286,0.2,0.42857142857142855
5,4,0.30000000000000004,0.2,0.5
5,5,0.3555555555555556,0.2,0.5555555555555556
5,6,0.39999999999999997,0.2,0.6
5,7,0.4363636363636364,0.2,0.6363636363636364
6,2,0.11904761904761904,0.16666666666666666,0.2857142857142857
6,3,0.20833333333333326,0.16666666666666666,0.375
6,4,0.27777777777777785,0.16666666666666666,0.4444444444444444
6,5,0.3333333333333333,0.16666666666666666,0.5
6,6,0.3787878787878787,0.16666666666666666,0.5454545454545454
6,7,0.4166666666666668,0.16666666666666666,0.5833333333333334
7,2,0.10714285714285712,0.14285714285714285,0.25
7,3,0.19047619047619047,0.14285714285714285,0.3333333333333333
7,4,0.25714285714285706,0.14285714285714285,0.4
7,5,0.31168831168831174,0.14285714285714285,0.45454545454545453
7,6,0.35714285714285715,0.14285714285714285,0.5
7,7,0.39560439560439553,0.14285714285714285,0.5384615384615384
8,2,0.09722222222222224,0.125,0.2222222222222222
8,3,0.175,0.125,0.3
8,4,0.23863636363636362,0.125,0.36363636363636365
8,5,0.29166666666666674,0.125,0.4166666666666667
8,6,0.33653846153846156,0.125,0.46153846153846156
8,7,0.37500000000000006,0.125,0.5
9,2,0.08888888888888885,0.1111111111111111,0.2
9,3,0.1616161616161616,0.1111111111111111,0.2727272727272727
9,4,0.22222222222222224,0.1111111111111111,0.3333333333333333
9,5,0.2735042735042735,0.1111111111111111,0.38461538461538464
9,6,0.3174603174603174,0.1111111111111111,0.42857142857142855
9,7,0.35555555555555557,0.1111111111111111,0.4666666666666667
10,2,0.08181818181818183,0.1,0.18181818181818182
10,3,0.15000000000000002,0.1,0.25
10,4,0.20769230769230773,0.1,0.3076923076923077
10,5,0.2571428571428572,0.1,0.35714285714285715
10,6,0.30000000000000004,0.1,0.4
10,7,0.3375,0.1,0.4375
11,2,0.07575757575757577,0.09090909090909091,0.16666666666666666
11,3,0.13986013986013984,0.09090909090909091,0.23076923076923078
11,4,0.19480519480519484,0.09090909090909091,0.2857142857142857
11,5,0.24242424242424243,0.09090909090909091,0.3333333333333333
11,6,0.2840909090909091,0.09090909090909091,0.375
11,7,0.32085561497326204,0.09090909090909091,0.4117647058823529
12,2,0.07051282051282046,0.08333333333333333,0.15384615384615385
12,3,0.13095238095238096,0.08333333333333333,0.21428571428571427
12,4,0.18333333333333332,0.08333333333333333,0.26666666666666666
12,5,0.2291666666666666,0.08333333333333333,0.3125
12,6,0.26960784313725494,0.08333333333333333,0.35294117647058826
12,7,0.3055555555555556,0.08333333333333333,0.3888888888888889
13,2,0.06593406593406598,0.07692307692307693,0.14285714285714285
13,3,0.12307692307692314,0.07692307692307693,0.2
13,4,0.1730769230769231,0.07692307692307693,0.25
13,5,0.2171945701357466,0.07692307692307693,0.29411764705882354
13,6,0.2564102564102565,0.07692307692307693,0.3333333333333333
13,7,0.29149797570850206,0.07692307692307693,0.3684210526315789
14,2,0.061904761904761886,0.07142857142857142,0.13333333333333333
14,3,0.11607142857142855,0.07142857142857142,0.1875
14,4,0.16386554621848742,0.07142857142857142,0.23529411764705882
14,5,0.20634920634920634,0.07142857142857142,0.2777777777777778
14,6,0.24436090225563917,0.07142857142857142,0.3157894736842105
14,7,0.2785714285714286,0.07142857142857142,0.35
15,2,0.05833333333333333,0.06666666666666667,0.125
15,3,0.10980392156862746,0.06666666666666667,0.17647058823529413
15,4,0.1555555555555556,0.06666666666666667,0.2222222222222222
15,5,0.1964912280701754,0.06666666666666667,0.2631578947368421
15,6,0.2333333333333333,0.06666666666666667,0.3
15,7,0.26666666666666666,0.06666666666666667,0.3333333333333333
16,2,0.05514705882352942,0.0625,0.11764705882352941
16,3,0.10416666666666669,0.0625,0.16666666666666666
16,4,0.1480263157894737,0.0625,0.21052631578947367
16,5,0.1875,0.0625,0.25
16,6,0.22321428571428573,0.0625,0.2857142857142857
16,7,0.2556818181818181,0.0625,0.3181818181818182
17,2,0.05228758169934642,0.058823529411764705,0.1111111111111111
17,3,0.09907120743034056,0.058823529411764705,0.15789473684210525
17,4,0.14117647058823524,0.058823529411764705,0.2
17,5,0.1792717086834734,0.058823529411764705,0.23809523809523808
17,6,0.213903743315508,0.058823529411764705,0.2727272727272727
17,7,0.24552429667519182,0.058823529411764705,0.30434782608695654
18,2,0.049707602339181284,0.05555555555555555,0.10526315789473684
18,3,0.09444444444444439,0.05555555555555555,0.15
18,4,0.13492063492063489,0.05555555555555555,0.19047619047619047
18,5,0.1717171717171717,0.05555555555555555,0.22727272727272727
18,6,0.20531400966183572,0.05555555555555555,0.2608695652173913
18,7,0.23611111111111113,0.05555555555555555,0.2916666666666667
19,2,0.04736842105263153,0.05263157894736842,0.1
19,3,0.09022556390977443,0.05263157894736842,0.14285714285714285
19,4,0.12918660287081335,0.05263157894736842,0.18181818181818182
19,5,0.16475972540045764,0.05263157894736842,0.21739130434782608
19,6,0.19736842105263155,0.05263157894736842,0.25
19,7,0.22736842105263158,0.05263157894736842,0.28
20,2,0.045238095238095286,0.05,0.09523809523809523
20,3,0.08636363636363636,0.05,0.13636363636363635
20,4,0.12391304347826093,0.05,0.17391304347826086
20,5,0.15833333333333344,0.05,0.20833333333333334
20,6,0.19000000000000003,0.05,0.24
20,7,0.21923076923076926,0.05,0.2692307692307692
21,2,0.043290043290043254,0.047619047619047616,0.09090909090909091
21,3,0.08281573498964802,0.047619047619047616,0.13043478260869565
21,4,0.11904761904761907,0.047619047619047616,0.16666666666666666
21,5,0.1523809523809524,0.047619047619047616,0.2
21,6,0.18315018315018305,0.047619047619047616,0.23076923076923078
21,7,0.21164021164021163,0.047619047619047616,0.25925925925925924
22,2,0.041501976284585004,0.045454545454545456,0.08695652173913043
22,3,0.07954545454545456,0.045454545454545456,0.125
22,4,0.11454545454545458,0.045454545454545456,0.16
22,5,0.14685314685314682,0.045454545454545456,0.19230769230769232
22,6,0.17676767676767685,0.045454545454545456,0.2222222222222222
22,7,0.20454545454545447,0.045454545454545456,0.25
23,2,0.039855072463768154,0.043478260869565216,0.08333333333333333
23,3,0.07652173913043472,0.043478260869565216,0.12
23,4,0.1103678929765886,0.043478260869565216,0.15384615384615385
23,5,0.14170692431562004,0.043478260869565216,0.18518518518518517
23,6,0.170807453416149,0.043478260869565216,0.21428571428571427
23,7,0.19790104947526244,0.043478260869565216,0.2413793103448276
24,2,0.0383333333333333,0.041666666666666664,0.08
24,3,0.07371794871794868,0.041666666666666664,0.11538461538461539
24,4,0.10648148148148147,0.041666666666666664,0.14814814814814814
24,5,0.13690476190476192,0.041666666666666664,0.17857142857142858
24,6,0.16522988505747127,0.041666666666666664,0.20689655172413793
24,7,0.19166666666666665,0.041666666666666664,0.23333333333333334
25,2,0.036923076923076906,0.04,0.07692307692307693
25,3,0.07111111111111114,0.04,0.1111111111111111
25,4,0.10285714285714288,0.04,0.14285714285714285
25,5,0.13241379310344828,0.04,0.1724137931034483
25,6,0.16,0.04,0.2
25,7,0.18580645161290324,0.04,0.22580645161290322
26,2,0.03561253561253566,0.038461538461538464,0.07407407407407407
26,3,0.06868131868131871,0.038461538461538464,0.10714285714285714
26,4,0.09946949602122021,0.038461538461538464,0.13793103448275862
26,5,0.12820512820512822,0.038461538461538464,0.16666666666666666
26,6,0.15508684863523575,0.038461538461538464,0.1935483870967742
26,7,0.18028846153846156,0.038461538461538464,0.21875
27,2,0.03439153439153439,0.037037037037037035,0.07142857142857142
27,3,0.06641123882503189,0.037037037037037035,0.10344827586206896
27,4,0.09629629629629628,0.037037037037037035,0.13333333333333333
27,5,0.12425328554360811,0.037037037037037035,0.16129032258064516
27,6,0.15046296296296294,0.037037037037037035,0.1875
27,7,0.175084175084175,0.037037037037037035,0.21212121212121213
28,2,0.033251231527093576,0.03571428571428571,0.06896551724137931
28,3,0.06428571428571427,0.03571428571428571,0.1
28,4,0.09331797235023043,0.03571428571428571,0.12903225806451613
28,5,0.12053571428571425,0.03571428571428571,0.15625
28,6,0.14610389610389612,0.03571428571428571,0.18181818181818182
28,7,0.1701680672268907,0.03571428571428571,0.20588235294117646
29,2,0.03218390804597701,0.034482758620689655,0.06666666666666667
29,3,0.062291434927697446,0.034482758620689655,0.0967741935483871
29,4,0.09051724137931036,0.034482758620689655,0.125
29,5,0.11703239289446182,0.034482758620689655,0.15151515151515152
29,6,0.14198782961460452,0.034482758620689655,0.17647058823529413
29,7,0.16551724137931037,0.034482758620689655,0.2
30,2,0.031182795698924737,0.03333333333333333,0.06451612903225806
30,3,0.060416666666666646,0.03333333333333333,0.09375
30,4,0.08787878787878783,0.03333333333333333,0.12121212121212122
30,5,0.11372549019607842,0.03333333333333333,0.14705882352941177
30,6,0.13809523809523808,0.03333333333333333,0.17142857142857143
30,7,0.1611111111111111,0.03333333333333333,0.19444444444444445
