sample_index,final_microstate_count,maximum_macro_mass_error,maximum_macro_q_error,maximum_macro_probability_tv,maximum_total_mass_error
0,264,5.551115123125783e-17,8.881784197001252e-16,3.903127820947816e-17,2.220446049250313e-16
1,266,8.326672684688674e-17,8.881784197001252e-16,6.917209860457518e-17,3.3306690738754696e-16
2,242,4.163336342344337e-17,4.440892098500626e-16,1.0104764247564901e-16,2.220446049250313e-16
3,264,5.551115123125783e-17,1.7763568394002505e-15,2.2854981795994433e-16,2.220446049250313e-16
4,261,5.551115123125783e-17,1.1102230246251565e-15,6.852157730108388e-17,2.220446049250313e-16
5,234,8.326672684688674e-17,6.661338147750939e-16,5.377642775528102e-17,2.220446049250313e-16
6,243,2.7755575615628914e-17,2.220446049250313e-16,3.469446951953614e-18,2.220446049250313e-16
7,269,5.551115123125783e-17,4.440892098500626e-16,3.5561831257524545e-17,2.220446049250313e-16
8,255,6.938893903907228e-17,6.661338147750939e-16,1.3877787807814457e-17,2.220446049250313e-16
9,267,5.551115123125783e-17,2.220446049250313e-16,1.1275702593849246e-16,2.220446049250313e-16
10,253,5.551115123125783e-17,4.440892098500626e-16,9.367506770274758e-17,4.440892098500626e-16
11,243,5.551115123125783e-17,3.3306690738754696e-16,1.1102230246251565e-16,3.3306690738754696e-16
12,261,5.551115123125783e-17,4.440892098500626e-16,2.2551405187698492e-17,3.3306690738754696e-16
13,273,2.220446049250313e-16,8.881784197001252e-16,7.45931094670027e-17,3.3306690738754696e-16
14,263,5.551115123125783e-17,1.3322676295501878e-15,2.949029909160572e-17,3.3306690738754696e-16
15,249,1.1102230246251565e-16,1.3322676295501878e-15,8.586881206085195e-17,3.3306690738754696e-16
16,251,5.551115123125783e-17,2.220446049250313e-16,1.5265566588595902e-16,2.220446049250313e-16
17,255,1.1102230246251565e-16,6.661338147750939e-16,9.194034422677078e-17,2.220446049250313e-16
18,259,5.551115123125783e-17,7.771561172376096e-16,7.632783294297951e-17,2.220446049250313e-16
19,246,8.326672684688674e-17,8.881784197001252e-16,6.310056643865636e-17,1.1102230246251565e-16
20,252,4.163336342344337e-17,4.440892098500626e-16,1.0061396160665481e-16,2.220446049250313e-16
21,270,8.326672684688674e-17,2.220446049250313e-16,1.3183898417423734e-16,2.220446049250313e-16
22,238,1.1102230246251565e-16,4.440892098500626e-16,8.500145032286355e-17,4.440892098500626e-16
23,258,8.326672684688674e-17,2.7755575615628914e-16,2.740863092043355e-16,2.220446049250313e-16
24,260,5.551115123125783e-17,1.1102230246251565e-16,5.204170427930421e-18,2.220446049250313e-16
25,265,5.551115123125783e-17,1.1102230246251565e-15,1.5959455978986625e-16,4.440892098500626e-16
26,282,2.7755575615628914e-17,4.440892098500626e-16,7.589415207398531e-18,2.220446049250313e-16
27,255,5.551115123125783e-17,1.1102230246251565e-15,9.367506770274758e-17,3.3306690738754696e-16
28,279,2.7755575615628914e-17,7.771561172376096e-16,1.5829351718288365e-17,2.220446049250313e-16
29,267,2.7755575615628914e-17,2.220446049250313e-16,2.45029690981724e-17,2.220446049250313e-16
30,251,3.885780586188048e-16,5.551115123125783e-16,2.0643209364124004e-16,2.220446049250313e-16
31,255,5.551115123125783e-17,4.440892098500626e-16,1.0234868508263162e-16,2.220446049250313e-16
32,267,1.6653345369377348e-16,6.661338147750939e-16,9.974659986866641e-17,3.3306690738754696e-16
33,250,2.220446049250313e-16,1.7763568394002505e-15,8.630249292984615e-17,2.220446049250313e-16
34,277,1.1102230246251565e-16,4.440892098500626e-16,2.7755575615628914e-17,4.440892098500626e-16
35,255,1.1102230246251565e-16,4.440892098500626e-16,1.491862189340054e-16,3.3306690738754696e-16
36,262,1.1102230246251565e-16,3.3306690738754696e-16,8.500145032286355e-17,2.220446049250313e-16
37,260,2.7755575615628914e-16,8.881784197001252e-16,4.0766001685454967e-17,2.220446049250313e-16
38,268,1.6653345369377348e-16,4.440892098500626e-16,4.85722573273506e-17,4.440892098500626e-16
39,260,4.163336342344337e-17,1.6653345369377348e-16,5.724587470723463e-17,2.220446049250313e-16
40,288,1.1102230246251565e-16,4.440892098500626e-16,1.1731067506293158e-16,2.220446049250313e-16
41,259,1.1102230246251565e-16,4.440892098500626e-16,6.938893903907228e-18,3.3306690738754696e-16
42,265,5.551115123125783e-17,1.3322676295501878e-15,1.3877787807814457e-17,2.220446049250313e-16
43,282,2.7755575615628914e-17,4.440892098500626e-16,1.0755285551056204e-16,2.220446049250313e-16
44,251,4.440892098500626e-16,9.992007221626409e-16,1.3357370765021415e-16,3.3306690738754696e-16
45,271,5.551115123125783e-17,3.885780586188048e-16,8.326672684688674e-17,3.3306690738754696e-16
46,242,1.1102230246251565e-16,6.661338147750939e-16,8.673617379884035e-17,4.440892098500626e-16
47,250,1.1102230246251565e-16,4.440892098500626e-16,1.2923689896027213e-16,2.220446049250313e-16
48,253,1.1102230246251565e-16,4.440892098500626e-16,3.2959746043559335e-17,2.220446049250313e-16
49,266,6.938893903907228e-17,1.3322676295501878e-15,7.892991815694472e-17,3.3306690738754696e-16
50,254,2.7755575615628914e-17,8.881784197001252e-16,1.9255430583342559e-16,2.220446049250313e-16
51,250,5.551115123125783e-17,4.440892098500626e-16,1.734723475976807e-16,4.440892098500626e-16
52,272,1.1102230246251565e-16,1.3322676295501878e-15,7.741203511546502e-17,2.220446049250313e-16
53,272,5.551115123125783e-17,4.440892098500626e-16,6.158268339717665e-17,2.220446049250313e-16
54,266,1.1102230246251565e-16,8.881784197001252e-16,8.239936510889834e-17,4.440892098500626e-16
55,239,2.7755575615628914e-17,4.440892098500626e-16,5.2583805365546965e-17,3.3306690738754696e-16
56,255,2.220446049250313e-16,1.3322676295501878e-15,5.551115123125783e-17,3.3306690738754696e-16
57,254,1.1102230246251565e-16,1.1102230246251565e-16,8.673617379884035e-17,2.220446049250313e-16
58,253,5.551115123125783e-17,4.440892098500626e-16,6.158268339717665e-17,2.220446049250313e-16
59,258,5.551115123125783e-17,4.440892098500626e-16,5.0306980803327406e-17,4.440892098500626e-16
60,237,5.551115123125783e-17,6.661338147750939e-16,6.938893903907228e-17,2.220446049250313e-16
61,258,2.220446049250313e-16,4.440892098500626e-16,1.734723475976807e-17,2.220446049250313e-16
62,271,5.551115123125783e-17,4.440892098500626e-16,9.410874857174178e-17,2.220446049250313e-16
63,256,1.6653345369377348e-16,4.440892098500626e-16,9.8879238130678e-17,2.220446049250313e-16
64,261,2.7755575615628914e-17,5.551115123125783e-16,1.726049858596923e-16,2.220446049250313e-16
65,273,5.551115123125783e-17,5.551115123125783e-16,9.020562075079397e-17,2.220446049250313e-16
66,258,1.1102230246251565e-16,8.881784197001252e-16,1.1449174941446927e-16,1.1102230246251565e-16
67,260,1.3877787807814457e-17,6.661338147750939e-16,3.0357660829594124e-17,2.220446049250313e-16
68,259,5.551115123125783e-17,8.881784197001252e-16,7.45931094670027e-17,2.220446049250313e-16
69,267,8.326672684688674e-17,1.1102230246251565e-16,1.1449174941446927e-16,3.3306690738754696e-16
70,247,2.7755575615628914e-17,8.881784197001252e-16,3.426078865054194e-17,2.220446049250313e-16
71,273,4.163336342344337e-17,3.3306690738754696e-16,5.724587470723463e-17,2.220446049250313e-16
72,253,1.6653345369377348e-16,3.885780586188048e-16,1.1796119636642288e-16,2.220446049250313e-16
73,240,5.551115123125783e-17,3.3306690738754696e-16,8.326672684688674e-17,2.220446049250313e-16
74,282,1.1102230246251565e-16,1.1102230246251565e-15,9.454242944073599e-17,3.3306690738754696e-16
75,270,8.326672684688674e-17,2.220446049250313e-15,1.708702623837155e-16,2.220446049250313e-16
76,256,1.6653345369377348e-16,8.881784197001252e-16,6.722053469410127e-17,2.220446049250313e-16
77,258,1.1102230246251565e-16,1.2212453270876722e-15,1.0072238182390336e-16,2.220446049250313e-16
78,276,5.551115123125783e-17,8.881784197001252e-16,1.7477339020466331e-16,2.220446049250313e-16
79,265,5.551115123125783e-17,6.661338147750939e-16,1.9949319973733282e-17,4.440892098500626e-16
80,258,8.326672684688674e-17,1.3322676295501878e-15,1.1535911115245767e-16,2.220446049250313e-16
81,274,2.498001805406602e-16,1.4432899320127035e-15,4.5319650809894085e-17,2.220446049250313e-16
82,236,2.7755575615628914e-17,1.1102230246251565e-16,8.673617379884035e-17,3.3306690738754696e-16
83,238,5.551115123125783e-17,1.1102230246251565e-16,1.0072238182390336e-16,2.220446049250313e-16
84,269,5.551115123125783e-17,4.440892098500626e-16,1.214306433183765e-17,2.220446049250313e-16
85,251,8.326672684688674e-17,8.881784197001252e-16,1.691355389077387e-16,2.220446049250313e-16
86,283,1.6653345369377348e-16,1.1102230246251565e-16,9.71445146547012e-17,4.440892098500626e-16
87,241,5.551115123125783e-17,1.1102230246251565e-16,1.1796119636642288e-16,2.220446049250313e-16
88,253,1.6653345369377348e-16,2.7755575615628914e-16,1.5612511283791264e-16,2.220446049250313e-16
89,257,8.326672684688674e-17,2.220446049250313e-16,1.1362438767648086e-16,3.3306690738754696e-16
90,249,5.551115123125783e-17,1.1102230246251565e-15,8.153200337090993e-17,2.220446049250313e-16
91,261,5.551115123125783e-17,4.440892098500626e-16,5.551115123125783e-17,2.220446049250313e-16
92,250,4.163336342344337e-17,1.1102230246251565e-15,9.280770596475918e-17,3.3306690738754696e-16
93,246,1.1102230246251565e-16,6.661338147750939e-16,1.457167719820518e-16,2.220446049250313e-16
94,259,5.551115123125783e-17,1.3322676295501878e-15,4.5102810375396984e-17,2.220446049250313e-16
95,258,1.1102230246251565e-16,8.881784197001252e-16,8.239936510889834e-18,1.1102230246251565e-16
96,268,4.163336342344337e-17,8.881784197001252e-16,3.122502256758253e-17,2.220446049250313e-16
97,264,2.7755575615628914e-17,8.881784197001252e-16,8.42425088021237e-17,2.220446049250313e-16
98,244,8.326672684688674e-17,2.220446049250313e-16,8.413408858487514e-17,4.440892098500626e-16
99,267,1.1102230246251565e-16,1.7763568394002505e-15,1.3921155894713877e-16,3.3306690738754696e-16
100,259,4.163336342344337e-17,4.440892098500626e-16,4.1687573532067645e-17,4.440892098500626e-16
101,238,8.326672684688674e-17,8.881784197001252e-16,9.627715291671279e-17,2.220446049250313e-16
102,264,5.551115123125783e-17,4.440892098500626e-16,1.474514954580286e-17,3.3306690738754696e-16
103,257,3.3306690738754696e-16,9.992007221626409e-16,2.5153490401663703e-16,2.220446049250313e-16
104,278,4.163336342344337e-17,2.220446049250313e-16,1.0928757898653885e-16,2.220446049250313e-16
105,257,1.6653345369377348e-16,4.440892098500626e-16,6.21247844834194e-17,2.220446049250313e-16
106,260,5.551115123125783e-17,8.881784197001252e-16,8.088148206741863e-17,3.3306690738754696e-16
107,257,1.1102230246251565e-16,5.551115123125783e-16,6.245004513516506e-17,3.3306690738754696e-16
108,230,1.1102230246251565e-16,4.440892098500626e-16,2.3201926491189795e-16,2.220446049250313e-16
109,253,5.551115123125783e-17,1.3322676295501878e-15,7.025630077706069e-17,4.440892098500626e-16
110,257,5.551115123125783e-17,1.1102230246251565e-16,1.0495077029659683e-16,3.3306690738754696e-16
111,241,1.3877787807814457e-16,8.881784197001252e-16,1.1362438767648086e-16,2.220446049250313e-16
112,245,5.551115123125783e-17,4.440892098500626e-16,8.673617379884035e-18,2.220446049250313e-16
113,254,2.7755575615628914e-17,1.1102230246251565e-16,1.0863705768304754e-16,2.220446049250313e-16
114,258,1.1102230246251565e-16,6.661338147750939e-16,1.214306433183765e-17,2.220446049250313e-16
115,257,5.551115123125783e-17,6.661338147750939e-16,3.0357660829594124e-17,2.220446049250313e-16
116,226,4.996003610813204e-16,8.881784197001252e-16,1.8735013540549517e-16,2.220446049250313e-16
117,250,2.220446049250313e-16,6.661338147750939e-16,1.0495077029659683e-16,2.220446049250313e-16
118,271,1.6653345369377348e-16,4.440892098500626e-16,1.0928757898653885e-16,2.220446049250313e-16
119,253,5.551115123125783e-17,2.220446049250313e-16,6.591949208711867e-17,2.220446049250313e-16
120,260,5.551115123125783e-17,6.661338147750939e-16,5.334274688628682e-17,2.220446049250313e-16
121,263,5.551115123125783e-17,4.440892098500626e-16,7.632783294297951e-17,3.3306690738754696e-16
122,256,5.551115123125783e-17,1.1102230246251565e-16,5.551115123125783e-17,2.220446049250313e-16
123,250,5.551115123125783e-17,6.661338147750939e-16,1.0061396160665481e-16,4.440892098500626e-16
124,275,5.551115123125783e-17,4.440892098500626e-16,6.873841773558098e-17,2.220446049250313e-16
125,262,2.7755575615628914e-17,4.440892098500626e-16,1.0581813203458523e-16,2.220446049250313e-16
126,242,1.6653345369377348e-16,6.661338147750939e-16,1.0234868508263162e-16,2.220446049250313e-16
127,272,8.326672684688674e-17,1.3322676295501878e-15,6.505213034913027e-17,2.220446049250313e-16
128,251,1.1102230246251565e-16,8.881784197001252e-16,8.456776945386935e-17,2.220446049250313e-16
129,261,5.551115123125783e-17,8.881784197001252e-16,3.8272336688738307e-17,2.220446049250313e-16
130,268,5.551115123125783e-17,2.220446049250313e-16,2.2551405187698492e-17,3.3306690738754696e-16
131,269,5.551115123125783e-17,3.3306690738754696e-16,3.122502256758253e-17,4.440892098500626e-16
132,272,5.551115123125783e-17,4.440892098500626e-16,1.3183898417423734e-16,2.220446049250313e-16
133,254,2.7755575615628914e-17,4.440892098500626e-16,2.883977778811442e-17,2.220446049250313e-16
134,258,1.6653345369377348e-16,1.1102230246251565e-15,4.163336342344337e-17,2.220446049250313e-16
135,236,1.1102230246251565e-16,2.220446049250313e-16,9.020562075079397e-17,3.3306690738754696e-16
136,254,1.1102230246251565e-16,1.6653345369377348e-16,1.214306433183765e-17,4.440892098500626e-16
137,259,5.551115123125783e-17,4.440892098500626e-16,6.245004513516506e-17,2.220446049250313e-16
138,269,1.1102230246251565e-16,1.1102230246251565e-15,8.370040771588094e-17,2.220446049250313e-16
139,276,5.551115123125783e-17,6.661338147750939e-16,1.734723475976807e-17,5.551115123125783e-16
140,259,4.163336342344337e-17,8.881784197001252e-16,6.938893903907228e-17,2.220446049250313e-16
141,259,1.3877787807814457e-17,4.440892098500626e-16,1.231653667943533e-16,2.220446049250313e-16
142,237,1.1102230246251565e-16,8.881784197001252e-16,6.938893903907228e-17,3.3306690738754696e-16
143,256,2.7755575615628914e-17,4.440892098500626e-16,9.606031248221569e-17,4.440892098500626e-16
144,262,4.163336342344337e-17,6.661338147750939e-16,9.8879238130678e-17,2.220446049250313e-16
145,261,1.6653345369377348e-16,4.440892098500626e-16,4.163336342344337e-17,2.220446049250313e-16
146,257,5.551115123125783e-17,1.1102230246251565e-16,6.938893903907228e-17,2.220446049250313e-16
147,243,2.7755575615628914e-16,1.9984014443252818e-15,1.5265566588595902e-16,2.220446049250313e-16
148,271,5.551115123125783e-17,6.661338147750939e-16,2.168404344971009e-17,2.220446049250313e-16
149,264,2.7755575615628914e-17,4.440892098500626e-16,6.982261990806649e-17,2.220446049250313e-16
150,264,5.551115123125783e-17,1.1102230246251565e-15,9.194034422677078e-17,2.220446049250313e-16
151,259,1.3877787807814457e-16,1.1102230246251565e-15,1.1015494072452725e-16,2.220446049250313e-16
152,259,2.7755575615628914e-17,6.661338147750939e-16,4.163336342344337e-17,2.220446049250313e-16
153,231,4.163336342344337e-17,2.220446049250313e-16,1.0061396160665481e-16,2.220446049250313e-16
154,252,1.1102230246251565e-16,8.881784197001252e-16,9.042246118529107e-17,2.220446049250313e-16
155,268,5.551115123125783e-17,2.498001805406602e-16,9.71445146547012e-17,2.220446049250313e-16
