sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
0,8,80,131,0.29408396946564885
1,13,166,179,0.17850171636265733
2,5,100,39,0.3528205128205128
3,3,46,28,0.5543478260869565
4,13,123,174,0.43650126156433977
5,13,123,177,0.37660190161223644
6,6,68,68,0.3970588235294118
7,11,115,168,0.3408902691511387
8,7,102,93,0.3070841239721695
9,8,67,78,0.2529659395331037
10,13,151,205,0.306832498788564
11,15,201,225,0.2645439469320066
12,17,227,189,0.21483346152949678
13,11,137,117,0.29671220912096824
14,9,114,101,0.3110126802153899
15,4,21,31,0.2150537634408602
16,17,242,219,0.2921430997396128
17,5,74,55,0.08230958230958228
18,6,58,91,0.29727169382341795
19,6,68,75,0.28568627450980394
20,5,68,93,0.1937065148640101
21,4,58,43,0.4366479550922213
22,17,162,202,0.2939738418286273
23,15,186,179,0.34582807713101466
24,7,72,107,0.3163291796469367
25,15,205,162,0.3534778681120145
26,5,41,53,0.3354809019788311
27,7,119,93,0.20818650040661424
28,7,65,108,0.2780626780626781
29,6,93,93,0.33333333333333337
30,12,130,156,0.33461538461538454
31,10,110,165,0.2272727272727273
32,6,82,76,0.24807445442875478
33,11,140,153,0.3308123249299719
34,11,141,135,0.2925137903861308
35,16,197,198,0.20030251756140083
36,11,110,146,0.26650062266500624
37,6,70,43,0.3385382059800665
38,5,56,34,0.14075630252100838
39,10,132,138,0.30928853754940716
40,15,222,181,0.363321885421333
41,9,129,155,0.24471117779444862
42,14,142,154,0.32376074629595764
43,3,40,55,0.16818181818181815
44,4,61,63,0.2419984387197502
45,10,141,116,0.4941305942773294
46,11,186,90,0.4867383512544803
47,4,63,32,0.24305555555555555
48,5,66,79,0.24932873034138858
49,15,174,161,0.3216249018347969
50,15,169,198,0.366774251389636
51,8,81,121,0.19600040812162026
52,4,37,56,0.12982625482625484
53,3,41,44,0.08481152993348116
54,7,68,95,0.4256965944272445
55,13,168,113,0.2731247366203119
56,13,174,127,0.4440673364105349
57,8,111,90,0.34564564564564565
58,10,101,123,0.22401996297190693
59,14,138,173,0.37031917567227945
60,12,176,131,0.3788167938931297
61,10,177,99,0.2285567539804828
62,9,146,134,0.3072991208341853
63,17,173,231,0.2693241248154543
64,6,60,99,0.4358585858585859
65,11,160,106,0.36662735849056605
66,15,146,240,0.2735730593607306
67,15,155,180,0.38745519713261645
68,3,35,33,0.6398268398268399
69,12,179,123,0.2680655856837898
70,4,39,44,0.13286713286713286
71,6,75,68,0.5154901960784314
72,6,46,85,0.5273657289002557
73,6,42,44,0.2359307359307359
74,12,185,202,0.16299170457586298
75,4,56,61,0.24795081967213117
76,5,55,38,0.3952153110047847
77,14,178,158,0.42525956478452576
