sample_index,macro_count,clone_count,conservative_tv,ontic_branching_tv
0,6,6,0.0,0.3787878787878787
1,12,6,0.0,0.26960784313725494
2,11,3,0.0,0.13986013986013984
3,14,6,0.0,0.24436090225563917
4,13,8,0.0,0.3230769230769231
5,6,7,0.0,0.4166666666666667
6,19,8,0.0,0.25506072874493924
7,5,5,0.0,0.35555555555555557
8,9,2,0.0,0.08888888888888885
9,14,6,0.0,0.24436090225563917
10,18,4,0.0,0.13492063492063489
11,13,5,0.0,0.2171945701357466
12,5,7,0.0,0.4363636363636364
13,13,8,0.0,0.3230769230769231
14,19,7,0.0,0.22736842105263158
15,11,5,0.0,0.24242424242424243
16,15,6,0.0,0.2333333333333333
17,19,2,0.0,0.04736842105263153
18,8,4,0.0,0.23863636363636362
19,13,2,0.0,0.06593406593406598
20,5,6,0.0,0.39999999999999997
21,9,6,0.0,0.3174603174603174
22,8,5,0.0,0.29166666666666674
23,13,2,0.0,0.06593406593406598
24,4,2,0.0,0.15
25,11,7,0.0,0.32085561497326204
26,18,6,0.0,0.20531400966183572
27,18,5,0.0,0.1717171717171717
28,4,7,0.0,0.45
29,4,4,0.0,0.3214285714285714
30,16,2,0.0,0.05514705882352942
31,9,4,0.0,0.2222222222222222
32,13,6,0.0,0.2564102564102565
33,19,6,0.0,0.19736842105263155
34,15,4,0.0,0.1555555555555556
35,19,3,0.0,0.09022556390977443
36,12,5,0.0,0.22916666666666663
37,15,6,0.0,0.2333333333333333
38,14,7,0.0,0.2785714285714286
39,6,2,0.0,0.11904761904761904
40,10,8,0.0,0.37058823529411766
41,7,7,0.0,0.39560439560439553
42,13,8,0.0,0.3230769230769231
43,5,4,0.0,0.30000000000000004
44,6,7,0.0,0.41666666666666674
45,17,4,0.0,0.14117647058823524
46,16,4,0.0,0.1480263157894737
47,6,7,0.0,0.4166666666666667
48,16,7,0.0,0.2556818181818181
49,13,7,0.0,0.29149797570850206
50,10,2,0.0,0.08181818181818183
51,15,8,0.0,0.296969696969697
52,4,6,0.0,0.41666666666666663
53,11,5,0.0,0.24242424242424243
54,8,2,0.0,0.09722222222222224
55,17,2,0.0,0.05228758169934642
56,4,7,0.0,0.44999999999999996
57,5,5,0.0,0.35555555555555557
58,13,7,0.0,0.29149797570850206
59,10,3,0.0,0.15000000000000002
60,17,8,0.0,0.2745098039215686
61,9,8,0.0,0.38888888888888884
62,13,4,0.0,0.1730769230769231
63,16,4,0.0,0.1480263157894737
64,8,5,0.0,0.29166666666666674
65,9,4,0.0,0.22222222222222224
66,9,5,0.0,0.2735042735042735
67,9,2,0.0,0.08888888888888885
68,18,2,0.0,0.049707602339181284
69,17,5,0.0,0.1792717086834734
70,14,5,0.0,0.20634920634920637
71,7,8,0.0,0.4285714285714285
72,12,8,0.0,0.337719298245614
73,18,8,0.0,0.2644444444444444
74,16,3,0.0,0.10416666666666669
75,14,4,0.0,0.16386554621848737
76,5,5,0.0,0.3555555555555556
77,6,3,0.0,0.20833333333333331
78,12,3,0.0,0.13095238095238096
79,10,2,0.0,0.08181818181818183
80,13,8,0.0,0.3230769230769231
81,4,8,0.0,0.4772727272727273
82,18,7,0.0,0.23611111111111113
83,18,3,0.0,0.09444444444444439
84,3,7,0.0,0.4444444444444445
85,8,6,0.0,0.33653846153846156
86,14,3,0.0,0.11607142857142855
87,11,8,0.0,0.35353535353535354
88,6,5,0.0,0.3333333333333333
89,19,2,0.0,0.04736842105263153
90,9,2,0.0,0.08888888888888885
91,4,2,0.0,0.15
92,5,6,0.0,0.39999999999999997
93,12,3,0.0,0.13095238095238096
94,14,4,0.0,0.16386554621848742
95,18,5,0.0,0.1717171717171717
96,15,8,0.0,0.29696969696969705
97,8,4,0.0,0.23863636363636362
98,5,8,0.0,0.4666666666666667
99,11,7,0.0,0.32085561497326204
100,12,6,0.0,0.26960784313725494
101,10,7,0.0,0.3375
102,18,3,0.0,0.09444444444444439
103,18,4,0.0,0.1349206349206349
104,4,5,0.0,0.375
105,18,2,0.0,0.049707602339181284
106,19,7,0.0,0.22736842105263155
107,10,2,0.0,0.08181818181818183
108,10,2,0.0,0.08181818181818183
109,13,4,0.0,0.1730769230769231
110,13,3,0.0,0.12307692307692314
111,17,6,0.0,0.213903743315508
112,11,3,0.0,0.13986013986013984
113,14,6,0.0,0.24436090225563917
114,13,3,0.0,0.12307692307692311
115,6,3,0.0,0.20833333333333331
116,5,4,0.0,0.30000000000000004
117,11,6,0.0,0.2840909090909091
118,9,5,0.0,0.2735042735042735
119,19,6,0.0,0.19736842105263155
120,14,7,0.0,0.2785714285714286
121,15,6,0.0,0.2333333333333333
122,16,8,0.0,0.28532608695652173
123,17,4,0.0,0.14117647058823524
124,9,3,0.0,0.1616161616161616
125,13,8,0.0,0.3230769230769231
126,8,8,0.0,0.4083333333333333
127,18,4,0.0,0.13492063492063489
128,15,6,0.0,0.2333333333333333
129,9,3,0.0,0.1616161616161616
130,11,2,0.0,0.07575757575757577
131,3,3,0.0,0.2666666666666666
