sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
0,16,7.105427357601002e-15,7.105427357601002e-15
1,55,8.526512829121202e-14,8.526512829121202e-14
2,38,2.842170943040401e-14,2.842170943040401e-14
3,49,2.842170943040401e-14,2.842170943040401e-14
4,61,2.842170943040401e-14,2.842170943040401e-14
5,60,4.263256414560601e-14,4.263256414560601e-14
6,48,2.842170943040401e-14,2.842170943040401e-14
7,58,8.526512829121202e-14,8.526512829121202e-14
8,77,4.263256414560601e-14,2.842170943040401e-14
9,15,3.552713678800501e-15,3.552713678800501e-15
10,73,4.263256414560601e-14,1.4210854715202004e-14
11,72,2.842170943040401e-14,2.842170943040401e-14
12,73,5.684341886080802e-14,5.684341886080802e-14
13,48,1.4210854715202004e-14,1.4210854715202004e-14
14,28,7.105427357601002e-15,7.105427357601002e-15
15,69,2.842170943040401e-14,2.842170943040401e-14
16,21,7.105427357601002e-15,7.105427357601002e-15
17,43,2.842170943040401e-14,2.842170943040401e-14
18,71,2.842170943040401e-14,2.842170943040401e-14
19,16,7.105427357601002e-15,7.105427357601002e-15
20,67,5.684341886080802e-14,5.684341886080802e-14
21,36,1.4210854715202004e-14,1.4210854715202004e-14
22,43,2.1316282072803006e-14,2.1316282072803006e-14
23,41,2.842170943040401e-14,2.842170943040401e-14
24,17,2.842170943040401e-14,2.842170943040401e-14
25,62,4.263256414560601e-14,4.263256414560601e-14
26,12,3.552713678800501e-15,3.552713678800501e-15
27,43,7.105427357601002e-15,7.105427357601002e-15
28,14,7.105427357601002e-15,7.105427357601002e-15
29,52,2.842170943040401e-14,2.842170943040401e-14
30,57,2.842170943040401e-14,2.842170943040401e-14
31,15,7.105427357601002e-15,7.105427357601002e-15
32,68,5.684341886080802e-14,5.684341886080802e-14
33,62,4.263256414560601e-14,4.263256414560601e-14
34,61,2.842170943040401e-14,2.842170943040401e-14
35,61,5.684341886080802e-14,5.684341886080802e-14
36,42,5.684341886080802e-14,5.684341886080802e-14
37,27,1.4210854715202004e-14,1.4210854715202004e-14
38,11,1.7763568394002505e-15,1.7763568394002505e-15
39,73,5.684341886080802e-14,5.684341886080802e-14
40,27,1.4210854715202004e-14,1.4210854715202004e-14
41,11,7.105427357601002e-15,7.105427357601002e-15
42,9,7.105427357601002e-15,7.105427357601002e-15
43,65,8.526512829121202e-14,8.526512829121202e-14
44,19,2.1316282072803006e-14,2.1316282072803006e-14
45,38,4.263256414560601e-14,4.263256414560601e-14
46,37,1.4210854715202004e-14,1.4210854715202004e-14
47,32,2.1316282072803006e-14,2.1316282072803006e-14
48,41,2.842170943040401e-14,2.842170943040401e-14
49,68,2.842170943040401e-14,2.842170943040401e-14
50,61,2.1316282072803006e-14,1.4210854715202004e-14
51,37,2.842170943040401e-14,2.842170943040401e-14
52,60,1.4210854715202004e-14,1.4210854715202004e-14
53,32,2.1316282072803006e-14,1.4210854715202004e-14
54,55,5.684341886080802e-14,5.684341886080802e-14
55,46,4.263256414560601e-14,4.263256414560601e-14
56,63,2.842170943040401e-14,2.842170943040401e-14
57,54,2.842170943040401e-14,2.842170943040401e-14
58,49,4.263256414560601e-14,4.263256414560601e-14
59,74,5.684341886080802e-14,5.684341886080802e-14
60,11,3.552713678800501e-15,3.552713678800501e-15
61,76,8.526512829121202e-14,8.526512829121202e-14
62,9,3.552713678800501e-15,1.7763568394002505e-15
63,34,2.842170943040401e-14,2.842170943040401e-14
64,20,7.105427357601002e-15,7.105427357601002e-15
65,12,3.552713678800501e-15,3.552713678800501e-15
66,70,5.684341886080802e-14,5.684341886080802e-14
67,72,5.684341886080802e-14,5.684341886080802e-14
68,14,7.105427357601002e-15,7.105427357601002e-15
69,17,1.4210854715202004e-14,1.4210854715202004e-14
70,75,5.684341886080802e-14,5.684341886080802e-14
71,40,1.4210854715202004e-14,1.4210854715202004e-14
72,76,5.684341886080802e-14,5.684341886080802e-14
73,45,2.842170943040401e-14,2.842170943040401e-14
74,67,2.842170943040401e-14,2.842170943040401e-14
75,74,2.842170943040401e-14,2.842170943040401e-14
76,25,2.842170943040401e-14,2.842170943040401e-14
77,21,3.552713678800501e-15,3.552713678800501e-15
78,76,2.842170943040401e-14,2.842170943040401e-14
79,42,4.263256414560601e-14,4.263256414560601e-14
80,79,5.684341886080802e-14,5.684341886080802e-14
81,36,2.842170943040401e-14,2.842170943040401e-14
82,37,2.842170943040401e-14,2.842170943040401e-14
83,66,5.684341886080802e-14,5.684341886080802e-14
84,37,2.1316282072803006e-14,2.1316282072803006e-14
85,17,3.552713678800501e-15,3.552713678800501e-15
86,10,7.105427357601002e-15,7.105427357601002e-15
87,60,8.526512829121202e-14,8.526512829121202e-14
88,58,8.526512829121202e-14,8.526512829121202e-14
89,47,2.842170943040401e-14,2.842170943040401e-14
90,19,7.105427357601002e-15,7.105427357601002e-15
91,78,5.684341886080802e-14,1.4210854715202004e-14
92,58,2.842170943040401e-14,2.842170943040401e-14
93,32,1.4210854715202004e-14,1.4210854715202004e-14
94,38,2.842170943040401e-14,2.842170943040401e-14
95,24,1.4210854715202004e-14,1.4210854715202004e-14
96,78,5.684341886080802e-14,5.684341886080802e-14
97,58,5.684341886080802e-14,5.684341886080802e-14
98,9,3.552713678800501e-15,3.552713678800501e-15
99,28,1.4210854715202004e-14,1.4210854715202004e-14
100,22,7.105427357601002e-15,7.105427357601002e-15
101,66,5.684341886080802e-14,2.842170943040401e-14
102,28,2.1316282072803006e-14,1.4210854715202004e-14
103,45,1.4210854715202004e-14,1.4210854715202004e-14
104,74,2.842170943040401e-14,2.842170943040401e-14
105,65,2.842170943040401e-14,2.842170943040401e-14
106,28,4.263256414560601e-14,4.263256414560601e-14
107,78,8.526512829121202e-14,8.526512829121202e-14
108,24,4.263256414560601e-14,4.263256414560601e-14
109,30,1.4210854715202004e-14,7.105427357601002e-15
110,49,2.842170943040401e-14,2.842170943040401e-14
111,30,7.105427357601002e-15,7.105427357601002e-15
112,34,7.105427357601002e-15,7.105427357601002e-15
113,73,5.684341886080802e-14,5.684341886080802e-14
114,47,5.684341886080802e-14,5.684341886080802e-14
115,28,7.105427357601002e-15,7.105427357601002e-15
116,13,1.4210854715202004e-14,1.4210854715202004e-14
117,14,7.105427357601002e-15,3.552713678800501e-15
118,53,1.4210854715202004e-14,1.4210854715202004e-14
119,38,5.684341886080802e-14,5.684341886080802e-14
120,33,1.4210854715202004e-14,1.4210854715202004e-14
121,57,2.842170943040401e-14,2.842170943040401e-14
122,17,2.842170943040401e-14,2.842170943040401e-14
123,49,2.842170943040401e-14,2.842170943040401e-14
124,78,5.684341886080802e-14,5.684341886080802e-14
125,42,2.842170943040401e-14,2.842170943040401e-14
126,47,5.684341886080802e-14,5.684341886080802e-14
127,36,2.1316282072803006e-14,2.1316282072803006e-14
128,31,7.105427357601002e-15,7.105427357601002e-15
129,12,7.105427357601002e-15,7.105427357601002e-15
130,48,2.842170943040401e-14,2.842170943040401e-14
131,20,7.105427357601002e-15,3.552713678800501e-15
132,48,4.263256414560601e-14,2.842170943040401e-14
133,26,7.105427357601002e-15,7.105427357601002e-15
134,47,1.4210854715202004e-14,1.4210854715202004e-14
135,19,1.4210854715202004e-14,1.4210854715202004e-14
136,29,7.105427357601002e-15,7.105427357601002e-15
137,57,4.263256414560601e-14,4.263256414560601e-14
138,56,1.4210854715202004e-14,1.4210854715202004e-14
139,48,2.842170943040401e-14,2.842170943040401e-14
140,41,2.842170943040401e-14,2.842170943040401e-14
141,78,5.684341886080802e-14,5.684341886080802e-14
142,67,5.684341886080802e-14,5.684341886080802e-14
143,19,1.4210854715202004e-14,1.4210854715202004e-14
144,32,1.4210854715202004e-14,1.4210854715202004e-14
145,60,5.684341886080802e-14,5.684341886080802e-14
146,43,2.842170943040401e-14,2.842170943040401e-14
147,9,7.105427357601002e-15,7.105427357601002e-15
148,40,2.842170943040401e-14,2.842170943040401e-14
149,69,4.263256414560601e-14,2.842170943040401e-14
150,35,1.4210854715202004e-14,1.4210854715202004e-14
151,14,7.105427357601002e-15,7.105427357601002e-15
152,46,1.4210854715202004e-14,1.4210854715202004e-14
