sample_index,maximum_count_measure_error
0,2.7755575615628914e-17
1,2.7755575615628914e-17
2,2.7755575615628914e-17
3,2.7755575615628914e-17
4,0.0
5,1.3877787807814457e-17
6,5.551115123125783e-17
7,0.0
8,0.0
9,0.0
10,0.0
11,2.7755575615628914e-17
12,0.0
13,5.551115123125783e-17
14,5.551115123125783e-17
15,2.7755575615628914e-17
16,0.0
17,2.7755575615628914e-17
18,2.7755575615628914e-17
19,2.7755575615628914e-17
20,0.0
21,5.551115123125783e-17
22,2.7755575615628914e-17
23,5.551115123125783e-17
24,2.7755575615628914e-17
25,0.0
26,2.7755575615628914e-17
27,2.7755575615628914e-17
28,2.7755575615628914e-17
29,5.551115123125783e-17
30,2.7755575615628914e-17
31,2.7755575615628914e-17
32,1.1102230246251565e-16
33,2.7755575615628914e-17
34,1.3877787807814457e-17
35,6.938893903907228e-18
36,2.7755575615628914e-17
37,1.3877787807814457e-17
38,2.7755575615628914e-17
39,6.938893903907228e-18
40,1.3877787807814457e-17
41,5.551115123125783e-17
42,2.7755575615628914e-17
43,5.551115123125783e-17
44,2.7755575615628914e-17
45,2.7755575615628914e-17
46,2.7755575615628914e-17
47,2.7755575615628914e-17
48,6.938893903907228e-18
49,1.3877787807814457e-17
50,2.7755575615628914e-17
51,2.7755575615628914e-17
52,5.551115123125783e-17
53,2.7755575615628914e-17
54,2.7755575615628914e-17
55,2.7755575615628914e-17
56,2.7755575615628914e-17
57,5.551115123125783e-17
58,5.551115123125783e-17
59,6.938893903907228e-18
60,0.0
61,5.551115123125783e-17
62,2.7755575615628914e-17
63,0.0
64,2.7755575615628914e-17
65,2.7755575615628914e-17
66,2.7755575615628914e-17
67,1.3877787807814457e-17
68,2.7755575615628914e-17
69,1.3877787807814457e-17
70,5.551115123125783e-17
71,5.551115123125783e-17
72,2.7755575615628914e-17
73,1.3877787807814457e-17
74,5.551115123125783e-17
75,2.7755575615628914e-17
76,1.3877787807814457e-17
77,2.7755575615628914e-17
78,0.0
