sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
0,1.1102230246251565e-16,1.1102230246251565e-16,1146
1,2.220446049250313e-16,1.1102230246251565e-16,1510
2,2.220446049250313e-16,1.1102230246251565e-16,705
3,0.0,5.551115123125783e-17,1915
4,1.1102230246251565e-16,5.551115123125783e-17,1672
5,1.1102230246251565e-16,5.551115123125783e-17,1927
6,1.1102230246251565e-16,5.551115123125783e-17,1226
7,1.1102230246251565e-16,1.1102230246251565e-16,1736
8,2.220446049250313e-16,1.1102230246251565e-16,1467
9,2.220446049250313e-16,1.1102230246251565e-16,1229
10,2.220446049250313e-16,1.1102230246251565e-16,1436
11,0.0,1.1102230246251565e-16,1496
12,1.1102230246251565e-16,1.1102230246251565e-16,1965
13,0.0,5.551115123125783e-17,1833
14,0.0,2.7755575615628914e-17,1098
15,1.1102230246251565e-16,1.1102230246251565e-16,1616
16,1.1102230246251565e-16,1.1102230246251565e-16,2148
17,2.220446049250313e-16,2.220446049250313e-16,1206
18,2.220446049250313e-16,4.163336342344337e-17,1658
19,2.220446049250313e-16,2.220446049250313e-16,1882
20,2.220446049250313e-16,1.1102230246251565e-16,1155
21,2.220446049250313e-16,1.1102230246251565e-16,997
22,0.0,1.1102230246251565e-16,1387
23,2.220446049250313e-16,1.1102230246251565e-16,1575
24,1.1102230246251565e-16,2.7755575615628914e-17,1403
25,0.0,5.551115123125783e-17,1043
26,0.0,5.551115123125783e-17,1499
27,2.220446049250313e-16,2.220446049250313e-16,1111
28,2.220446049250313e-16,2.7755575615628914e-17,1091
29,2.220446049250313e-16,2.220446049250313e-16,1519
30,0.0,2.7755575615628914e-17,1548
31,2.220446049250313e-16,1.1102230246251565e-16,1855
32,1.1102230246251565e-16,2.7755575615628914e-17,1657
33,2.220446049250313e-16,1.1102230246251565e-16,852
34,2.220446049250313e-16,2.220446049250313e-16,1466
35,0.0,5.551115123125783e-17,1391
36,0.0,1.1102230246251565e-16,873
37,1.1102230246251565e-16,1.1102230246251565e-16,1386
38,1.1102230246251565e-16,5.551115123125783e-17,2065
39,0.0,2.7755575615628914e-17,1941
40,1.1102230246251565e-16,5.551115123125783e-17,1307
41,2.220446049250313e-16,2.220446049250313e-16,1715
42,0.0,5.551115123125783e-17,1122
43,1.1102230246251565e-16,1.1102230246251565e-16,1323
44,2.220446049250313e-16,1.1102230246251565e-16,1423
45,1.1102230246251565e-16,1.1102230246251565e-16,1283
46,2.220446049250313e-16,1.1102230246251565e-16,1690
47,1.1102230246251565e-16,5.551115123125783e-17,1552
48,0.0,5.551115123125783e-17,1303
49,0.0,1.1102230246251565e-16,1650
50,1.1102230246251565e-16,1.1102230246251565e-16,1829
51,2.220446049250313e-16,1.1102230246251565e-16,1341
52,0.0,2.7755575615628914e-17,2055
53,0.0,1.1102230246251565e-16,1729
54,0.0,2.7755575615628914e-17,1740
55,2.220446049250313e-16,2.220446049250313e-16,1987
56,1.1102230246251565e-16,5.551115123125783e-17,1962
57,1.1102230246251565e-16,5.551115123125783e-17,797
58,0.0,2.7755575615628914e-17,1276
59,1.1102230246251565e-16,1.1102230246251565e-16,1636
60,1.1102230246251565e-16,1.1102230246251565e-16,1114
61,1.1102230246251565e-16,1.3877787807814457e-17,1958
62,2.220446049250313e-16,1.1102230246251565e-16,1151
63,2.220446049250313e-16,5.551115123125783e-17,1255
64,2.220446049250313e-16,2.220446049250313e-16,1743
65,2.220446049250313e-16,1.1102230246251565e-16,1885
66,2.220446049250313e-16,5.551115123125783e-17,1401
67,0.0,5.551115123125783e-17,1343
68,0.0,5.551115123125783e-17,1591
69,0.0,5.551115123125783e-17,1933
70,0.0,1.1102230246251565e-16,1142
71,1.1102230246251565e-16,5.551115123125783e-17,1220
72,2.220446049250313e-16,1.1102230246251565e-16,1577
73,1.1102230246251565e-16,1.1102230246251565e-16,1009
74,1.1102230246251565e-16,2.7755575615628914e-17,1337
75,0.0,5.551115123125783e-17,1778
76,1.1102230246251565e-16,1.1102230246251565e-16,1208
77,2.220446049250313e-16,5.551115123125783e-17,1875
78,2.220446049250313e-16,1.1102230246251565e-16,947
79,2.220446049250313e-16,1.1102230246251565e-16,1902
80,0.0,1.1102230246251565e-16,1356
81,2.220446049250313e-16,2.220446049250313e-16,1327
82,2.220446049250313e-16,1.1102230246251565e-16,1076
83,0.0,1.1102230246251565e-16,1233
84,1.1102230246251565e-16,1.1102230246251565e-16,1325
85,1.1102230246251565e-16,1.1102230246251565e-16,1319
86,0.0,2.7755575615628914e-17,1348
87,2.220446049250313e-16,1.1102230246251565e-16,778
88,1.1102230246251565e-16,1.1102230246251565e-16,930
89,2.220446049250313e-16,1.1102230246251565e-16,1948
90,1.1102230246251565e-16,1.1102230246251565e-16,1048
91,2.220446049250313e-16,2.220446049250313e-16,1553
92,1.1102230246251565e-16,1.1102230246251565e-16,1054
93,2.220446049250313e-16,1.1102230246251565e-16,1322
94,0.0,5.551115123125783e-17,1226
95,2.220446049250313e-16,5.551115123125783e-17,1712
96,1.1102230246251565e-16,5.551115123125783e-17,1713
97,2.220446049250313e-16,1.1102230246251565e-16,1146
98,0.0,5.551115123125783e-17,2140
99,1.1102230246251565e-16,5.551115123125783e-17,1965
100,2.220446049250313e-16,5.551115123125783e-17,995
101,1.1102230246251565e-16,2.7755575615628914e-17,1455
102,2.220446049250313e-16,5.551115123125783e-17,1398
103,2.220446049250313e-16,5.551115123125783e-17,1370
104,4.440892098500626e-16,1.1102230246251565e-16,2028
105,2.220446049250313e-16,5.551115123125783e-17,1239
106,2.220446049250313e-16,5.551115123125783e-17,1750
107,0.0,5.551115123125783e-17,2343
108,1.1102230246251565e-16,1.1102230246251565e-16,1966
109,1.1102230246251565e-16,1.1102230246251565e-16,770
110,0.0,2.220446049250313e-16,2144
111,2.220446049250313e-16,1.1102230246251565e-16,1628
112,0.0,2.7755575615628914e-17,1419
113,2.220446049250313e-16,5.551115123125783e-17,1481
114,1.1102230246251565e-16,1.1102230246251565e-16,1637
115,2.220446049250313e-16,1.1102230246251565e-16,1121
116,0.0,1.1102230246251565e-16,1103
117,1.1102230246251565e-16,1.1102230246251565e-16,1906
118,1.1102230246251565e-16,2.7755575615628914e-17,2117
119,2.220446049250313e-16,5.551115123125783e-17,1775
120,0.0,5.551115123125783e-17,1811
121,2.220446049250313e-16,5.551115123125783e-17,1808
122,1.1102230246251565e-16,1.1102230246251565e-16,1310
123,1.1102230246251565e-16,1.1102230246251565e-16,1240
124,2.220446049250313e-16,1.1102230246251565e-16,2017
125,1.1102230246251565e-16,1.1102230246251565e-16,1745
126,2.220446049250313e-16,2.220446049250313e-16,1631
127,1.1102230246251565e-16,1.1102230246251565e-16,1138
128,0.0,1.1102230246251565e-16,1056
129,2.220446049250313e-16,1.1102230246251565e-16,1803
130,2.220446049250313e-16,1.1102230246251565e-16,935
131,1.1102230246251565e-16,2.7755575615628914e-17,1763
132,2.220446049250313e-16,1.1102230246251565e-16,1047
133,0.0,1.1102230246251565e-16,2683
134,0.0,1.1102230246251565e-16,2155
135,2.220446049250313e-16,2.220446049250313e-16,1789
136,2.220446049250313e-16,1.1102230246251565e-16,1658
137,2.220446049250313e-16,2.220446049250313e-16,2392
138,2.220446049250313e-16,2.220446049250313e-16,2033
139,2.220446049250313e-16,1.1102230246251565e-16,1785
140,2.220446049250313e-16,1.1102230246251565e-16,2120
141,1.1102230246251565e-16,1.1102230246251565e-16,1007
142,4.440892098500626e-16,1.1102230246251565e-16,1175
143,1.1102230246251565e-16,1.1102230246251565e-16,950
144,1.1102230246251565e-16,1.1102230246251565e-16,1888
145,2.220446049250313e-16,5.551115123125783e-17,1636
146,1.1102230246251565e-16,1.1102230246251565e-16,1668
147,2.220446049250313e-16,2.220446049250313e-16,1840
148,1.1102230246251565e-16,1.1102230246251565e-16,1209
149,2.220446049250313e-16,2.220446049250313e-16,1823
150,1.1102230246251565e-16,1.1102230246251565e-16,1577
151,0.0,1.1102230246251565e-16,2133
152,2.220446049250313e-16,5.551115123125783e-17,1905
153,0.0,5.551115123125783e-17,1610
154,1.1102230246251565e-16,1.1102230246251565e-16,1952
155,0.0,5.551115123125783e-17,2143
156,2.220446049250313e-16,2.220446049250313e-16,2095
157,2.220446049250313e-16,1.1102230246251565e-16,2510
158,2.220446049250313e-16,1.1102230246251565e-16,833
159,0.0,5.551115123125783e-17,1569
160,1.1102230246251565e-16,2.7755575615628914e-17,1005
161,0.0,5.551115123125783e-17,1732
162,2.220446049250313e-16,5.551115123125783e-17,1803
163,1.1102230246251565e-16,5.551115123125783e-17,2278
164,1.1102230246251565e-16,1.1102230246251565e-16,1271
165,2.220446049250313e-16,1.1102230246251565e-16,1296
166,1.1102230246251565e-16,5.551115123125783e-17,1487
167,1.1102230246251565e-16,5.551115123125783e-17,1093
168,1.1102230246251565e-16,5.551115123125783e-17,1185
169,1.1102230246251565e-16,5.551115123125783e-17,884
170,2.220446049250313e-16,1.1102230246251565e-16,2298
171,1.1102230246251565e-16,1.1102230246251565e-16,1362
172,2.220446049250313e-16,5.551115123125783e-17,1812
173,0.0,2.7755575615628914e-17,1722
174,0.0,5.551115123125783e-17,1670
175,2.220446049250313e-16,1.1102230246251565e-16,2105
176,0.0,5.551115123125783e-17,966
177,1.1102230246251565e-16,1.1102230246251565e-16,1135
178,2.220446049250313e-16,5.551115123125783e-17,1987
179,2.220446049250313e-16,5.551115123125783e-17,1546
180,2.220446049250313e-16,5.551115123125783e-17,1002
