sample_index,hierarchical_probability_error,maxent_stationarity_range
0,1.1102230246251565e-16,4.440892098500626e-16
1,5.551115123125783e-17,4.440892098500626e-16
2,5.551115123125783e-17,4.996003610813204e-16
3,1.1102230246251565e-16,4.440892098500626e-16
4,1.1102230246251565e-16,4.440892098500626e-16
5,6.938893903907228e-18,4.440892098500626e-16
6,2.7755575615628914e-17,2.7755575615628914e-16
7,2.7755575615628914e-17,4.440892098500626e-16
8,6.938893903907228e-18,4.440892098500626e-16
9,1.1102230246251565e-16,4.440892098500626e-16
10,5.551115123125783e-17,4.440892098500626e-16
11,5.551115123125783e-17,2.220446049250313e-16
12,5.551115123125783e-17,3.3306690738754696e-16
13,5.551115123125783e-17,4.718447854656915e-16
14,1.1102230246251565e-16,4.440892098500626e-16
15,5.551115123125783e-17,2.220446049250313e-16
16,5.551115123125783e-17,2.220446049250313e-16
17,2.7755575615628914e-17,2.220446049250313e-16
18,2.7755575615628914e-17,4.440892098500626e-16
19,4.163336342344337e-17,5.551115123125783e-16
20,8.326672684688674e-17,4.440892098500626e-16
21,2.7755575615628914e-17,3.3306690738754696e-16
22,8.326672684688674e-17,5.551115123125783e-16
23,1.3877787807814457e-17,4.440892098500626e-16
24,1.1102230246251565e-16,4.440892098500626e-16
25,3.469446951953614e-18,4.440892098500626e-16
26,2.7755575615628914e-17,3.3306690738754696e-16
27,4.163336342344337e-17,4.440892098500626e-16
28,2.7755575615628914e-17,4.440892098500626e-16
29,2.7755575615628914e-17,3.3306690738754696e-16
30,1.6653345369377348e-16,5.551115123125783e-16
31,2.7755575615628914e-17,3.3306690738754696e-16
32,2.7755575615628914e-17,3.3306690738754696e-16
33,1.3877787807814457e-17,3.3306690738754696e-16
34,1.3877787807814457e-17,4.440892098500626e-16
35,5.551115123125783e-17,3.3306690738754696e-16
36,5.551115123125783e-17,4.440892098500626e-16
37,1.3877787807814457e-17,3.885780586188048e-16
38,5.551115123125783e-17,4.440892098500626e-16
39,1.1102230246251565e-16,3.3306690738754696e-16
40,2.7755575615628914e-17,3.3306690738754696e-16
41,5.551115123125783e-17,3.3306690738754696e-16
42,5.551115123125783e-17,4.440892098500626e-16
43,5.551115123125783e-17,4.440892098500626e-16
44,5.551115123125783e-17,4.440892098500626e-16
45,1.1102230246251565e-16,4.440892098500626e-16
46,5.551115123125783e-17,4.440892098500626e-16
47,1.1102230246251565e-16,4.440892098500626e-16
48,2.7755575615628914e-17,3.885780586188048e-16
49,1.3877787807814457e-17,4.440892098500626e-16
50,1.1102230246251565e-16,5.551115123125783e-16
51,5.551115123125783e-17,2.220446049250313e-16
52,5.551115123125783e-17,3.3306690738754696e-16
53,1.1102230246251565e-16,0.0
54,1.3877787807814457e-17,4.440892098500626e-16
55,5.551115123125783e-17,5.551115123125783e-16
56,5.551115123125783e-17,4.440892098500626e-16
57,5.551115123125783e-17,3.3306690738754696e-16
58,2.7755575615628914e-17,4.440892098500626e-16
59,5.551115123125783e-17,4.440892098500626e-16
60,0.0,3.3306690738754696e-16
61,5.551115123125783e-17,2.220446049250313e-16
62,1.1102230246251565e-16,4.440892098500626e-16
63,4.163336342344337e-17,3.3306690738754696e-16
64,5.551115123125783e-17,4.440892098500626e-16
65,2.7755575615628914e-17,2.220446049250313e-16
66,0.0,4.440892098500626e-16
67,0.0,4.440892098500626e-16
68,2.220446049250313e-16,2.220446049250313e-16
69,5.551115123125783e-17,2.220446049250313e-16
70,5.551115123125783e-17,4.440892098500626e-16
71,1.1102230246251565e-16,2.220446049250313e-16
72,2.7755575615628914e-17,4.440892098500626e-16
73,1.3877787807814457e-17,3.3306690738754696e-16
74,2.7755575615628914e-17,3.3306690738754696e-16
75,2.220446049250313e-16,4.440892098500626e-16
76,2.7755575615628914e-17,2.220446049250313e-16
77,5.551115123125783e-17,1.3877787807814457e-16
78,1.1102230246251565e-16,5.551115123125783e-16
79,1.1102230246251565e-16,4.440892098500626e-16
80,8.326672684688674e-17,4.440892098500626e-16
81,5.551115123125783e-17,4.440892098500626e-16
82,1.1102230246251565e-16,2.220446049250313e-16
83,2.220446049250313e-16,4.440892098500626e-16
84,5.551115123125783e-17,1.1102230246251565e-16
85,2.7755575615628914e-17,2.7755575615628914e-16
86,1.3877787807814457e-17,4.440892098500626e-16
87,0.0,3.3306690738754696e-16
88,5.551115123125783e-17,4.440892098500626e-16
89,1.3877787807814457e-17,4.440892098500626e-16
90,2.7755575615628914e-17,4.996003610813204e-16
91,2.7755575615628914e-17,4.440892098500626e-16
92,5.551115123125783e-17,5.551115123125783e-16
