sample_index,maximum_recursive_partition_sum_error
0,4.440892098500626e-16
1,1.1102230246251565e-16
2,2.220446049250313e-16
3,5.551115123125783e-17
4,4.440892098500626e-16
5,0.0
6,2.220446049250313e-16
7,2.220446049250313e-16
8,4.440892098500626e-16
9,1.1102230246251565e-16
10,2.220446049250313e-16
11,8.881784197001252e-16
12,1.7763568394002505e-15
13,1.1102230246251565e-16
14,4.440892098500626e-16
15,2.220446049250313e-16
16,5.551115123125783e-17
17,4.440892098500626e-16
18,2.220446049250313e-16
19,1.1102230246251565e-16
20,4.440892098500626e-16
21,4.440892098500626e-16
22,8.881784197001252e-16
23,0.0
24,1.7763568394002505e-15
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,4.440892098500626e-16
29,2.220446049250313e-16
30,6.661338147750939e-16
31,2.220446049250313e-16
32,4.440892098500626e-16
33,4.440892098500626e-16
34,4.440892098500626e-16
35,8.881784197001252e-16
36,2.220446049250313e-16
37,4.440892098500626e-16
38,2.220446049250313e-16
39,4.440892098500626e-16
40,2.220446049250313e-16
41,4.440892098500626e-16
42,4.440892098500626e-16
43,2.220446049250313e-16
44,1.1102230246251565e-16
45,2.7755575615628914e-17
46,4.440892098500626e-16
47,4.440892098500626e-16
48,5.551115123125783e-17
49,2.7755575615628914e-17
50,4.440892098500626e-16
51,2.220446049250313e-16
52,0.0
53,1.1102230246251565e-16
54,1.1102230246251565e-16
55,0.0
56,2.220446049250313e-16
57,4.440892098500626e-16
58,2.220446049250313e-16
59,2.220446049250313e-16
60,4.440892098500626e-16
61,2.220446049250313e-16
62,1.1102230246251565e-16
63,2.220446049250313e-16
64,4.440892098500626e-16
65,1.1102230246251565e-16
66,2.220446049250313e-16
67,4.440892098500626e-16
68,1.1102230246251565e-16
69,4.440892098500626e-16
70,4.440892098500626e-16
71,2.220446049250313e-16
72,2.7755575615628914e-17
73,6.938893903907228e-18
74,3.3306690738754696e-16
75,4.440892098500626e-16
76,2.220446049250313e-16
77,1.1102230246251565e-16
78,4.440892098500626e-16
79,2.220446049250313e-16
80,2.220446049250313e-16
81,2.220446049250313e-16
82,1.1102230246251565e-16
83,0.0
84,0.0
85,2.220446049250313e-16
86,2.220446049250313e-16
87,4.440892098500626e-16
88,4.440892098500626e-16
89,0.0
90,4.440892098500626e-16
91,4.440892098500626e-16
92,2.7755575615628914e-17
