sample_index,candidate,global_shift_tv
0,mean_q_softmax,1.5742615544489524e-16
0,mass_times_exp_mean_q,4.8138576458356397e-17
0,partition_sum,1.4051260155412137e-16
1,mean_q_softmax,6.177495987620338e-17
1,mass_times_exp_mean_q,1.444157293750692e-16
1,partition_sum,1.4007892068512717e-16
2,mean_q_softmax,1.504466039595198e-16
2,mass_times_exp_mean_q,1.478851763270228e-16
2,partition_sum,9.042246118529107e-17
3,mean_q_softmax,2.9934821982324777e-16
3,mass_times_exp_mean_q,1.6588293239028218e-16
3,partition_sum,1.951563910473908e-16
4,mean_q_softmax,1.2335510217453827e-16
4,mass_times_exp_mean_q,1.4224732503009818e-16
4,partition_sum,1.3791051634015616e-16
5,mean_q_softmax,1.5222198501696482e-16
5,mass_times_exp_mean_q,1.8252543573793467e-16
5,partition_sum,2.0426368929626904e-16
6,mean_q_softmax,1.0299920638612292e-16
6,mass_times_exp_mean_q,1.3617579286417936e-16
6,partition_sum,9.194034422677078e-17
7,mean_q_softmax,2.1206994493816467e-16
7,mass_times_exp_mean_q,1.5287250632045613e-16
7,partition_sum,1.1340754724198376e-16
8,mean_q_softmax,8.212831456577696e-17
8,mass_times_exp_mean_q,5.3830637863905295e-17
8,partition_sum,1.450662506785605e-16
9,mean_q_softmax,1.3921155894713877e-16
9,mass_times_exp_mean_q,3.2233330587994047e-16
9,partition_sum,1.4972832002024816e-16
10,mean_q_softmax,9.421716878899034e-17
10,mass_times_exp_mean_q,1.4696360448041013e-16
10,partition_sum,1.3086320221900039e-16
11,mean_q_softmax,8.078661437732615e-17
11,mass_times_exp_mean_q,1.0702430695147536e-16
11,partition_sum,1.8735013540549517e-16
12,mean_q_softmax,1.0581813203458523e-16
12,mass_times_exp_mean_q,2.6508743117270583e-16
12,partition_sum,4.174178364069192e-17
13,mean_q_softmax,1.966742740888705e-16
13,mass_times_exp_mean_q,2.1087732254843061e-16
13,partition_sum,2.05239471251506e-16
14,mean_q_softmax,3.8806306258687417e-16
14,mass_times_exp_mean_q,1.6798357409947284e-16
14,partition_sum,6.857578740970816e-17
15,mean_q_softmax,5.4643789493269423e-17
15,mass_times_exp_mean_q,5.616167253474913e-17
15,partition_sum,1.0451708942760263e-16
16,mean_q_softmax,3.90583832637903e-17
16,mass_times_exp_mean_q,1.1636199816200676e-16
16,partition_sum,2.6075062248276382e-17
17,mean_q_softmax,4.439130269970337e-17
17,mass_times_exp_mean_q,1.1687699419393738e-16
17,partition_sum,1.448494102440634e-16
18,mean_q_softmax,1.192622389734055e-16
18,mass_times_exp_mean_q,1.7889335846010823e-16
18,partition_sum,1.1557595158695477e-16
19,mean_q_softmax,2.1955093992831465e-16
19,mass_times_exp_mean_q,2.964208739575369e-16
19,partition_sum,5.204170427930421e-17
20,mean_q_softmax,1.7011132086297565e-16
20,mass_times_exp_mean_q,1.9765005604410746e-16
20,partition_sum,1.201296007113939e-16
21,mean_q_softmax,5.3830637863905295e-17
21,mass_times_exp_mean_q,1.1301452395445777e-16
21,partition_sum,8.890457814381136e-17
22,mean_q_softmax,2.5667639400647063e-17
22,mass_times_exp_mean_q,3.248811809852814e-16
22,partition_sum,1.3487475025719675e-16
23,mean_q_softmax,6.245004513516506e-17
23,mass_times_exp_mean_q,6.722053469410127e-17
23,partition_sum,3.642919299551295e-17
24,mean_q_softmax,1.4224732503009818e-16
24,mass_times_exp_mean_q,9.920449878242366e-17
24,partition_sum,9.248244531301353e-17
25,mean_q_softmax,5.204170427930421e-17
25,mass_times_exp_mean_q,7.806255641895632e-17
25,partition_sum,1.231653667943533e-16
26,mean_q_softmax,3.903127820947816e-17
26,mass_times_exp_mean_q,1.1188966420050406e-16
26,partition_sum,4.163336342344337e-17
27,mean_q_softmax,1.8821749714348357e-16
27,mass_times_exp_mean_q,1.960237527853792e-16
27,partition_sum,1.6024508109335756e-16
28,mean_q_softmax,1.0722759485881639e-16
28,mass_times_exp_mean_q,1.0842021724855044e-16
28,partition_sum,5.204170427930421e-17
29,mean_q_softmax,1.2752419834092393e-16
29,mass_times_exp_mean_q,1.9699953474061616e-16
29,partition_sum,1.3514580080031813e-16
30,mean_q_softmax,4.683753385137379e-17
30,mass_times_exp_mean_q,2.999987411267391e-16
30,partition_sum,8.088148206741863e-17
31,mean_q_softmax,1.0196921432226169e-16
31,mass_times_exp_mean_q,6.60821224129915e-17
31,partition_sum,1.282069068964109e-16
32,mean_q_softmax,1.3064720881745054e-16
32,mass_times_exp_mean_q,1.6872896309305663e-16
32,partition_sum,1.2557771662813355e-16
33,mean_q_softmax,8.803721640582296e-17
33,mass_times_exp_mean_q,2.454633718507182e-16
33,partition_sum,2.0469737016526324e-16
34,mean_q_softmax,6.102702978377783e-17
34,mass_times_exp_mean_q,2.012821333219339e-16
34,partition_sum,1.5390249838431735e-16
35,mean_q_softmax,1.219456393503071e-16
35,mass_times_exp_mean_q,2.2475511035624507e-16
35,partition_sum,1.6046192152785466e-17
36,mean_q_softmax,1.8152254872838558e-16
36,mass_times_exp_mean_q,2.1098574276567916e-16
36,partition_sum,1.0364972768961422e-16
37,mean_q_softmax,8.977193988179977e-17
37,mass_times_exp_mean_q,1.2598429244281562e-16
37,partition_sum,1.3758525568841051e-16
38,mean_q_softmax,9.80118763926896e-17
38,mass_times_exp_mean_q,2.419939248987646e-16
38,partition_sum,7.19910242530375e-17
39,mean_q_softmax,1.2804427657053807e-16
39,mass_times_exp_mean_q,1.8745855562274372e-16
39,partition_sum,1.199127602768968e-16
40,mean_q_softmax,1.9607796289400348e-16
40,mass_times_exp_mean_q,1.932048271369169e-16
40,partition_sum,1.3465790982269965e-16
41,mean_q_softmax,3.04904755957236e-16
41,mass_times_exp_mean_q,2.641590830625151e-16
41,partition_sum,2.05239471251506e-16
42,mean_q_softmax,1.037039377982385e-16
42,mass_times_exp_mean_q,2.1884620851619907e-16
42,partition_sum,1.3021268091550908e-16
43,mean_q_softmax,1.2517114081345149e-16
43,mass_times_exp_mean_q,1.5569143196891844e-16
43,partition_sum,9.974659986866641e-17
44,mean_q_softmax,1.9949319973733282e-17
44,mass_times_exp_mean_q,9.974659986866641e-18
44,partition_sum,1.1882855810441129e-16
45,mean_q_softmax,4.206704429243757e-17
45,mass_times_exp_mean_q,2.0014372104082412e-16
45,partition_sum,1.2728533504979822e-16
46,mean_q_softmax,1.1599777399468741e-16
46,mass_times_exp_mean_q,3.5128150388530344e-17
46,partition_sum,1.7146657357858253e-16
47,mean_q_softmax,5.567378155713065e-17
47,mass_times_exp_mean_q,5.5294310796760726e-17
47,partition_sum,9.128982292327947e-17
48,mean_q_softmax,5.725603910260169e-17
48,mass_times_exp_mean_q,1.3799183150309258e-16
48,partition_sum,5.692061405548898e-17
49,mean_q_softmax,5.2909066017292616e-17
49,mass_times_exp_mean_q,7.112366251504909e-17
49,partition_sum,5.724587470723463e-17
50,mean_q_softmax,5.759824041329242e-17
50,mass_times_exp_mean_q,8.624828282122188e-17
50,partition_sum,7.24247051220317e-17
51,mean_q_softmax,2.5973418294605866e-17
51,mass_times_exp_mean_q,9.90960785651751e-17
51,partition_sum,2.2171934427328566e-16
52,mean_q_softmax,2.883977778811442e-17
52,mass_times_exp_mean_q,1.2663481374630692e-16
52,partition_sum,2.0816681711721685e-17
53,mean_q_softmax,8.239936510889834e-17
53,mass_times_exp_mean_q,1.0928757898653885e-16
53,partition_sum,4.618701254788249e-17
54,mean_q_softmax,1.5973008506142694e-16
54,mass_times_exp_mean_q,3.0048663210435755e-16
54,partition_sum,1.8892222855559915e-16
55,mean_q_softmax,1.1622647289044608e-16
55,mass_times_exp_mean_q,2.1250362580715887e-16
55,partition_sum,1.0755285551056204e-16
56,mean_q_softmax,1.197365774238679e-16
56,mass_times_exp_mean_q,1.6371452804531117e-16
56,partition_sum,1.3400738851920835e-16
57,mean_q_softmax,5.789639601072594e-17
57,mass_times_exp_mean_q,9.454242944073599e-17
57,partition_sum,1.1796119636642288e-16
58,mean_q_softmax,7.94178091345632e-18
58,mass_times_exp_mean_q,5.263801547417124e-17
58,partition_sum,5.843849709696869e-17
59,mean_q_softmax,7.985996033302994e-17
59,mass_times_exp_mean_q,1.1140177322288558e-16
59,partition_sum,1.1806961658367143e-16
60,mean_q_softmax,2.0166160408230382e-17
60,mass_times_exp_mean_q,7.025630077706069e-17
60,partition_sum,9.020562075079397e-17
61,mean_q_softmax,1.1513888258617155e-16
61,mass_times_exp_mean_q,1.3499672300160137e-16
61,partition_sum,9.195389675392684e-17
62,mean_q_softmax,3.382710778154774e-17
62,mass_times_exp_mean_q,9.150666335777657e-17
62,partition_sum,5.724587470723463e-17
63,mean_q_softmax,9.80118763926896e-17
63,mass_times_exp_mean_q,1.8496489062602706e-16
63,partition_sum,1.4755991567527715e-16
64,mean_q_softmax,3.3610267347050637e-18
64,mass_times_exp_mean_q,4.7704895589362195e-17
64,partition_sum,7.37257477290143e-17
65,mean_q_softmax,8.760353553682876e-17
65,mass_times_exp_mean_q,1.2663481374630692e-16
65,partition_sum,1.3899471851264167e-16
66,mean_q_softmax,8.586881206085195e-17
66,mass_times_exp_mean_q,1.465841337200402e-16
66,partition_sum,4.380176776841438e-17
67,mean_q_softmax,1.3301974810270983e-16
67,mass_times_exp_mean_q,9.283481101907132e-17
67,partition_sum,1.8496489062602706e-16
68,mean_q_softmax,2.634611279139776e-16
68,mass_times_exp_mean_q,1.8588646247263974e-16
68,partition_sum,1.1145598333150986e-16
69,mean_q_softmax,9.03682510766668e-17
69,mass_times_exp_mean_q,1.3823577699190182e-16
69,partition_sum,7.676151381197371e-17
70,mean_q_softmax,1.5612511283791264e-16
70,mass_times_exp_mean_q,1.3530843112619095e-16
70,partition_sum,9.8879238130678e-17
71,mean_q_softmax,1.0408340855860843e-16
71,mass_times_exp_mean_q,1.0408340855860843e-16
71,partition_sum,1.3097162243624894e-16
72,mean_q_softmax,9.23198149871407e-17
72,mass_times_exp_mean_q,4.0332320816460765e-17
72,partition_sum,4.7488055154865094e-17
73,mean_q_softmax,6.997169770678324e-17
73,mass_times_exp_mean_q,1.1175413892894337e-16
73,partition_sum,1.5200514458246772e-16
74,mean_q_softmax,1.3975366003338152e-16
74,mass_times_exp_mean_q,2.489328188026718e-16
74,partition_sum,2.174909558005922e-16
75,mean_q_softmax,1.431146867680866e-17
75,mass_times_exp_mean_q,1.5482407023093003e-16
75,partition_sum,5.0306980803327406e-17
76,mean_q_softmax,8.326672684688674e-17
76,mass_times_exp_mean_q,7.056123263807224e-17
76,partition_sum,1.4094628242311558e-16
77,mean_q_softmax,1.1061572664783359e-16
77,mass_times_exp_mean_q,1.258216621169428e-16
77,partition_sum,2.347297703431117e-17
78,mean_q_softmax,1.186151058017032e-16
78,mass_times_exp_mean_q,1.577514160966409e-16
78,partition_sum,1.0988389018140587e-16
79,mean_q_softmax,1.614377034830916e-16
79,mass_times_exp_mean_q,1.708702623837155e-16
79,partition_sum,8.912141857830846e-17
80,mean_q_softmax,7.025630077706069e-17
80,mass_times_exp_mean_q,1.0755285551056204e-16
80,partition_sum,1.57968256531138e-16
81,mean_q_softmax,8.673617379884035e-17
81,mass_times_exp_mean_q,1.0755285551056204e-16
81,partition_sum,5.898059818321144e-17
82,mean_q_softmax,5.963111948670274e-17
82,mass_times_exp_mean_q,1.0408340855860843e-16
82,partition_sum,7.32920668600201e-17
83,mean_q_softmax,9.459663954936026e-17
83,mass_times_exp_mean_q,3.133344278483108e-17
83,partition_sum,8.023096076392733e-17
84,mean_q_softmax,6.402213828526904e-17
84,mass_times_exp_mean_q,1.1823224690954426e-16
84,partition_sum,9.23198149871407e-17
85,mean_q_softmax,1.962609220106104e-16
85,mass_times_exp_mean_q,9.497611030973019e-17
85,partition_sum,1.6338926739356552e-16
86,mean_q_softmax,6.429318882839041e-17
86,mass_times_exp_mean_q,9.454242944073599e-17
86,partition_sum,5.312590645178972e-17
87,mean_q_softmax,3.6652809693588084e-17
87,mass_times_exp_mean_q,8.524539581167279e-17
87,partition_sum,6.288372600415926e-17
88,mean_q_softmax,1.9949319973733282e-17
88,mass_times_exp_mean_q,2.0751629581372555e-16
88,partition_sum,1.3444106938820255e-16
89,mean_q_softmax,1.481020167615199e-16
89,mass_times_exp_mean_q,1.3487475025719675e-16
89,partition_sum,9.367506770274758e-17
90,mean_q_softmax,1.7200867466482528e-16
90,mass_times_exp_mean_q,1.9927635930283571e-16
90,partition_sum,1.1579279202145187e-16
91,mean_q_softmax,6.337796972888214e-17
