sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
0,24,uniform_child,0.6087962962962963,0.3530092592592593,0.4791666666666667
0,24,descendant_count,1.3183898417423734e-16,2.833381677428785e-17,6.591949208711867e-17
0,24,base_mass,1.0755285551056204e-16,8.052008134325679e-17,1.2750217548429532e-16
0,24,mean_q_softmax,0.7674641637847317,0.40853056613131594,0.5124244812222011
0,24,mass_times_exp_mean_q,0.2679901713639349,0.15368096780524995,0.18124222685073776
0,24,partition_sum,1.3791051634015616e-16,1.133714071695676e-16,1.2858637765678083e-16
1,26,uniform_child,0.7129629629629629,0.37784900284900286,0.6025641025641025
1,26,descendant_count,1.249000902703301e-16,5.146346312064528e-17,1.3183898417423734e-16
1,26,base_mass,1.4311468676808659e-16,5.898059818321144e-17,1.2576745200831851e-16
1,26,mean_q_softmax,0.7593124330110335,0.5654454617219927,0.6905890270236072
1,26,mass_times_exp_mean_q,0.2460519886057126,0.25508415845516813,0.29924979069307506
1,26,partition_sum,1.494030593685025e-16,5.896252814700335e-17,7.914675859144182e-17
2,21,uniform_child,0.7309027777777777,0.3862433862433862,0.5595238095238094
2,21,descendant_count,9.367506770274758e-17,2.949029909160572e-17,4.85722573273506e-17
2,21,base_mass,1.4224732503009818e-16,8.109832250191573e-17,1.1188966420050406e-16
2,21,mean_q_softmax,0.8052542255588151,0.4991825193741559,0.7554606693886032
2,21,mass_times_exp_mean_q,0.21288557178211162,0.11921225995045244,0.17100735085209656
2,21,partition_sum,1.4094628242311558e-16,4.465105947019469e-17,7.925517880869037e-17
3,22,uniform_child,0.5868055555555556,0.3426978114478114,0.46969696969696967
3,22,descendant_count,1.0408340855860843e-16,4.625929269271486e-17,1.0061396160665481e-16
3,22,base_mass,1.0408340855860843e-16,4.0476881106125497e-17,8.153200337090993e-17
3,22,mean_q_softmax,0.7360245278385498,0.4002562607780433,0.5118975434348716
3,22,mass_times_exp_mean_q,0.2311264945922858,0.15655370786500997,0.20606202269125012
3,22,partition_sum,1.0733601507606494e-16,7.014788055981214e-17,9.194034422677078e-17
4,17,uniform_child,0.5243055555555556,0.2934368191721133,0.3480392156862745
4,17,descendant_count,7.28583859910259e-17,3.8163916471489756e-17,4.85722573273506e-17
4,17,base_mass,1.3357370765021415e-16,4.336808689942018e-17,1.214306433183765e-16
4,17,mean_q_softmax,0.5716588871163095,0.3468344882102767,0.4179371326566309
4,17,mass_times_exp_mean_q,0.290965577851595,0.19287281837778014,0.23830752490602222
4,17,partition_sum,1.7705021476688287e-16,8.35739174624243e-17,1.1839487723541708e-16
5,20,uniform_child,0.6666666666666666,0.37847222222222215,0.49999999999999994
5,20,descendant_count,4.85722573273506e-17,3.180326372624146e-17,5.204170427930421e-17
5,20,base_mass,9.540979117872439e-17,7.155734338404329e-17,1.0061396160665481e-16
5,20,mean_q_softmax,0.7976397630927995,0.48917792005622057,0.6315073197452191
5,20,mass_times_exp_mean_q,0.35628111883545127,0.2298161468364667,0.3343969485436747
5,20,partition_sum,2.3635607360183997e-16,1.2130415306491985e-16,2.0242054560304368e-16
6,13,uniform_child,0.6041666666666666,0.2932692307692308,0.3653846153846154
6,13,descendant_count,6.245004513516506e-17,1.850371707708594e-17,6.245004513516506e-17
6,13,base_mass,1.1449174941446927e-16,7.661695352230898e-17,9.367506770274758e-17
6,13,mean_q_softmax,0.7121402751702192,0.35647558008610575,0.45982131602907306
6,13,mass_times_exp_mean_q,0.1097105555070181,0.07328284411688285,0.12267996776534179
6,13,partition_sum,1.6479873021779667e-16,1.3285090620189047e-16,2.3505503099485736e-16
7,14,uniform_child,0.46875,0.29166666666666663,0.3571428571428571
7,14,descendant_count,6.938893903907228e-17,1.9660199394403815e-17,6.938893903907228e-17
7,14,base_mass,1.5785983631388945e-16,8.066464163292153e-17,1.3357370765021415e-16
7,14,mean_q_softmax,0.5581965634119347,0.5181577121652932,0.5855972120792801
7,14,mass_times_exp_mean_q,0.18058965336239444,0.11833212489493612,0.19045499405427752
7,14,partition_sum,9.475926987523309e-17,3.400780814362866e-17,5.898059818321144e-17
8,23,uniform_child,0.5972222222222222,0.29352858293075684,0.49275362318840576
8,23,descendant_count,6.938893903907228e-17,2.0816681711721685e-17,5.204170427930421e-17
