sample_index,n,group_count,effective_score_error,partition_weight_error
0,79,4,0.0,0.0
1,5,5,0.0,0.0
2,47,6,2.220446049250313e-16,0.0
3,77,3,1.6653345369377348e-16,4.440892098500626e-16
4,64,5,0.0,4.440892098500626e-16
5,13,9,4.440892098500626e-16,1.7763568394002505e-15
6,33,4,2.220446049250313e-16,0.0
7,55,5,2.220446049250313e-16,0.0
8,40,5,0.0,8.881784197001252e-16
9,30,3,1.1102230246251565e-16,8.881784197001252e-16
10,70,2,0.0,4.440892098500626e-16
11,22,4,1.6653345369377348e-16,2.220446049250313e-16
12,20,6,2.220446049250313e-16,8.881784197001252e-16
13,10,7,0.0,8.881784197001252e-16
14,14,5,0.0,0.0
15,10,7,0.0,0.0
16,50,8,1.6653345369377348e-16,0.0
17,38,6,1.1102230246251565e-16,0.0
18,50,10,2.220446049250313e-16,4.440892098500626e-16
19,25,3,0.0,0.0
20,33,10,2.220446049250313e-16,1.7763568394002505e-15
21,39,2,2.220446049250313e-16,8.881784197001252e-16
22,19,5,0.0,0.0
23,25,9,1.1102230246251565e-16,4.440892098500626e-16
24,77,9,0.0,4.440892098500626e-16
25,35,8,0.0,4.440892098500626e-16
26,46,4,2.220446049250313e-16,4.440892098500626e-16
27,68,7,2.7755575615628914e-16,4.440892098500626e-16
28,41,5,1.1102230246251565e-16,0.0
29,39,6,2.220446049250313e-16,1.3322676295501878e-15
30,42,6,1.6653345369377348e-16,2.220446049250313e-16
31,69,2,1.1102230246251565e-16,8.881784197001252e-16
32,55,8,1.1102230246251565e-16,4.440892098500626e-16
33,80,5,0.0,0.0
34,43,9,1.1102230246251565e-16,8.881784197001252e-16
35,8,8,0.0,0.0
36,78,7,4.440892098500626e-16,0.0
37,38,7,0.0,4.440892098500626e-16
38,24,6,0.0,1.7763568394002505e-15
39,28,10,1.6653345369377348e-16,2.220446049250313e-16
40,60,5,2.220446049250313e-16,0.0
41,52,2,2.220446049250313e-16,0.0
42,34,4,1.1102230246251565e-16,0.0
43,71,3,2.220446049250313e-16,4.440892098500626e-16
44,55,7,0.0,8.881784197001252e-16
45,5,4,0.0,0.0
46,70,6,1.1102230246251565e-16,8.881784197001252e-16
47,30,9,2.220446049250313e-16,2.220446049250313e-16
48,52,6,1.1102230246251565e-16,0.0
49,28,10,1.1102230246251565e-16,4.440892098500626e-16
50,45,9,2.7755575615628914e-16,0.0
51,15,3,1.6653345369377348e-16,2.220446049250313e-16
52,29,7,0.0,2.220446049250313e-16
53,22,3,2.220446049250313e-16,1.7763568394002505e-15
54,40,8,0.0,0.0
55,32,9,0.0,4.440892098500626e-16
56,41,2,0.0,8.881784197001252e-16
57,54,10,0.0,8.881784197001252e-16
58,61,3,0.0,0.0
59,59,8,1.1102230246251565e-16,8.881784197001252e-16
60,77,9,2.220446049250313e-16,4.440892098500626e-16
61,57,3,2.220446049250313e-16,4.440892098500626e-16
62,57,9,0.0,8.881784197001252e-16
63,25,3,0.0,0.0
64,80,10,4.440892098500626e-16,0.0
65,40,7,4.440892098500626e-16,8.881784197001252e-16
66,28,9,0.0,1.7763568394002505e-15
67,42,3,2.220446049250313e-16,0.0
68,35,10,2.220446049250313e-16,0.0
69,79,6,3.3306690738754696e-16,4.440892098500626e-16
70,25,10,0.0,8.881784197001252e-16
71,28,9,2.220446049250313e-16,8.881784197001252e-16
72,40,9,0.0,0.0
73,43,7,0.0,8.881784197001252e-16
74,34,9,0.0,1.3322676295501878e-15
75,61,2,2.220446049250313e-16,1.7763568394002505e-15
