sample_index,lambda,second_order_error,third_order_error,fourth_order_error
0,0.025,5.739229294587922e-06,1.3939252702099836e-07,2.0875645656559527e-10
0,0.05,2.2397717352629076e-05,1.1167699338621162e-06,3.2997693466541023e-09
0,0.1,8.509866975647817e-05,8.959279389597619e-06,5.1518073362899486e-08
0,0.2,0.0003041856591674552,7.204613741679244e-05,7.840468868036687e-07
1,0.025,2.1943012908642867e-06,1.7162869839215666e-07,4.5009873606005613e-10
1,0.05,8.09446454735907e-06,1.3692554096667031e-06,7.374967303519497e-09
1,0.1,2.696529056617214e-05,1.0889589261903199e-05,1.2345375377531553e-07
1,0.2,6.545831047177764e-05,8.596120884057923e-05,2.1431352849599072e-06
2,0.025,5.509494076905153e-06,1.995394680043283e-07,9.939898903965627e-11
2,0.05,2.2836731054132198e-05,1.5969126184733895e-06,1.392066462102548e-09
2,0.1,9.77393331633436e-05,1.2780059420791634e-05,1.5895004701338422e-08
2,0.2,0.00044199922832552363,0.00010216213335534352,4.881802670442248e-08
3,0.025,5.697382157054953e-06,3.729349612457966e-08,2.471950422133773e-10
3,0.05,2.263838665161888e-05,3.003159610992512e-07,3.945552606854363e-09
3,0.1,8.93210409295131e-05,2.433769521303919e-06,6.280625347576674e-08
3,0.2,0.0003470579638814586,1.996127792175395e-05,9.935717791287324e-07
4,0.025,1.0358608696081628e-05,4.914733475747113e-08,4.425352306824948e-10
4,0.05,4.1234283803009975e-05,3.967403203464226e-07,7.1019242431358265e-09
4,0.1,0.0001632926862000783,3.231410293347281e-06,1.143031244099646e-07
4,0.2,0.0006393103302168579,2.6786055756816696e-05,1.849198405401431e-06
5,0.025,2.037107559929585e-05,1.5102092001950673e-07,2.581561270309507e-09
5,0.05,8.206774901095559e-05,1.1875302938779697e-06,4.1289556496071356e-08
5,0.1,0.00033269163753646414,9.170762668098131e-06,6.597961350052195e-07
5,0.2,0.0013622192177232817,6.813571824981768e-05,1.0508752174898106e-05
6,0.025,6.228166995192463e-07,1.0882455567240434e-07,2.3001456295190792e-10
6,0.05,2.0541996387513084e-06,8.723653820430499e-07,3.609053195186007e-09
6,0.1,4.700771268101311e-06,7.005488815048366e-06,5.5438184320966144e-08
6,0.2,9.586949217016416e-06,5.641198954964288e-05,8.115845037265368e-07
7,0.025,3.8657942994513306e-06,8.189647460188354e-08,3.4487296352025965e-10
7,0.05,1.5787964297131474e-05,6.5237299770593e-07,5.557782928322652e-09
7,0.1,6.571564110741113e-05,5.173275909708952e-06,9.017033528180285e-08
7,0.2,0.0002827966967244855,4.06272359337323e-05,1.4803340262492526e-06
8,0.025,7.47857127470497e-05,3.392290209847104e-08,7.978674332331792e-09
8,0.05,0.0002992132905426659,2.061311629164564e-07,1.2908144864098858e-07
8,0.1,0.0011965999944498762,5.713569309340194e-07,2.110343961747585e-06
8,0.2,0.004770404550816565,1.370999925931482e-05,3.516360640065663e-05
9,0.025,5.46413928535841e-05,1.6369492768925076e-07,6.746812074298614e-09
9,0.05,0.0002178562776836701,1.3640734414302469e-06,1.0848851649675195e-07
9,0.1,0.0008650846193127282,1.1796785187673242e-05,1.752105788177527e-06
9,0.2,0.0033986820591833944,0.00010884355881822516,2.8486123622301074e-05
10,0.025,1.791087535540914e-05,1.9124906547318687e-07,9.176532311805374e-10
10,0.05,7.241579606565018e-05,1.5372909059063744e-06,1.463960802583486e-08
10,0.1,0.0002959279259457104,1.241390530673514e-05,2.326949236630682e-07
10,0.2,0.0012351677159625485,0.00010111163340664753,3.661950342126463e-06
11,0.025,2.2198169815634827e-06,2.238142530752718e-07,2.7477431441269573e-10
11,0.05,9.772153753140334e-06,1.7881428391319787e-06,4.569379985497335e-09
11,0.1,4.619914244990975e-05,1.4263098793931839e-05,7.859895906348058e-08
11,0.2,0.0002410479875511462,0.00011330381292723457,1.429769096866762e-06
12,0.025,2.0990033141932152e-05,4.972137415681921e-08,2.137137522506549e-09
12,0.05,8.374396253191252e-05,4.150555324156091e-07,3.438163932723004e-08
12,0.1,0.0003330347864164973,3.6012858408429604e-06,5.558946961081723e-07
12,0.2,0.0013131162214760905,3.342806755324279e-05,9.064938395308975e-06
13,0.025,1.2547327932488361e-05,1.621922210426341e-07,1.6792428003675752e-09
13,0.05,4.952717439477006e-05,1.3109062193539245e-06,2.6802393582325834e-08
13,0.1,0.00019265299618376197,1.0699326272733956e-05,4.2649566656116633e-07
13,0.2,0.0007244937407283603,8.891554909756794e-05,6.7329042481301116e-06
14,0.025,4.42193092772946e-05,1.3337007417624225e-06,1.2601287447538967e-08
