sample_index,shift_covariance_error,affine_rescaling_identity_error
0,1.6653345369377348e-16,5.551115123125783e-17
1,4.440892098500626e-16,8.881784197001252e-16
2,0.0,0.0
3,0.0,2.220446049250313e-16
4,4.440892098500626e-16,0.0
5,5.551115123125783e-17,0.0
6,2.220446049250313e-16,0.0
7,0.0,2.220446049250313e-16
8,0.0,4.440892098500626e-16
9,2.220446049250313e-16,0.0
10,5.551115123125783e-17,5.551115123125783e-17
11,1.1102230246251565e-16,5.551115123125783e-17
12,0.0,0.0
13,8.881784197001252e-16,0.0
14,1.1102230246251565e-16,0.0
15,2.220446049250313e-16,4.440892098500626e-16
16,1.1102230246251565e-16,8.326672684688674e-17
17,0.0,0.0
18,2.220446049250313e-16,4.440892098500626e-16
19,1.1102230246251565e-16,1.1102230246251565e-16
20,0.0,6.661338147750939e-16
21,4.440892098500626e-16,0.0
22,0.0,5.551115123125783e-17
23,0.0,0.0
24,0.0,4.440892098500626e-16
25,2.220446049250313e-16,4.440892098500626e-16
26,8.881784197001252e-16,4.440892098500626e-16
27,5.551115123125783e-17,1.1102230246251565e-16
28,0.0,4.440892098500626e-16
29,5.551115123125783e-17,1.1102230246251565e-16
30,0.0,0.0
31,2.220446049250313e-16,0.0
32,2.220446049250313e-16,2.7755575615628914e-17
33,0.0,2.7755575615628914e-16
34,2.220446049250313e-16,2.220446049250313e-16
35,0.0,1.1102230246251565e-16
36,0.0,2.220446049250313e-16
37,0.0,0.0
38,0.0,1.1102230246251565e-16
39,4.440892098500626e-16,4.440892098500626e-16
40,4.440892098500626e-16,2.220446049250313e-16
41,0.0,2.220446049250313e-16
42,0.0,5.551115123125783e-17
43,5.551115123125783e-17,5.551115123125783e-17
44,0.0,4.440892098500626e-16
45,0.0,0.0
46,0.0,4.440892098500626e-16
47,1.5265566588595902e-16,4.440892098500626e-16
48,1.1102230246251565e-16,0.0
49,4.440892098500626e-16,5.551115123125783e-16
50,0.0,4.440892098500626e-16
51,5.551115123125783e-17,0.0
52,0.0,0.0
53,0.0,0.0
