sample_index,absolute_closure_error
0,0.0
1,0.0
2,0.0
3,0.0
4,2.220446049250313e-16
5,0.0
6,0.0
7,0.0
8,0.0
9,2.220446049250313e-16
10,0.0
11,2.220446049250313e-16
12,0.0
13,0.0
14,0.0
15,1.1102230246251565e-16
16,1.1102230246251565e-16
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,1.1102230246251565e-16
23,0.0
24,0.0
25,2.220446049250313e-16
26,5.551115123125783e-17
27,0.0
28,2.220446049250313e-16
29,2.220446049250313e-16
30,0.0
31,8.881784197001252e-16
32,0.0
33,5.551115123125783e-17
34,1.1102230246251565e-16
35,3.122502256758253e-17
36,0.0
37,4.440892098500626e-16
38,0.0
39,5.551115123125783e-17
40,1.3877787807814457e-17
41,2.220446049250313e-16
42,0.0
43,0.0
44,2.220446049250313e-16
45,0.0
46,0.0
47,0.0
48,1.1102230246251565e-16
49,1.1102230246251565e-16
50,1.1102230246251565e-16
51,0.0
52,2.220446049250313e-16
53,0.0
54,2.220446049250313e-16
55,1.3877787807814457e-17
56,0.0
57,1.1102230246251565e-16
58,0.0
59,8.881784197001252e-16
60,2.220446049250313e-16
61,2.220446049250313e-16
62,4.440892098500626e-16
63,0.0
64,0.0
65,1.3877787807814457e-17
66,0.0
67,2.220446049250313e-16
68,0.0
69,2.7755575615628914e-17
70,1.1102230246251565e-16
71,0.0
72,0.0
73,5.551115123125783e-17
74,4.440892098500626e-16
75,0.0
76,5.551115123125783e-17
77,1.1102230246251565e-16
78,4.440892098500626e-16
79,0.0
80,0.0
81,0.0
82,2.7755575615628914e-17
83,0.0
84,5.551115123125783e-17
85,0.0
86,2.7755575615628914e-17
87,0.0
88,0.0
89,0.0
90,0.0
91,2.220446049250313e-16
92,0.0
93,5.551115123125783e-17
94,0.0
95,2.220446049250313e-16
96,0.0
97,2.220446049250313e-16
98,0.0
99,0.0
100,0.0
101,4.440892098500626e-16
102,5.551115123125783e-17
103,1.3877787807814457e-17
104,2.7755575615628914e-17
105,2.7755575615628914e-17
106,0.0
107,0.0
108,0.0
109,1.5265566588595902e-16
110,0.0
111,0.0
112,1.734723475976807e-17
113,5.551115123125783e-17
114,2.7755575615628914e-17
115,2.220446049250313e-16
116,5.551115123125783e-17
117,0.0
118,5.551115123125783e-17
119,0.0
120,0.0
121,0.0
122,4.440892098500626e-16
123,0.0
124,0.0
125,0.0
126,0.0
127,1.3877787807814457e-17
128,0.0
129,5.551115123125783e-17
130,0.0
131,2.7755575615628914e-17
132,1.1102230246251565e-16
133,2.7755575615628914e-17
134,0.0
135,1.734723475976807e-18
136,0.0
137,2.7755575615628914e-17
138,5.551115123125783e-17
139,2.7755575615628914e-17
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,2.220446049250313e-16
148,5.551115123125783e-17
149,0.0
150,0.0
151,0.0
152,5.551115123125783e-17
153,2.220446049250313e-16
154,2.7755575615628914e-17
155,1.1102230246251565e-16
156,0.0
157,0.0
158,2.220446049250313e-16
159,0.0
160,0.0
161,2.220446049250313e-16
162,2.220446049250313e-16
163,1.1102230246251565e-16
164,0.0
165,0.0
166,2.220446049250313e-16
167,0.0
168,4.440892098500626e-16
169,5.551115123125783e-17
170,0.0
171,8.326672684688674e-17
172,2.7755575615628914e-17
173,0.0
174,1.1102230246251565e-16
175,0.0
176,2.7755575615628914e-17
177,0.0
178,1.1102230246251565e-16
179,0.0
180,3.3306690738754696e-16
181,6.938893903907228e-18
182,0.0
183,4.440892098500626e-16
184,0.0
185,1.1102230246251565e-16
186,0.0
187,1.1102230246251565e-16
188,0.0
189,1.1102230246251565e-16
190,0.0
191,4.440892098500626e-16
192,0.0
193,0.0
194,2.7755575615628914e-17
195,5.551115123125783e-17
196,8.881784197001252e-16
197,1.1102230246251565e-16
198,0.0
199,0.0
200,1.3877787807814457e-17
201,1.1102230246251565e-16
202,5.551115123125783e-17
203,0.0
204,0.0
205,2.220446049250313e-16
206,0.0
207,0.0
208,0.0
209,5.551115123125783e-17
210,0.0
211,0.0
212,0.0
213,2.220446049250313e-16
214,0.0
215,1.1102230246251565e-16
216,1.1102230246251565e-16
217,1.1102230246251565e-16
218,1.1102230246251565e-16
219,2.220446049250313e-16
220,0.0
221,5.551115123125783e-17
222,5.551115123125783e-17
223,1.3877787807814457e-17
224,0.0
225,1.3877787807814457e-17
226,0.0
227,0.0
228,2.7755575615628914e-17
229,5.551115123125783e-17
230,0.0
231,2.7755575615628914e-17
232,5.551115123125783e-17
233,0.0
234,1.0408340855860843e-17
235,0.0
236,2.220446049250313e-16
237,0.0
238,2.7755575615628914e-17
239,1.1102230246251565e-16
240,5.551115123125783e-17
241,2.7755575615628914e-17
242,1.214306433183765e-17
243,0.0
244,2.7755575615628914e-17
245,5.551115123125783e-17
246,0.0
247,2.220446049250313e-16
248,6.938893903907228e-18
249,0.0
250,0.0
251,0.0
252,2.220446049250313e-16
253,0.0
254,1.3877787807814457e-17
255,0.0
256,4.683753385137379e-17
257,0.0
258,1.1102230246251565e-16
259,1.1102230246251565e-16
260,5.551115123125783e-17
261,0.0
262,4.440892098500626e-16
263,0.0
264,0.0
265,0.0
266,0.0
267,2.220446049250313e-16
268,0.0
269,0.0
270,5.551115123125783e-17
271,0.0
272,5.551115123125783e-17
273,5.551115123125783e-17
274,0.0
275,0.0
276,1.5178830414797062e-17
277,2.7755575615628914e-17
278,8.881784197001252e-16
279,0.0
280,0.0
281,0.0
282,0.0
283,1.3877787807814457e-17
284,2.220446049250313e-16
285,0.0
286,0.0
287,1.1102230246251565e-16
288,2.7755575615628914e-17
289,1.1102230246251565e-16
290,8.881784197001252e-16
291,0.0
292,6.938893903907228e-18
293,1.1102230246251565e-16
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.1102230246251565e-16
301,2.220446049250313e-16
302,0.0
303,1.3877787807814457e-17
304,2.220446049250313e-16
305,2.220446049250313e-16
306,0.0
307,5.551115123125783e-17
308,0.0
309,1.3877787807814457e-17
310,1.1102230246251565e-16
311,0.0
312,4.440892098500626e-16
313,0.0
314,2.0816681711721685e-17
315,0.0
316,0.0
317,0.0
318,4.440892098500626e-16
319,4.440892098500626e-16
320,0.0
321,0.0
322,0.0
323,2.220446049250313e-16
324,0.0
325,2.220446049250313e-16
326,0.0
327,1.1102230246251565e-16
328,5.551115123125783e-17
329,0.0
330,2.7755575615628914e-17
331,1.249000902703301e-16
332,2.7755575615628914e-17
333,1.1102230246251565e-16
334,0.0
335,2.220446049250313e-16
336,0.0
337,1.1102230246251565e-16
338,0.0
339,0.0
340,0.0
341,3.8163916471489756e-17
342,2.220446049250313e-16
343,0.0
344,0.0
345,0.0
346,0.0
347,5.551115123125783e-17
348,0.0
349,5.551115123125783e-17
350,0.0
351,5.551115123125783e-17
352,0.0
