time_step,variance,kappa4,kappa6,standardized_excess_kurtosis,standardized_sixth_cumulant
0,1.0,-2.0,16.0,-2.0,16.0
1,1.0,-0.9265007812499998,5.044796753906248,-0.9265007812499998,5.044796753906248
2,1.0,-0.42920184882843,1.5906233930139388,-0.42920184882843,1.5906233930139388
3,1.0,-0.19882792412674236,0.5015232331102538,-0.19882792412674236,0.5015232331102538
4,1.0,-0.09210711351887124,0.15813017365019844,-0.09210711351887124,0.15813017365019844
5,1.0,-0.042668656316958306,0.04985841167032203,-0.042668656316958306,0.04985841167032203
6,1.0,-0.019766271706274804,0.015720347084335125,-0.019766271706274804,0.015720347084335125
7,1.0,-0.009156733089131687,0.004956622246333337,-0.009156733089131687,0.004956622246333337
8,1.0,-0.004241860180389116,0.0015628219886651197,-0.004241860180389116,0.0015628219886651197
9,1.0,-0.0019650433855418906,0.000492757455959444,-0.0019650433855418906,0.000492757455959444
10,1.0,-0.0009103071159473531,0.00015536632589295652,-0.0009103071159473531,0.00015536632589295652
11,1.0,-0.0004217001270513284,4.8986971033195456e-05,-0.0004217001270513284,4.8986971033195456e-05
12,1.0,-0.00019535274858313996,1.544558202824774e-05,-0.00019535274858313996,1.544558202824774e-05
13,1.0,-9.049723709080699e-05,4.869988879893556e-06,-9.049723709080699e-05,4.869988879893556e-06
14,1.0,-4.1922880432799565e-05,1.5355065058029086e-06,-4.1922880432799565e-05,1.5355065058029086e-06
15,1.0,-1.9420790736619565e-05,4.841448897547774e-07,-1.9420790736619565e-05,4.841448897547774e-07
16,1.0,-8.996688894985392e-06,1.5265078551594997e-07,-8.996688894985392e-06,1.5265078551594997e-07
17,1.0,-4.1677196449335815e-06,4.8130761703256466e-08,-4.1677196449335815e-06,4.8130761703256466e-08
18,1.0,-1.9306977535309675e-06,1.517561940022646e-08,-1.9306977535309675e-06,1.517561940022646e-08
19,1.0,-8.943964885020305e-07,4.7848697180486965e-09,-8.943964885020305e-07,4.7848697180486965e-09
20,1.0,-4.143295226721939e-07,1.508668451342273e-09,-4.143295226721939e-07,1.508668451342273e-09
21,1.0,-1.9193831322536358e-07,4.756828566282666e-10,-1.9193831322536358e-07,4.756828566282666e-10
22,1.0,-8.891549857755326e-08,1.4998270818794567e-10,-8.891549857755326e-08,1.4998270818794567e-10
23,1.0,-4.119013944866817e-08,4.728951746303853e-11,-4.119013944866817e-08,4.728951746303853e-11
24,1.0,-1.9081348189493747e-08,1.49103752619581e-11,-1.9081348189493747e-08,1.49103752619581e-11
25,1.0,-8.839442002434613e-09,4.701238295065641e-12,-8.839442002434613e-09,4.701238295065641e-12
26,1.0,-4.094874960534866e-09,1.4822994806429306e-12,-4.094874960534866e-09,1.4822994806429306e-12
27,1.0,-1.8969524250283075e-09,4.673687255165234e-13,-1.8969524250283075e-09,4.673687255165234e-13
28,1.0,-8.787639518914044e-10,1.473612643351911e-13,-8.787639518914044e-10,1.473612643351911e-13
29,1.0,-4.070877439808617e-10,4.6462976748105794e-14,-4.070877439808617e-10,4.6462976748105794e-14
30,1.0,-1.8858355641778413e-10,1.46497671422291e-14,-1.8858355641778413e-10,1.46497671422291e-14
