lambda,time_step,contraction,q_rademacher,q_three_point,q_gaussian_same_mean_variance,matched_null_difference,rademacher_gaussian_error,three_point_gaussian_error,nonincreasing_from_previous
0.5,0,1.0,-0.2402290139165549,-0.24495894601612317,-0.25,0.0047299320995682625,0.009770986083445093,0.005041053983876831,True
0.5,1,0.825,-0.24538271313325116,-0.2476406012277349,-0.25,0.00225788809448374,0.004617286866748838,0.0023593987722650978,True
0.5,2,0.6806249999999999,-0.24783127170044278,-0.24889924840945626,-0.25,0.001067976709013485,0.002168728299557221,0.001100751590543736,True
0.5,3,0.561515625,-0.2489856974873892,-0.2494875965345902,-0.25,0.000501899047201021,0.0010143025126108096,0.0005124034654097886,True
0.5,4,0.4632503906249999,-0.2495270288685935,-0.24976183969530455,-0.25,0.00023481082671106268,0.00047297113140651326,0.00023816030469545058,True
0.5,5,0.3821815722656249,-0.24977990770095776,-0.24988942172502143,-0.25,0.00010951402406367272,0.00022009229904224048,0.00011057827497856776,True
0.5,6,0.3152997971191405,-0.24989772786818487,-0.24994869526987792,-0.25,5.0967401693052805e-05,0.00010227213181512873,5.1304730122075926e-05,True
0.5,7,0.26012233262329093,-0.2499525227142866,-0.24997620798599246,-0.25,2.3685271705847777e-05,4.747728571338761e-05,2.379201400753983e-05,True
0.5,8,0.214600924414215,-0.24997797457284637,-0.24998897041723797,-0.25,1.0995844391598064e-05,2.2025427153626875e-05,1.1029582762028811e-05,True
0.5,9,0.17704576264172736,-0.24998978673532793,-0.2499948880399258,-0.25,5.10130459788205e-06,1.0213264672070954e-05,5.111960074188904e-06,True
0.5,10,0.14606275417942507,-0.24999526554953513,-0.24999763109302103,-0.25,2.3655434858993463e-06,4.734450464866091e-06,2.368906978966745e-06,True
0.5,11,0.12050177219802567,-0.24999780576900205,-0.2499989023538358,-0.25,1.0965848337429751e-06,2.1942309979539054e-06,1.0976461642109303e-06,True
0.5,12,0.09941396206337118,-0.24999898320764674,-0.24999949143641662,-0.25,5.082287698743304e-07,1.0167923532589107e-06,5.085635833845803e-07,True
0.5,13,0.08201651870228122,-0.24999952887148655,-0.24999976438294078,-0.25,2.355114542273995e-07,4.7112851345176843e-07,2.3561705922436893e-07,True
0.5,14,0.06766362792938199,-0.24999978171828632,-0.24999989084249066,-0.25,1.0912420433939474e-07,2.1828171367643812e-07,1.0915750933704338e-07,True
0.5,15,0.05582249304174015,-0.24999989887105634,-0.2499999494302768,-0.25,5.0559220476920075e-08,1.011289436636531e-07,5.056972318673303e-08,True
0.5,16,0.04605355675943562,-0.24999995314886977,-0.24999997657277892,-0.25,2.3423909145670052e-08,4.685113022540044e-08,2.3427221079730387e-08,True
0.5,17,0.03799418432653438,-0.2499999782952157,-0.24999998914708596,-0.25,1.0851870263506314e-08,2.170478430318923e-08,1.0852914039682915e-08,True
0.5,18,0.031345202069390864,-0.24999998994494121,-0.2499999949723058,-0.25,5.027364580190152e-09,1.0055058785596316e-08,5.0276942054061635e-09,True
