distribution,block_size,maximum_compact_cf_error,median_compact_cf_error
rademacher,1,1.0074648240124693,0.5514821197837552
rademacher,2,0.9047563389294949,0.08679619756737514
rademacher,4,0.05021969540623181,0.014856372629366102
rademacher,8,0.02375371721460212,0.0072536319941216565
rademacher,16,0.011568379768698067,0.0038499222055164983
rademacher,32,0.005710502556281999,0.0019722455706632225
rademacher,64,0.0028372365575139724,0.0009969865471522368
rademacher,128,0.0014141641335129462,0.0005008560387735547
rademacher,256,0.0007059744824921554,0.00025122336641211773
rademacher,512,0.00035271120151128543,0.00012569455906663758
rademacher,1024,0.0001762866802643981,6.292415404227786e-05
rademacher,2048,8.812612068020975e-05,3.14692951105533e-05
laplace,1,0.2036321857230491,0.14032260162560373
laplace,2,0.11607646730439901,0.06680869876352918
laplace,4,0.06246924421731764,0.03031191071522059
laplace,8,0.0324809874572945,0.01385971636780825
laplace,16,0.016571702330644505,0.006516728231488782
laplace,32,0.008371256397020937,0.003145121254298798
laplace,64,0.004207314533823031,0.0015421928290002551
laplace,128,0.002109120965879341,0.0007631412585025199
laplace,256,0.0010559318949321383,0.0003796516363297163
laplace,512,0.000528309434326496,0.00018924669036363834
laplace,1024,0.0002642406812680409,9.456236347806651e-05
laplace,2048,0.00013214185157531255,4.722360987031646e-05
uniform,1,0.26052980692092254,0.08989102761454987
uniform,2,0.06747403919673343,0.034137569218764485
uniform,4,0.029879691008985618,0.008778072494874485
uniform,8,0.014187570147360079,0.0046757064966781725
uniform,16,0.006924848570979497,0.0023821339684851894
uniform,32,0.0034222625924037464,0.0012001083682750997
uniform,64,0.0017013333674236741,0.0006025547660078266
uniform,128,0.0008482465312042997,0.0003017322159365454
uniform,256,0.0004235218247159722,0.00015093083982691859
uniform,512,0.0002116109982022718,7.553342402068057e-05
uniform,1024,0.00010576807608358996,3.776543015010514e-05
uniform,2048,5.287468922665628e-05,1.8880961465739254e-05
