distribution,block_size,empirical_mean,empirical_variance,empirical_excess,theoretical_excess,ks_normal
rademacher,1,0.0012,0.9999985600000001,-1.9999942399917052,-2.0,0.3419447460685429
rademacher,2,0.0016027753706895078,0.9998640977777776,-0.9997281606871793,-1.0,0.2506
rademacher,4,0.0015333333333333334,0.9927643155555554,-0.5004278479120745,-0.5,0.1876833333333333
rademacher,8,-0.0015556349186104039,1.0029642466666664,-0.2637935477040534,-0.25,0.1361
rademacher,16,-0.0035666666666666668,1.0007872788888887,-0.12690304512714645,-0.125,0.1004666666666667
rademacher,32,-0.005085276268033253,1.001813723298611,-0.02451064825574978,-0.0625,0.07296666666666662
rademacher,64,0.0009166666666666666,1.0085408263888889,-0.011230343269643672,-0.03125,0.052483333333333326
rademacher,128,0.0031643028458097993,1.005132695520833,-0.0057206348238350024,-0.015625,0.03689143573400022
laplace,1,0.0008831250681973259,1.0048378592006797,2.9747519804847444,3.0,0.06269253102818331
laplace,2,-0.005428616463342066,0.9864457095667555,1.4657271946219943,1.5,0.03528442167946122
laplace,4,0.0008363298849396572,0.995768950290654,0.7407723646991369,0.75,0.01797263010284489
laplace,8,0.005885464095362098,0.9955938441870621,0.3684783608858795,0.375,0.012207593383929072
laplace,16,-0.0037222455708376383,0.9967329916775433,0.17391020161269077,0.1875,0.0067076642995600455
laplace,32,-0.003822656863752103,0.9890017729327845,0.14380261845598774,0.09375,0.006663926327807546
laplace,64,0.0016659032458455447,0.9982658487137577,0.046025027666238394,0.046875,0.003908128203491762
laplace,128,-0.004331873405632574,0.996377257852324,0.0332993122051084,0.0234375,0.004019680704398287
uniform,1,0.0018798684464652797,1.0022154307802642,-1.2063532564345678,-1.2,0.05913373764251251
uniform,2,0.004463336219473998,0.9977670023125812,-0.5998879493231128,-0.6,0.017417142475527392
uniform,4,0.005242709567442898,1.0019794060964817,-0.2893024450016912,-0.3,0.009826825393320693
uniform,8,-0.0005819400002188256,0.9978206061681794,-0.15133350905956977,-0.15,0.00495429663369612
uniform,16,-0.0061946481017918255,1.0048745503335335,-0.07742469895032666,-0.075,0.005871181219730903
uniform,32,0.005993607513330181,1.006661518865461,-0.05472053550853939,-0.0375,0.004816881153776542
uniform,64,0.003230148564424825,0.9996073045192744,-0.006612522108360164,-0.01875,0.0032883577117263085
uniform,128,-0.008110162175434461,0.993996669671977,0.0017719147086387999,-0.009375,0.004934837572011408
