distribution,lambda,block_size,block_q,gaussian_reference_q,absolute_gaussian_error,q_defined,nonincreasing_from_previous
gaussian,0.5,1,-0.25,-0.25,0.0,True,True
gaussian,0.5,4,-0.25,-0.25,0.0,True,True
gaussian,0.5,16,-0.25,-0.25,0.0,True,True
gaussian,0.5,64,-0.25,-0.25,0.0,True,True
gaussian,0.5,256,-0.25,-0.25,0.0,True,True
gaussian,1.0,1,-0.5,-0.5,0.0,True,True
gaussian,1.0,4,-0.5,-0.5,0.0,True,True
gaussian,1.0,16,-0.5,-0.5,0.0,True,True
gaussian,1.0,64,-0.5,-0.5,0.0,True,True
gaussian,1.0,256,-0.5,-0.5,0.0,True,True
gaussian,2.0,1,-1.0,-1.0,0.0,True,True
gaussian,2.0,4,-1.0,-1.0,0.0,True,True
gaussian,2.0,16,-1.0,-1.0,0.0,True,True
gaussian,2.0,64,-1.0,-1.0,0.0,True,True
gaussian,2.0,256,-1.0,-1.0,0.0,True,True
rademacher,0.5,1,-0.2480528427248317,-0.25,0.0019471572751683097,True,True
rademacher,0.5,4,-0.24950717532740657,-0.25,0.0004928246725934282,True,True
rademacher,0.5,16,-0.24987640918537657,-0.25,0.00012359081462343102,True,True
rademacher,0.5,64,-0.24996907813721597,-0.25,3.0921862784027976e-05,True,True
rademacher,0.5,256,-0.24999226802240646,-0.25,7.731977593544714e-06,True,True
rademacher,1.0,1,-0.48513951655829757,-0.5,0.014860483441702432,True,True
rademacher,1.0,4,-0.4961056854496634,-0.5,0.0038943145503366194,True,True
rademacher,1.0,16,-0.49901435065481314,-0.5,0.0009856493451868564,True,True
rademacher,1.0,64,-0.49975281837075314,-0.5,0.00024718162924686204,True,True
rademacher,1.0,256,-0.49993815627443194,-0.5,6.184372556805595e-05,True,True
rademacher,2.0,1,-0.8988107910865978,-1.0,0.10118920891340222,True,True
rademacher,2.0,4,-0.9702790331165951,-1.0,0.029720966883404865,True,True
rademacher,2.0,16,-0.9922113708993268,-1.0,0.007788629100673239,True,True
rademacher,2.0,64,-0.9980287013096263,-1.0,0.001971298690373713,True,True
rademacher,2.0,256,-0.9995056367415063,-1.0,0.0004943632584937241,True,True
uniform,0.5,1,-0.24882623291381045,-0.25,0.0011737670861895477,True,True
uniform,0.5,4,-0.24970395425336453,-0.25,0.00029604574663547045,True,True
uniform,0.5,16,-0.24992582343431327,-0.25,7.417656568672881e-05,True,True
uniform,0.5,64,-0.24998144550001017,-0.25,1.8554499989831275e-05,True,True
uniform,0.5,256,-0.2499953607272899,-0.25,4.6392727101052245e-06,True,True
uniform,1.0,1,-0.49092493805739507,-0.5,0.009075061942604934,True,True
uniform,1.0,4,-0.4976524658276209,-0.5,0.0023475341723790955,True,True
uniform,1.0,16,-0.49940790850672906,-0.5,0.0005920914932709409,True,True
uniform,1.0,64,-0.49985164686862654,-0.5,0.00014835313137345763,True,True
uniform,1.0,256,-0.49996289100002034,-0.5,3.710899997966255e-05,True,True
uniform,2.0,1,-0.9356473377147151,-1.0,0.06435266228528491,True,True
uniform,2.0,4,-0.9818498761147901,-1.0,0.018150123885209868,True,True
uniform,2.0,16,-0.9953049316552418,-1.0,0.004695068344758191,True,True
uniform,2.0,64,-0.9988158170134581,-1.0,0.0011841829865418818,True,True
uniform,2.0,256,-0.9997032937372531,-1.0,0.00029670626274691525,True,True
laplace,0.5,1,-0.2530328890291323,-0.25,0.0030328890291322907,True,True
laplace,0.5,4,-0.25074621556730625,-0.25,0.000746215567306252,True,True
laplace,0.5,16,-0.2501858219478158,-0.25,0.00018582194781580075,True,True
laplace,0.5,64,-0.2500464100206935,-0.25,4.64100206934992e-05,True,True
laplace,0.5,256,-0.2500115996674952,-0.25,1.1599667495199029e-05,True,True
laplace,1.0,1,-0.5259714235320352,-0.5,0.025971423532035187,True,True
laplace,1.0,4,-0.5060657780582646,-0.5,0.0060657780582645815,True,True
laplace,1.0,16,-0.5014924311346125,-0.5,0.001492431134612504,True,True
laplace,1.0,64,-0.5003716438956316,-0.5,0.0003716438956316015,True,True
laplace,1.0,256,-0.500092820041387,-0.5,9.28200413869984e-05,True,True
laplace,2.0,1,-1.3062419772592067,-1.0,0.30624197725920665,True,True
laplace,2.0,4,-1.0519428470640704,-1.0,0.051942847064070374,True,True
laplace,2.0,16,-1.0121315561165292,-1.0,0.012131556116529163,True,True
laplace,2.0,64,-1.002984862269225,-1.0,0.002984862269225008,True,True
laplace,2.0,256,-1.0007432877912632,-1.0,0.000743287791263203,True,True
student8,0.5,1,-inf,-0.25,inf,False,False
student8,0.5,4,-inf,-0.25,inf,False,False
student8,0.5,16,-inf,-0.25,inf,False,False
student8,0.5,64,-inf,-0.25,inf,False,False
student8,0.5,256,-inf,-0.25,inf,False,False
student8,1.0,1,-inf,-0.5,inf,False,False
student8,1.0,4,-inf,-0.5,inf,False,False
student8,1.0,16,-inf,-0.5,inf,False,False
student8,1.0,64,-inf,-0.5,inf,False,False
student8,1.0,256,-inf,-0.5,inf,False,False
student8,2.0,1,-inf,-1.0,inf,False,False
student8,2.0,4,-inf,-1.0,inf,False,False
student8,2.0,16,-inf,-1.0,inf,False,False
student8,2.0,64,-inf,-1.0,inf,False,False
student8,2.0,256,-inf,-1.0,inf,False,False
