distribution,lambda,stationary_q,q_defined,gaussian_reference_q,absolute_gaussian_difference
gaussian,0.5,-0.25,True,-0.25,0.0
rademacher,0.5,-0.2480528427248317,True,-0.25,0.0019471572751683097
uniform,0.5,-0.24882623291381045,True,-0.25,0.0011737670861895477
laplace,0.5,-0.2530328890291323,True,-0.25,0.0030328890291322907
student8,0.5,-inf,False,-0.25,inf
gaussian,1.0,-0.5,True,-0.5,0.0
rademacher,1.0,-0.48513951655829757,True,-0.5,0.014860483441702432
uniform,1.0,-0.49092493805739507,True,-0.5,0.009075061942604934
laplace,1.0,-0.5259714235320352,True,-0.5,0.025971423532035187
student8,1.0,-inf,False,-0.5,inf
gaussian,2.0,-1.0,True,-1.0,0.0
rademacher,2.0,-0.8988107910865978,True,-1.0,0.10118920891340222
uniform,2.0,-0.9356473377147151,True,-1.0,0.06435266228528491
laplace,2.0,-1.3062419772592067,True,-1.0,0.30624197725920665
student8,2.0,-inf,False,-1.0,inf
