sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
0,2.220446049250313e-16,4.440892098500626e-16
1,1.1102230246251565e-16,2.220446049250313e-16
2,4.440892098500626e-16,4.440892098500626e-16
3,1.1102230246251565e-16,2.220446049250313e-16
4,1.3877787807814457e-16,4.440892098500626e-16
5,2.220446049250313e-16,2.220446049250313e-16
6,8.326672684688674e-17,2.220446049250313e-16
7,5.551115123125783e-17,2.220446049250313e-16
8,1.1102230246251565e-16,2.220446049250313e-16
9,1.6653345369377348e-16,1.1102230246251565e-16
10,3.3306690738754696e-16,6.661338147750939e-16
11,2.220446049250313e-16,0.0
12,2.220446049250313e-16,3.3306690738754696e-16
13,5.551115123125783e-17,2.220446049250313e-16
14,5.551115123125783e-17,2.220446049250313e-16
15,2.220446049250313e-16,1.1102230246251565e-16
16,3.3306690738754696e-16,2.220446049250313e-16
17,3.3306690738754696e-16,4.440892098500626e-16
18,2.7755575615628914e-17,2.220446049250313e-16
19,2.220446049250313e-16,2.220446049250313e-16
20,1.1102230246251565e-16,2.220446049250313e-16
21,1.1102230246251565e-16,2.220446049250313e-16
22,2.220446049250313e-16,2.220446049250313e-16
23,5.551115123125783e-17,1.1102230246251565e-16
24,1.6653345369377348e-16,2.220446049250313e-16
25,1.6653345369377348e-16,1.1102230246251565e-16
26,1.1102230246251565e-16,4.440892098500626e-16
27,2.220446049250313e-16,3.3306690738754696e-16
28,1.1102230246251565e-16,1.1102230246251565e-16
29,1.6653345369377348e-16,2.220446049250313e-16
30,4.440892098500626e-16,4.440892098500626e-16
31,1.1102230246251565e-16,2.220446049250313e-16
32,1.1102230246251565e-16,2.220446049250313e-16
33,3.3306690738754696e-16,2.220446049250313e-16
34,1.6653345369377348e-16,2.220446049250313e-16
35,1.1102230246251565e-16,2.220446049250313e-16
36,5.551115123125783e-17,2.220446049250313e-16
37,1.6653345369377348e-16,2.220446049250313e-16
38,1.1102230246251565e-16,1.1102230246251565e-16
39,1.1102230246251565e-16,2.220446049250313e-16
40,1.1102230246251565e-16,4.440892098500626e-16
41,1.6653345369377348e-16,2.220446049250313e-16
42,2.7755575615628914e-16,4.440892098500626e-16
43,5.551115123125783e-17,2.220446049250313e-16
44,1.1102230246251565e-16,1.1102230246251565e-16
45,6.661338147750939e-16,5.551115123125783e-16
46,2.220446049250313e-16,4.440892098500626e-16
47,4.440892098500626e-16,3.3306690738754696e-16
48,1.1102230246251565e-16,0.0
49,1.1102230246251565e-16,4.440892098500626e-16
50,2.220446049250313e-16,3.3306690738754696e-16
51,1.6653345369377348e-16,4.440892098500626e-16
52,1.1102230246251565e-16,0.0
53,1.1102230246251565e-16,2.220446049250313e-16
54,1.1102230246251565e-16,1.1102230246251565e-16
55,1.1102230246251565e-16,1.1102230246251565e-16
56,3.3306690738754696e-16,4.440892098500626e-16
57,5.551115123125783e-17,2.220446049250313e-16
58,1.6653345369377348e-16,2.220446049250313e-16
59,1.1102230246251565e-16,2.220446049250313e-16
60,1.1102230246251565e-16,1.1102230246251565e-16
61,5.551115123125783e-17,2.220446049250313e-16
62,2.7755575615628914e-16,2.220446049250313e-16
63,1.1102230246251565e-16,2.220446049250313e-16
64,5.551115123125783e-16,4.440892098500626e-16
65,1.6653345369377348e-16,2.220446049250313e-16
66,1.1102230246251565e-16,2.220446049250313e-16
67,2.220446049250313e-16,2.220446049250313e-16
68,2.220446049250313e-16,2.220446049250313e-16
69,1.1102230246251565e-16,2.220446049250313e-16
70,1.1102230246251565e-16,2.220446049250313e-16
71,2.220446049250313e-16,2.220446049250313e-16
72,2.220446049250313e-16,1.1102230246251565e-16
73,5.551115123125783e-17,2.220446049250313e-16
74,5.551115123125783e-17,2.220446049250313e-16
75,3.3306690738754696e-16,4.440892098500626e-16
76,5.551115123125783e-17,3.3306690738754696e-16
77,1.6653345369377348e-16,2.220446049250313e-16
78,1.1102230246251565e-16,2.220446049250313e-16
79,1.6653345369377348e-16,2.220446049250313e-16
80,1.1102230246251565e-16,2.220446049250313e-16
81,1.1102230246251565e-16,2.220446049250313e-16
82,1.1102230246251565e-16,0.0
83,2.220446049250313e-16,0.0
84,1.3877787807814457e-16,2.220446049250313e-16
85,1.1102230246251565e-16,2.220446049250313e-16
86,1.1102230246251565e-16,0.0
87,2.220446049250313e-16,0.0
88,1.6653345369377348e-16,2.220446049250313e-16
89,2.220446049250313e-16,4.440892098500626e-16
90,2.220446049250313e-16,2.220446049250313e-16
91,1.6653345369377348e-16,1.1102230246251565e-16
92,5.551115123125783e-17,2.220446049250313e-16
93,1.1102230246251565e-16,2.220446049250313e-16
94,1.1102230246251565e-16,2.220446049250313e-16
95,1.1102230246251565e-16,3.3306690738754696e-16
96,2.220446049250313e-16,2.220446049250313e-16
97,1.6653345369377348e-16,0.0
98,2.220446049250313e-16,2.220446049250313e-16
99,2.220446049250313e-16,2.220446049250313e-16
100,1.1102230246251565e-16,4.440892098500626e-16
101,4.440892098500626e-16,4.440892098500626e-16
102,1.6653345369377348e-16,2.220446049250313e-16
103,3.3306690738754696e-16,4.440892098500626e-16
104,1.1102230246251565e-16,2.220446049250313e-16
105,5.551115123125783e-17,2.220446049250313e-16
106,1.1102230246251565e-16,2.220446049250313e-16
107,1.1102230246251565e-16,2.220446049250313e-16
108,4.440892098500626e-16,4.440892098500626e-16
109,1.1102230246251565e-16,1.1102230246251565e-16
110,1.1102230246251565e-16,2.220446049250313e-16
111,5.551115123125783e-16,4.440892098500626e-16
112,1.6653345369377348e-16,0.0
113,5.551115123125783e-17,1.1102230246251565e-16
114,1.6653345369377348e-16,2.220446049250313e-16
115,1.1102230246251565e-16,2.220446049250313e-16
116,1.1102230246251565e-16,1.1102230246251565e-16
117,5.551115123125783e-17,1.1102230246251565e-16
118,2.220446049250313e-16,2.220446049250313e-16
