sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
0,24,9,3,8.526512829121202e-14
1,20,9,7,2.842170943040401e-14
2,23,7,3,1.1368683772161603e-13
3,26,8,6,2.842170943040401e-14
4,27,5,4,4.263256414560601e-14
5,15,8,5,1.4210854715202004e-14
6,13,7,5,7.105427357601002e-15
7,13,5,3,2.842170943040401e-14
8,12,9,2,1.4210854715202004e-14
9,25,9,4,8.526512829121202e-14
10,31,5,3,1.1368683772161603e-13
11,16,6,2,2.842170943040401e-14
12,17,9,3,1.1368683772161603e-13
13,19,9,6,7.105427357601002e-15
14,28,9,8,7.105427357601002e-15
15,26,5,4,5.684341886080802e-14
16,24,6,2,2.2737367544323206e-13
17,18,9,3,5.684341886080802e-14
18,17,8,7,8.881784197001252e-16
19,19,5,2,1.1368683772161603e-13
20,20,6,4,2.842170943040401e-14
21,16,8,3,4.263256414560601e-14
22,28,9,5,5.684341886080802e-14
23,24,8,5,4.263256414560601e-14
24,12,8,2,1.4210854715202004e-14
25,29,7,4,8.526512829121202e-14
26,25,7,3,5.684341886080802e-14
27,15,4,2,2.842170943040401e-14
28,23,8,2,2.2737367544323206e-13
29,22,6,4,2.842170943040401e-14
30,32,5,2,4.547473508864641e-13
31,32,8,6,8.526512829121202e-14
32,15,8,6,7.105427357601002e-15
33,31,5,4,2.8421709430404007e-13
34,28,4,3,8.526512829121202e-14
35,15,5,2,2.842170943040401e-14
36,20,5,4,2.842170943040401e-14
37,32,7,5,1.7053025658242404e-13
38,18,8,6,2.842170943040401e-14
39,28,7,4,1.1368683772161603e-13
40,20,7,5,2.842170943040401e-14
41,23,6,4,2.842170943040401e-14
42,32,6,2,6.821210263296962e-13
43,12,4,3,3.552713678800501e-15
44,13,9,2,5.684341886080802e-14
45,27,9,2,1.1368683772161603e-13
46,32,9,2,9.094947017729282e-13
47,19,8,2,8.526512829121202e-14
48,19,4,3,5.684341886080802e-14
49,15,9,2,5.684341886080802e-14
50,26,6,4,5.684341886080802e-14
51,23,4,3,1.7053025658242404e-13
52,13,4,3,4.263256414560601e-14
53,18,8,5,2.842170943040401e-14
54,21,7,2,1.7053025658242404e-13
55,17,9,3,5.684341886080802e-14
56,16,4,3,1.1368683772161603e-13
57,13,5,3,1.4210854715202004e-14
58,31,5,4,1.1368683772161603e-13
59,15,6,5,1.4210854715202004e-14
60,13,6,3,1.4210854715202004e-14
61,14,8,7,1.7763568394002505e-15
62,27,5,4,1.4210854715202004e-13
63,17,7,3,4.263256414560601e-14
64,27,9,2,2.2737367544323206e-13
65,19,5,2,1.1368683772161603e-13
66,14,8,2,2.842170943040401e-14
67,19,9,4,2.842170943040401e-14
68,17,4,2,8.526512829121202e-14
69,16,6,5,7.105427357601002e-15
70,20,7,6,1.4210854715202004e-14
71,31,9,4,1.4210854715202004e-13
72,27,8,7,5.684341886080802e-14
73,13,6,5,3.552713678800501e-15
74,13,9,5,7.105427357601002e-15
75,30,5,2,2.2737367544323206e-13
76,28,8,7,1.4210854715202004e-14
77,22,5,4,2.842170943040401e-14
78,16,4,3,2.842170943040401e-14
79,30,8,4,1.4210854715202004e-13
80,21,9,4,1.4210854715202004e-14
81,17,6,5,1.4210854715202004e-14
82,13,4,2,2.842170943040401e-14
83,24,6,3,1.1368683772161603e-13
84,27,8,4,8.526512829121202e-14
85,26,8,5,5.684341886080802e-14
86,18,6,3,4.263256414560601e-14
87,28,5,4,5.684341886080802e-14
88,20,7,6,1.4210854715202004e-14
89,30,9,3,3.410605131648481e-13
90,12,4,3,7.105427357601002e-15
91,19,6,4,1.4210854715202004e-14
92,21,9,5,5.684341886080802e-14
93,15,5,3,4.263256414560601e-14
94,14,5,3,2.842170943040401e-14
95,15,8,6,7.105427357601002e-15
96,18,6,5,2.842170943040401e-14
97,25,5,4,5.684341886080802e-14
98,14,9,4,7.105427357601002e-15
99,32,8,6,1.1368683772161603e-13
100,22,4,2,1.1368683772161603e-13
101,30,7,2,4.547473508864641e-13
102,30,6,4,1.4210854715202004e-13
103,17,5,2,1.1368683772161603e-13
104,15,8,4,1.4210854715202004e-14
105,19,9,6,1.4210854715202004e-14
106,23,5,3,1.7053025658242404e-13
107,23,9,6,1.4210854715202004e-14
108,22,4,2,1.7053025658242404e-13
109,18,8,5,2.842170943040401e-14
110,17,7,4,2.842170943040401e-14
111,18,7,2,1.1368683772161603e-13
112,20,4,3,1.1368683772161603e-13
113,17,9,8,1.7763568394002505e-15
114,15,7,5,1.4210854715202004e-14
115,20,6,4,1.4210854715202004e-14
116,19,6,5,1.4210854715202004e-14
117,21,7,3,8.526512829121202e-14
118,27,9,5,4.263256414560601e-14
119,22,6,4,1.1368683772161603e-13
120,22,5,4,2.842170943040401e-14
121,19,8,2,1.1368683772161603e-13
122,23,5,4,4.263256414560601e-14
123,27,4,2,1.7053025658242404e-13
124,26,7,5,5.684341886080802e-14
125,28,7,6,2.842170943040401e-14
126,22,4,2,1.1368683772161603e-13
127,14,7,6,7.105427357601002e-15
128,17,4,3,1.4210854715202004e-14
129,27,4,3,3.410605131648481e-13
130,25,5,3,2.2737367544323206e-13
131,24,4,3,5.684341886080802e-14
132,18,7,3,5.684341886080802e-14
133,21,7,5,2.842170943040401e-14
134,27,4,2,3.410605131648481e-13
135,19,5,3,1.4210854715202004e-13
136,29,9,3,2.8421709430404007e-13
137,19,8,6,1.4210854715202004e-14
138,14,4,2,5.684341886080802e-14
139,20,8,4,1.4210854715202004e-14
140,15,4,3,2.842170943040401e-14
141,29,7,4,1.1368683772161603e-13
142,16,7,2,5.684341886080802e-14
143,15,4,2,2.842170943040401e-14
144,27,6,5,8.526512829121202e-14
145,25,4,2,2.2737367544323206e-13
146,23,7,3,5.684341886080802e-14
147,31,7,3,4.547473508864641e-13
148,15,6,3,2.842170943040401e-14
149,16,7,3,1.4210854715202004e-14
150,13,4,2,4.263256414560601e-14
151,19,6,5,2.842170943040401e-14
152,16,8,5,2.842170943040401e-14
153,26,6,2,1.1368683772161603e-13
154,27,6,5,8.526512829121202e-14
155,15,5,4,3.552713678800501e-15
156,25,6,4,5.684341886080802e-14
157,26,8,6,2.842170943040401e-14
158,18,6,3,1.1368683772161603e-13
159,27,4,3,1.1368683772161603e-13
160,19,7,6,1.4210854715202004e-14
161,24,6,3,1.7053025658242404e-13
162,32,7,2,6.821210263296962e-13
163,25,9,8,2.842170943040401e-14
164,24,7,3,1.1368683772161603e-13
165,31,9,7,2.842170943040401e-14
166,30,4,3,3.410605131648481e-13
167,15,7,3,2.842170943040401e-14
168,14,5,4,2.842170943040401e-14
169,32,5,2,1.1368683772161603e-13
170,20,4,3,8.526512829121202e-14
171,29,4,2,2.2737367544323206e-13
172,18,7,4,2.842170943040401e-14
173,23,9,5,1.1368683772161603e-13
174,19,5,3,1.4210854715202004e-13
175,13,8,3,1.4210854715202004e-14
176,29,4,3,2.2737367544323206e-13
177,18,4,2,1.1368683772161603e-13
178,31,7,4,1.1368683772161603e-13
