sample_index,operator,absolute_refinement_error
0,weighted_arithmetic,5.551115123125783e-17
0,exponential_mean,1.942890293094024e-16
0,weighted_median,0.0
0,minimum,0.0
0,unweighted_mean,0.08561079436367508
1,weighted_arithmetic,5.551115123125783e-17
1,exponential_mean,1.7694179454963432e-16
1,weighted_median,0.0
1,minimum,0.0
1,unweighted_mean,0.37887074652709773
2,weighted_arithmetic,0.0
2,exponential_mean,0.0
2,weighted_median,0.0
2,minimum,0.0
2,unweighted_mean,0.033940477465176366
3,weighted_arithmetic,0.0
3,exponential_mean,0.0
3,weighted_median,0.0
3,minimum,0.0
3,unweighted_mean,0.1822900014795628
4,weighted_arithmetic,1.1102230246251565e-16
4,exponential_mean,0.0
4,weighted_median,0.0
4,minimum,0.0
4,unweighted_mean,0.2878338365787552
5,weighted_arithmetic,1.3877787807814457e-17
5,exponential_mean,0.0
5,weighted_median,0.0
5,minimum,0.0
5,unweighted_mean,0.21347964956973553
6,weighted_arithmetic,0.0
6,exponential_mean,0.0
6,weighted_median,0.0
6,minimum,0.0
6,unweighted_mean,0.014315789720427241
7,weighted_arithmetic,1.1102230246251565e-16
7,exponential_mean,0.0
7,weighted_median,0.0
7,minimum,0.0
7,unweighted_mean,0.8687566779520273
8,weighted_arithmetic,1.1102230246251565e-16
8,exponential_mean,3.469446951953614e-16
8,weighted_median,0.0
8,minimum,0.0
8,unweighted_mean,0.352056432887503
9,weighted_arithmetic,5.551115123125783e-17
9,exponential_mean,0.0
9,weighted_median,0.0
9,minimum,0.0
9,unweighted_mean,0.10203944796845613
10,weighted_arithmetic,0.0
10,exponential_mean,0.0
10,weighted_median,0.0
10,minimum,0.0
10,unweighted_mean,0.047926624227584314
11,weighted_arithmetic,1.6653345369377348e-16
11,exponential_mean,0.0
11,weighted_median,0.0
11,minimum,0.0
11,unweighted_mean,0.14022274181183297
12,weighted_arithmetic,0.0
12,exponential_mean,5.551115123125783e-17
12,weighted_median,0.0
12,minimum,0.0
12,unweighted_mean,0.06752964113369964
13,weighted_arithmetic,0.0
13,exponential_mean,0.0
13,weighted_median,0.0
13,minimum,0.0
13,unweighted_mean,0.05402620565248953
14,weighted_arithmetic,2.7755575615628914e-17
14,exponential_mean,1.6653345369377348e-16
14,weighted_median,0.0
14,minimum,0.0
14,unweighted_mean,0.08777138649140093
15,weighted_arithmetic,2.220446049250313e-16
15,exponential_mean,0.0
15,weighted_median,0.0
15,minimum,0.0
15,unweighted_mean,0.5085153958593844
16,weighted_arithmetic,0.0
16,exponential_mean,0.0
16,weighted_median,0.0
16,minimum,0.0
16,unweighted_mean,0.3527914263555628
17,weighted_arithmetic,0.0
17,exponential_mean,0.0
17,weighted_median,0.0
17,minimum,0.0
17,unweighted_mean,0.01580811204742935
18,weighted_arithmetic,8.326672684688674e-17
18,exponential_mean,0.0
18,weighted_median,0.0
18,minimum,0.0
18,unweighted_mean,0.6284832679282496
19,weighted_arithmetic,2.7755575615628914e-17
19,exponential_mean,0.0
19,weighted_median,0.0
19,minimum,0.0
19,unweighted_mean,0.2608375109889234
20,weighted_arithmetic,0.0
20,exponential_mean,0.0
20,weighted_median,0.0
20,minimum,0.0
20,unweighted_mean,0.23264557837458882
21,weighted_arithmetic,0.0
21,exponential_mean,0.0
21,weighted_median,0.0
21,minimum,0.0
21,unweighted_mean,0.08189136198142904
22,weighted_arithmetic,0.0
22,exponential_mean,0.0
22,weighted_median,0.0
22,minimum,0.0
