sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
0,weighted_arithmetic,9,7,0.44638418894039095,0.4463841889403909,5.551115123125783e-17,True
0,exponential_mean,9,7,0.07213486600612243,0.07213486600612233,9.71445146547012e-17,True
0,weighted_median,9,7,0.7300349400366921,1.1802580167612757,0.4502230767245836,False
0,minimum,9,7,-0.7075683890136164,-0.7075683890136164,0.0,True
1,weighted_arithmetic,17,3,-0.2844521846421477,-0.2844521846421478,5.551115123125783e-17,True
1,exponential_mean,17,3,-0.7133330396748281,-0.7133330396748285,4.440892098500626e-16,True
1,weighted_median,17,3,-0.05164842905934404,-0.5720508801975092,0.5204024511381651,False
1,minimum,17,3,-1.8522619583833513,-1.8522619583833513,0.0,True
2,weighted_arithmetic,30,2,-0.3041094910851027,-0.3041094910851028,1.1102230246251565e-16,True
2,exponential_mean,30,2,-1.0378384093501964,-1.037838409350197,6.661338147750939e-16,True
2,weighted_median,30,2,-0.5923718161901743,-0.679473275723813,0.08710145953363868,False
2,minimum,30,2,-2.65644324135061,-2.65644324135061,0.0,True
3,weighted_arithmetic,9,5,0.658165808302719,0.658165808302719,0.0,True
3,exponential_mean,9,5,0.2855697973200771,0.28556979732007737,2.7755575615628914e-16,True
3,weighted_median,9,5,0.44642377392281046,0.44642377392281046,0.0,True
3,minimum,9,5,-0.9322806310785179,-0.9322806310785179,0.0,True
4,weighted_arithmetic,26,3,0.0523779037578672,0.05237790375786725,4.85722573273506e-17,True
4,exponential_mean,26,3,-0.5276436938000794,-0.5276436938000797,3.3306690738754696e-16,True
4,weighted_median,26,3,0.0250275432338038,0.1434254955854642,0.1183979523516604,False
4,minimum,26,3,-1.805450493669667,-1.805450493669667,0.0,True
5,weighted_arithmetic,23,2,-0.22444431828779804,-0.224444318287798,2.7755575615628914e-17,True
5,exponential_mean,23,2,-0.5173579293280438,-0.5173579293280437,1.1102230246251565e-16,True
5,weighted_median,23,2,-0.13156348372760546,-0.41835282755354,0.2867893438259345,False
5,minimum,23,2,-1.423833818100133,-1.423833818100133,0.0,True
6,weighted_arithmetic,13,4,-0.359899424842587,-0.35989942484258713,1.1102230246251565e-16,True
6,exponential_mean,13,4,-1.6882106012796858,-1.6882106012796858,0.0,True
6,weighted_median,13,4,0.02281497911899423,0.02281497911899423,0.0,True
6,minimum,13,4,-3.3083810788826726,-3.3083810788826726,0.0,True
7,weighted_arithmetic,5,5,0.22245782614341797,0.22245782614341797,0.0,True
7,exponential_mean,5,5,-0.08959393666363091,-0.08959393666363073,1.8041124150158794e-16,True
7,weighted_median,5,5,0.17826008066065027,0.17826008066065027,0.0,True
7,minimum,5,5,-1.2675012024501622,-1.2675012024501622,0.0,True
8,weighted_arithmetic,12,2,0.23108422316313293,0.23108422316313296,2.7755575615628914e-17,True
8,exponential_mean,12,2,-0.2542955533622472,-0.2542955533622475,3.3306690738754696e-16,True
8,weighted_median,12,2,0.3256118782550603,0.7246772029425558,0.39906532468749545,False
8,minimum,12,2,-1.8733504569113693,-1.8733504569113693,0.0,True
9,weighted_arithmetic,13,2,-0.2162613335121614,-0.21626133351216137,2.7755575615628914e-17,True
9,exponential_mean,13,2,-1.3116415321102148,-1.311641532110215,2.220446049250313e-16,True
9,weighted_median,13,2,-0.4352460562794282,-2.115283208421001,1.680037152141573,False
9,minimum,13,2,-2.115283208421001,-2.115283208421001,0.0,True
10,weighted_arithmetic,21,4,-0.12109104153327074,-0.12109104153327077,2.7755575615628914e-17,True
10,exponential_mean,21,4,-0.6483552368193062,-0.6483552368193062,0.0,True
10,weighted_median,21,4,-0.1349562045175321,-0.2145736255400217,0.07961742102248962,False
10,minimum,21,4,-2.1376147688963067,-2.1376147688963067,0.0,True
11,weighted_arithmetic,10,7,-0.02423298491938136,-0.024232984919381344,1.3877787807814457e-17,True
11,exponential_mean,10,7,-0.5096725746929535,-0.5096725746929535,0.0,True
11,weighted_median,10,7,-0.31528617594613745,-0.31528617594613745,0.0,True
11,minimum,10,7,-1.4386986936089599,-1.4386986936089599,0.0,True
12,weighted_arithmetic,33,3,-0.38450826396741344,-0.38450826396741344,0.0,True
12,exponential_mean,33,3,-1.8952912461619011,-1.8952912461619007,4.440892098500626e-16,True
12,weighted_median,33,3,-0.2704076348648851,-0.2704076348648851,0.0,True
12,minimum,33,3,-3.806918005516772,-3.806918005516772,0.0,True
13,weighted_arithmetic,31,3,-0.34209803832131047,-0.34209803832131047,0.0,True
13,exponential_mean,31,3,-0.9027639196794421,-0.9027639196794419,2.220446049250313e-16,True
13,weighted_median,31,3,-0.33851274231639583,-0.5449329408829446,0.2064201985665488,False
13,minimum,31,3,-1.793152227148038,-1.793152227148038,0.0,True
14,weighted_arithmetic,30,5,0.1252476383047311,0.12524763830473104,5.551115123125783e-17,True
14,exponential_mean,30,5,-0.8661043331213355,-0.8661043331213355,0.0,True
14,weighted_median,30,5,0.29139327445454766,0.39541140908663885,0.1040181346320912,False
14,minimum,30,5,-2.081699538967014,-2.081699538967014,0.0,True
15,weighted_arithmetic,23,5,0.49072023943383775,0.49072023943383764,1.1102230246251565e-16,True
15,exponential_mean,23,5,-0.2784349753052858,-0.27843497530528544,3.885780586188048e-16,True
15,weighted_median,23,5,0.7786706139939267,0.8070704206715926,0.02839980667766595,False
15,minimum,23,5,-2.2621734803960027,-2.2621734803960027,0.0,True
16,weighted_arithmetic,16,4,0.016584830949138773,0.0165848309491388,2.7755575615628914e-17,True
16,exponential_mean,16,4,-0.6039596185911533,-0.6039596185911533,0.0,True
16,weighted_median,16,4,-0.08659445558495181,-0.08659445558495181,0.0,True
16,minimum,16,4,-1.654688166252723,-1.654688166252723,0.0,True
17,weighted_arithmetic,32,6,-0.5347369404326117,-0.5347369404326118,1.1102230246251565e-16,True
17,exponential_mean,32,6,-1.0284330354567353,-1.028433035456735,2.220446049250313e-16,True
17,weighted_median,32,6,-0.32801706222975485,-0.1695585697879343,0.15845849244182056,False
17,minimum,32,6,-2.887602706210511,-2.887602706210511,0.0,True
18,weighted_arithmetic,20,5,-0.3201236816592761,-0.3201236816592761,0.0,True
18,exponential_mean,20,5,-0.8839153953158642,-0.8839153953158642,0.0,True
18,weighted_median,20,5,-0.3401407028883218,-0.3401407028883218,0.0,True
18,minimum,20,5,-2.322929016539881,-2.322929016539881,0.0,True
19,weighted_arithmetic,24,4,0.3034895353473254,0.3034895353473255,5.551115123125783e-17,True
19,exponential_mean,24,4,-0.08449437158346243,-0.08449437158346237,5.551115123125783e-17,True
19,weighted_median,24,4,0.2486449735175767,0.004076819791382657,0.24456815372619403,False
19,minimum,24,4,-2.4983789997949244,-2.4983789997949244,0.0,True
20,weighted_arithmetic,32,6,0.051887735876631105,0.05188773587663107,3.469446951953614e-17,True
20,exponential_mean,32,6,-0.7065940683868789,-0.7065940683868789,0.0,True
20,weighted_median,32,6,-0.08722062898038598,-0.43801245412086076,0.3507918251404748,False
20,minimum,32,6,-2.277471678164117,-2.277471678164117,0.0,True
21,weighted_arithmetic,14,6,0.6072965468032954,0.6072965468032954,0.0,True
21,exponential_mean,14,6,0.08237281680009438,0.08237281680009416,2.220446049250313e-16,True
21,weighted_median,14,6,0.21469036749891032,0.5701063877343728,0.3554160202354625,False
21,minimum,14,6,-1.7318503347209357,-1.7318503347209357,0.0,True
22,weighted_arithmetic,10,2,-0.3494271558809868,-0.3494271558809869,1.1102230246251565e-16,True
22,exponential_mean,10,2,-0.5726916886191165,-0.5726916886191168,3.3306690738754696e-16,True
22,weighted_median,10,2,-0.1414449078419479,-0.1414449078419479,0.0,True
22,minimum,10,2,-1.496626146718403,-1.496626146718403,0.0,True
23,weighted_arithmetic,15,6,-0.286482791104358,-0.28648279110435804,5.551115123125783e-17,True
23,exponential_mean,15,6,-0.9986421991917063,-0.9986421991917063,0.0,True
23,weighted_median,15,6,-0.46295596938721656,-0.4235896077807689,0.039366361606447686,False
23,minimum,15,6,-1.920904005941476,-1.920904005941476,0.0,True
24,weighted_arithmetic,17,4,0.15098968744176755,0.15098968744176755,0.0,True
24,exponential_mean,17,4,-0.3120423193726861,-0.3120423193726863,1.6653345369377348e-16,True
24,weighted_median,17,4,-0.18957657212115606,0.711242363955661,0.9008189360768171,False
24,minimum,17,4,-1.445654049244755,-1.445654049244755,0.0,True
25,weighted_arithmetic,17,4,0.18981898850724546,0.18981898850724543,2.7755575615628914e-17,True
25,exponential_mean,17,4,-0.7800112399116752,-0.7800112399116752,0.0,True
25,weighted_median,17,4,0.4039798056213756,0.4039798056213756,0.0,True
25,minimum,17,4,-3.5896122267813646,-3.5896122267813646,0.0,True
26,weighted_arithmetic,33,6,-0.15463563465292793,-0.15463563465292796,2.7755575615628914e-17,True
26,exponential_mean,33,6,-1.1285287084597797,-1.1285287084597797,0.0,True
26,weighted_median,33,6,-0.12118011743121912,0.43360319781512824,0.5547833152463474,False
26,minimum,33,6,-2.751257994350875,-2.751257994350875,0.0,True
27,weighted_arithmetic,14,4,0.23314474029803203,0.23314474029803195,8.326672684688674e-17,True
27,exponential_mean,14,4,-0.23398542975171194,-0.2339854297517118,1.3877787807814457e-16,True
27,weighted_median,14,4,0.31601944929480363,0.31601944929480363,0.0,True
27,minimum,14,4,-1.4228372958996796,-1.4228372958996796,0.0,True
28,weighted_arithmetic,16,7,0.029376389799214985,0.029376389799214944,4.163336342344337e-17,True
28,exponential_mean,16,7,-0.9640136069918906,-0.9640136069918903,3.3306690738754696e-16,True
28,weighted_median,16,7,-0.34947979640274013,-0.34947979640274013,0.0,True
28,minimum,16,7,-2.795143198138709,-2.795143198138709,0.0,True
29,weighted_arithmetic,17,6,-0.19809460066213225,-0.19809460066213216,8.326672684688674e-17,True
29,exponential_mean,17,6,-0.873355108734218,-0.8733551087342178,1.1102230246251565e-16,True
29,weighted_median,17,6,-0.3463145373312299,0.4277147429048729,0.7740292802361028,False
29,minimum,17,6,-1.888499417999389,-1.888499417999389,0.0,True
30,weighted_arithmetic,24,2,-0.2394806556388985,-0.2394806556388985,0.0,True
30,exponential_mean,24,2,-1.5731984714436666,-1.5731984714436666,0.0,True
30,weighted_median,24,2,-0.3709017379881223,-0.3709017379881223,0.0,True
30,minimum,24,2,-4.053335922102659,-4.053335922102659,0.0,True
31,weighted_arithmetic,20,4,-0.4705730997880996,-0.4705730997880997,1.1102230246251565e-16,True
31,exponential_mean,20,4,-1.0893389347270124,-1.0893389347270126,2.220446049250313e-16,True
31,weighted_median,20,4,-0.7153459822732016,-0.32244780025943576,0.3928981820137658,False
31,minimum,20,4,-2.1027521386531007,-2.1027521386531007,0.0,True
32,weighted_arithmetic,11,4,0.7825848607602726,0.7825848607602726,0.0,True
32,exponential_mean,11,4,0.11993004279221227,0.11993004279221235,8.326672684688674e-17,True
32,weighted_median,11,4,1.247389438934386,-0.10179096751911541,1.3491804064535013,False
32,minimum,11,4,-0.7404047438992115,-0.7404047438992115,0.0,True
33,weighted_arithmetic,9,3,0.26691617519791144,0.26691617519791155,1.1102230246251565e-16,True
33,exponential_mean,9,3,-0.5584352373745911,-0.5584352373745916,4.440892098500626e-16,True
33,weighted_median,9,3,-0.36752185601919274,-0.36752185601919274,0.0,True
33,minimum,9,3,-1.3879969539964556,-1.3879969539964556,0.0,True
34,weighted_arithmetic,16,3,-0.16399243396100838,-0.16399243396100838,0.0,True
34,exponential_mean,16,3,-0.4423703723271807,-0.4423703723271807,0.0,True
34,weighted_median,16,3,-0.2218449456743321,-0.8567922996771445,0.6349473540028124,False
34,minimum,16,3,-1.0187304195170146,-1.0187304195170146,0.0,True
35,weighted_arithmetic,34,5,-0.2798772760135076,-0.2798772760135075,1.1102230246251565e-16,True
35,exponential_mean,34,5,-1.416386771528352,-1.416386771528352,0.0,True
35,weighted_median,34,5,-0.10281997176815486,-0.17285434054344978,0.07003436877529493,False
35,minimum,34,5,-3.7445739869020516,-3.7445739869020516,0.0,True
